,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,415415082.02,408734408.76,402608743.74,357644309.63,296131310.72,256547764.64,215363503.72,254440632.19,160524688.63,162144649.96,104429657.68,123389450.51,96172215.24,85219113.24,95551665.57,116230687.68,146385484.78,141671285.05,103050643.58,90517090.95,132645720.59,83828327.72,121650777.51,94587405.35,45011478.02,31928468.25,31870713.25,18512808.15,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,402896593.42,494027475.58,531901798.98,416634162.99,448169268.69,439208063.80,428163549.58,367436849.57,0,362118031.75,0,166890192.12,0,160744250.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,71097463.86,96445894.45,122687169.07,69044432.03,71911991.34,91233196.86,75612257.51,47397440.17,64552590.32,74693985.80,55697095.97,58232971.88,56752276.49,56731749.13,43070148.38,29793304.44,68530043.10,102144242.10,68827946.55,61708614.22,34541739.75,29800185.52,53186110.40,58251643.17,51123937.56,34487200.00,12726200.00,6839319.00,0.0
7,应收账款,331799129.56,397581581.13,409214629.91,347589730.96,376257277.35,347974866.94,352551292.07,320039409.40,282995914.25,287424045.95,123534963.33,108657220.24,101977993.32,104012501.70,112793293.69,88634119.46,94348278.44,100908356.98,159556524.86,143498758.07,161010540.05,141666160.64,118556196.24,106396831.38,78090300.30,58022795.94,59090444.33,53130990.80,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,39486361.56,37408493.77,36078130.38,32628695.20,41365632.40,39694448.71,67957533.21,65207586.42,30645277.33,29047399.46,9555815.20,9607726.66,9561548.73,9607698.67,8862835.23,8796594.73,13485709.05,16957576.91,11930416.23,13412653.53,16605867.03,16339825.84,12194987.91,17741217.77,52601504.79,29320771.07,14580168.98,16767772.62,0.0
10,其他应收款(合计),39054830.82,40511017.78,35079751.12,29240220.48,34503273.77,25100729.44,26729094.76,15598877.60,0,23354596.34,0,5631153.51,0,11452500.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,40511017.78,0,29240220.48,34503273.77,25100729.44,26729094.76,15598877.60,25039463.60,23354596.34,12706690.44,5631153.51,13663523.41,11452500.08,5597258.08,6156878.43,8466433.62,7751692.07,6136707.26,929538.54,3335660.07,1432457.89,1607059.68,722606.70,913012.07,903008.46,601929.86,16545532.32,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,204521821.41,174310412.28,168431103.62,201198480.35,203985240.01,219521135.31,224246296.12,209795266.81,173287104.02,161931946.54,97690241.41,81292317.56,71890790.74,72521391.91,68856335.15,75737170.79,68434952.35,62522474.31,56171745.05,54393512.82,59392457.38,53951274.14,42942196.07,42309947.73,38039388.36,40490165.09,39588163.43,24769299.90,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,4707405.10,3062278.84,3380250.26,3759455.60,2392696.65,2562010.02,3163524.17,2251642.14,1141108.61,727396.58,693971.31,679695.81,623793.98,2265176.56,2300696.95,4222206.68,560141.45,1326893.90,1784769.55,1940588.44,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,1106082094.33,1158054087.01,1177479778.10,1041105324.25,1026547422.24,982634151.92,965623501.56,914730854.73,738186146.76,739324020.63,404308435.34,387490536.17,350642141.91,341810131.29,337032233.05,329570962.21,400211042.79,433282521.32,407458753.08,366400756.57,407531984.87,327018231.75,350137327.81,320009652.10,265779621.10,195152408.81,158457619.85,136565722.79,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),9315066.89,8710748.35,9043817.19,6188065.66,10555062.33,9115912.49,9449780.18,9770088.36,0,9753329.40,0,9451477.79,0,38236961.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,8710748.35,0,6188065.66,10555062.33,9115912.49,9449780.18,9770088.36,10532521.83,9753329.40,9457181.20,9451477.79,37395960.64,38236961.74,30091375.61,34634512.56,89256103.94,70738346.19,66135403.40,54603971.71,129004976.02,134640955.43,124173353.50,91817006.57,8193992.56,3547853.43,29663763.73,751851.19,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),314615146.77,322630658.39,327129350.64,335499139.49,329307569.98,335593022.38,324754758.57,333821589.11,0,348358283.18,0,276445812.82,0,255578112.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,322630658.39,0,335499139.49,329307569.98,335593022.38,324754758.57,333821589.11,342095596.00,348358283.18,270789731.73,276445812.82,253927029.00,255578112.51,261745979.92,261499600.67,198879800.52,203174571.44,206115710.03,209468824.30,124549593.65,126669126.43,118516339.31,121200625.18,117351852.29,115869913.93,75007396.87,80118997.42,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,65973201.43,70133909.35,69883110.50,72072929.97,70396115.98,73922192.55,75822420.19,78017895.74,80062371.34,82120218.94,41131029.67,41821822.13,42519348.11,42870274.09,38228407.45,38594040.58,38961766.98,39299194.56,35729382.66,36046904.10,35463541.50,22730238.82,22668608.56,22197855.59,9365408.72,9598879.96,10539205.25,6801578.92,0.0
40,开发支出,0,0,0,0,0,1976203.72,1976203.72,1976203.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,581478472.19,581478472.19,581478472.19,581478472.19,584570472.19,584570472.19,584570472.19,584570472.19,584570472.19,584570472.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,16869117.36,17962013.68,18785687.60,18627486.14,18750877.47,19730826.84,18356867.20,19358364.60,20449714.58,21467344.08,19715697.17,19653173.54,18468349.15,18149965.98,17886970.63,18205660.11,17253047.94,16208521.68,13470671.36,12807261.77,8264200.89,7495202.68,7212903.83,6131959.20,5360049.98,4345333.33,3146524.99,2722241.66,0.0
43,递延所得税资产,28608936.70,27245037.60,26437621.84,24921465.77,25142589.90,22281409.78,23782869.32,22365931.12,18339113.43,16678745.30,10645712.35,8705059.72,7649526.47,6615321.29,6442763.97,5690323.05,5126975.62,4168805.87,3307129.80,2519364.54,3747281.59,3453290.59,3197174.14,1562031.92,1225796.05,1206666.77,1221241.89,1207886.57,0.0
