,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140630,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,10068108.22,10810289.28,22664877.88,23497146.10,80872370.73,26887122.05,29593160.59,28751649.36,37259504.10,26841676.04,75563251.71,84262582.84,82712792.05,81194275.97,75536238.80,82014351.64,85941495.91,147528193.07,79261665.32,93429552.94,69979043.58,90044206.21,27532519.37,30309457.73,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,85910232.34,71080242.57,94083130.02,70645436.78,65492502.76,70763627.89,92196471.30,72603880.32,0,69719099.16,0,73561193.33,0,87054461.76,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,4004900.72,3833114.21,1936762.04,2696007.04,1092516.16,1632000.00,845400.00,976680.00,1556134.75,0,3750744.00,990080.00,0,339200.00,589840.00,150000.00,249000.00,0,378045.20,863450.00,258000.00,638222.22,415032.00,286800.00,0.0
7,应收账款,81905331.62,67247128.36,92146367.98,67949429.74,64399986.60,69131627.89,91351071.30,71627200.32,72081443.91,69719099.16,92814164.42,72571113.33,93034971.88,86715261.76,75451182.35,65953937.45,83696569.58,62634945.76,58449547.04,48148667.20,53677341.99,52459892.97,39186137.12,17088575.50,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
