,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,626930584.42,756645840.80,346035636.62,777090438.33,595741199.22,659022094.41,325616001.30,469563569.86,420753067.24,420979136.05,315839123.04,469622015.19,140855498.18,111127301.11,99503717.24,50398220.78,95633426.98,51748309.93,50365408.97,42565411.51,12171794.44,37885331.12,97086938.64,27780435.68,57353764.09,41879296.77,59500878.19,19766245.77,24148868.57,27133699.34,33695378.05,26189668.89,1319296.46,424707.46,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1092868545.45,935392766.72,748421199.13,666937346.92,664944410.01,538970036.21,509980655.54,398787903.15,0,254758249.70,0,293995083.51,0,252534495.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,22232998.35,75164360.76,19764074.19,20535616.46,11402097.29,10743338.01,4823862.90,8685015.67,8043360.80,0,4741140.00,9008178.00,4264650.00,4264650.00,20600000.00,400000.00,6000000.00,6000000.00,0,100000.00,81000.00,0,192000.00,0,0,0,0,0,0,1230000.00,1230000.00,0,0,0,0.0
7,应收账款,1070635547.10,860228405.96,728657124.94,646401730.46,653542312.72,528226698.20,505156792.64,390102887.48,244179285.50,254758249.70,292811285.97,284986905.51,249833766.57,248269845.01,167769631.67,129236241.46,136275259.13,103718926.17,124385947.38,45834164.50,92363179.59,45172762.71,39028585.57,37643896.41,20298640.50,18508185.45,31407211.61,31134358.83,22235023.56,17716848.80,17234335.83,10781084.94,3807087.50,570570.00,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,142548581.48,146359308.05,68610742.84,47232316.53,63118562.72,28321741.97,17552141.94,12833851.34,24924255.26,10713802.43,17029983.60,7876766.92,2244802.39,2832385.38,3079769.52,17324104.76,3978077.40,53571061.07,13994720.32,54981610.22,6938185.68,36185952.74,1945676.88,13361396.89,12967258.56,2898931.85,1435747.82,1932279.29,463726.14,256089.35,518290.62,546592.29,1455696.00,58500.00,0.0
10,其他应收款(合计),27911379.72,29250543.62,23792048.17,18332463.04,18364178.89,19786781.33,14034262.50,14955880.74,0,10924937.93,0,14303002.99,0,6720981.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,29250543.62,0,18332463.04,18364178.89,19786781.33,14034262.50,14955880.74,11986479.19,10924937.93,14737734.38,14303002.99,10095384.91,6720981.96,5302252.37,2962004.70,3194952.84,1961467.50,2599544.61,12096973.61,3441780.72,1015601.60,560896.60,2534281.45,1866638.32,672265.66,431121.79,6854599.82,7540005.45,6110481.52,1095043.45,4500245.17,8340925.00,505145.60,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,554414925.72,458578315.22,401089393.31,402125007.84,395219656.62,325968489.86,257669289.94,162476099.83,199481678.22,131879676.78,127299645.84,127398599.20,49177299.07,66219523.38,66932958.76,82009730.35,58247620.69,70640764.50,48445572.57,54121827.11,37716290.60,31616922.12,20348009.87,30814746.15,21814315.87,12221308.14,13338195.74,13339468.47,11715327.95,4928615.11,5609507.51,1717656.90,253037.02,26975.40,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,213177773.30,70992195.66,176987127.26,132786226.31,110132827.41,123416978.05,35686661.02,104913008.51,107131997.18,1104013.76,31665824.89,4032588.85,5726036.96,11072838.71,10415408.32,704386.38,7879486.90,2003074.98,4035591.54,0,2419667.48,0,651747.91,39997241.34,0,33550000.00,47499.40,0,0,43254.21,0,0,23509.00,24136.00,0.0
21,流动资产合计,2657851790.09,2397218970.07,1764936147.33,2044503798.97,1847520834.87,1695486121.83,1160539012.24,1163530313.43,1016500123.39,830359816.65,804124737.72,917228056.66,462197438.08,450507525.55,373603737.88,283034688.43,311208823.94,289643604.15,243826785.39,209699986.95,155131898.51,151876570.29,159813855.47,152131997.92,114300617.34,109729987.87,106160654.55,73026952.18,66102951.67,57418988.33,59382555.46,43735248.19,15199550.98,1610034.46,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
