,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,721630074.63,515366353.53,728402023.58,825737181.46,671804583.21,667163839.25,748992073.60,590583536.56,572468998.91,643196666.01,876670956.33,454592483.97,652027408.65,295294098.13,307833312.94,305102722.82,421493782.59,675066467.10,462403547.30,484109782.30,745147096.35,1243563961.16,522787077.88,695132900.00,799946536.70,1225993750.64,1286362800.51,1687263978.22,2014659985.15,2346155822.38,2056835337.01,763701404.78,762482093.42,1042267347.24,739588040.55,620555541.75,604972242.38,571018337.65,646564484.18,390495591.91,409494126.50,384450180.25,391296303.84,214941794.90,128617306.84,166566977.64,174680394.48,89147413.58,183027084.06,259805199.34,200513712.60,139095191.27,251531718.55,263355225.18,206632551.09,166065112.85,150915957.19,242182483.35,279358311.31,260044328.05,1098760291.28,1092672158.81,1076738278.71,224703659.84,190927116.56,84762903.25,0.0
3,交易性金融资产,0,103720520.99,103720520.99,103720520.99,0,14114425.65,14114425.65,14114425.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,450146218.62,410863393.18,469773744.39,545083670.51,488080017.08,526847933.42,383935106.46,415579280.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,26983397.78,24580677.61,40593696.49,121424156.84,56995527.22,58724022.99,53524104.83,23109097.34,1613420.00,860375.00,1684815.00,1201970.00,1145000.00,1632326.30,1361460.00,1410540.00,1106912.76,1380800.00,1240800.00,1972800.00,1415600.00,2050000.00,2917000.00,3370000.00,3000000.00,0.00,620000.00,1401867.00,930000.00,1650000.00,1529305.20,1499305.20,530000.00,820000.00,1000000.00,240000.00,240000.00,410000.00,738640.00,710000.00,230000.00,170000.00,490000.00,490000.00,200000.00,200000.00,100000.00,100000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,423162820.84,386282715.57,429180047.90,423659513.67,431084489.86,468123910.43,330411001.63,392470183.22,392032402.56,336997901.28,312878485.53,75074663.60,70310258.82,57540723.35,62063955.65,54130443.18,59443966.36,39356627.70,48446275.92,49243972.94,25693064.28,22050340.50,37229265.58,29394908.20,23534896.10,7912190.94,7013033.92,717278.72,2010382.02,2010382.02,2010382.02,772816.25,2313308.90,1850284.22,925361.64,1824536.64,4016805.92,2957431.24,1636442.67,845415.71,8672261.07,6039249.00,3556165.31,896715.76,3149754.05,3488638.00,0,0,0,3597369.03,2125005.27,1947028.29,2526825.03,5681390.03,5529396.31,4788615.20,6118667.85,3083854.58,3094452.42,1929670.88,4111138.30,2093864.57,2610952.72,2679596.56,1376378.46,601775.92,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
