,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,56704759.28,80518031.08,75342586.27,74667756.95,221172037.68,239835688.30,130456658.18,314462239.30,285007543.02,316135484.51,367816835.02,386447994.09,338933631.77,320240951.15,447646363.37,270001874.96,479082612.59,272204216.56,296620368.95,300656331.23,251409113.27,290139399.15,231185923.27,257906929.51,271211694.04,291995302.48,234576122.12,302668106.81,203747240.42,278473711.62,124973681.63,237664947.34,108075363.95,73569067.24,108698497.81,107663943.93,126639885.83,102513073.21,144119357.38,191673399.31,92641475.74,72397741.70,65565214.73,78282663.18,60603980.55,62925057.86,80496423.83,63357457.80,78726642.79,65678163.42,62692027.64,61807952.13,52463979.27,69235354.95,71047750.06,79051585.44,60827047.91,58286106.64,64389531.51,97984632.68,33889032.67,45664866.75,82493503.83,94366683.13,45145836.94,57936527.54,26311578.40,35290915.41,64680105.53,54448861.51,99500187.55,152744896.60,151294828.00,85805207.32,36597829.98,14337962.70,44194135.19,6928881.42,62531551.98,5235297.94,5261859.74,6189526.93,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89512.16,89512.16,35000000.00,35000000.00,35459480.35,35459480.35,115460402.56,115584210.62,116132147.55,36103153.83,50952048.60,50952048.60,15952048.60,15952048.60,11126954.26,10980759.10,11015193.10,11015193.10,48905209.40,5014060.48,20000000.00,0,0,51000000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,29004041.76,32652886.26,32591795.48,36715630.92,83327798.38,31867627.28,56643343.63,54533815.00,0,445044998.22,405350226.71,409954328.66,0,406391117.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,3235572.01,100000.00,0,8327929.80,1980000.00,2516942.80,7273706.53,15494018.18,21153040.17,17461206.44,13318950.00,14828224.17,13500787.87,19219387.42,30619163.77,15537290.71,13890405.06,14288039.64,12795380.00,3853008.28,52571550.29,20702029.51,75275725.29,29857742.90,48372084.76,30559683.80,90577004.24,48476235.88,49606811.51,29364512.02,101456200.95,11939098.21,26535837.20,83993083.00,51528237.88,17836923.43,22181184.80,10062500.07,18479563.40,13748000.40,728693.40,3173600.00,6518258.00,12791540.00,8213563.80,13311689.20,6244516.20,6281172.75,4995106.51,6319238.00,9420254.12,2129819.90,4861046.40,3596144.50,16800107.83,7638100.04,7377961.00,1803336.00,9041513.50,6557646.96,5777189.43,4398251.20,4753323.25,2630681.62,7193100.43,1601919.21,5723065.86,2074471.31,2906103.51,13258935.15,3711904.74,18454287.00,5610315.67,23241431.62,2591514.00,3787000.00,4605000.00,11398200.00,7153000.00,3240000.00,400000.00,0.0
7,应收账款,29004041.76,29417314.25,32491795.48,36715630.92,74999868.58,29887627.28,54126400.83,47260108.47,130383672.58,423891958.05,387889020.27,396635378.66,386599302.08,392890329.59,480485286.54,372239152.30,376667720.18,363060517.98,301975843.68,337841475.95,523851943.20,551151175.03,525721881.81,443247123.30,505060746.03,450721578.73,424274534.92,314412320.71,323241855.77,278874181.60,254490647.82,252519033.92,290581333.79,286395950.44,247810574.60,217376682.83,287164347.07,247523452.32,225264473.00,212708275.39,228493151.37,201516989.55,182435062.86,192656468.52,159136971.39,130720958.63,136538255.21,120902642.18,112726388.43,130291196.20,125379241.53,110291770.24,137850718.13,130271292.73,117671068.24,110235135.59,164913078.37,157602450.11,144964477.29,132236220.25,196700677.36,179859673.28,181111121.37,155689748.31,168211745.52,179524017.74,147765176.68,157760210.18,174162890.82,166331625.89,184659325.60,163169973.86,163866590.09,134179055.26,140738097.33,185947663.51,187010879.79,126144782.69,159194533.90,113261730.30,81377398.47,65896364.87,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,145933364.09,101445323.90,49801817.35,21271182.90,71833661.13,75457017.24,43432598.48,92475777.93,140541066.54,102547106.84,98088086.74,70968195.37,57823903.08,131672784.99,59028388.45,42164822.34,59443126.55,62443656.10,112531418.90,31407673.22,185450278.74,198390586.59,184848856.29,174048090.66,340700064.64,181345322.13,277909745.93,418377423.63,442698252.06,288411244.83,180691834.80,105320399.02,197148880.03,54772689.09,55724744.01,73603838.68,138917697.74,70526324.49,93589422.87,54144904.50,74319539.68,73127225.15,72776801.41,76564009.47,83568248.33,91811370.56,136369017.67,132875207.02,119840060.36,74141694.69,54246616.32,79364347.05,50230056.36,49081935.11,40069207.63,62011410.55,58984279.25,48425914.36,65117296.13,55645889.23,40036167.71,23230096.11,66372151.93,83197229.16,64888157.60,48980241.03,75815646.23,36150245.42,50079486.20,21739009.28,84576140.28,47853522.37,58950852.01,41785795.44,50938571.59,37483520.07,59284438.06,71833779.25,69503663.37,5434517.45,6735320.12,6435232.97,0.0
10,其他应收款(合计),439018291.06,453105678.07,3310818.83,2446923.25,4989347.87,5193873.58,16867655.53,14159729.68,0,275684566.17,253218059.66,281797551.59,0,23306457.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475750.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18007612.44,0,0,0,0,0,0,0,1550000.00,0,0,0,9300000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920000.00,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,453105678.07,0,2446923.25,4989347.87,5193873.58,16867655.53,14159729.68,287054189.82,275684566.17,253218059.66,281797551.59,25207476.13,23306457.34,23711657.28,26450035.23,68077443.40,84165214.00,91981770.19,58168316.99,48086057.04,49434463.49,210649777.31,40916182.87,30419426.60,17403925.06,24654057.90,30002211.91,52100151.24,55949243.77,22934109.51,18534623.56,47837157.82,30955432.72,26750006.39,36999888.45,40043618.69,42258094.73,40419032.16,32370825.45,24324168.49,30354237.58,26547349.13,26509678.41,39936481.13,62681643.40,58394742.11,52533059.26,41225930.38,25244494.64,35559290.91,31588962.01,46959471.54,38605900.00,48945752.73,68848597.69,23205972.90,25679559.63,27033078.26,29966917.77,20733311.28,19876095.42,19065264.33,90221000.49,28166144.41,23086270.68,25371564.32,18126201.43,40471494.36,35934194.20,42773668.10,32599122.84,59065945.67,37126108.80,27708219.05,73584933.79,10413682.65,5509003.50,3315612.55,1897215.14,1084455.61,1352549.85,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,108193939.75,110550352.38,111606309.97,114890630.27,115112191.88,109998375.89,115713449.04,93531020.83,94428570.61,348639209.20,360149302.33,314149090.22,360994615.64,371521285.45,370158523.44,366288786.92,407213890.65,427896741.85,423135292.65,385969185.42,490343873.00,489976000.85,505695464.85,551997222.29,538159108.06,634582252.16,691535783.63,550886857.95,601676040.60,601441146.91,535089847.12,490253404.07,449604133.18,413192662.87,512848459.41,548348916.59,435604296.33,465216884.55,433172775.60,377627695.63,461385731.59,392598162.19,413477649.64,389317962.52,425508873.99,365681307.55,308624946.39,292332719.41,312097268.73,323003608.30,377143445.08,295700003.59,311412969.10,320827598.41,310935823.04,286085497.53,259927016.06,235707445.66,258880659.05,244407438.99,179907275.91,225092287.36,209197172.57,193582075.08,204796979.24,191201485.03,197590302.00,177390625.23,162742266.99,167406563.89,151566479.50,138283031.63,145170794.30,114149805.66,82189112.90,75709361.03,72286025.75,60106346.72,68070880.04,71881375.68,84441648.34,70014033.37,0.0
