,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,2438136821.55,1845606369.95,2334633937.06,2869510487.46,2068227081.86,2456100723.17,2504840665.71,3439801445.22,2809770306.29,2942039144.03,2232066200.27,2555416240.87,2858796547.55,2883962027.41,2875621237.26,2392516403.83,1943233697.40,3228863470.19,3003502814.97,3138215820.95,4283791944.32,3268409199.87,3346978524.30,2909708304.23,3717282022.61,5743761699.20,4074891082.96,3914334895.10,3385551282.16,3518087559.35,3152489248.40,3358921186.36,2097513024.02,2252110152.55,2822195000.92,1618354518.68,1124142211.41,1675771286.26,1741118901.53,676985990.98,910834336.22,1397624075.97,680293260.00,510272307.81,505309242.78,393635441.68,858063122.87,567880982.98,445779775.69,890199831.16,769697844.66,714755442.51,1339518103.43,522209589.65,310649899.23,190474379.91,322740340.63,215683378.63,452082594.25,442605131.05,357630333.91,306234554.82,388523743.15,425758006.52,253756138.04,223021204.82,367977712.36,252807958.00,175408055.89,184579665.54,215206889.31,254294591.03,331140915.16,271590788.29,1229143769.98,48900891.02,173690.51,18329033.26,0.0
3,交易性金融资产,1213233463.85,1345137924.81,1714490061.24,622892.96,788293.22,1057659.73,19407.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6298424.80,11018074.40,36990.00,30000.00,8500.00,92900.00,0,0,0,14352936.86,29721789.30,29383032.60,27426137.10,25344263.40,25604086.50,25640264.40,30428902.80,30478236.30,31325552.01,28837356.60,14393553.23,32124900.00,2602900.00,30746520.00,752520.00,752520.00,12338191.48,174170.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,540419209.95,577264413.50,512834620.92,548913304.56,439862305.64,417680559.62,410949944.38,430141880.03,0,364867659.45,0,410719693.90,0,294699754.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000.00,550000.00,320000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,540419209.95,577264413.50,512834620.92,548913304.56,439862305.64,417180559.62,410949944.38,430141880.03,414589850.03,364867659.45,409592288.64,410719693.90,357557538.56,294699754.92,210229087.60,182687222.65,545059744.03,535372388.72,440612400.12,485374596.62,427603375.07,448122696.53,468190439.89,416880177.67,234982380.11,359511519.37,241948078.26,280314159.98,259094586.66,282848748.16,245901013.61,334800530.87,240586570.51,300523967.22,184247566.52,258303475.63,119198605.75,218878232.79,277850009.94,218199878.65,167551659.29,139887768.20,148668434.67,160510006.17,126079003.63,110995050.99,61857912.23,91849059.56,87611310.64,74219938.85,115613108.91,90736736.36,77532692.24,60189172.55,46636117.01,50916626.06,22687470.00,18928610.00,22728478.30,16093503.00,21824317.00,10162930.00,0,0,0,0,0,0,0,0,155645.62,0,0,0,0,0,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,227331808.39,61267752.49,29493188.34,26942117.03,62086420.68,57081615.87,55730609.61,54919053.22,473042965.84,85232743.42,78007471.69,78270673.06,159349201.17,70917575.27,109172046.30,76481657.77,89278781.43,141281663.64,176331699.24,98804747.31,619959387.98,374951664.51,874913879.31,213273533.80,852668630.22,210104822.17,673817819.10,514649588.58,796412419.93,1236199816.86,800955518.30,926551462.65,955211889.96,1061047507.03,1027259656.30,799967098.86,415009488.42,412100291.94,278352779.16,137341415.47,308304579.88,302637524.40,262964932.50,200423723.41,147588161.31,99633158.32,43498598.45,19719407.91,98225554.17,54946435.61,34574214.77,31159579.46,59577285.53,19567920.41,41826672.04,22874083.20,49242361.46,97292635.11,87599633.52,111415473.34,37447302.42,30769326.04,17317970.25,4379189.72,22391528.70,5987015.26,3574540.38,5100023.00,8206565.81,366018.60,6932431.60,1212200.00,9517088.25,2000000.00,156297410.00,2800000.00,0,0,0.0
10,其他应收款(合计),115927654.71,105904930.17,96569289.70,113388181.86,72867006.02,74728915.30,79440282.03,69495690.61,0,75698026.77,0,66875147.48,0,74644255.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2804582.55,2818468.39,4644777.20,4644777.20,1675617.88,3741867.88,1851416.67,6047114.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585669.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
