,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,642858584.80,608352112.60,836020129.19,788977771.24,610693336.33,294679216.33,341907157.07,408295544.80,462781639.42,501529388.83,562714113.57,503325367.32,960564463.58,807056595.62,1045531076.38,1015027648.15,469655826.58,252550396.44,410919155.77,209001743.69,272800136.77,236126790.87,359746078.17,577700232.00,430188103.04,298972792.19,404799406.31,510501725.68,600879698.33,262696682.73,218310290.38,219281468.91,484434344.15,510016780.57,422566472.93,392684418.74,468769332.17,531323962.90,612149163.69,609538680.26,616824831.57,480181573.56,451307992.72,401758824.21,330596904.59,391728902.43,93841993.98,69306719.58,64055779.91,59587690.20,53262341.98,41262032.45,161496909.99,171639722.76,171668501.01,183958710.95,230996118.67,158036526.39,155780615.50,145316472.98,158333113.54,232625852.70,151043650.00,192010630.89,151349000.00,123253000.00,118781100.00,170307702.42,206069300.00,36815283.82,30671148.36,10268042.07,17895674.79,0.0
3,交易性金融资产,6706463.00,16482844.00,17599113.00,16693000.00,17663004.00,18708711.48,18323860.00,0,17070055.00,585720.00,18215334.84,5763234.00,14065130.00,0,18300602.80,0,11269600.00,6032155.00,10137798.00,785000.00,17778022.24,16959612.55,16361658.18,12690605.63,16532073.98,19981034.49,29716071.15,1695114.00,0,0,0,0,0,0,0,0,0,0,0,0,0,936400.00,850600.00,735700.00,734200.00,872900.00,0,0,0,0,0,0,0,152000.00,652000.00,2042944.91,2090954.91,2090954.91,2090954.91,2090954.91,2220010.00,2220010.00,2220010.00,200010.00,40200000.00,40000000.00,40000000.00,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,917120075.73,919950652.54,876886268.89,910337768.88,735171354.96,730272169.49,877760625.91,795724554.66,0,646915173.86,0,494454290.55,0,387654447.44,0,0,0,0,0,431173450.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,323739316.43,246985471.53,208203094.23,314158611.79,134501459.20,172642634.28,312634191.94,285985759.31,276950330.65,214657268.80,226880930.09,137754480.99,79022075.23,128448096.21,348411944.67,323185894.21,229155293.43,197933912.91,181505663.11,215333851.80,182865252.43,192537649.43,295946849.35,147184884.14,207290612.33,174733259.53,143497091.09,197052613.41,113566282.24,166658723.46,162071597.55,241744608.62,127023088.83,74967679.22,140178092.29,201611747.29,92049808.73,67318863.49,51440720.37,64075254.44,50450751.20,76979808.09,40468688.86,76735978.01,80192144.46,77127731.52,90068592.16,79831559.98,46585301.44,48496293.31,42074910.89,33792333.91,34339969.55,14367449.55,23945339.41,41077893.45,27201802.04,23194557.04,23762323.05,17439070.64,24650205.09,15527400.70,14193360.00,19795601.41,11643300.00,14919000.00,11687800.00,8079112.90,3768400.00,8045714.80,2701131.00,2133400.00,0,0.0
7,应收账款,593380759.30,672965181.01,668683174.66,596179157.09,600669895.76,557629535.21,565126433.97,509738795.35,458314258.12,432257905.06,392468010.15,356699809.56,255126754.11,259206351.23,266231301.94,227392193.93,360908391.39,298478167.49,247387995.55,215839599.03,235106010.28,217937146.24,236453962.51,182167362.34,132499236.37,157354676.03,195521630.91,106484888.87,170202221.86,159784099.26,151915509.75,108857405.87,131394325.52,95550089.61,89966258.73,74681021.00,149093132.51,139354240.99,100554910.97,76355499.14,129472503.44,110087278.37,97796667.29,62534099.19,111134199.53,101066424.96,91817098.82,83577744.52,102842293.58,107367513.55,120952784.96,95897686.45,100825993.54,88248681.56,102963400.64,93433609.84,121645213.94,108177505.98,113456470.99,90213704.73,105719485.91,106253161.12,118262680.00,93315641.93,89303200.00,78450000.00,68956300.00,59235860.07,64343200.00,54595913.31,46918731.46,43459821.43,45121951.02,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
