,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030630,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,513272464.79,724475236.71,682921290.57,566504181.15,512968426.37,586886743.89,462206346.35,499997913.58,415118122.68,353218002.12,278393028.05,343463455.46,169804946.79,195646212.24,184945575.38,302552931.69,169477686.20,203856696.46,484764410.97,522325564.63,322310737.76,314287738.41,300891198.83,340927852.37,368800603.30,397463283.49,278074484.36,358012544.33,246549212.68,239696890.01,326714821.40,528763271.09,195567987.54,242961622.78,395276394.81,411451033.65,255604402.69,320410544.53,285902357.83,491424484.25,236046787.01,309706044.46,111047357.05,206723131.96,84426265.85,110308075.02,172095266.03,264685646.77,141233505.13,126236061.59,182932919.85,222311656.91,85857631.11,136337362.04,80126515.94,162514461.59,70294565.93,97944968.11,102735901.40,148298181.45,101245712.58,120924061.60,120688022.33,224328664.25,40838001.43,109940821.07,75227659.42,49103433.83,0.0
3,交易性金融资产,3702121995.52,3280506800.40,1879989920.08,175827801.05,120570323.59,108701191.78,125479696.49,39747736.79,37078182.60,17434536.65,17484325.37,16617562.81,14305427.28,20394558.90,21045584.62,73378646.78,22728479.96,28863519.39,92646084.95,146515387.47,38546087.66,67981670.99,88288215.06,146569596.77,89528181.98,32320079.97,341921197.35,310275514.68,81949852.63,57544285.66,32188142.97,25164531.77,31015524.95,32716558.85,45471750.39,187904667.10,73082653.41,65107811.65,100380643.77,67437286.93,46594839.65,26749070.84,203341362.67,195213525.85,131569493.35,97156722.26,118583488.10,127682734.59,140938542.84,117222324.59,67475735.11,36368256.32,27226862.69,30734975.40,37610821.95,18934122.45,16997000.75,24197000.75,20940823.13,37494812.18,54038542.20,61400439.12,82544222.17,64667972.17,6843367.13,6546473.26,337140.00,288300.00,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,211214730.29,240896107.64,194978886.22,151694652.48,236195438.55,263684633.94,239917584.03,210016452.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150180309.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,543150.00,0,1000000.00,1000000.00,0,0,2550000.00,4550000.00,0,2000000.00,0.00,1510000.00,3199000.00,7089000.00,2700000.00,300000.00,2200000.00,1500000.00,4274800.00,8720000.00,14643571.96,5330000.00,1090000.00,5260000.00,0,0,0,1084500.00,0,394220.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82325.20,82325.20,82325.20,82325.20,0,0,0,0,0,1637480.00,89944.00,0,0,0,0,0,0.0
7,应收账款,211214730.29,240896107.64,194978886.22,151694652.48,236195438.55,263684633.94,239917584.03,209473302.03,282347471.14,256305307.40,275288865.16,261669090.39,318443146.78,288259261.46,242292304.84,220991365.93,313137958.95,288416573.94,206238155.19,165118086.72,222784262.81,235761933.09,205334978.99,152349301.70,181283407.62,148053030.89,141460309.73,94215061.67,214300361.87,217810628.66,191621676.05,167954594.96,182900343.53,155149248.69,134153797.44,84712262.96,139673281.73,117981043.72,80360731.00,70483280.50,101573903.53,83508100.21,63114190.25,46637075.85,78030902.87,86874089.59,70694166.58,41912337.47,77144571.89,74469401.44,40029688.71,28302307.37,45107177.71,47026730.45,34531652.55,26049570.21,58234347.66,61221033.67,55801501.12,54911566.12,65546363.88,56059894.35,51576815.18,38742583.83,40338774.28,26066332.95,20557149.70,26331487.76,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
