,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1105333756.90,934203731.24,876660621.90,999683899.26,1213286168.71,1077382112.88,1198865483.82,1018471492.31,1489953346.52,1058369950.44,1281438250.59,936671382.11,1247631385.97,843621410.35,927967430.34,907227704.45,1256445240.42,782976757.96,767456800.07,827430555.59,1020169238.29,694745104.59,796986320.59,638918216.08,714215716.18,559139854.69,623124800.89,675985223.39,713185962.33,636263241.23,814228996.92,307879038.75,349975721.28,350371504.77,366633513.19,232827265.46,316831864.23,308451654.62,237988105.14,235473902.39,188272396.60,219160456.18,169851920.04,168548352.77,159531296.28,142067548.47,166467766.78,150720930.07,199442211.27,174683852.18,284242918.12,131593633.07,114871058.53,103195647.43,111445534.43,88349568.30,74252614.30,41988281.75,57116551.69,96490121.29,135846509.80,66132100.78,83520713.64,63253705.45,89609526.45,82071103.06,131345502.36,170954366.55,209422680.92,209366744.42,18674001.33,33389988.33,9729687.58,11196762.53,0.0
3,交易性金融资产,41870354.48,44192443.34,45504807.70,43564790.82,37259735.96,35719134.32,38885926.58,45618926.34,47901299.14,0,8820.00,13680.00,14040.00,15900.00,16680.00,18660.00,25620.00,21360.00,58860.00,38100.00,18600.00,112080.00,1107600.00,110320.00,112240.00,18400.00,21040.00,21040.00,21040.00,31280.00,31280.00,12031280.00,31280.00,0,0,0,0,331120.00,0,181740.00,65200.00,0,1349900.00,244614.00,244614.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47489692.53,48489692.53,48489692.53,48489692.53,50000000.00,20000000.00,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1888167612.10,1846382982.32,1800757677.61,1873862489.05,2040987048.76,2046524157.63,2008179697.82,2029410577.59,2111347063.63,0,0,1951730434.99,1912730770.95,0,0,1893225212.64,1859104735.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,562637.50,0,0,38939670.82,32872959.41,30621568.74,26403420.39,49088777.13,112067807.73,30039552.30,39390343.11,37091333.00,63287936.02,30252779.37,53508280.50,26264503.31,69480172.08,37256479.77,49484299.13,53010666.57,119255527.73,48811231.94,106374778.62,53752616.96,63491025.92,59490141.77,71047149.96,82554330.35,17100496.65,7611048.24,35063986.49,32569085.47,13360722.44,24906693.71,40532018.72,57680635.57,37708680.77,33323682.44,48320937.98,40183982.56,14468857.83,4798387.30,20992653.10,13868719.18,3314721.58,3979715.65,10185977.87,10953104.20,3618400.00,943120.00,4349656.57,557500.00,16503041.04,155000.00,40000.00,10000.00,61002.40,61002.40,20000.00,30348.07,76500.00,0,0,0,2886455.36,1000000.00,1000000.00,2154600.00,847000.00,2256000.00,0,0,0,0,0.0
7,应收账款,1887604974.60,1846382982.32,1800757677.61,1834922818.23,2008114089.35,2015902588.89,1981776277.43,1980321800.46,1999279255.90,1969298056.70,1892347348.66,1914639101.99,1849442834.93,1856048063.67,1896946812.05,1866960709.33,1789624562.94,1871808397.92,1703588949.70,1716864623.56,1523372938.14,1210447756.57,1105357776.81,1087889043.56,952101560.50,720843494.11,662853594.66,598471060.63,561801042.71,528147806.33,488538994.48,500097783.49,418381268.21,396915109.02,379571662.13,331440817.04,276929966.65,266446896.67,222834765.39,215071951.91,186278875.68,199488130.16,185828346.45,184677228.23,182289420.35,205600912.67,184056642.55,182235465.69,177569965.90,185452192.90,189868328.22,168337404.96,170886927.59,186015972.92,180205147.35,182005735.60,172179640.56,182481515.86,171994029.82,157957942.82,128632523.75,127088111.49,117647729.74,103580933.36,95079582.63,97349731.04,102518165.69,80498448.56,75129914.70,73569288.72,69126739.79,46201368.30,34660365.35,17340558.86,0.0
8,应收款项融资,40516946.52,19002177.20,31625862.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,173392962.96,273726865.84,250850284.44,247419439.98,395278677.06,542533978.79,490919390.68,493014422.17,358291564.03,382750766.04,418098348.79,407178266.03,315456550.09,374621402.45,340587677.90,413379000.14,216553883.22,450341894.71,352433179.61,160110599.92,113929924.83,237232121.41,343185056.71,312170271.70,286081384.36,346067320.80,245154063.36,217526757.16,163182970.03,160664276.03,125051534.12,101297887.04,93913631.90,65358459.82,42665541.59,46549983.60,34194425.14,28988290.57,23617566.71,28556840.44,18272640.21,50230246.80,52852321.81,33166361.54,16766801.32,56529009.09,51947011.63,46081360.74,24620905.91,39778646.34,38021223.03,26888979.19,16036839.60,24877707.04,22209626.81,23788651.14,17742907.28,18462547.56,12365059.44,13599345.71,18892945.03,18547802.82,23864622.69,18650010.18,13442836.37,16607026.83,11670435.68,8778435.72,5811733.26,13664395.47,7206739.37,6170727.95,3635961.26,6521828.64,0.0
10,其他应收款(合计),202086815.89,251477698.82,228457700.88,234487109.60,184153233.94,247896881.77,221317007.24,213310475.14,158422686.96,0,0,225139073.09,182024967.17,0,0,220878086.83,177832861.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,12083.33,0,0,0,0,0,0,0,5875100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,5000000.00,0,0,9280000.00,9280000.00,0,0,0,0,0,0,0,0,0,0,0,421400.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82465.58,425730.64,425730.64,0,0,0.0
13,其他应收款,197086815.89,0,228457700.88,0,174873233.94,247896881.77,221317007.24,213310475.14,158422686.96,313466645.92,245505632.76,225139073.09,182012883.84,244894187.76,225117810.58,220878086.83,177411461.58,263529310.68,157988975.28,178896340.17,104078309.66,147844108.63,177971472.95,142768453.76,97563274.06,81786639.75,79090828.43,69844791.40,63023677.45,98276833.29,110511601.23,73268680.01,54867104.13,68727952.56,71954236.35,64317422.90,41012339.42,50550438.37,67399733.49,29362442.26,29323750.64,32793452.74,37335585.31,43619694.51,43603121.15,57043837.56,62821262.40,59050705.17,54783659.58,51809205.03,43876481.64,30121492.08,35697106.27,39519562.53,36191446.13,31509665.38,34951750.28,39068236.97,31979612.67,27803083.61,21479111.33,20394531.02,17036975.81,15789335.09,10447843.95,13949796.98,9313803.87,7371051.60,6911434.18,24854784.91,21331806.82,14477104.99,8318492.13,4237840.24,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,2152641016.49,2455875685.88,2386306369.81,2288712885.36,2746796907.80,3175222600.87,2918770186.50,2914841863.70,2720066736.88,2970794485.69,2958539262.73,2839257832.49,2712740384.70,2703225841.39,2589921695.45,2450385502.00,2308949106.46,2351495128.85,2227501790.87,2187364066.59,2057136536.96,2032829684.70,1781287718.29,1799238555.37,1518998402.38,1277997464.03,1088799087.85,1017650135.21,904275241.39,759034149.41,609078296.11,536923188.06,509880479.44,512651029.41,498006447.93,435761180.25,403777004.51,340950270.17,276914967.47,275399277.11,275489035.06,285218028.29,276701573.98,271249305.36,288215355.50,264812606.29,263157454.97,256587537.19,242126024.08,223388756.97,203519799.24,209407431.17,201650461.48,217781888.61,213804763.35,224552394.41,195637763.23,183435022.70,179371159.36,176807831.88,165549363.69,159694996.27,132556916.63,123829947.86,124578054.16,107112195.43,102311696.40,95092141.39,100386437.66,91026306.21,76796039.46,69234374.94,44450381.34,20368262.88,0.0
