,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,556488149.42,672900295.57,874222846.79,1077671397.20,1329122883.48,1999204186.18,2092069356.75,2193634411.01,2778239977.89,1573988069.99,982647997.93,1049185516.40,1182965236.80,2181729466.27,911199614.58,800785578.94,331852714.51,589193801.27,163176282.88,97599131.70,117388963.54,99244792.57,104249048.61,101544634.26,112272369.92,51207201.06,95027672.57,85951942.93,62981904.85,55464123.51,54609517.42,54515685.79,64287135.06,41553858.75,37718385.27,40187734.50,48205559.55,43753561.76,51087353.46,44183611.14,32245636.39,27054460.66,14848237.69,13064997.35,23646560.80,20968141.27,14360958.11,14434809.13,36283370.07,25690565.21,35639673.39,34417331.20,28754292.41,11760845.16,14374091.19,10560140.36,28998177.39,25953082.61,26313040.49,23801088.92,35655652.31,33687966.15,29577139.60,47248666.78,31609534.22,33425458.84,70302203.68,21283592.83,63792328.37,70247708.31,69105760.85,68978159.30,88717236.58,123933971.16,46206533.67,20035654.61,23573954.89,12744176.61,8801639.71,12490349.75,0,5290509.90,0,15496436.61,0,25836000.00,0,8674407.96,25602457.55,0,0,0.0
3,交易性金融资产,0,0,0,3182707.12,3336280.12,3155290.14,0,3285552.39,5118662.00,2743201.98,0,0,14451017.16,35080475.99,0,568790.10,0,0,0,0,0,0,0,0,0,15000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22807307.65,0,0,0,0,0,0,0,0,40000000.00,20000000.00,20000000.00,0,0,6585345.50,0,24714634.36,0,50000000.00,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,593562635.22,604190627.57,666737776.12,623109029.32,1264198085.38,1240191942.18,1150887238.93,834137454.78,0,788869465.45,0,585862089.73,0,453813365.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,450000.00,720000.00,36773272.46,487438.00,3490543.00,9463464.06,11733845.01,23969625.40,40660928.18,45750464.88,31545445.03,27643802.94,20670920.96,21900969.20,18558391.82,44619855.48,5001199.70,5575611.40,5326213.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500000.00,2637500.00,5137500.00,8955160.00,4600000.00,100000.00,100000.00,4765000.00,3362440.00,1223300.00,2954170.00,2638992.00,0,0,900000.00,900000.00,1970000.00,745000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,593112635.22,603470627.57,629964503.66,622621591.32,1260707542.38,1230728478.12,1139153393.92,810167829.38,850081708.19,743119000.57,798671985.96,558218286.79,365835935.03,431912396.26,237065676.35,173639198.64,286593323.59,297984439.21,226218251.15,2928021.46,1550590.69,182631.41,182631.41,3703908.81,2484515.41,182631.41,182631.41,3772856.31,9399687.69,1803026.49,1492309.09,4957821.49,4046050.49,586026.49,586026.49,3747654.49,4412714.65,469575.89,542527.09,7038960.11,6337725.57,1517877.68,1178231.59,3548571.69,11390908.58,2100433.48,2020247.80,2671541.50,6485251.25,2282956.39,3191611.06,2982577.30,3684411.18,1991427.88,2941496.03,2641324.09,37783094.09,34651973.66,32108800.58,23486255.23,35091126.51,37188309.79,38177388.79,29431572.54,36196567.70,33112339.99,33973698.55,31977149.23,34105907.15,39387776.37,39143272.29,33848467.41,44584514.64,33155951.15,36290787.03,37891117.55,37264743.51,2703766.28,5275565.71,1556382.97,0,520253.75,0,430732.98,0,0,0,432511.11,226578.85,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
