,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,3471962348.61,3004886034.22,3075784001.57,3147144692.64,2657730159.02,2718255029.38,2948275343.43,2859618816.05,2084438515.58,2283222441.52,2562833942.89,3695542533.69,3648136454.05,3906111161.09,4544733442.02,3905494305.14,3604352512.30,3765617280.34,3770408078.35,3879972826.72,4673935550.69,4197584886.38,4519398039.75,4817948140.51,4746927244.72,4879000819.35,5019275681.84,5263934482.79,5584011613.94,5338923397.85,4945116252.50,5925790429.05,6013397835.64,5876680454.56,5891904099.54,6642099817.34,6961812049.95,6489131094.92,6954258379.50,7096800256.53,7606748866.23,7290538559.23,7886248796.81,9465742881.13,9713652243.99,9799854451.31,9321973261.53,1316287496.81,1300154669.89,1795638707.50,2508422307.00,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401972602.74,402843630.14,503502684.93,504946726.03,508305410.96,455097123.30,230000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,459710607.57,965778168.51,1592892330.60,1112585784.75,1600202676.69,1775676222.76,1603550659.26,1477075747.82,1244124808.50,0,917322967.51,0,945126936.35,0,662063363.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,166334169.21,430427293.46,989905794.58,627348985.28,1201768497.58,1335995270.95,1087774833.91,904249439.34,898606302.18,589498947.91,511167389.65,586748491.06,462502765.30,337854395.98,281764602.76,380817809.72,588545398.90,433524948.53,519734417.10,437378061.77,472582479.57,527445264.75,496162347.27,317140924.43,503576561.94,481209837.52,426650806.30,374288076.00,601953901.63,634996586.48,783634786.82,680031126.42,828715415.16,837785904.35,538305228.39,447028989.35,348656845.67,283305319.56,326232093.51,465006611.25,421216350.54,326209939.39,146059951.33,93268733.94,176054786.79,186957143.51,184708871.32,117043115.40,58734477.04,55066626.56,22398823.33,0.0
7,应收账款,293376438.36,535350875.05,602986536.02,485236799.47,398434179.11,439680951.81,515775825.35,572826308.48,345518506.32,464260262.61,406155577.86,470021097.00,482624171.05,414929602.73,380298760.42,423931987.18,386764311.59,476555416.11,577631435.05,535411261.35,514020120.00,561222504.09,495782456.97,475540546.79,460585214.51,451471731.09,491753498.12,585574388.99,340891446.34,315877788.32,501021557.57,422924813.80,356999853.06,433770874.06,386776916.56,383692828.01,335988953.97,420333349.88,372894558.67,438440951.79,280264486.08,384155854.80,552266493.71,165620819.82,159511555.54,571684175.09,555416931.13,778834640.81,447500102.19,316962446.33,187188671.73,0.0
8,应收款项融资,546230004.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,44289442.39,510791790.26,391460879.96,385674909.29,50048269.00,413382164.78,245741475.27,432013136.56,78236828.69,610587186.34,445706181.12,426715354.92,236989138.71,431266102.89,370966176.39,480583432.31,1027858139.07,451713241.89,456053947.02,439815065.22,368636669.75,464790680.52,430914255.68,540636278.44,416944038.34,380833350.79,341256069.85,387149242.76,292361799.57,669828888.97,532779974.90,588865323.42,423894900.18,585239790.34,323628897.93,508343292.54,542835637.17,614906492.36,574417605.13,867640177.07,470133876.31,1084585156.52,521222367.18,199949977.90,139105290.56,124172414.31,107102680.35,72702150.06,52315747.77,91527060.66,125762844.25,0.0
10,其他应收款(合计),14869234.97,45123112.57,35165920.12,32605576.71,44632462.06,56688547.22,54475312.17,36272528.52,27849639.15,0,31531675.67,0,28294246.37,0,51266217.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,23551429.50,17956520.11,16357206.57,31960549.31,35514649.31,39178453.42,20480435.62,17408668.49,17479193.15,17955189.14,19240187.21,16800564.13,16982199.51,39696762.29,33932536.71,36714402.00,29497762.99,54612493.13,46348416.42,48218066.20,33925955.59,56966532.77,59029668.09,68938536.69,53168088.51,75877451.26,65178019.58,81845263.66,62948473.77,58720955.74,80965406.48,64924858.19,65073303.02,39826427.99,52014953.25,59781742.62,71739392.80,45092884.58,59863062.32,59236828.08,65879020.55,43925372.61,92319232.20,88862041.10,69627500.00,0,3348000.00,10253250.00,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
