,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20151231,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,
2,货币资金,123571536.75,125563902.60,107797351.93,57769942.35,78303308.45,60950704.12,17128272.22,80554156.01,7083723.31,31442330.62,24447785.70,21517828.30,36093433.91,12464189.55,37379196.84,59602331.10,27886178.46,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,199640579.64,213541788.02,189704824.49,225536056.55,160060742.49,153898836.56,146577461.09,131506024.03,0,74296709.98,29572431.62,29554876.20,0,0,0,0,0,0.0
6,应收票据,100401646.58,106346891.86,126408891.17,156235252.78,106210512.92,119924960.04,93429089.60,77911073.37,44472207.53,48789755.95,17898309.25,19261306.28,7108294.40,5820000.00,23711208.77,39132214.42,26550000.00,0.0
7,应收账款,99238933.06,107194896.16,63295933.32,69300803.77,53850229.57,33973876.52,53148371.49,53594950.66,37989637.03,25506954.03,11674122.37,10293569.92,13487039.01,11525252.79,29375914.64,17545515.71,459085.88,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,10779422.20,10353609.82,11408705.95,3038204.90,7955694.83,17388259.12,7981402.24,6462166.41,23808540.39,15221963.74,21275372.85,25508566.26,38011663.00,10847498.68,3712511.27,817970.34,3807912.22,0.0
10,其他应收款(合计),8814112.43,13870757.88,14042766.54,13594350.06,14431495.39,14244568.52,15042034.87,20669374.96,0,13062479.85,13225855.54,13229494.19,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,13870757.88,0,13594350.06,14431495.39,14244568.52,15042034.87,20669374.96,13157939.13,13062479.85,13225855.54,13229494.19,10854046.78,8690817.68,10101155.87,5443378.74,3999335.69,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,107219529.59,80211020.24,80791501.81,71800992.05,78957458.01,74059983.83,73441290.53,45024092.48,37806056.86,25203879.84,25446200.46,21485123.62,25580091.82,26408676.10,22382993.29,8183191.72,15633616.48,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,4675927.37,5180886.76,2720616.30,3221700.70,8038660.54,9728161.06,11520176.83,11381692.80,9728875.96,8634180.51,7175817.81,9135533.70,6233983.98,4181855.70,2044677.93,6763607.49,4399013.18,0.0
