,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,991074158.16,747367766.57,761286057.77,551315625.24,1169924940.38,510095749.73,532216477.39,468298190.47,833960914.51,237619056.47,321380549.04,343556254.08,562464393.83,291517177.39,362383063.44,307196738.84,480345418.71,329416411.49,288173319.33,304858354.04,431608284.82,388898530.72,219462328.17,234463583.85,211037439.63,183628314.03,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,10835975.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1172681418.79,1594887985.15,1303581962.18,1036676142.26,888641250.51,933979103.87,1040234394.94,917362956.31,624279126.42,0,716185677.92,617285293.93,524537733.09,0,552673946.90,562250433.25,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,763930.79,37918685.47,21561366.81,44370812.04,93909567.12,0,70566966.20,95128291.55,70302004.67,21505234.31,40664426.57,13070861.05,32511504.03,24866150.93,15751929.84,16300410.87,26193710.07,73147813.23,44512753.58,55536449.13,70195771.85,20925827.90,26616937.36,31136508.26,3451568.22,2000000.00,0.0
7,应收账款,1171917488.00,1556969299.68,1282020595.37,992305330.22,794731683.39,0,969667428.74,822234664.76,553977121.75,874156405.20,675521251.35,604214432.88,492026229.06,662331726.02,536922017.06,545950022.38,407388723.42,640549339.66,522086048.09,514968305.51,399414616.84,521469666.42,413769975.68,396190519.65,369230541.42,310051444.37,0.0
8,应收款项融资,53010511.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,65351878.83,42987150.33,35703454.23,48787492.84,40337596.59,92959684.44,77597825.47,80168747.12,71993563.57,40325489.52,58376419.99,45272565.82,8493764.37,29131358.91,8353841.85,5748327.57,7366118.88,3448135.43,9162330.88,8137426.42,2774238.66,9227583.30,10141308.28,13083476.28,12773611.94,1723119.96,0.0
10,其他应收款(合计),41101401.21,82919445.32,54719126.50,56901070.51,72097303.03,40962040.83,31836356.52,31035225.54,23302214.87,0,43959521.68,40666982.86,31762075.90,0,34559778.00,19769364.17,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,41101401.21,0,54719126.50,0,72097303.03,40962040.83,31836356.52,31035225.54,23302214.87,34752707.80,43959521.68,40666982.86,31762075.90,35301891.00,34559778.00,19769364.17,10610856.51,37865544.48,28369302.95,39828763.20,12114907.45,14883037.65,14670689.89,12141686.99,10315090.81,10081464.31,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,624838292.55,629428992.87,623843697.81,578446944.96,544694026.00,670971346.47,697066625.90,699057848.15,701551278.39,588705437.71,466497443.24,429941070.19,392819140.40,417961074.27,406916703.49,409241964.58,406664542.23,413119445.81,434316307.12,391567924.62,364175535.42,377321254.58,353877950.78,339481689.41,303451607.87,247832380.95,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,5259049.96,8110809.29,3307218.74,1566861.31,2650205.53,153171541.90,179748068.52,174197340.28,63313943.27,153728.03,506195.53,678918.04,1636913.36,0,0,0,2047326.87,0,30000000.00,30010470.00,10470.00,0,2998.10,0,21139.95,75000.00,0.0
21,流动资产合计,2964152685.62,3105702149.53,2782441517.23,2273694137.12,2718345322.04,2402139467.24,2558699748.74,2370120307.87,2318401041.03,1797218059.04,1606905807.40,1477401084.92,1521714020.95,1461109378.52,1364887333.68,1304206828.41,1340616696.69,1497546690.10,1356620061.95,1344907692.92,1280293825.04,1332725900.57,1038542188.26,1026497464.44,910280999.84,755391723.62,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0,0,2563691.38,2645879.26,2946918.54,2946918.54,2946918.54,2946918.54,3000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),189511315.69,55859265.35,71397527.96,70027845.38,55536338.64,42453094.68,63524645.30,102381303.90,103817440.01,0,38856770.12,51184666.37,49715439.37,0,6871673.42,1161110.37,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,189511315.69,0,71397527.96,0,55536338.64,42453094.68,63524645.30,102381303.90,103817440.01,39983993.35,38856770.12,51184666.37,49715439.37,14572474.65,6871673.42,1161110.37,3096860.67,11470704.65,4279012.70,1145542.46,2313861.49,458357.70,1812826.44,5142799.89,9438542.99,158194576.61,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),466284529.28,474538370.22,458568849.44,468841530.20,477804026.46,465349571.16,451491974.11,376281635.57,367469558.77,0,324004009.26,317663328.95,332726049.55,0,322445177.32,328225094.04,0,0,0,0,0,0,0,0,0,0,0.0
