,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20150930,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,242029935.53,175869465.51,246881804.50,207977463.23,369414243.64,140847029.74,134090699.41,46427214.64,102869209.41,68663685.84,146364894.99,168046476.13,137136470.02,133113363.17,127982022.09,125902880.86,76747803.50,169550040.58,166093301.49,176700460.82,134342441.94,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,377314127.82,252246914.27,196214739.99,226820601.17,138933860.89,115785947.94,99708093.43,91942857.70,61754987.93,0,73834614.77,0,73050656.66,0,88568878.41,0,0,0,0,0,0,0.0
6,应收票据,81931256.96,46091729.36,19635803.10,21113170.68,23030101.80,0,10494444.99,6810198.10,7118418.08,6450342.19,15004522.86,11213944.89,18900264.75,7054887.78,9740616.50,10700000.00,7352907.58,7184447.14,14332917.77,3141960.58,3759597.05,0.0
7,应收账款,295382870.86,206155184.91,176578936.89,205707430.49,115903759.09,0,89213648.44,85132659.60,54636569.85,73744146.62,58830091.91,84982882.44,54150391.91,87175348.16,78828261.91,43337259.03,60614677.61,35603088.34,31297273.86,27583877.91,15009540.72,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,22899206.77,23566078.82,23247369.09,20937269.33,18404250.11,25719831.33,15475806.80,12649778.02,9999159.47,12299125.26,10483931.53,11492172.81,8619646.53,1672323.58,6626519.98,4065943.87,3751074.52,7984852.11,9340202.91,6495579.03,26621569.91,0.0
10,其他应收款(合计),28159283.63,21003224.81,19325404.67,35207062.78,28270492.33,26674527.26,8474524.86,12443206.90,6027945.24,0,8003456.20,0,4482462.71,0,4423550.62,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,192000.00,192000.00,192000.00,192000.00,192000.00,192000.00,192000.00,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,28159283.63,0,19325404.67,0,28270492.33,26674527.26,8474524.86,12443206.90,5835945.24,8962675.38,7811456.20,9806444.84,4290462.71,11259938.39,4231550.62,3722532.11,5480340.63,1403819.46,729949.81,2526754.67,4214050.72,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,183439392.33,121739710.29,129677598.41,123657601.51,104206833.09,88695483.55,52334932.66,50626581.75,46906451.88,43266669.28,39620262.66,38431676.38,35642870.25,33792739.55,34107510.59,34484053.20,38694589.00,35931907.47,33907067.07,40419038.88,42453628.59,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,166656744.41,163576522.24,184801023.76,213836574.74,319350948.51,249763162.18,148258873.58,238307500.75,168449109.10,115758005.90,143835337.79,138771707.45,233338401.78,0,2818380.58,1647097.78,207110.71,1044364.68,0,0,0,0.0
21,流动资产合计,1020498690.49,758001915.94,800147940.42,828436572.76,978580628.57,647485982.00,458342930.74,452397139.76,396006863.03,329336650.47,422142497.94,462937304.94,492270507.95,274260600.63,264526862.27,223859766.85,192848503.55,258702519.78,255700712.91,256867671.89,226400828.93,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,9778232.31,7933776.71,6645424.22,7677489.21,7644143.02,4428729.16,4814301.92,5354709.61,5297763.17,5007091.77,3833490.31,2943353.29,2740853.29,3055923.05,2755923.05,2747862.18,2649877.28,2679145.06,2718124.84,0,2427521.91,0.0
28,投资性房地产,26411340.42,0,0,0,0,0,0,0,0,3003451.92,3028619.40,3006093.50,3030886.37,2154062.73,2171531.34,781412.70,802277.10,0,0,0,0,0.0
29,在建工程(合计),75636217.34,36869965.41,33724330.93,29485437.17,116351176.34,91145916.84,83015176.81,3005544.34,1607028.41,0,18675915.17,0,17422565.36,0,66989113.99,0,0,0,0,0,0,0.0
30,在建工程,75496664.81,0,33724330.93,0,116351176.34,91145916.84,83015176.81,3005544.34,1607028.41,18893818.76,18675915.17,21878199.63,17422565.36,55600535.58,66989113.99,94533330.05,153901103.34,123686507.20,35778954.22,5504937.37,6555602.49,0.0
31,工程物资,139552.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),915713689.38,939225157.18,946805258.00,958794169.49,869868466.15,671021514.14,656002985.32,660823026.61,666590123.97,0,518100029.61,0,514661286.16,0,440786747.15,0,0,0,0,0,0,0.0
33,固定资产净额,863948442.81,0,899085892.49,0,826707665.20,671021514.14,614753761.89,614755966.75,621700893.77,594184172.58,477374102.22,471228063.98,475105622.58,397547745.56,404286523.06,342489207.99,229321028.11,182825332.18,172746529.82,171382341.13,172916278.42,0.0
34,固定资产清理,51765246.57,0,47719365.51,0,43160800.95,0,41249223.43,46067059.86,44889230.20,41319015.64,40725927.39,40121443.93,39555663.58,39511523.34,36500224.09,30096112.13,14161997.01,0,0,0,0,0.0
