,报表日期,20190930,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,流动资产,,,,,,
2,货币资金,61068552.58,66892692.88,102550942.69,77906803.80,80787365.85,0.0
3,交易性金融资产,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0.0
5,应收票据及应收账款,76675573.61,80328917.30,58238581.85,47113140.07,38880390.94,0.0
6,应收票据,0,0,0,0,0,0.0
7,应收账款,76675573.61,80328917.30,58238581.85,47113140.07,38880390.94,0.0
8,应收款项融资,0,0,0,0,0,0.0
9,预付款项,2818165.32,1537209.11,2360737.56,2900244.68,1706361.33,0.0
10,其他应收款(合计),2307815.71,2345177.46,4292372.13,1899105.92,2148770.05,0.0
11,应收利息,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0.0
13,其他应收款,2307815.71,2345177.46,4292372.13,1899105.92,2148770.05,0.0
14,买入返售金融资产,0,0,0,0,0,0.0
15,存货,72368945.72,71371758.05,75534148.60,49381917.76,45202400.97,0.0
16,划分为持有待售的资产,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0.0
20,其他流动资产,1292309.98,1094138.52,741535.88,531628.80,125548.21,0.0
21,流动资产合计,216531362.92,223569893.32,243718318.71,179732841.03,168850837.35,0.0
22,非流动资产,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0.0
28,投资性房地产,23418895.62,23775861.69,24489793.81,25928354.98,27184321.23,0.0
29,在建工程(合计),2484428.39,1555903.04,26724.13,1314379.48,0,0.0
30,在建工程,2484428.39,1555903.04,26724.13,1314379.48,0,0.0
31,工程物资,0,0,0,0,0,0.0
32,固定资产及清理(合计),49524002.26,47611984.61,48158299.82,30032752.28,29102770.74,0.0
33,固定资产净额,49524002.26,47611984.61,48158299.82,30032752.28,29102770.74,0.0
34,固定资产清理,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0.0
39,无形资产,9767581.74,9646595.48,9825142.88,9993049.04,10427877.64,0.0
40,开发支出,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0.0
42,长期待摊费用,4387407.35,4571776.57,4395210.55,2778264.91,1434833.35,0.0
43,递延所得税资产,3582111.09,3326042.91,4107085.43,2509949.49,3455642.34,0.0
44,其他非流动资产,5669937.45,4181059.03,2927121.58,7028586.92,541850.26,0.0
45,非流动资产合计,98834363.90,94669223.33,93929378.20,79585337.10,72147295.56,0.0
46,资产总计,315365726.82,318239116.65,337647696.91,259318178.13,240998132.91,0.0
47,流动负债,,,,,,
48,短期借款,20407854.36,50607854.36,50000000.00,56000000.00,76000000.00,0.0
49,交易性金融负债,0,0,0,0,0,0.0
50,应付票据及应付账款,32380031.21,34527801.38,48602507.64,47015582.67,39767951.66,0.0
51,应付票据,0,0,0,0,0,0.0
52,应付账款,32380031.21,34527801.38,48602507.64,47015582.67,39767951.66,0.0
53,预收款项,3737523.23,3799418.56,4634795.29,3754997.91,2887012.53,0.0
54,应付手续费及佣金,0,0,0,0,0,0.0
55,应付职工薪酬,8591269.94,6846101.53,7337946.25,5966269.25,5036216.52,0.0
56,应交税费,7621281.06,5861588.63,9664333.48,3252527.56,7995396.97,0.0
57,其他应付款(合计),800433.64,926831.44,1022281.02,513708.92,5396612.13,0.0
58,应付利息,31984.97,68344.14,61172.22,89320.00,113567.40,0.0
59,应付股利,0,0,0,0,0,0.0
60,其他应付款,768448.67,858487.30,961108.80,424388.92,5283044.73,0.0
61,预提费用,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0.0
66,流动负债合计,73538393.44,102569595.90,121261863.68,116503086.31,137083189.81,0.0
67,非流动负债,,,,,,
68,长期借款,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0.0
76,递延所得税负债,0,0,0,0,0,0.0
77,长期递延收益,9424925.89,8106604.63,8356076.11,4698379.93,5197843.75,0.0
78,其他非流动负债,0,0,0,0,0,0.0
79,非流动负债合计,9424925.89,8106604.63,8356076.11,4698379.93,5197843.75,0.0
80,负债合计,82963319.33,110676200.53,129617939.79,121201466.24,142281033.56,0.0
81,所有者权益,,,,,,
82,实收资本(或股本),90000000.00,90000000.00,90000000.00,90000000.00,86527500.63,0.0
83,资本公积,28394549.85,28394549.85,28394549.85,27531086.64,24117117.59,0.0
84,减：库存股,0,0,0,0,0,0.0
85,其他综合收益,1546787.40,662397.07,809890.78,-502153.10,-696031.35,0.0
86,专项储备,0,0,0,0,0,0.0
87,盈余公积,9483407.65,9483407.65,9483407.65,2787753.26,1181522.97,0.0
88,一般风险准备,0,0,0,0,0,0.0
89,未分配利润,99199001.89,74060757.55,72346064.74,13672164.09,-12413010.49,0.0
90,归属于母公司股东权益合计,228623746.79,202601112.12,201033913.02,133488850.89,98717099.35,0.0
91,少数股东权益,3778660.70,4961804.00,6995844.10,4627861.00,0,0.0
92,所有者权益(或股东权益)合计,232402407.49,207562916.12,208029757.12,138116711.89,98717099.35,0.0
