,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1481043405.65,1010607831.84,451463711.98,2084351820.13,1408613637.80,877357838.77,362647156.03,1439767556.92,895608028.08,543395969.52,199067594.91,796784233.56,451064905.09,257951240.72,99902827.52,183010996.82,147012363.10,99236612.79,41209120.37,188893676.61,130719152.67,106132316.90,27604930.36,132143240.13,128570706.15,79872246.02,30334924.07,98777061.46,79525737.74,53871848.62,31938860.30,192493541.47,126471801.81,81996586.10,31157954.13,172443761.99,114272932.95,69405877.15,26536824.53,181965756.89,121621365.28,75941517.32,32491905.71,169148273.14,114073979.83,79894060.01,29164212.91,145421060.40,86376695.56,58432980.84,23955109.81,134753255.47,88587228.66,56791514.19,21963021.45,137008225.55,100538270.42,61785356.18,23028944.32,139753523.94,101077845.74,65515253.60,30131533.87,161642118.82,113900695.01,73299167.32,30729546.46,177211035.16,91136708.86,154902472.69,188309182.80,514709585.97,98246748.79,181137909.41,141735800.23,188545470.00,67845655.95,0.0
3,收到的税费返还,0,0,0,0,0,53200.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95629.60,0,0,0,360874.30,0,0,0,0,0,0,0,0,0,9704.82,0,0,0,0,0,0,16070000.00,16070000.00,8000000.00,0,11600000.00,0,0,11154500.80,10233615.31,2633254.66,24207986.78,18796311.55,14737758.58,0.0
4,收到的其他与经营活动有关的现金,196873371.51,68665069.50,53465287.21,58820563.96,391208395.05,197846993.50,62798793.38,8425280.57,123296960.32,26778508.51,7293443.49,144685580.54,85591319.03,16931769.90,13840559.28,7419243.58,9098109.87,6925081.38,226658.82,79479406.56,131838244.32,96894337.03,78876270.28,167194010.20,77658067.77,20420201.21,42255272.77,72215564.94,20895815.22,4178404.21,1486816.43,17185726.17,19704092.40,4548048.77,3640173.47,32128332.89,22885545.39,6846630.54,3352446.33,61668266.94,53395854.29,45442348.73,40258043.57,32671725.05,17435354.53,15271310.65,13014868.02,15977075.03,20823021.33,29242831.21,4866975.02,4720905.74,6820210.44,2385433.94,3939940.04,162320825.13,75729916.46,31704486.68,43854221.94,35835688.06,40161268.59,33035646.06,40159415.53,92646377.99,70080187.47,26074900.22,18866495.33,137708350.69,43440568.26,126146385.14,1514418.67,11854612.64,0,1610285.31,380259.19,25719784.05,13758218.71,0.0
5,经营活动现金流入小计,1677916777.16,1079272901.34,504928999.19,2143172384.09,1799822032.85,1075258032.27,425445949.41,1448192837.49,1018904988.40,570174478.03,206361038.40,941469814.10,536656224.12,274883010.62,113743386.80,190430240.40,156110472.97,106161694.17,41435779.19,268373083.17,262557396.99,203026653.93,106481200.64,299337250.33,206228773.92,100292447.23,72590196.84,170992626.40,100421552.96,58050252.83,33425676.73,209679267.64,146175894.21,86544634.87,34798127.60,204572094.88,137158478.34,76252507.69,29889270.86,243634023.83,175017219.57,121383866.05,72749949.28,201915627.79,131509334.36,95165370.66,42179080.93,161759009.73,107199716.89,87675812.05,28822084.83,139474161.21,95407439.10,59176948.13,25902961.49,299329050.68,176268186.88,93499547.68,66883166.26,175589212.00,141239114.33,98550899.66,70290949.40,254288496.81,200050882.48,115444067.54,57596041.79,314919385.85,146177277.12,281048857.83,189823601.47,537718699.41,108480364.10,185381449.38,166324046.20,233061565.60,96341633.24,0.0
6,购买商品、接受劳务支付的现金,255018075.77,150847274.93,108113714.32,294480662.55,249949000.54,135117819.43,58965926.93,329262408.82,220844007.22,142000642.38,77887639.16,241115272.72,200110232.38,113964610.68,36228259.23,80993909.62,58527205.13,41018258.89,18182709.52,76582756.40,58443278.70,36303875.16,14790783.06,70366713.36,52857315.74,33028816.94,18570411.93,51629506.37,35105374.25,26283649.31,10502387.71,69965904.32,52222449.23,35842512.64,18319458.72,53129161.33,48101856.79,28675585.67,13435560.89,56723974.70,44957989.73,26266177.17,10248330.81,64112755.57,42010341.62,27904262.49,10579523.32,49916605.77,39474860.84,34005522.65,3355836.90,81326573.80,48903747.34,32022751.35,3295049.96,66566766.10,47779866.66,28647402.55,10191517.05,28354027.51,36527635.95,23506144.59,6556106.89,51429408.66,29975306.83,17907094.37,7758692.84,67129710.74,13606787.97,38661406.74,77425663.24,59128365.28,14349254.78,80417542.75,36561896.17,120622513.72,58016443.18,0.0
7,支付给职工以及为职工支付的现金,119241135.13,77126504.65,35911910.26,128183010.11,92666811.16,56549703.62,30202485.52,124156851.94,95570080.63,63946263.00,29707214.31,98493515.83,70413142.02,42992086.84,22315744.35,29025769.99,23331512.69,14197317.28,7258952.25,27840229.71,25213235.74,17309570.41,9182492.75,21166060.04,16203078.95,12536641.14,5323966.27,18159620.68,14022715.32,9056947.72,5579465.69,18188941.53,12509116.09,8474573.08,5453490.77,17422857.64,11176382.61,7878363.67,3607236.88,16001018.62,10693991.67,7470762.61,3801236.66,13231984.78,10928837.40,6181309.13,2061038.95,15447022.95,7556616.57,5441197.85,2387985.76,9595275.90,9102755.75,5551986.49,2241559.73,8339746.32,10764603.63,3208013.21,2129156.05,11146908.28,8206650.45,5695130.55,3575494.32,12143064.89,8733773.63,6481809.38,3998392.60,13285228.90,12599497.18,15312928.78,7047011.76,15312719.45,3429319.77,17860798.50,7986856.35,15601342.33,13765788.18,0.0
8,支付的各项税费,191790638.32,153062983.53,80496275.52,253553908.41,178686600.22,140688173.34,80387081.69,256276114.49,162903190.31,100896209.84,48410650.57,143096977.33,100965272.10,57906457.09,26558246.65,22580230.96,16602201.66,10940847.11,5058947.76,19701408.71,13947370.15,6838468.41,4150355.31,20369635.50,16108814.20,10758598.43,3226900.62,22688183.24,19784897.75,15395918.37,10702818.87,26324308.68,18513163.79,12923279.65,6007647.48,32591651.00,19347419.04,12730675.78,5317322.60,28679764.25,21888453.50,14741203.93,8138467.68,24473256.77,19178536.96,13416176.06,5237923.89,24283238.68,18954335.26,9176001.88,3504216.60,18922052.01,13238825.27,8729982.53,4437130.25,13713237.78,11038496.23,5925737.76,2367372.63,7729797.25,3501945.56,2310619.07,558897.35,9972911.81,6344750.89,4810518.78,1081758.53,22974487.97,21241969.88,243148586.14,109464699.16,114147739.33,27103976.40,66756320.51,28122877.94,72427418.83,21886344.34,0.0
