,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1167110053.68,789423837.10,388500939.64,1500705052.87,1215718201.64,764042367.59,436787934.30,1344584154.06,1033274504.38,669746652.48,358298721.07,1060905467.15,767638497.88,482357553.85,229364091.78,769143828.31,583622851.58,362727601.81,177325233.14,686825993.46,490364798.51,286546705.02,153531781.98,629769940.83,444229386.44,269535008.00,103906394.34,535537989.61,389068965.39,247287579.28,120439948.31,591892400.10,394689397.52,246510862.63,100779166.28,417780356.63,336585140.31,196191128.45,64453113.64,393207559.48,273292759.86,122525365.22,71310700.16,522458533.35,287283335.40,150854199.11,58364524.56,316302711.64,235576996.47,135357560.33,60572716.66,336953341.70,248066475.89,171333728.43,90742410.21,296620649.59,213999629.79,131573569.35,73536528.50,257610585.75,203603239.40,126104576.63,291155956.04,254638372.83,0.0
3,收到的税费返还,52200834.15,27747627.29,17537948.74,81710642.63,46928718.74,18982751.48,12147792.94,46319016.67,37803103.60,25716162.29,14453949.80,47280846.54,39250750.26,26839730.39,17563630.57,48256715.05,41421208.82,22678258.29,12283630.77,27143714.14,25075361.19,19043405.73,6246318.54,18707607.98,16603574.07,14748661.95,5300736.11,36826461.50,24292796.42,14856832.05,8840579.30,18530579.87,12182022.93,7068040.86,3219721.41,12956629.08,9137652.50,7369101.16,1976988.91,8539734.58,4588315.85,3934483.87,332492.46,5846071.91,5499596.13,2690970.45,1131909.16,3979106.31,3778882.96,1270427.08,143388.15,7703798.37,7482990.46,6581338.15,4907872.31,9041754.74,5809805.22,5438389.81,2938482.51,9357339.78,9073663.84,7213106.85,1297268.18,1700344.99,0.0
4,收到的其他与经营活动有关的现金,55417800.71,33678898.51,8586290.52,44320317.38,70128605.61,23658670.60,24963408.66,49798025.25,34397424.24,20327572.39,11158733.51,58433204.84,30842790.58,20508212.76,5470177.43,69631808.10,30988356.50,10636110.42,5616003.00,57288661.60,57730017.00,53886823.85,53005636.28,18577685.20,11435778.83,7860409.08,4770481.04,21456794.01,6626404.09,4753086.86,5950546.76,23834189.37,2875944.30,975464.10,3385697.36,8912633.99,3921685.37,991906.97,505937.87,6563834.80,6655926.74,3012426.45,940341.63,6624770.90,9919876.64,5762695.01,1683477.31,5327338.74,7700142.07,4005989.06,1507676.18,2053450.99,9216511.15,1121627.15,2451960.63,11751252.40,10180886.93,5036043.13,661939.95,9224487.45,5821715.30,5184794.09,12779959.80,14424884.62,0.0
5,经营活动现金流入小计,1274728688.54,850850362.90,414625178.90,1626736012.88,1332775525.99,806683789.67,473899135.90,1440701195.98,1105475032.22,715790387.16,383911404.38,1166619518.53,837732038.72,529705497.00,252397899.78,887032351.46,656032416.90,396041970.52,195224866.91,771258369.20,573170176.70,359476934.60,212783736.80,667055234.01,472268739.34,292144079.03,113977611.49,593821245.12,419988165.90,266897498.19,135231074.37,634257169.34,409747364.75,254554367.59,107384585.05,439649619.70,349644478.18,204552136.58,66936040.42,408311128.86,284537002.45,129472275.54,72583534.25,534929376.16,302702808.17,159307864.57,61179911.03,325609156.69,247056021.50,140633976.47,62223780.99,346710591.06,264765977.50,179036693.73,98102243.15,317413656.73,229990321.94,142048002.29,77136950.96,276192412.98,218498618.54,138502477.57,305233184.02,270763602.44,0.0
6,购买商品、接受劳务支付的现金,789894986.95,521745632.86,261655467.67,1132257952.69,919814140.51,559051767.98,304797617.78,907396155.40,705187987.89,477302258.19,240136779.23,728745304.36,506141011.59,328121616.06,161333173.85,512643947.63,359114888.20,251001708.81,115326399.95,537393820.28,380344417.48,212223606.49,88411771.15,451145554.53,307978010.78,208093968.74,71802807.86,365668915.01,266589288.51,178688444.81,80039091.46,467018297.57,290728745.04,210291914.16,134182008.26,295980837.02,262731748.41,144358278.79,62446870.81,221741613.82,188843824.21,55579846.50,36249223.25,348879539.82,201874894.03,106012761.78,38925415.75,220706620.25,143357113.21,90279166.16,47412822.23,241549439.69,199289283.73,132941488.19,58265256.29,207533820.41,159120445.35,109219604.54,44091212.91,170827005.34,139723452.38,102039366.36,176516639.64,142586258.33,0.0
7,支付给职工以及为职工支付的现金,192205076.63,125701581.62,64767783.95,255876659.61,193472402.39,129404320.75,65144667.80,234462728.11,178231771.25,113148606.60,56936921.23,198326565.96,143056961.55,87611087.18,36670825.49,158133189.82,126382073.69,80782389.88,35843060.40,144688838.53,113518068.25,64505390.96,31645379.80,123530740.83,88814242.17,53978959.16,24931955.02,100729413.32,76829651.55,42147710.25,22006480.78,103282274.24,73488042.30,44482678.00,18378744.44,68459358.66,44018660.69,26359426.97,11323482.23,56614420.24,22719417.40,17097039.88,7643566.19,58154583.72,40171131.53,27373184.69,14965036.81,58159133.04,43768760.79,29596056.25,14632368.39,50702769.92,37608188.47,23204777.14,10908762.22,46739939.29,36190000.77,23920151.13,12064126.79,58101417.76,35889442.18,21683292.25,41081266.98,32280334.76,0.0
8,支付的各项税费,82314523.44,59826855.68,30617488.35,122463396.37,94063804.07,63781325.86,31826969.13,109380106.76,96411028.25,69524820.62,37488917.29,82751974.46,73422153.35,48133911.75,12603126.75,58409397.70,44434413.57,30710891.88,11106570.41,43831827.05,37528891.94,23085954.52,6624369.00,40211485.55,32795982.99,20111977.70,6794690.04,33352439.40,26504797.61,19826686.14,7642437.07,33605011.03,27479046.48,18136503.50,6785107.98,18449771.01,15143039.20,11494781.79,5300058.65,22538502.65,10016259.60,7024789.99,4479817.68,13958434.84,10484548.09,6801233.88,3892264.22,8304885.81,7075657.79,5489600.29,2319047.66,22165048.45,18532430.38,12536392.67,6676072.32,34625928.98,18344666.79,9439988.61,4562329.21,20607256.72,13085686.36,11018311.59,24464336.49,19883059.06,0.0
