,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,8692624243.77,5690456680.63,2674130823.39,11432588165.11,7990405642.10,5265474579.15,2468592198.01,9165576122.60,6847830714.35,3722830698.74,1820973456.22,7004985343.80,5225881311.66,3574978086.41,1757723622.00,5775674937.46,5008256535.52,2846268152.47,1350767435.27,6325463721.74,4517446601.90,3024823062.21,1638703780.54,5129266750.10,3591887493.24,2222477980.59,1150609263.52,4059606532.30,3006605579.85,2063200135.63,997633690.80,4796724116.68,3335756263.46,2090578068.76,999222844.40,3131044076.33,2194689015.35,1410157890.00,786905711.52,1993570661.83,1543375388.76,944641699.30,362010631.81,2664437781.35,610283434.03,429650867.56,211862243.10,859235121.51,553870491.37,337295993.13,127809017.62,571672150.45,383530278.28,254025541.93,95453396.67,517457491.36,344877281.29,219603270.59,401388571.82,0.0
3,收到的税费返还,186962537.72,139825545.01,84119630.43,266338964.49,211717642.97,145726156.56,77740668.79,264210506.08,169349586.81,108331057.65,62963024.46,172012715.78,118819463.19,84466640.25,44832330.13,122141722.28,97697741.07,34986377.57,18964631.01,51802889.79,38112038.74,22618545.42,13990279.93,85649240.96,65292175.68,47579415.11,29498833.64,66692208.20,42300043.45,30574921.71,22626954.39,72331511.74,52791676.09,44714743.74,26792909.74,65996956.35,43207146.49,37639019.09,9033221.27,41315058.18,45153959.57,32004617.67,21435313.90,61546133.06,16973827.18,13382080.55,4477350.14,21911120.64,16273856.17,12301123.14,6059719.80,12193968.36,7597730.26,6956256.37,2985711.07,2825699.62,2530582.18,1898843.27,1401496.54,0.0
4,收到的其他与经营活动有关的现金,153372228.40,121184630.63,75400512.51,87596586.85,97169442.79,40386744.44,25401350.50,50868598.72,68950706.63,24245316.89,19415273.59,98023855.55,90952327.25,42860474.87,28725020.96,33565888.98,56224975.68,16592414.10,11285473.24,33771798.98,18333753.33,19834589.82,14351704.18,53530558.65,69819022.85,45777824.26,20726385.77,81725651.02,57174376.62,32384436.86,7010062.39,144575110.71,82440724.78,74300351.29,8780093.52,68192910.18,28816674.01,15488834.74,12772795.51,21294095.50,60174784.43,50674494.54,10886150.37,176040685.54,20532478.88,14834315.83,11498.00,110716393.00,518488.13,301831.29,193551.29,37493358.09,465701.29,313701.29,157291.17,6283457.62,940128.31,489128.31,622628.60,0.0
5,经营活动现金流入小计,9032959009.89,5951466856.27,2833650966.33,11786523716.45,8299292727.86,5451587480.15,2571734217.30,9480655227.40,7086131007.79,3855407073.28,1903351754.27,7275021915.13,5435653102.10,3702305201.53,1831280973.09,5931382548.72,5162179252.27,2897846944.14,1381017539.52,6411038410.51,4573892393.97,3067276197.45,1667045764.65,5268446549.71,3726998691.77,2315835219.96,1200834482.93,4208024391.52,3106079999.92,2126159494.20,1027270707.58,5013630739.13,3470988664.33,2209593163.79,1034795847.66,3265233942.86,2266712835.85,1463285743.83,808711728.30,2056179815.51,1648704132.76,1027320811.51,394332096.08,2902024599.95,647789740.09,457867263.94,216351091.24,991862635.15,570662835.67,349898947.56,134062288.71,621359476.90,391593709.83,261295499.59,98596398.91,526566648.60,348347991.78,221991242.17,403412696.96,0.0
6,购买商品、接受劳务支付的现金,5905939572.24,3742133669.66,1838608184.29,8055387221.75,5840666848.16,3990063494.55,1986463472.71,6546739068.76,4496651005.82,2410322190.34,1255771634.70,3961580548.34,3021765024.15,2022551343.83,1053878357.63,3215539346.98,3203943852.23,1859707153.54,963236232.10,4284027771.10,3088389482.87,2329554116.30,1149703678.67,3590804393.31,2717218810.40,1590713422.89,885343808.28,3016744919.53,2345639243.02,1693500509.43,774559071.61,3778037961.34,2710971784.50,1776961207.36,814063611.87,2385397751.78,1545982350.98,935779720.18,491848814.28,1414943499.50,1004830756.36,578347026.75,301926058.35,2293936524.51,606058654.09,412460657.08,201186858.15,670633292.18,392109618.31,243661528.95,121680713.71,457490134.58,261568375.42,153056237.71,81431434.64,355374207.72,202202642.24,114319917.71,244847282.20,0.0
7,支付给职工以及为职工支付的现金,1091726866.02,775495900.36,414836162.50,1386039162.25,1050921251.97,717045427.51,367682897.54,1239112848.02,1146534152.33,715795646.06,349302439.76,1147640945.66,815443803.59,549543094.28,301211378.36,1085842940.42,788893548.79,488193234.72,237114200.59,932670934.28,687889991.13,492571244.60,245974073.77,796155833.77,550924060.41,381178389.08,205074533.48,447471981.53,254054202.76,179993853.15,112287525.18,340760267.63,235215902.66,157593225.21,82930247.27,257988178.63,168072831.47,116118910.54,66849413.90,201451459.00,145344078.98,101150622.39,52274112.79,211500652.09,36928191.53,27032229.08,15847720.92,55830943.30,43064513.23,31916446.88,12417896.77,43790781.17,32782066.74,24924213.91,14625572.13,48441934.39,29473108.43,21096739.94,44054405.38,0.0
8,支付的各项税费,370030354.59,239712962.89,121083172.38,451935186.67,392578520.09,262082563.36,137231709.57,465473538.30,389171080.68,224244635.73,90161225.24,436633727.51,320407739.27,226313593.31,116812759.04,400457486.64,319973063.79,182237439.55,66001270.08,255320623.53,211143508.55,161782082.99,63164262.37,223312091.42,163951294.98,107005613.68,47206260.09,177438335.53,156878767.81,109263753.43,31889611.34,206087436.32,163965983.05,97930785.52,35529742.66,135496938.01,108957309.33,51830304.36,24414063.06,86349469.69,80501220.15,64421397.67,29596622.72,100632000.35,26004733.82,23514692.00,6748343.19,28016667.05,23202290.21,16727727.91,5704359.02,25219202.15,22147374.52,15973032.69,5133262.79,17850396.51,18861437.09,16579071.67,14285935.84,0.0
9,支付的其他与经营活动有关的现金,538047384.00,363569412.43,177565364.00,605566668.06,454702071.31,306924071.18,153273161.59,580607149.88,482148939.56,253869510.80,121342204.82,418935560.49,338510976.47,214913925.65,98973969.82,410413611.43,331622215.24,178033454.28,92491386.15,361516749.89,260901614.49,149999616.15,110001177.88,380261727.94,251706045.97,215695894.06,108531012.05,253838412.64,180922359.58,111996644.37,77418839.78,205136133.12,186174334.87,83406837.01,84947943.43,171556939.18,168715360.13,109531843.19,134831851.77,122536608.67,143267074.62,74609434.72,50127217.25,200350226.73,45315730.83,31929513.66,10366167.57,178454554.29,34456504.39,21970376.24,9715678.26,68153149.69,30786792.63,20768792.82,10855760.10,45494404.12,36875035.81,18601256.24,32997706.82,0.0
10,经营活动现金流出小计,7905744176.85,5120911945.34,2552092883.17,10498928238.73,7738868691.53,5276115556.60,2644651241.41,8831932604.96,6514505178.39,3604231982.93,1816577504.52,5964790782.00,4496127543.48,3013321957.07,1570876464.85,5112253385.47,4644432680.05,2708171282.09,1358843088.92,5833536078.80,4248324597.04,3133907060.04,1568843192.69,4990534046.44,3683800211.76,2294593319.71,1246155613.90,3895493649.23,2937494573.17,2094754760.38,996155047.91,4530021798.41,3296328005.08,2115892055.10,1017471545.23,2950439807.60,1991727851.91,1213260778.27,717944143.01,1825281036.86,1373943130.11,818528481.53,433924011.11,2806419403.68,714307310.27,494937091.82,234149089.83,932935456.82,492832926.14,314276079.98,149518647.76,594653267.59,347284609.31,214722277.13,112046029.66,467160942.74,287412223.57,170596985.56,336185330.24,0.0
11,经营活动产生的现金流量净额,1127214833.04,830554910.93,281558083.16,1287595477.72,560424036.33,175471923.55,-72917024.11,648722622.44,571625829.40,251175090.35,86774249.75,1310231133.13,939525558.62,688983244.46,260404508.24,819129163.25,517746572.22,189675662.05,22174450.60,577502331.71,325567796.93,-66630862.59,98202571.96,277912503.27,43198480.01,21241900.25,-45321130.97,312530742.29,168585426.75,31404733.82,31115659.67,483608940.72,174660659.25,93701108.69,17324302.43,314794135.26,274984983.94,250024965.56,90767585.29,230898778.65,274761002.65,208792329.98,-39591915.03,95605196.27,-66517570.18,-37069827.88,-17797998.59,58927178.33,77829909.53,35622867.58,-15456359.05,26706209.31,44309100.52,46573222.46,-13449630.75,59405705.86,60935768.21,51394256.61,67227366.72,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,50342784.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122777805.30,122777805.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000000.00,0,0,0,0,0,0,0,18431005.33,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,40090456.70,33755279.46,20175200.24,63287264.90,47071191.94,46998981.73,23302732.18,35567459.25,29259436.27,8320992.49,8264864.79,36403425.77,20902527.78,2847829.80,907247.61,23713328.93,24709142.53,14885899.90,4956811.66,5688403.43,4457286.95,2044415.00,1429978.70,11040820.00,10287545.00,7450110.00,4046500.76,30260424.64,22889604.96,18189890.26,23618171.69,15272033.60,13071299.37,11891979.61,7900915.90,21230159.04,15700630.87,14465520.12,7473839.85,20537914.23,38938685.98,23006408.10,10651922.12,31254814.51,588324.89,1538699.89,0,1622601.41,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,4118961.84,3718696.87,3598049.24,7958482.12,646627.68,464167.26,93712.82,7234854.71,6820916.21,5155594.66,2016374.98,37658946.58,19972592.35,17938815.45,69839.45,65083271.96,61753648.40,60049228.40,60009438.40,2156179.88,702341.33,655412.78,209660.81,4340847.05,3708015.12,2579653.92,200918.70,589195.80,288361.09,240936.00,18500.00,953397.11,649858.86,89300.36,6800.36,1328598.04,1607939.62,1428112.63,384980.42,1618995.54,0,3321998.86,1396648.54,12357391.95,139880.34,28000.00,0,47082.50,50450.00,0,0,1345914.38,450395.00,450000.00,0,17725.00,3000.00,3000.00,38219.26,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,7263873.83,10056073.40,10056073.40,934575.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,1102731627.51,620914127.51,1105780722.22,240891451.58,204344635.54,237696789.43,1505838315.84,49507741.33,444385399.82,321427000.00,232696159.44,450718745.14,493987761.60,27513640.66,117754705.58,27975455.27,705871049.32,456555291.52,116613.52,14548432.90,155507811.93,985325.46,132784.87,44138696.11,14058658.77,3042246.62,78219.28,58272529.05,9772551.63,6246723.32,1793628.77,13929597.40,10420089.91,5849570.47,2553109.38,7917361.52,4654496.75,3835479.39,1562447.46,5029496.36,3402319.09,2679425.80,65306.27,7853259.28,0,0,0,5805808.80,0,0,0,3194720.79,0,0,0,7119908.35,435000.00,0,371487.88,0.0
