,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,407009436.23,249049611.66,111443762.25,606514174.42,437968825.22,291032622.91,122568311.02,664135373.81,426786371.03,276199968.18,107731380.62,742648400.14,362181731.45,228294472.80,97728786.91,639143404.41,468863088.81,346141511.44,152043468.79,510309022.54,370581533.96,251893399.66,101698504.68,612232999.60,434036407.68,292566404.80,114513203.05,728972933.86,508068378.56,341183262.13,181192775.50,726301607.77,470496735.70,299373888.52,104121012.07,603799483.53,370682029.88,234598835.46,101649349.72,503319842.50,353046877.24,248287387.20,123665220.12,536628657.13,360556607.95,235682486.57,134447442.90,439739243.85,274168353.04,154904898.57,76380315.95,272200571.62,183395876.87,122263917.92,46624862.22,218902653.90,154099414.80,80770782.55,0.0
3,收到的税费返还,4283833.40,2621688.19,1677964.74,9611620.78,6522897.73,3755201.50,663772.47,8422298.11,5329865.07,1406076.48,1252390.39,16561220.96,14025283.00,8894710.53,0,2855475.70,2855475.70,2855475.70,2570283.56,8064639.80,6668002.14,4217999.99,0,1471976.87,1192935.34,1092935.34,816876.60,5302689.57,3814313.97,2669209.56,1734807.45,4400335.96,2934869.21,1848462.07,889411.77,7738912.30,4376285.45,2216285.13,1252978.94,3612885.31,3142739.48,1179900.76,0,25100.51,0,0,0,0,0,0,0,568275.27,0,0,107144.83,0,0,0,0.0
4,收到的其他与经营活动有关的现金,882438582.08,865020986.82,855016166.40,48338248.50,16694845.74,7646252.63,10793697.94,25252508.00,14837592.87,6513899.72,2057980.52,13954600.65,14868865.80,20525600.53,10045413.11,3810161.89,8590907.78,7138252.32,795642.66,4183610.75,8472303.66,10813533.20,4280832.67,14506922.72,3140776.54,2205772.56,1783093.98,6583902.21,6424664.45,1372275.03,787348.64,7191158.98,7702703.52,5633418.72,4735790.76,28036500.14,83625419.60,31163607.44,4351614.34,77922723.76,43509091.36,26208338.96,29595057.69,5432940.58,18606444.85,11748829.50,6945379.38,15718432.98,16766113.00,11796193.00,8739715.15,33111057.57,18011612.95,12007741.97,8606476.02,19881098.33,15446891.79,238183.17,0.0
5,经营活动现金流入小计,1293731851.71,1116692286.67,968137893.39,664464043.70,461186568.69,302434077.04,134025781.43,697810179.92,446953828.97,284119944.38,111041751.53,773164221.75,391075880.25,257714783.86,107774200.02,645809042.00,480309472.29,356135239.46,155409395.01,522557273.09,385721839.76,266924932.85,105979337.35,628211899.19,438370119.56,295865112.70,117113173.63,740859525.64,518307356.98,345224746.72,183714931.59,737893102.71,481134308.43,306855769.31,109746214.60,639574895.97,458683734.93,267978728.03,107253943.00,584855451.57,399698708.08,275675626.92,153260277.81,542086698.22,379163052.80,247431316.07,141392822.28,455457676.83,290934466.04,166701091.57,85120031.10,305879904.46,201407489.82,134271659.89,55338483.07,238783752.23,169546306.59,81008965.72,0.0
6,购买商品、接受劳务支付的现金,201058778.86,116378614.87,26009423.80,430635835.70,307581888.10,202323494.66,64212885.57,497097963.85,245460066.26,187420563.24,72473100.18,429357547.20,212561184.79,122303803.38,77343575.62,391990784.72,230827710.86,154094134.99,68077721.40,431023863.27,332659528.89,251291285.86,106211205.21,449790633.43,323660676.81,214702367.16,58517449.22,489052168.78,406829286.79,215450075.70,125504886.36,554652114.40,371489133.37,183695758.14,59683542.15,513489891.08,359082494.75,180166937.20,84952453.99,383057323.76,279386318.70,137247073.57,57831504.47,472486967.32,321271818.69,204355814.68,97997022.50,506915256.57,368274673.57,202904418.99,71757388.30,193691476.25,146208459.48,97472306.32,40443660.58,181121052.14,128263821.17,89524003.87,0.0
7,支付给职工以及为职工支付的现金,103915092.25,63503549.77,16601370.76,157378236.77,121770249.17,79548307.48,37937585.13,56442689.03,114957328.30,70221729.06,33195169.41,146242776.11,103958083.56,66506370.58,30251818.18,122244397.74,88230870.26,55815292.04,21754271.28,88754569.63,70180730.24,53109983.49,25059089.20,97043427.61,73767900.60,49319950.48,23619043.69,78203799.55,62628895.89,42333027.02,23089099.92,59409749.13,44698970.88,28844477.32,13173544.02,46994077.23,35910490.97,23104271.02,10734569.24,43878207.79,28926954.34,20953209.96,10432125.27,37448656.81,24839806.40,16659474.72,6371613.21,24615434.76,8931267.98,4829654.79,1777497.91,17194187.07,7086150.34,4724100.23,1985099.34,9154819.74,4295277.85,2854896.84,0.0
8,支付的各项税费,9133097.82,6984736.08,4469904.99,18913004.54,16884124.71,13207511.42,3267770.94,13256819.64,10238362.22,6299774.50,2996868.59,16331220.80,9778161.57,7346330.64,3698587.89,11773176.68,8873711.33,5837648.67,2909769.08,12528516.77,9447410.85,6317165.46,4194910.64,10055105.83,8892390.11,6485210.02,3459343.19,10032456.77,12429880.14,7459203.90,3930657.54,12905506.92,10821753.77,6171860.41,2487440.07,8157308.64,7386169.62,5320788.00,3505081.09,6683879.91,8448548.53,5534357.81,1932629.40,6245696.24,3407217.54,3844749.33,703931.29,3067066.44,3436601.40,1969307.71,950766.22,3387628.84,2826073.04,1884048.69,809871.32,3896219.63,397279.06,645288.49,0.0
