,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,12719255276.00,7743452989.05,1028658096.40,6695853798.09,4607632597.76,3214880826.49,1069608973.97,6381135631.57,4565137987.01,3346584392.01,1957325771.67,4395019473.23,2652542886.80,1389953844.96,418170706.52,5357266825.55,3448541668.03,2004594042.29,813305264.01,6511875576.68,4360144653.29,2665292868.13,1185639695.94,7337748165.47,5126214627.75,3171591132.88,1492647612.39,7578677849.78,5377861961.47,3387973424.35,1585170788.40,7235204646.37,5365912727.42,3663254812.16,1769524387.19,6795850592.68,4963944108.67,3288532354.04,1478946351.78,5761233436.36,3779281463.56,2513506076.38,1134640946.26,4520312465.73,2916567140.09,1787808283.11,723387673.12,2839991538.93,1888685809.67,1130427626.78,478164185.85,2152293552.29,1332077993.32,868871006.25,367845394.32,1768768129.20,1013367761.11,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5752000.00,5752000.00,2602100.00,0,2358000.00,2358000.00,2358000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,61373.56,0,0.0
4,收到的其他与经营活动有关的现金,450559355.48,342469847.08,79735931.68,377112604.83,160244916.12,113048286.03,58913490.39,280322874.38,132874181.86,108296705.31,51179308.52,25002350.05,19601697.20,16542270.53,6049051.71,17613141.83,13894503.79,11071203.81,2924636.27,13370647.56,10299691.11,8180693.77,6056259.41,78379342.65,75256927.19,73831204.43,50850661.50,31094577.88,8361671.22,5439712.52,2445565.80,15044383.26,9803767.55,7153409.62,3237723.24,25648162.20,140974651.77,8863825.46,3587587.49,149133537.58,26699109.54,20663770.75,11260076.91,81906988.55,18413377.06,15756384.99,10929268.98,22658317.25,17033654.11,9324862.66,7484048.31,22912948.78,9989710.27,9249402.61,7966470.77,78583345.65,1210845.50,0.0
5,经营活动现金流入小计,13169814631.48,8085922836.13,1108394028.08,7072966402.92,4767877513.88,3327929112.52,1128522464.36,6661458505.95,4698012168.87,3454881097.32,2008505080.19,4420021823.28,2672144584.00,1406496115.49,424219758.23,5374879967.38,3462436171.82,2015665246.10,816229900.28,6525246224.24,4370444344.40,2673473561.90,1191695955.35,7416127508.12,5201471554.94,3245422337.31,1543498273.89,7609772427.66,5386223632.69,3393413136.87,1587616354.20,7250249029.63,5375716494.97,3670408221.78,1772762110.43,6827250754.88,5110670760.44,3299998279.50,1482533939.27,5912724973.94,3808338573.10,2536527847.13,1145901023.17,4602219454.28,2934980517.15,1803564668.10,734316942.10,2862649856.18,1905719463.78,1139752489.44,485648234.16,2175206501.07,1342067703.59,878120408.86,375811865.09,1847412848.41,1014578606.61,0.0
6,购买商品、接受劳务支付的现金,6943401772.97,4287679781.27,438269124.97,1614884727.95,937948472.12,527278498.50,211497100.48,1462534337.35,1116133530.77,610145004.46,263080021.53,1083542099.89,650196660.92,326589511.30,149194293.58,1034747830.32,589419176.73,335131563.69,188479787.50,2509860682.30,2009472447.50,1155330383.48,649358395.12,3197409884.32,2336941373.65,1466895383.56,671200876.54,3415028645.26,2492543229.33,1581695621.07,721811044.37,3231221028.18,2409693269.58,1444134604.00,552372616.42,2606773495.39,1691623978.57,1252419301.50,554107074.89,2945285923.55,1940271396.55,1186669785.62,423519910.04,1950143348.90,1153633059.77,678949813.91,313601555.85,1435981079.40,915422739.14,527239346.40,214719539.56,949518750.08,614298812.24,389686456.85,172272516.40,705897997.73,417282565.10,0.0
7,支付给职工以及为职工支付的现金,918292163.84,626039086.99,219939870.07,989805505.62,632603311.38,404313934.19,212501840.46,860683712.65,528584500.78,350186535.46,164145045.47,768510912.49,504252432.66,337773822.80,171519804.19,766354402.34,468016976.13,319093670.91,155457075.55,758081689.34,485230578.31,321180060.82,156300610.25,700913333.20,474540569.61,319815652.12,153310323.80,679373688.19,448350220.82,296303560.36,149141716.25,652789792.32,428272934.53,287746102.91,141728309.44,546910094.81,346025010.31,203610608.61,100767388.24,484448363.15,326939497.34,220069321.68,101600834.65,409519137.65,251292744.13,141059877.02,50385909.75,357592513.86,186279399.26,114568660.81,44221874.82,245494510.07,129548506.10,77354651.81,34485995.31,163123472.69,109970687.15,0.0
8,支付的各项税费,2033908230.78,1476307728.78,556230279.36,2290814677.05,1850786703.62,1483234598.19,808904916.99,1983082459.79,1683592990.17,1221171421.89,708599797.21,1377885802.92,1081000231.76,726970429.34,473492831.67,1465292035.79,1099333022.35,796647293.59,450577492.20,1472531304.16,900266770.15,668773783.43,423297395.90,1690153259.68,1196070717.61,932851173.64,521877164.78,1661163191.60,1276186563.32,1045431090.90,579033906.33,1732890637.62,1279572545.97,871186747.05,460364187.58,1547226767.57,1248547429.71,901160158.62,465072074.73,1087249019.34,731506290.72,533511271.42,249094073.88,678703083.06,511207502.97,348370013.49,186656289.55,484422218.25,348056974.60,250403682.38,128317770.56,370117305.73,258190870.52,171583060.65,93844842.84,255485937.57,109445001.17,0.0
