,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,190956364.13,129710129.01,90899251.42,217360701.26,160295519.93,108100918.66,85825130.27,232801684.64,106417470.90,79011509.46,62902992.59,262063699.54,167308091.92,118455306.59,85877648.47,422737634.75,224651708.67,177627387.64,176992644.39,373009850.83,256003663.73,156536446.84,106637689.84,495214109.20,249440483.23,166399031.83,99646123.98,434777659.24,238660033.29,128550275.15,89488925.61,495914188.02,304881838.86,194028269.00,124444633.23,300141438.50,127257472.58,66371527.57,43910016.22,302473094.34,158825814.15,88112490.54,55681509.95,289130593.71,112928814.01,53430703.96,16320439.03,340027304.04,192846098.35,126250635.51,80596088.75,284142961.38,220940906.12,184641534.55,0.0
3,收到的税费返还,0,0,0,699536.07,164282.72,158564.00,1757.50,239823.42,445315.97,239823.42,0,0,447237.45,447237.45,0,0,454056.99,446811.57,7245.42,862808.77,862808.77,862808.77,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,10550347.33,517215.62,149156.61,4655004.23,434407.66,821881.97,120381.38,16831336.09,2328766.66,8752519.47,484763.74,20222183.73,14621645.11,2336893.79,104290.28,53331875.66,3236999.93,62522220.74,1221356.91,4128849.59,22179984.06,113654782.21,577367.49,4937252.99,12331045.15,7748063.32,33591028.59,2556201.83,9518651.54,6250425.81,7192078.61,4671246.10,21893132.39,12998516.34,3980420.97,38899997.87,112033198.03,27406007.73,1061287.82,8433187.84,11598146.18,7860947.64,6057525.99,24349250.99,11268735.59,10063751.35,899584.04,1461170.63,886421.55,758046.31,6119356.01,618823.11,717243.98,1705993.70,0.0
5,经营活动现金流入小计,201506711.46,130227344.63,91048408.03,222715241.56,160894210.31,109081364.63,85947269.15,249872844.15,109191553.53,88003852.35,63387756.33,282285883.27,182376974.48,121239437.83,85981938.75,476069510.41,228342765.59,240596419.95,178221246.72,378001509.19,279046456.56,271054037.82,107215057.33,500151362.19,261771528.38,174147095.15,133237152.57,437333861.07,248178684.83,134800700.96,96681004.22,500585434.12,326774971.25,207026785.34,128425054.20,339041436.37,239290670.61,93777535.30,44971304.04,310906282.18,170423960.33,95973438.18,61739035.94,313479844.70,124197549.60,63494455.31,17220023.07,341488474.67,193732519.90,127008681.82,86715444.76,284761784.49,221658150.10,186347528.25,0.0
6,购买商品、接受劳务支付的现金,93098415.18,65929900.14,50736609.00,129549366.70,139967699.45,109420145.51,81316756.86,170763688.68,101641548.53,92900686.34,54676752.32,120421918.48,122799470.91,98497778.25,62748882.29,125756454.86,112218867.68,104884163.09,86044102.92,264708084.57,242582694.97,165094859.19,141866498.91,187425119.34,182763885.89,117861376.01,61819147.46,208357449.76,196928216.11,132596315.63,88064679.50,198306964.31,209743101.91,115680129.06,63337594.39,171517601.80,112047559.16,92550916.87,33831106.80,99454379.50,97526643.42,64344683.10,36383101.76,183600733.63,109819951.48,75850100.67,50002914.26,160229902.54,99688469.31,74278487.09,40795942.55,153858838.31,148854315.66,106980703.68,0.0
7,支付给职工以及为职工支付的现金,70257471.33,38182893.95,24621367.11,88018599.32,59125756.56,38396653.19,17566059.26,91091707.51,60629244.61,42779676.41,24829282.70,95152331.83,66578008.69,47558876.89,31258008.10,111362932.77,72345131.90,54403721.89,24840418.44,90010200.73,56831564.48,41771369.97,22729429.20,109250028.22,73673488.30,46914791.97,25044775.59,93107316.49,71081793.63,46892729.56,24033784.21,83883201.77,61481194.73,39127043.44,18162062.16,62120355.77,44429187.18,23975017.41,13097928.67,61828158.97,47748440.89,33267599.77,18421599.72,36292180.32,33516030.49,21249614.64,8949800.93,34336151.40,27358617.94,19912578.29,10949423.90,20886037.33,19496272.44,24376352.22,0.0
8,支付的各项税费,7858759.84,4761237.56,2248091.18,13153242.74,12996074.93,7962422.99,4953966.45,18599735.00,18383793.28,12848737.34,10126813.35,17259472.60,20872456.54,18362055.17,6888575.20,34518378.49,31121958.89,20982423.00,12982728.61,55514718.81,38179003.52,21735720.06,9482962.54,42609742.42,31983141.43,19312071.94,5059985.98,40774262.41,22836143.98,11177113.94,5174554.35,44734292.98,35758128.35,22544578.89,8067635.30,39987117.07,29162139.97,11928214.49,3229603.45,16249899.02,14237903.01,10688670.40,4923213.37,29685963.23,22183363.68,15873144.30,9507048.71,32500230.32,23056104.71,20006991.10,14002188.35,26222123.42,20853497.73,19556861.85,0.0
9,支付的其他与经营活动有关的现金,8905685.65,3574740.39,964418.95,13279668.38,3714480.35,2791086.97,2008887.93,15987386.85,4257929.06,5160946.72,1853727.34,20124740.61,7605644.31,5343086.94,39205905.77,42042016.25,40397100.99,10130577.11,4003857.74,70690121.74,66318154.62,148454734.71,8722593.09,38570663.91,35603841.42,22240073.80,41951560.44,37190476.79,15948793.34,19934452.88,12348753.44,42249863.71,32213012.71,16969318.48,6525277.78,32226789.97,106292591.15,37117030.81,4197767.58,43625479.79,13586907.83,9213972.95,6651422.06,40390731.77,14246961.63,8646517.57,8966161.24,23876211.45,13214920.98,7277242.23,9306626.07,20446068.93,24116595.77,12636336.15,0.0
10,经营活动现金流出小计,180120332.00,112448772.04,78570486.24,244000877.14,215804011.29,158570308.66,105845670.50,296442518.04,184912515.48,153690046.81,91486575.71,252958463.52,217855580.45,169761797.25,140101371.36,313679782.37,256083059.46,190400885.09,127871107.71,480923125.85,403911417.59,377056683.93,182801483.74,377855553.89,324024357.04,206328313.72,133875469.47,379429505.45,306794947.06,210600612.01,129621771.50,369174322.77,339195437.70,194321069.87,96092569.63,305851864.61,291931477.46,165571179.58,54356406.50,221157917.28,173099895.15,117514926.22,66379336.91,289969608.95,179766307.28,121619377.18,77425925.14,250942495.71,163318112.94,121475298.71,75054180.87,221413067.99,213320681.60,163550253.90,0.0
11,经营活动产生的现金流量净额,21386379.46,17778572.59,12477921.79,-21285635.58,-54909800.98,-49488944.03,-19898401.35,-46569673.89,-75720961.95,-65686194.46,-28098819.38,29327419.75,-35478605.97,-48522359.42,-54119432.61,162389728.04,-27740293.87,50195534.86,50350139.01,-102921616.66,-124864961.03,-106002646.11,-75586426.41,122295808.30,-62252828.66,-32181218.57,-638316.90,57904355.62,-58616262.23,-75799911.05,-32940767.28,131411111.35,-12420466.45,12705715.47,32332484.57,33189571.76,-52640806.85,-71793644.28,-9385102.46,89748364.90,-2675934.82,-21541488.04,-4640300.97,23510235.75,-55568757.68,-58124921.87,-60205902.07,90545978.96,30414406.96,5533383.11,11661263.89,63348716.50,8337468.50,22797274.35,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
