,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1484847111.43,921467299.08,423833154.80,1795537028.01,1363276085.31,869168050.67,445173069.42,1705757050.91,1315425602.43,865341576.01,390968006.75,1611204249.07,1096458297.66,698437982.01,290786252.57,1326192808.88,1015897287.30,654537106.21,298829249.89,1118867853.22,795820606.55,513667437.65,258010094.37,1055405769.87,763433376.91,489495396.45,254944090.16,1023516431.16,843216159.38,548215618.33,261900301.72,1104522914.67,856903732.59,520155468.32,244179162.62,776476832.54,589995366.54,365348777.47,162867343.61,573567228.66,409057191.41,250771339.60,93503362.86,580012380.11,451757044.58,473520096.51,279413207.61,0.0
3,收到的税费返还,24728292.25,18603219.51,8295605.91,40508113.93,34876756.62,25264557.21,12737698.98,47857669.40,34339248.54,19497252.85,8295069.45,33677357.90,21139316.62,14026489.28,7085984.43,8009478.51,4045483.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130903.19,130903.19,130903.19,0,0,0,0,0,0,0,0,0,0,0,337941.57,0.0
4,收到的其他与经营活动有关的现金,66785555.60,94903722.64,3038385.19,32323134.31,161302070.30,84444833.20,81872462.25,11132569.24,14711470.69,14705344.97,1463684.92,6361449.50,38939342.57,8325843.36,4943299.77,9114586.02,4801849.19,4163869.27,980446.91,14821335.86,13232696.59,11321807.12,1102490.12,24419244.27,21744184.77,19516206.50,3722307.79,8179855.68,10620521.63,6064847.51,416108.89,6357227.99,9911219.96,8282829.37,7597400.72,19271230.24,6434756.46,5312799.57,3331280.04,13916293.56,5694509.94,4747842.01,1727746.36,11625809.49,1772474.27,4962562.18,2350684.73,0.0
5,经营活动现金流入小计,1576360959.28,1034974241.23,435167145.90,1868368276.25,1559454912.23,978877441.08,539783230.65,1764747289.55,1364476321.66,899544173.83,400726761.12,1651243056.47,1156536956.85,720790314.65,302815536.77,1343316873.41,1024744619.56,658700975.48,299809696.80,1133689189.08,809053303.14,524989244.77,259112584.49,1079825014.14,785177561.68,509011602.95,258666397.95,1031696286.84,853836681.01,554280465.84,262316410.61,1110880142.66,866945855.74,528569200.88,251907466.53,795748062.78,596430123.00,370661577.04,166198623.65,587483522.22,414751701.35,255519181.61,95231109.22,591638189.60,453529518.85,478482658.69,282101833.91,0.0
6,购买商品、接受劳务支付的现金,1212388876.91,802319755.53,391468796.21,1433867250.08,1182641764.33,715959178.74,392707989.03,1599167652.97,1167236678.44,811742197.17,356432351.53,1359990943.05,958033462.27,653980327.31,287354028.37,1103912277.37,882995413.95,670409627.38,341657294.94,901462194.53,709705266.33,476733532.42,196016436.01,845520647.85,609709370.12,413610449.34,212621390.65,784827718.89,637645667.26,457508317.40,187223181.32,807416024.03,642468789.56,453941740.08,177867755.16,675555951.81,463517486.59,291366131.31,97229593.81,488539324.78,335314024.99,213821887.33,48411498.46,402177102.68,321038676.10,331437393.29,218781545.65,0.0
7,支付给职工以及为职工支付的现金,67624025.78,44672915.76,24718786.01,84728879.94,61014271.77,42366676.85,18979749.64,76468412.52,63062946.46,42913645.43,21093046.59,67014970.32,47888326.85,31963892.20,14399721.47,60003565.02,41705410.20,26005723.87,10602901.60,50784439.51,28496534.85,24331917.52,8102498.51,47446972.81,35096934.41,20134773.86,7836791.26,43489130.59,32853579.85,21085092.25,11169604.36,31553348.92,24465460.63,15797025.93,7441339.86,23331069.11,17868743.43,11667273.58,4806461.69,15811205.92,11477317.91,7586008.17,4243978.72,16023527.27,12395427.58,15952682.48,9873522.35,0.0
8,支付的各项税费,21002999.26,12853679.34,6290257.38,33075905.78,23925510.03,13893789.18,5956784.05,37583134.91,34223828.98,20164999.54,9289071.16,23862963.16,15170300.41,12139706.91,3291173.52,22148361.88,19390335.36,12521775.21,6134417.47,20888216.33,14011362.40,9606570.26,3491204.69,46719280.79,29863581.80,21134951.60,11013657.63,48998874.51,40874449.99,20827772.92,8477340.29,21401694.73,15073472.09,8395113.30,3735705.33,20053682.52,15655199.93,10062393.73,3742941.65,20687940.73,17066546.11,9817803.84,4106280.47,40851320.18,27397835.82,27041320.14,18816968.11,0.0
9,支付的其他与经营活动有关的现金,179945879.99,146572504.38,66127583.45,183646208.12,163817736.24,71845681.13,88160517.07,88435161.24,80412162.63,53365572.51,21185716.14,91390565.96,87152130.09,43489543.92,19978943.79,79766844.66,62400934.69,39338456.50,12319014.34,58785169.16,36400362.53,27073070.41,16997643.06,54540361.84,30442611.95,26272366.73,17162656.52,60227910.79,46657020.88,29934517.20,17008455.39,78810091.47,54182315.07,30481148.28,16327965.53,49358976.18,37625734.05,24671849.26,13845501.37,17934739.91,15206238.05,8953957.39,4824785.49,21814813.04,17196033.79,25076174.32,15507936.20,0.0
10,经营活动现金流出小计,1480961781.94,1006418855.01,488605423.05,1735318243.92,1431399282.37,844065325.90,505805039.79,1801654361.64,1344935616.51,928186414.65,408000185.42,1542259442.49,1108244219.62,741573470.34,325023867.15,1265831048.93,1006492094.20,748275582.96,370713628.35,1031920019.53,788613526.11,537745090.61,224607782.27,994227263.29,705112498.28,481152541.53,248634496.06,937543634.78,758030717.98,529355699.77,223878581.36,939181159.15,736190037.35,508615027.59,205372765.88,768299679.62,534667164.00,337767647.88,119624498.52,542973211.34,379064127.06,240179656.73,61586543.14,480866763.17,378027973.29,399507570.23,262979972.31,0.0
