,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1222355497.37,5391306530.22,3985620435.28,2581238945.16,1310719141.66,5875232209.34,4161288964.84,2722043541.54,1336331413.25,5703097066.91,3517644500.00,2192498921.11,1220146194.11,3686460242.59,2564846453.24,1590874669.12,869902587.33,3286935630.95,2293032683.19,1385251550.44,814632103.26,3314035032.62,2243208554.81,1323849741.58,805221687.07,2995795304.57,2119069929.09,1315577679.99,702968081.52,3148863796.15,2120726664.94,1218831206.32,730659610.20,2777690159.81,1916727969.56,1217349548.29,741075333.60,2088659586.12,1343955053.95,780113829.27,453646157.59,1317538187.67,829205973.39,470456644.58,298846126.06,1049900173.75,729885010.67,744580968.06,745665504.97,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69659.20,552743.74,0,0,327316.94,361451.08,361451.08,327316.94,314947.51,162509.93,162509.93,162509.93,374865.05,374865.05,374865.05,374865.05,1058107.50,31497099.68,0,0,528418.12,474551.69,111675.35,0,158035.93,0,0,0,0,0,0,1404669.80,0.0
4,收到的其他与经营活动有关的现金,21219315.40,65064950.99,122701004.43,75333175.11,6437186.32,55541875.10,69814907.88,109976760.09,54951311.06,28741647.74,46750094.93,36030293.27,47742965.69,38381205.76,16024781.41,10241717.88,6143199.67,50441392.67,14963146.31,37310762.13,22602369.59,32205247.26,22007493.41,9385239.40,14890095.70,35703596.94,31252771.78,16356230.49,11360939.18,48013280.42,37812532.88,22782121.24,4680057.40,34788528.52,29902663.66,28463377.45,12685806.57,17467261.75,13583814.65,14046010.78,3207747.93,13751700.17,7764790.20,6478633.78,6119550.18,3938723.52,2915850.80,5303693.99,6860563.02,0.0
5,经营活动现金流入小计,1243574812.77,5456371481.21,4108321439.71,2656572120.27,1317156327.98,5930774084.44,4231103872.72,2832020301.63,1391282724.31,5731838714.65,3564394594.93,2228529214.38,1267889159.80,3724841448.35,2580871234.65,1601116387.00,876045787.00,3337446682.82,2308548573.24,1422562312.57,837234472.85,3346567596.82,2265577499.30,1333596432.06,820439099.71,3031813849.02,2150485210.80,1332096420.41,714491530.63,3197251941.62,2158914062.87,1241988192.61,735714532.65,2813536795.83,1978127732.90,1245812925.74,753761140.17,2106655265.99,1358013420.29,794271515.40,456853905.52,1331447923.77,836970763.59,476935278.36,304965676.24,1053838897.27,732800861.47,749884662.05,753930737.79,0.0
6,购买商品、接受劳务支付的现金,756944364.53,2742080679.70,2404756443.98,1499929818.24,741280095.96,3697424885.49,2939502141.72,1860950122.19,837107821.84,3609821600.70,2323071420.44,1492025561.84,688643736.26,1803863738.21,1264408788.67,801825879.37,379886905.57,1741353288.34,1103671201.21,688480396.51,392445189.71,1720148709.09,1158120394.37,747790322.52,427284503.94,1614570293.93,1282604995.45,888757097.40,443559084.66,1951625661.63,1482693822.45,972415037.48,499030388.23,1661510580.80,1230350167.14,817875308.42,459565632.84,1375766897.97,1015684690.50,597309569.08,292742398.63,825941878.73,497940815.36,292176160.32,170804972.46,652826308.24,484156990.39,515703590.80,611151271.71,0.0
7,支付给职工以及为职工支付的现金,198449093.49,794623809.32,584528628.50,394850662.46,216333740.75,757730156.35,497826350.92,350948856.49,157384365.58,682014023.93,528866846.77,308145724.33,192581262.03,562633225.28,409832250.43,279583692.59,122890858.80,522729966.67,363246433.61,248495080.11,127429186.08,436243663.14,307775670.87,205648688.61,109160160.56,427048661.65,295690120.95,204246507.29,109028812.94,399667655.35,277085536.08,180220595.51,80729054.81,283502960.60,175212650.95,113024221.92,54108054.01,186294058.70,125007384.48,80022531.00,38345491.60,125658221.75,82522858.15,54585919.77,27680341.08,83679669.13,60320684.44,50772602.25,31357816.78,0.0
8,支付的各项税费,67616059.62,353097003.53,237605454.93,177510956.58,82126321.58,450058950.38,352950974.78,276696545.72,191246024.35,290836363.91,278845607.36,209963592.43,99563765.16,327932552.09,289162739.44,196014438.43,88108039.06,339971704.19,228510490.01,169389962.11,56994774.66,348516790.96,236936018.79,151360294.90,44117635.12,284769788.56,163508464.57,154261321.08,50970863.96,279759801.15,136285325.09,86790565.70,30574953.97,266127976.23,200750356.81,163921376.25,68856535.28,191136028.70,113139459.09,86897699.81,28685419.70,121194587.25,72950361.88,55356849.46,26356086.48,101950252.22,73012157.01,56555097.54,29891563.38,0.0
