,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1998908366.52,1311604979.60,652095553.70,3053656087.92,2099066989.01,1340443720.21,528312912.11,2124420496.18,1438619693.11,909194235.57,458290265.59,1492350266.59,818829888.03,426820819.37,212324652.81,787286011.57,483351760.05,313174738.26,136047618.16,866489994.81,565166983.21,366615023.31,145029775.95,875262382.84,522482568.24,315334246.31,155709108.79,664648706.42,379795539.25,248606676.30,95692426.18,1001896125.51,755710371.95,508375035.84,254165990.84,964395544.97,608469905.84,354277939.30,126307097.42,527034375.28,343290848.93,233614217.31,78319670.31,556259679.98,372069173.16,231710535.27,102165805.20,546122670.34,470695717.51,427155207.98,0.0
3,收到的税费返还,2827896.01,2292588.92,0,40977480.37,0,0,0,0,0,0,0,64919.51,2897270.32,0,0,160324.85,239733.09,0,0,56812.74,9954.03,9954.03,9954.03,87054.00,73513.29,51229.35,56482.10,5685.95,5685.95,5168.19,5168.19,261216.61,165292.53,165292.53,165292.53,287846.75,287846.75,17048.93,17048.93,5798068.65,2024905.17,0,0,1964439.27,0,8876.98,8876.98,1267371.70,491834.05,53454.83,0.0
4,收到的其他与经营活动有关的现金,313840718.52,270534291.13,156990678.48,554719588.13,571442770.72,304397048.34,35936647.35,454173277.41,285436217.24,229515963.70,11714905.13,468077389.38,401787926.06,69824036.14,65534613.71,70449702.04,40609159.62,7427665.71,4164549.62,107363169.16,70927276.53,50800657.09,8088360.89,131470235.03,128713565.81,69330040.72,34761197.23,118580665.69,122498270.31,54511982.31,10963348.00,195908944.76,90618994.84,14632807.81,8664588.13,227430610.77,167822041.54,23732035.92,5952941.51,140217389.92,97025621.96,32679512.41,4589397.76,35629510.03,36829899.86,26037795.30,7382610.17,33144167.73,21848242.82,27093228.58,0.0
5,经营活动现金流入小计,2315576981.05,1584431859.65,809086232.18,3649353156.42,2670509759.73,1644840768.55,564249559.46,2578593773.59,1724055910.35,1138710199.27,470005170.72,1960492575.48,1223515084.41,496644855.51,277859266.52,857896038.46,524200652.76,320602403.97,140212167.78,973909976.71,636104213.77,417425634.43,153128090.87,1006819671.87,651269647.34,384715516.38,190526788.12,783235058.06,502299495.51,303123826.80,106660942.37,1198066286.88,846494659.32,523173136.18,262995871.50,1192114002.49,776579794.13,378027024.15,132277087.86,673049833.85,442341376.06,266293729.72,82909068.07,593853629.28,408899073.02,257757207.55,109557292.35,580534209.77,493035794.38,454301891.39,0.0
6,购买商品、接受劳务支付的现金,2296425443.16,1399709080.58,685056917.40,2503803970.42,1758418540.44,1098620299.29,501059999.17,1676042114.53,1275112877.03,718679769.67,230852379.85,1303819257.65,761989501.96,250483991.30,106061479.41,442415659.51,266755414.40,156296189.60,52060201.52,455007506.04,298618645.36,227513073.71,107363522.28,576001978.49,384166337.77,240650497.94,101422721.78,358456856.14,279866114.63,163198880.98,81071105.04,801259296.77,610906669.20,457677213.25,239221739.30,614581752.42,422038224.20,245742090.44,91231047.75,318130341.83,201489779.56,119529454.04,48973418.55,333382318.45,239189156.84,173672446.44,61459170.89,307413829.42,275075962.00,231082345.38,0.0
7,支付给职工以及为职工支付的现金,722388630.36,511950720.47,318782776.72,791609122.06,590020458.24,391252985.35,228963412.49,583937858.38,438521284.92,314778377.13,178374288.07,482829389.32,368705531.33,180406700.53,108723319.82,293375456.65,222257411.58,156723400.17,94581743.68,266436401.27,211985631.75,149826736.59,91490770.64,271622676.44,203055964.03,141180322.68,83140784.46,239412681.53,181162194.53,125780008.83,74184773.89,216132795.26,154104096.89,98576494.55,56263808.35,162523136.64,120515584.41,80891137.73,46886734.27,133004810.49,91413536.82,63657861.19,36736975.88,109733215.36,80460950.40,55434374.70,32024146.62,96553464.87,91714471.44,83026687.99,0.0
8,支付的各项税费,134139479.19,93397205.80,25929566.54,135664900.97,100314505.94,64953153.85,29154568.36,110888206.04,82113484.18,48706102.03,19683820.87,118167855.65,97499459.67,67152612.34,38492693.42,50158604.36,58622485.36,38564500.19,16576979.25,64693032.71,41301746.71,26412421.87,13684731.98,66425753.80,49780830.78,29449824.49,13336637.24,99454221.13,80543033.49,55947884.98,32379392.71,75729509.99,51930733.64,35386318.28,16281761.58,52883370.06,40710912.29,29977251.16,14970289.73,50991670.32,42307276.42,29451818.21,18659899.35,43702674.77,30463333.62,21598454.92,9294868.75,35852890.58,27974767.10,29748734.91,0.0
9,支付的其他与经营活动有关的现金,123059861.26,56539385.97,33175860.19,238722764.09,168262880.95,122763840.74,60528926.83,176104915.39,137400518.07,57383827.24,46110319.56,257094516.28,145959785.09,67867901.52,36100709.84,115501259.61,75072473.54,51538868.62,26027895.44,94939784.93,87159507.64,50366135.93,26861111.78,118916723.36,101751355.27,49275927.42,26849118.04,107755711.49,135247606.13,48738951.65,25585294.88,132583290.51,88763390.87,61087265.37,29809373.08,101539046.58,63876517.06,44266580.58,25396941.20,93590817.79,40926268.69,27140622.46,12442158.12,66184690.59,48636399.75,33110909.74,12241605.77,72237121.06,44539727.71,42795457.12,0.0
10,经营活动现金流出小计,3276013413.97,2061596392.82,1062945120.85,3669800757.54,2617016385.57,1677590279.23,819706906.85,2546973094.34,1933148164.20,1139548076.07,475020808.35,2161911018.90,1374154278.05,565911205.69,289378202.49,901450980.13,622707784.88,403122958.58,189246819.89,881076724.95,639065531.46,454118368.10,239400136.68,1032967132.09,738754487.85,460556572.53,224749261.52,805079470.29,676818948.78,393665726.44,213220566.52,1225704892.53,905704890.60,652727291.45,341576682.31,931527305.70,647141237.96,400877059.91,178485012.95,595717640.43,376136861.49,239779755.90,116812451.90,553002899.17,398749840.61,283816185.80,115019792.03,512057305.93,439304928.25,386653225.40,0.0
11,经营活动产生的现金流量净额,-960436432.92,-477164533.17,-253858888.67,-20447601.12,53493374.16,-32749510.68,-255457347.39,31620679.25,-209092253.85,-837876.80,-5015637.63,-201418443.42,-150639193.64,-69266350.18,-11518935.97,-43554941.67,-98507132.12,-82520554.61,-49034652.11,92833251.76,-2961317.69,-36692733.67,-86272045.81,-26147460.22,-87484840.51,-75841056.15,-34222473.40,-21844412.23,-174519453.27,-90541899.64,-106559624.15,-27638605.65,-59210231.28,-129554155.27,-78580810.81,260586696.79,129438556.17,-22850035.76,-46207925.09,77332193.42,66204514.57,26513973.82,-33903383.83,40850730.11,10149232.41,-26058978.25,-5462499.68,68476903.84,53730866.13,67648665.99,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,2000000.00,2000000.00,2000000.00,0,0,0,0,0,0,0,0,333183.22,0,0,0,0,0,0,0,0,0,0,0,74068.15,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9501.37,9501.37,9501.37,9501.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720000.00,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,883743.53,0,0,427154.88,215672.39,56917.39,4735.51,166311.44,142891.44,113741.44,1433.76,589340.21,582949.73,134812.73,700.00,69186.13,68463.78,63663.78,1008.55,23875.90,23835.90,2835.90,1435.90,3469616.11,3453707.56,3448407.56,0,207988.20,76918.20,35848.20,35662.73,242275.48,213115.39,211488.04,75108.38,108327.09,47895.98,43405.13,1000.00,811957.44,13890.00,6700.00,5200.00,170431.39,138331.40,125751.40,6240.00,1926500.00,365919.30,193554.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6493791.00,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,11210000.00,11210000.00,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,883743.53,0.00,0.00,427154.88,215672.39,56917.39,4735.51,166311.44,142891.44,113741.44,1433.76,589340.21,582949.73,134812.73,700.00,69186.13,68463.78,63663.78,1008.55,2033377.27,2033337.27,2012337.27,2010937.27,3469616.11,3453707.56,3448407.56,0.00,207988.20,76918.20,35848.20,35662.73,575458.70,213115.39,211488.04,75108.38,108327.09,47895.98,43405.13,1000.00,12021957.44,11223890.00,6700.00,5200.00,244499.54,138331.40,125751.40,6240.00,1926500.00,365919.30,7407345.00,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,140527454.64,110724076.92,62466352.93,244352333.82,216847707.21,143018916.48,121402114.54,232257437.44,169870873.55,75972379.02,35018649.94,178397802.93,41930113.42,24126361.60,17433109.75,67004913.54,42841273.11,22951814.28,16969042.24,195834577.00,123400840.04,89901128.08,39479018.28,165590701.23,98117253.34,69864613.86,31067433.75,374077789.89,170645338.22,102521115.15,45913392.94,228595747.95,137335675.38,82648070.59,60133632.78,228398457.13,167565971.78,52021214.35,34291590.77,96039888.03,72097461.37,42782873.28,12238711.46,65051270.78,53209421.46,42650823.90,10856850.31,28892975.00,12870615.50,28739950.56,0.0
20,投资所支付的现金,20000000.00,10000000.00,10000000.00,0,0,0,0,0,169900.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,0,0,0,0,0,0,0,904700.00,904700.00,0,0,1950000.00,1950000.00,1950000.00,1950000.00,1316300.00,1316300.00,682900.00,0,0,0,0,0,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21777800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2446260.82,0,9467303.16,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971186.02,0,0,0.0
