,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2693583821.28,1926906935.29,1257336735.26,480472823.36,1918918261.25,1364896426.96,863721356.17,397362062.44,1333357784.96,943376092.84,599652848.30,255420051.74,1082350533.56,756828268.45,475832686.24,210983502.10,1089856502.99,778923811.49,530973580.53,235474483.01,1103661594.27,779776941.54,509509534.98,229539868.92,944555204.39,657808462.29,397012340.36,182668481.97,773284894.92,552480857.66,330432581.66,132111390.38,667654407.76,467772659.98,295372733.69,116718148.26,459922076.72,290108025.33,162508076.84,71424928.41,304076960.07,203864255.32,138635088.24,67680234.32,303128436.65,387744062.81,0.0
3,收到的税费返还,1542278.29,1512179.22,1035304.99,179285.19,1179140.26,943055.39,742172.99,464067.72,101378.35,101378.35,101378.35,0,1626981.59,199756.27,142257.20,142257.20,1056412.45,0,0,0,2512528.14,297052.32,274048.20,274048.20,2503081.09,240201.17,240201.17,109908.12,0,0,0,0,0,0,0,0,6351206.00,515784.37,500000.00,0,20263.00,20263.00,20263.00,0,0,0,0.0
4,收到的其他与经营活动有关的现金,498909130.74,341524749.32,208164351.32,102873687.97,332874077.12,188812955.63,135434912.66,63913039.66,114234730.60,69189107.11,21832219.33,9925749.23,67283628.62,45610252.82,28226068.26,9382283.48,13646769.98,43342505.37,21783091.23,10686185.87,50802739.86,41996299.46,30859537.95,11430621.04,47689112.93,39260050.53,22475648.28,8165678.90,28746419.10,44642898.86,39659665.22,20731012.42,34603607.70,30796994.01,16857605.11,18320304.37,19780176.30,26627954.67,9105347.94,9456799.46,9383441.19,6069615.80,3962945.27,3178007.02,6858217.67,11198538.33,0.0
5,经营活动现金流入小计,3194035230.31,2269943863.83,1466536391.57,583525796.52,2252971478.63,1554652437.98,999898441.82,461739169.82,1447693893.91,1012666578.30,621586445.98,265345800.97,1151261143.77,802638277.54,504201011.70,220508042.78,1104559685.42,822266316.86,552756671.76,246160668.88,1156976862.27,822070293.32,540643121.13,241244538.16,994747398.41,697308713.99,419728189.81,190944068.99,802031314.02,597123756.52,370092246.88,152842402.80,702258015.46,498569653.99,312230338.80,135038452.63,486053459.02,317251764.37,172113424.78,80881727.87,313480664.26,209954134.12,142618296.51,70858241.34,309986654.32,398942601.14,0.0
6,购买商品、接受劳务支付的现金,1707936639.83,1215205663.16,889218406.96,417609998.66,1256164440.90,836300847.68,522900644.44,233108688.60,815374004.79,533411555.04,365029317.15,169541904.19,398101101.73,263911415.63,168983287.89,101562515.40,423448074.89,290484572.72,207466222.23,98154335.01,537609869.66,378354187.96,268462202.10,132649786.14,459227392.25,303966203.89,191607604.14,97223389.40,390907646.06,286326696.90,189055188.30,83066865.24,451970550.17,352391278.36,222458687.03,116964573.10,353735601.38,199779186.33,96161270.49,44117810.50,149111310.16,112599890.74,76077909.60,43536683.69,181951394.73,248880060.33,0.0
7,支付给职工以及为职工支付的现金,291213121.51,219449803.03,150773419.51,88803625.31,232466705.72,173363132.52,114633082.53,62430972.10,190396751.41,141295549.43,95777732.27,50519026.48,174016367.08,127829693.09,88104175.82,53014626.99,178126774.46,136154869.96,95443386.35,55403120.24,189262079.00,140356175.04,96185578.55,58314943.01,159009944.72,118615502.10,80457622.39,46163287.01,125493412.68,83631892.79,56907020.26,33532677.00,93508733.00,65903141.10,42575881.49,20777383.13,60656865.88,36951409.27,23431701.10,11955430.34,38914311.65,27865537.53,18023518.30,8483865.14,33737704.49,29987178.09,0.0
8,支付的各项税费,191594868.25,149013972.49,98413927.12,42870651.96,152562678.21,114663970.80,77808103.55,29717988.15,122927325.54,84001937.14,58682822.05,23843264.77,113233019.67,84433326.27,58165512.23,28787185.77,161531389.36,122982885.42,86221562.50,38781809.46,165010214.99,124226267.89,77915249.42,32647169.18,157037364.84,111220452.71,74398304.93,36233076.29,124275965.29,88205882.70,55610702.95,27510782.85,67713622.04,48588515.62,30597068.84,15596643.70,40432708.32,33919268.67,18997613.13,10415095.45,32454484.63,26341690.05,17079241.92,9677684.47,37624439.89,37370867.39,0.0
9,支付的其他与经营活动有关的现金,694989960.80,475700609.71,287325808.44,151141604.14,533883955.23,355761070.25,247585145.78,109027764.01,244295720.77,174623545.73,82256596.33,35117236.78,177762531.51,120498301.65,79632876.79,48398124.31,134892742.19,150720892.28,69615624.44,42348482.19,179133501.28,135953053.03,90583471.59,42765841.18,141836331.67,110787709.37,65769003.71,26792451.87,129905626.58,79838542.05,46873952.05,23710700.11,61964321.39,39106757.52,30563819.93,26473546.65,37231957.48,31839829.76,19880560.46,10866411.51,22996128.65,14256285.10,6960624.76,7765461.31,16105471.26,17564505.97,0.0
10,经营活动现金流出小计,2885734590.39,2059370048.39,1425731562.03,700425880.07,2175077780.06,1480089021.25,962926976.30,434285412.86,1372993802.51,933332587.34,601746467.80,279021432.22,863113019.99,596672736.64,394885852.73,231762452.47,897998980.90,700343220.38,458746795.52,234687746.90,1071015664.93,778889683.92,533146501.66,266377739.51,917111033.48,644589868.07,412232535.17,206412204.57,770582650.61,538003014.44,348446863.56,167821025.20,675157226.60,505989692.60,326195457.29,179812146.58,492057133.06,302489694.03,158471145.18,77354747.80,243476235.09,181063403.42,118141294.58,69463694.61,269419010.37,333802611.78,0.0
11,经营活动产生的现金流量净额,308300639.92,210573815.44,40804829.54,-116900083.55,77893698.57,74563416.73,36971465.52,27453756.96,74700091.40,79333990.96,19839978.18,-13675631.25,288148123.78,205965540.90,109315158.97,-11254409.69,206560704.52,121923096.48,94009876.24,11472921.98,85961197.34,43180609.40,7496619.47,-25133201.35,77636364.93,52718845.92,7495654.64,-15468135.58,31448663.41,59120742.08,21645383.32,-14978622.40,27100788.86,-7420038.61,-13965118.49,-44773693.95,-6003674.04,14762070.34,13642279.60,3526980.07,70004429.17,28890730.70,24477001.93,1394546.73,40567643.95,65139989.36,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,810000.00,0,0,0,10370000.00,0,0,0,0,0,0,0,600000.00,600000.00,0,0,500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075520.00,0.0
14,取得投资收益所收到的现金,25724589.23,23620811.26,22021602.67,5082849.45,24031422.72,1350000.00,1350000.00,0,1458000.00,1458000.00,0,0,5239410.72,5239410.72,5186800.00,3836800.00,0,0,0,186694.90,2189330.00,839330.00,554330.00,0,1586363.64,965394.97,195000.00,0,2219499.90,2119500.00,972000.00,972000.00,199999.80,199999.80,0,0,199999.80,0,0,0,0,0,0,0,0,556885.34,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,6096954.51,2512013.40,1962197.40,595248.27,2726612.03,2189843.19,923395.70,120425.62,7101056.89,3809239.05,1935708.05,1016130.35,11110277.44,9422661.47,9055008.47,8263606.72,1545472.87,1015536.64,751115.70,273663.30,1942544.53,1789595.74,202011.36,26130.50,312241.00,193241.00,92484.50,86463.00,1093524.70,479425.50,364200.80,21750.00,1137500.00,1094500.00,1094500.00,84700.00,81480.50,0,13000.00,0,175000.00,175000.00,175000.00,0,208000.00,31800.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000.00,3162028.08,0.0
