,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,7403389535.00,5443399016.00,3420825310.00,1573494591.00,5798114729.00,3975070600.00,2470041986.00,1220936348.00,4489048984.00,3186462540.00,1965609287.00,868098989.00,4074758428.00,2910137255.00,1888495343.00,819227972.00,3506281802.00,2275677753.00,1519904697.00,728620948.00,3424905063.00,2405126678.00,1555831504.00,732053874.00,3295775935.00,2296285507.00,1398041452.00,680712340.00,3224964012.00,2230740235.00,1402669413.00,701511719.00,3341526246.00,2437905523.00,1497841775.00,773006333.00,3046449625.00,2074395016.00,1384267754.00,685480369.00,2276459575.00,1562536373.00,1077636952.00,3142320897.00,2790480489.00,0.0
3,收到的税费返还,148158730.00,112397409.00,80853594.00,54565691.00,198775725.00,166700487.00,88070295.00,46037932.00,103644771.00,84473624.00,48475618.00,16213285.00,33108749.00,41975313.00,25001885.00,14030804.00,74001029.00,55739320.00,49228235.00,23929649.00,167903070.00,162278858.00,88196709.00,49701891.00,95778452.00,92772794.00,53838786.00,10610727.00,61365977.00,43027293.00,19382318.00,9925740.00,92418634.00,67405432.00,49094637.00,16788288.00,84174958.00,55845486.00,38776231.00,9470843.00,49752931.00,38321807.00,12749799.00,65579712.00,87243336.00,0.0
4,收到的其他与经营活动有关的现金,25193583.00,30192612.00,19360519.00,10803842.00,23705498.00,33738711.00,22731027.00,11959260.00,40974458.00,52641468.00,45488348.00,53649807.00,17112841.00,29487748.00,18114065.00,18937775.00,22447799.00,52140678.00,27717032.00,18547563.00,10056054.00,113764816.00,65305892.00,89447455.00,34231251.00,20189885.00,6298033.00,44050630.00,43041171.00,18670121.00,4355886.00,37646894.00,41642410.00,15255316.00,4671656.00,33020363.00,16490440.00,8846053.00,3596983.00,31135656.00,14165557.00,22190411.00,13504861.00,3515929.00,3535060.00,0.0
5,经营活动现金流入小计,7576741848.00,5585989037.00,3521039423.00,1638864124.00,6020595952.00,4175509798.00,2580843308.00,1278933540.00,4633668213.00,3323577632.00,2059573253.00,937962081.00,4124980018.00,2981600316.00,1931611293.00,852196551.00,3602730630.00,2383557751.00,1596849964.00,771098160.00,3602864187.00,2681170352.00,1709334105.00,871203220.00,3425785638.00,2409248186.00,1458178271.00,735373697.00,3329371160.00,2292437649.00,1426407617.00,749084353.00,3475587290.00,2520566271.00,1551608068.00,822814984.00,3147115023.00,2139086555.00,1426640968.00,726086868.00,2340378063.00,1623048591.00,1103891612.00,3211416538.00,2881258885.00,0.0
6,购买商品、接受劳务支付的现金,4650334298.00,3409197538.00,2159226104.00,1036809144.00,3789177284.00,2649816822.00,1728994415.00,835435207.00,3211994069.00,2368656984.00,1557422770.00,744121980.00,2794538794.00,1911782943.00,1248522948.00,586517908.00,2561160402.00,1458170410.00,1001772950.00,512125997.00,2734242967.00,1824506141.00,1233950292.00,614264529.00,2384757949.00,1577466808.00,1022413113.00,456006236.00,2030154105.00,1600527059.00,966991405.00,477157160.00,2388596838.00,1757776756.00,1047189208.00,526950175.00,2093095108.00,1488838761.00,984351844.00,428373646.00,1497667478.00,1074157253.00,704278275.00,2265873898.00,2373923093.00,0.0
7,支付给职工以及为职工支付的现金,1182138887.00,867721433.00,587599697.00,302993309.00,969982649.00,716808611.00,494930780.00,259869935.00,852922847.00,631103560.00,435306360.00,225855746.00,656887137.00,504054641.00,344113120.00,141634599.00,616564412.00,522861898.00,370693270.00,198235370.00,537689256.00,418724145.00,280656363.00,136149367.00,439851475.00,316719708.00,219446900.00,115260518.00,401379427.00,298225660.00,204316088.00,107391939.00,363309882.00,279363555.00,190810545.00,106538878.00,372097178.00,255520533.00,168505122.00,92932959.00,262901873.00,178903084.00,121204174.00,258380931.00,208751433.00,0.0
8,支付的各项税费,367829967.00,256578830.00,166378724.00,95801924.00,236377449.00,136122179.00,86004506.00,51584264.00,171825246.00,108636082.00,74397274.00,27092756.00,144303541.00,111728347.00,78950745.00,43150622.00,92770678.00,76698604.00,51159179.00,25588693.00,42936265.00,35850307.00,41593638.00,40342335.00,87896991.00,148993350.00,63609831.00,46241651.00,252662742.00,106601946.00,65976699.00,31482732.00,104493757.00,78981011.00,63878408.00,26000585.00,96031236.00,64344122.00,58577780.00,44037922.00,55094566.00,35493167.00,28555001.00,77910832.00,9721880.00,0.0
9,支付的其他与经营活动有关的现金,312257447.00,72119413.00,48704960.00,26086423.00,272676088.00,66244108.00,48210507.00,22327968.00,242444486.00,113371026.00,53184445.00,21976618.00,219163214.00,258471274.00,216398120.00,144971027.00,199811482.00,289962788.00,191397555.00,106947898.00,230020545.00,248984444.00,104676861.00,93312440.00,169815384.00,108727373.00,72766314.00,536688338.00,173576978.00,105150942.00,80047867.00,78357922.00,192692720.00,104768299.00,83264578.00,80648950.00,157898688.00,98717223.00,58363134.00,83394868.00,119770839.00,84759295.00,56933844.00,129824277.00,124159604.00,0.0
10,经营活动现金流出小计,6512560599.00,4605617214.00,2961909485.00,1461690800.00,5268213470.00,3568991720.00,2358140208.00,1169217374.00,4479186648.00,3221767652.00,2120310849.00,1019047100.00,3814892686.00,2786037205.00,1887984933.00,916274156.00,3470306974.00,2347693700.00,1615022954.00,842897958.00,3544889033.00,2528065037.00,1660877154.00,884068671.00,3082321799.00,2151907239.00,1378236158.00,1154196743.00,2857773252.00,2110505607.00,1317332059.00,694389753.00,3049093197.00,2220889621.00,1385142739.00,740138588.00,2719122210.00,1907420639.00,1269797881.00,648739395.00,1935434756.00,1373312799.00,910971294.00,2731989938.00,2716556010.00,0.0
11,经营活动产生的现金流量净额,1064181249.00,980371823.00,559129938.00,177173324.00,752382482.00,606518078.00,222703100.00,109716166.00,154481565.00,101809980.00,-60737596.00,-81085019.00,310087332.00,195563111.00,43626360.00,-64077605.00,132423656.00,35864051.00,-18172990.00,-71799798.00,57975154.00,153105315.00,48456951.00,-12865451.00,343463839.00,257340947.00,79942113.00,-418823046.00,471597908.00,181932042.00,109075558.00,54694600.00,426494093.00,299676650.00,166465329.00,82676396.00,427992813.00,231665916.00,156843087.00,77347473.00,404943307.00,249735792.00,192920318.00,479426600.00,164702875.00,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878700000.00,0,1234500000.00,1098900000.00,522900000.00,0,979062870.00,400000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,21399591.00,11688455.00,6906350.00,4980956.00,12142544.00,7437276.00,4069051.00,2616884.00,7238072.00,4913806.00,1095069.00,1030863.00,831649.00,910935.00,50593.00,29833.00,6079045.00,5346431.00,4655210.00,2798056.00,4767226.00,2087407.00,2023366.00,509547.00,15942126.00,6177353.00,1499015.00,695043.00,10053270.00,7140055.00,4917589.00,0,0,3853585.00,1315926.00,0,0,0,0,0,0,0,0,0,1496497.00,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,545518.00,491181.00,434699.00,191799.00,1414635.00,1006400.00,203272.00,0,47054.00,6776.00,6776.00,6776.00,38210427.00,8218689.00,6872689.00,2304550.00,2513693.00,28100.00,28100.00,0,4558727.00,0,0,0,1724116.00,0,0,0,88422.00,0,0,0,3083654.00,81400000.00,81400000.00,81400000.00,452796.00,423799.00,423799.00,0,517416.00,1184538.00,1184538.00,338797.00,126530.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,2966.00,2966.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317777.00,317777.00,317777.00,0,0,0.0
17,收到的其他与投资活动有关的现金,8165449166.00,4847278006.00,3416777781.00,1932777781.00,4902507000.00,3196207000.00,1853617000.00,1051764000.00,1291000000.00,650500000.00,565500000.00,255005376.00,615871200.00,290000000.00,110000000.00,110097210.00,2379910850.00,2173868472.00,1588920000.00,0,2286825000.00,128600000.00,0,17000000.00,1525932500.00,27199700.00,27199700.00,27199700.00,6842536.00,0,0,0,82487618.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,8187394275.00,4859460608.00,3424121796.00,1937950536.00,4916064179.00,3204650676.00,1857889323.00,1054380884.00,1298285126.00,655420582.00,566601845.00,256043015.00,654913276.00,299129624.00,116923282.00,112431593.00,2388503588.00,2179243003.00,1593603310.00,881498056.00,2296150953.00,1365187407.00,1100923366.00,540409547.00,1543598742.00,1012439923.00,428698715.00,27894743.00,16984228.00,7140055.00,4917589.00,0.00,85571272.00,85253585.00,82715926.00,81400000.00,452796.00,423799.00,423799.00,0,835193.00,1502315.00,1502315.00,338797.00,1623027.00,0.0
