,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2215716635.42,1706946235.22,1092693638.02,494705483.92,2142207320.90,1693074325.12,1070958412.10,483071466.97,1888242827.47,1390288213.85,880470942.56,412016912.76,1405512449.75,1047882053.25,670742652.28,296340219.72,1092130558.21,838228623.56,525343036.23,241183608.47,1025919244.75,852587299.81,536836828.98,226767484.67,995971592.29,772821240.89,452238621.13,187669081.51,782685726.80,606734717.22,358585251.74,133220558.63,767608097.45,545333492.08,313126486.39,148457046.15,652446469.34,460584139.80,304630998.13,119084979.66,553380376.99,375814525.16,474169881.53,516152436.88,0.0
3,收到的税费返还,0,323924.55,0,0,806960.56,806960.56,806960.56,806960.56,0,0,0,0,0,0,0,0,20091.42,0,0,0,28774.42,0,0,0,0,44311.00,44311.00,0,108556.12,215479.58,215479.58,108556.12,83488.48,83488.48,83488.48,83488.48,0,0,0,0,0,0,73388.66,503485.70,0.0
4,收到的其他与经营活动有关的现金,63887161.47,19864646.62,7898874.05,2181950.38,80353907.94,72602578.76,32889916.02,1401150.53,41683296.51,41570568.10,33675764.77,5344458.50,38034410.27,17733538.47,6234851.76,2411410.18,43425346.76,30960423.66,25403949.95,5067207.69,30603329.18,23360545.95,11154707.97,4909675.78,37524020.28,22936788.76,21169797.19,8829544.74,19327165.60,14530888.61,12202239.60,2150933.00,20752829.04,11546008.71,9399799.36,6477789.29,19088736.18,6391736.72,5061078.79,2543061.36,20208228.68,18129159.09,7039940.60,10001539.96,0.0
5,经营活动现金流入小计,2279603796.89,1727134806.39,1100592512.07,496887434.30,2223368189.40,1766483864.44,1104655288.68,485279578.06,1929926123.98,1431858781.95,914146707.33,417361371.26,1443546860.02,1065615591.72,676977504.04,298751629.90,1135575996.39,869189047.22,550746986.18,246250816.16,1056551348.35,875947845.76,547991536.95,231677160.45,1033495612.57,795802340.65,473452729.32,196498626.25,802121448.52,621481085.41,371002970.92,135480047.75,788444414.97,556962989.27,322609774.23,155018323.92,671535205.52,466975876.52,309692076.92,121628041.02,573588605.67,393943684.25,481283210.79,526657462.54,0.0
6,购买商品、接受劳务支付的现金,831044404.93,618966008.56,436672800.66,298875942.94,879137910.34,688986413.06,502233636.47,335860653.39,792969015.69,569737860.20,424082657.71,214300891.94,530671890.11,422154924.39,302502914.37,142083144.38,449920070.94,360083749.55,270084708.83,136384373.90,504272466.00,463473891.03,319822261.92,189136927.39,453437025.06,336558040.36,212114853.95,108221642.81,338653748.13,252517620.87,153037810.85,70009337.27,385161075.40,296051086.90,181336312.74,77225503.79,359444861.17,251665222.99,166692045.79,81256797.02,233239235.28,152696560.72,285683340.27,316978587.30,0.0
7,支付给职工以及为职工支付的现金,225146234.56,166958891.36,113413275.51,59697218.80,202476666.27,152911195.49,106980132.21,54088177.27,170788589.05,129107352.26,87201773.45,45014141.05,150016326.55,116870379.91,80221990.03,43216309.44,135560648.14,100945530.20,66426979.29,33630891.64,121437704.42,89748471.31,60950892.58,31393353.68,108040933.87,80137823.72,52820132.31,28398891.59,91816396.90,65126666.78,49015286.65,26220983.57,80971344.57,51173738.72,37203668.00,27987101.76,59801598.53,47907120.42,31087351.06,13560028.78,57998837.22,42791751.28,65308235.26,47985943.31,0.0
8,支付的各项税费,306302017.27,232240471.70,161620726.10,70559345.03,307156681.78,239240078.08,161507173.45,63526973.55,238405505.30,172638107.28,119955140.46,47247933.38,181528973.94,139663880.36,99326089.23,32181136.14,132942083.32,99703322.31,64223244.64,18993922.60,130146599.63,107341452.75,74273012.55,23032165.80,113056380.80,86392770.07,56987540.70,24528227.44,87520474.17,66588932.38,38397687.64,12632785.37,76013188.49,52970216.76,31098111.40,10370852.11,57267477.38,43965361.02,26741915.79,11679700.95,60041352.18,39960213.09,49943574.61,40096873.84,0.0
