,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1563890637.13,979054912.19,669695246.38,347814623.56,2032902412.80,1306497543.57,883078365.36,447167639.25,2857498005.79,1966820066.25,1256279909.38,565748424.15,3221828977.97,1832662259.95,1184151726.60,536149694.40,4070746216.27,2042385931.97,744819598.10,446583582.56,1963485056.91,1128475807.78,717880702.40,348621119.58,1613991918.25,919696666.93,530300064.18,300009498.05,1243301166.48,654697061.14,411257157.86,204076631.00,878678353.32,507125405.59,272777173.35,127811186.81,517035969.99,297288700.26,170189198.49,86914376.97,333567333.22,207685183.02,127343809.92,53910296.26,246327781.67,153280862.04,148393814.31,87898947.43,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,18425183.22,19200703.73,0,0,11243633.82,0,0,40347.71,40347.71,40347.71,0,0,0,0,0,0,0,0,0,0,0,0,0,28647.66,28647.66,28647.66,0,0,0,0,0,8410.46,0,0,0,0.0
4,收到的其他与经营活动有关的现金,76153737.97,142191048.33,105225708.64,44565030.09,89633274.91,163125637.79,103228401.95,50118588.31,124736069.60,221999959.22,149158822.42,75673541.04,106956658.03,136972685.66,104850231.98,57686765.10,96453959.95,69992693.92,24783295.79,13212398.71,48931161.53,58472972.20,49744971.01,30789514.22,32273735.71,20378860.47,9871488.19,4755146.20,15743156.72,14196645.62,10856675.63,6707607.50,10729701.57,9350053.50,6992889.20,10561253.65,12024347.79,8190220.31,6242659.46,4934218.24,9008580.30,5247512.67,2156039.14,838430.84,9316415.81,3144605.75,8612150.50,4642824.45,0.0
5,经营活动现金流入小计,1640044375.10,1121245960.52,774920955.02,392379653.65,2122535687.71,1469623181.36,986306767.31,497286227.56,2982234075.39,2188820025.47,1405438731.80,641421965.19,3328785636.00,1988060128.83,1308202662.31,593836459.50,4167200176.22,2123622259.71,769602893.89,459795981.27,2012456566.15,1186989127.69,767666021.12,379410633.80,1646265653.96,940075527.40,540171552.37,304764644.25,1259044323.20,668893706.76,422113833.49,210784238.50,889408054.89,516475459.09,279770062.55,138372440.46,529088965.44,305507568.23,176460505.61,91848595.21,342575913.52,212932695.69,129499849.06,54748727.10,255652607.94,156425467.79,157005964.81,92541771.88,0.0
6,购买商品、接受劳务支付的现金,983203045.35,757354226.40,454381353.79,185246927.60,1546934157.48,1139018452.72,778824748.93,389385223.01,2254351059.87,1743813361.55,1041094675.59,512367713.78,2149676955.76,1476213146.55,997111203.13,438218689.53,3306999320.52,1795250440.94,571892860.38,289366821.21,1125181527.25,853125395.71,581770369.98,326361536.05,915618024.74,618818257.09,416166841.83,194415966.23,655095668.47,434952146.82,271915052.96,179108552.54,517030054.98,386406045.68,217090471.75,101119260.63,266062587.99,180214344.84,122508709.99,74295797.95,188028141.68,118465508.75,80813690.78,37932044.73,139437318.49,97838981.26,118015153.30,63542702.43,0.0
7,支付给职工以及为职工支付的现金,199861352.99,141407234.13,105969983.54,61636513.71,209496453.91,158202979.03,113634448.43,66251812.77,246091992.63,195308163.33,138269794.38,82422339.61,271074677.23,195111553.39,137035312.56,78359450.39,195367949.33,136412906.45,94280696.96,61095878.96,147859011.20,116386109.34,85031242.77,52861714.43,124152671.70,95935257.22,68247276.77,45047495.80,93613908.24,70330892.10,49448563.59,25998272.78,63347404.93,44693791.34,30757917.95,18364222.37,39174256.51,27918330.79,18150845.35,8820337.82,20096522.46,14929938.46,8988623.88,6366609.13,15625241.57,9968750.14,5494081.38,3096487.33,0.0
8,支付的各项税费,100163584.11,98312682.60,77360961.95,48106037.87,118021537.94,91799134.44,76184585.11,59688030.87,143473997.17,135792168.32,101010807.42,72361735.56,182734403.70,128732713.72,98511103.87,51207663.15,217893300.16,163439467.93,136146150.86,87889460.14,164945801.56,129809377.61,100054664.77,72791995.27,152144708.32,114513157.72,104360969.39,63517794.66,100455113.58,85140087.33,63982991.18,28789056.18,48642439.14,34836625.63,25065958.03,14072612.48,33960041.11,20479572.61,11836996.16,5207415.63,34639842.92,22820070.26,15250001.78,8033913.13,24289010.44,19824438.36,5949332.21,5436079.69,0.0
9,支付的其他与经营活动有关的现金,318481889.79,328674056.13,222658573.30,99288254.24,397682051.28,364971319.34,229295693.31,113884917.80,487138426.73,377496596.95,244702541.32,149666286.18,441007603.15,409147993.21,290872997.48,156268487.91,385026608.10,248592079.10,130470193.72,60449301.10,283557791.14,173344529.54,104032096.23,49498507.81,236081146.89,150920069.91,93393451.32,55731888.36,185202815.88,123588396.86,67237879.36,37187384.37,130925459.73,94693880.30,50607337.20,23200065.30,105816292.36,58010994.75,38159375.59,22603852.15,51132779.77,31811279.80,21006741.03,9549840.54,43975342.12,25934073.13,25395474.85,14060388.72,0.0
10,经营活动现金流出小计,1601709872.24,1325748199.26,860370872.58,394277733.42,2272134200.61,1753991885.53,1197939475.78,629209984.45,3131055476.40,2452410290.15,1525077818.71,816818075.13,3044493639.84,2209205406.87,1523530617.04,724054290.98,4105287178.11,2343694894.42,932789901.92,498801461.41,1721544131.15,1272665412.20,870888373.75,501513753.56,1427996551.65,980186741.94,682168539.31,358713145.05,1034367506.17,714011523.11,452584487.09,271083265.87,759945358.78,560630342.95,323521684.93,156756160.78,445013177.97,286623242.99,190655927.09,110927403.55,293897286.83,188026797.27,126059057.47,61882407.53,223326912.62,153566242.89,154854041.74,86135658.17,0.0
11,经营活动产生的现金流量净额,38334502.86,-204502238.74,-85449917.56,-1898079.77,-149598512.90,-284368704.17,-211632708.47,-131923756.89,-148821401.01,-263590264.68,-119639086.91,-175396109.94,284291996.16,-221145278.04,-215327954.73,-130217831.48,61912998.11,-220072634.71,-163187008.03,-39005480.14,290912435.00,-85676284.51,-103222352.63,-122103119.76,218269102.31,-40111214.54,-141996986.94,-53948500.80,224676817.03,-45117816.35,-30470653.60,-60299027.37,129462696.11,-44154883.86,-43751622.38,-18383720.32,84075787.47,18884325.24,-14195421.48,-19078808.34,48678626.69,24905898.42,3440791.59,-7133680.43,32325695.32,2859224.90,2151923.07,6406113.71,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,96492857.68,97885108.64,97836925.67,76760159.86,645500000.00,575034831.43,515000000.00,5000000.00,2659870000.00,1979870000.00,1279870000.00,479870000.00,1209000000.00,1115006760.25,1090006760.25,1046006760.25,1728000000.00,100000000.00,50000000.00,50000000.00,411410000.00,290410000.00,160000000.00,80000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,6447588.43,0,0,0.09,6036561.64,6040922.15,5422087.32,36000.00,23333824.94,15744455.08,10340126.31,2714756.46,1204833.71,906178.18,829630.19,723182.20,899333.42,583201.15,403615.00,361905.00,2876487.61,1951066.56,1233041.46,579452.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,68179457.03,78869488.81,78852710.00,0,156846.70,7660.00,7660.00,7660.00,994705.41,551844.23,1350.00,150.00,73799.99,73799.99,33799.99,33269.99,27070.00,17420.00,15720.00,2720.00,146970.94,101690.00,9690.00,2890.00,132508.00,132508.00,131078.00,1050.00,20000.00,20000.00,20000.00,0,81000.00,75000.00,35000.00,35000.00,19000.00,19000.00,19000.00,19000.00,125000.00,22000.00,22000.00,0,14649713.01,14520348.12,31370.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,-3060725.53,-148690.44,0,4090223.97,5100000.00,3100000.00,0,6915183.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195110.21,0,0,0,0.0
17,收到的其他与投资活动有关的现金,6996475.49,0,0,0,0,0,0,0,0,0,0,0,8708954.99,9162262.46,12329262.46,0,0,2471676.00,2471676.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,178116378.63,173693871.92,176540945.23,76760159.95,655783632.31,586183413.58,523529747.32,5043660.00,2691113714.19,1996166299.31,1290211476.31,482584906.46,1218987588.69,1125149000.88,1103199452.89,1046763212.44,1728926403.42,103072297.15,52891011.00,50364625.00,414433458.55,292462756.56,161242731.46,80582342.26,132508.00,132508.00,131078.00,1050.00,20000.00,20000.00,20000.00,0.00,81000.00,75000.00,35000.00,35000.00,19000.00,19000.00,19000.00,19000.00,125000.00,22000.00,22000.00,0,15844823.22,14520348.12,31370.00,0,0.0
