,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,136933618.86,83260170.53,52575445.48,20233491.60,117751602.57,62772347.59,46352488.41,9736796.08,104341832.47,57640856.03,44165924.55,10111779.50,107198261.49,63928994.03,47883465.70,20907726.78,104162434.93,55007352.96,43274292.99,17401003.64,95653094.39,55382313.40,43753017.70,16047829.79,76799398.34,48425544.62,31929572.05,14606526.93,89743589.43,55432786.76,38067739.92,20758053.33,78084716.57,42320267.24,23448462.90,16718918.13,91401566.57,56554129.45,20349253.80,7293783.02,62157631.63,52483698.04,30166553.34,0.0
3,收到的税费返还,3056252.33,3055276.86,2812224.80,1233999.20,2929011.54,2929011.54,2600505.91,3160.57,3130686.09,1686065.10,72792.70,72792.70,2919809.46,1314918.92,0,0,2637415.11,1211533.58,1211533.58,0,3564977.33,1706612.07,1706612.07,0,3758773.21,1960440.90,1756628.89,0,2710048.40,530545.79,530545.79,0,4170233.73,3162743.23,2333379.14,1621357.16,3778150.48,854479.45,342010.72,72026.43,2892575.09,1603518.71,825790.14,0.0
4,收到的其他与经营活动有关的现金,18052823.22,6947404.32,5000040.50,2072453.71,12162162.55,6569494.85,5532826.33,1732692.45,2050109.01,1567296.96,1080392.34,158072.40,2850410.33,1480260.93,791384.88,64958.58,642810.55,576138.42,461300.82,1537771.56,5450303.25,2794310.96,1392639.31,1134703.95,8778761.18,8465460.76,4576800.36,1510353.43,4807006.88,890166.66,755850.86,242607.38,3289693.70,765906.69,357339.36,228335.33,1408924.97,259085.05,160644.05,448815.84,4054284.81,794462.26,822136.89,0.0
5,经营活动现金流入小计,158042694.41,93262851.71,60387710.78,23539944.51,132842776.66,72270853.98,54485820.65,11472649.10,109522627.57,60894218.09,45319109.59,10342644.60,112968481.28,66724173.88,48674850.58,20972685.36,107442660.59,56795024.96,44947127.39,18938775.20,104668374.97,59883236.43,46852269.08,17182533.74,89336932.73,58851446.28,38263001.30,16116880.36,97260644.71,56853499.21,39354136.57,21000660.71,85544644.00,46248917.16,26139181.40,18568610.62,96588642.02,57667693.95,20851908.57,7814625.29,69104491.53,54881679.01,31814480.37,0.0
6,购买商品、接受劳务支付的现金,42327322.74,47262474.09,32707491.44,12757665.73,39760403.70,32854235.71,20882072.96,7183051.68,35575564.58,22770494.20,18172011.07,10023745.94,39497495.78,30496959.20,24746969.36,12849243.09,33235207.51,22578905.05,12087376.46,7040612.65,26452071.09,14703993.14,12389653.92,6306020.45,21211381.65,15648402.19,10345268.17,7453959.43,32398865.75,20419721.19,13484084.95,5267675.31,40175654.45,21393098.46,12950807.57,5821614.84,26032601.40,18327808.51,8144818.30,4109221.77,20934930.54,28557464.00,15096448.90,0.0
7,支付给职工以及为职工支付的现金,36673213.82,27248314.94,16598354.50,10515296.55,42304339.90,30982232.38,21699398.16,10933003.07,37634002.92,26824099.37,18212747.62,8422649.82,31325865.00,21989971.31,15575442.26,7748219.88,24922552.30,18757848.26,13085365.64,7064318.63,25002405.97,16872968.04,11580432.80,6389607.93,19409335.90,13058822.77,7381005.18,3302663.64,14977440.73,12126063.74,8366777.51,3773009.30,15261888.21,9312164.88,6431319.04,2382608.12,11155232.91,8454638.81,4895900.98,2010389.41,6386047.78,5687772.41,3796902.09,0.0
8,支付的各项税费,13291534.52,5653679.92,5637355.31,16670.21,12187331.32,7136093.68,7110260.33,682185.33,7704810.99,4709427.87,4644388.27,195057.00,11337922.94,5689546.79,5615089.39,392956.74,10585037.95,6226501.86,5874742.69,678794.99,13397392.86,6094811.69,5805479.74,696914.64,13279168.44,7595232.93,7185217.35,1750808.25,8670156.83,5305496.37,3819251.07,1539802.55,9843975.55,6657896.53,5988041.62,2384294.50,9487813.52,2661444.42,1454361.34,444020.76,8072891.28,3061544.66,1456747.51,0.0
