,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,393324569.88,313749279.09,145262730.41,465975536.79,288633968.87,200783800.20,113082716.40,515450796.17,316245333.36,177958282.77,85154849.30,467560111.43,264890696.35,158248591.50,58866272.18,315643716.26,227262594.37,142690910.73,59879518.40,197045836.55,116429384.62,76354644.05,34510029.88,227810898.07,139964582.16,100528582.33,44534158.78,197259328.69,111163954.85,83739623.42,37279533.88,126172714.44,85354725.49,38351748.39,16790166.11,119070745.43,78386840.16,52300899.22,72694261.63,45897284.75,0.0
3,收到的税费返还,13852065.58,8873088.34,1431719.53,14250779.99,16972169.66,10731424.86,2182208.17,20769042.28,12513338.28,4262922.38,1994691.98,19461574.43,15199835.45,9448282.95,2988148.39,14786725.85,8075138.77,4106540.66,2200696.26,6853202.54,3355757.34,3048100.39,1756162.88,8018819.05,5033141.85,3322157.41,854597.64,1851037.80,1187026.34,474988.16,108841.02,1847225.76,282540.22,282540.22,282540.22,5618612.62,1921024.59,1455599.19,929193.50,0,0.0
4,收到的其他与经营活动有关的现金,30590763.65,57376085.64,11073228.92,28054864.01,35893113.06,19061247.65,7779173.49,27738134.30,97556791.66,41617557.75,23518262.81,50682954.64,71915073.29,77189783.82,16954324.65,50093096.04,39588877.67,27858786.92,31203855.37,10271663.26,16330842.91,9854628.36,6147925.49,6388856.87,6365886.84,4147798.64,1296408.32,27475196.41,11062938.95,1522074.24,1012630.93,2137611.35,468003.71,395452.93,39248.33,1953911.98,1106625.76,1092316.83,4304468.51,3630034.54,0.0
5,经营活动现金流入小计,437767399.11,379998453.07,157767678.86,508281180.79,341499251.59,230576472.71,123044098.06,563957972.75,426315463.30,223838762.90,110667804.09,537704640.50,352005605.09,244886658.27,78808745.22,380523538.15,274926610.81,174656238.31,93284070.03,214170702.35,136115984.87,89257372.80,42414118.25,242218573.99,151363610.85,107998538.38,46685164.74,226585562.90,123413920.14,85736685.82,38401005.83,130157551.55,86105269.42,39029741.54,17111954.66,126643270.03,81414490.51,54848815.24,77927923.64,49527319.29,0.0
6,购买商品、接受劳务支付的现金,209255553.80,169376127.57,85925262.50,191969073.92,162456578.21,111119419.97,56080468.07,177690885.64,134166410.04,92540050.35,44794089.22,152309995.22,138528604.26,94949597.98,40686450.11,153466202.03,102270699.12,68784453.97,28691469.74,90117153.36,57471879.31,36779516.30,14929728.06,132905991.66,74361497.73,48839349.76,22386650.22,153087020.31,91963642.78,65621518.01,31950315.16,77658485.66,59019476.32,29032489.38,16792029.97,73080865.74,49803017.62,33080663.06,51413046.52,37225416.27,0.0
7,支付给职工以及为职工支付的现金,106039462.12,74445672.22,39756314.09,127125902.85,93991306.00,63534458.05,30605673.89,114615162.58,89717686.40,61658622.44,30653842.85,103525315.70,69745796.59,43099138.99,18208901.50,67006732.26,52380521.67,34993728.83,15797994.12,47459724.18,34869398.10,21170371.74,9836319.73,43291574.59,37830156.20,26396378.60,14168449.44,32990218.02,24235104.71,15985883.05,8119050.14,10998494.19,7808405.63,5727769.69,2218351.13,8040013.57,5857354.23,4009854.78,3842627.23,2055319.59,0.0
8,支付的各项税费,68378371.55,35768742.74,19249924.23,49485499.71,44214640.14,37544137.40,18920141.08,47588734.63,42461970.43,30073413.37,19978655.30,49163510.12,73238978.64,51987961.73,37100061.78,22086517.07,22892631.65,17382102.36,7933263.17,21404704.35,17705644.49,8814929.03,2926063.16,26225884.12,12048752.54,8814511.69,3406246.30,21562793.86,15654229.18,12712548.40,7878640.59,17961531.95,15956646.70,8694112.99,4349110.73,15538768.91,12788441.46,7724562.44,8036541.67,1938006.47,0.0
9,支付的其他与经营活动有关的现金,70704018.03,91976244.42,28547060.11,100422738.16,68738309.62,47491075.55,22151831.50,83547729.46,111761618.80,49288102.02,50583411.25,95465518.37,72223732.20,72481432.16,29955627.15,54483487.82,76071362.68,51127022.82,48843023.11,25139283.69,26102423.41,17254296.07,11807809.76,23280496.37,19298442.47,13188290.60,6626215.30,42227749.53,42209748.97,24403748.43,20394184.02,8020295.57,5281257.12,2929663.88,2059544.58,5236515.66,4749534.94,2654625.25,8117726.78,5030307.67,0.0
10,经营活动现金流出小计,454377405.50,371566786.95,173478560.93,469003214.64,369400833.97,259689090.97,127758114.54,423442512.31,378107685.67,233560188.18,146009998.62,400464339.41,353737111.69,262518130.86,125951040.54,297042939.18,253615215.12,172287307.98,101265750.14,184120865.58,136149345.31,84019113.14,39499920.71,225703946.74,143538848.94,97238530.65,46587561.26,249867781.72,174062725.64,118723697.89,68342189.91,114638807.37,88065785.77,46384035.94,25419036.41,101896163.88,73198348.25,47469705.53,71409942.20,46249050.00,0.0
11,经营活动产生的现金流量净额,-16610006.39,8431666.12,-15710882.07,39277966.15,-27901582.38,-29112618.26,-4714016.48,140515460.44,48207777.63,-9721425.28,-35342194.53,137240301.09,-1731506.60,-17631472.59,-47142295.32,83480598.97,21311395.69,2368930.33,-7981680.11,30049836.77,-33360.44,5238259.66,2914197.54,16514627.25,7824761.91,10760007.73,97603.48,-23282218.82,-50648805.50,-32987012.07,-29941184.08,15518744.18,-1960516.35,-7354294.40,-8307081.75,24747106.15,8216142.26,7379109.71,6517981.44,3278269.29,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,81004500.00,15004500.00,0,0,200000000.00,0,0,0,0,0,0,18009200.00,18009200.00,18009200.00,9609200.00,3588500.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726715.02,0,629877.63,16189022.36,0.0
14,取得投资收益所收到的现金,3566775.18,572219.33,0,0,3917273.98,0,0,0,0,0,0,29038020.25,38020.25,38020.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726715.02,0,726715.02,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,0,0,0,101612.82,0,0,0,120505.29,3000.00,3000.00,0,151358.26,0,0,0,17094.02,0,0,0,41217.48,0,0,0,0,0,0,0,227298.26,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,2984097.61,3000000.00,0,0,0,0,0,0,0,0,0,0,7627033.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968036.50,0,0.0
17,收到的其他与投资活动有关的现金,0,46000000.00,36415561.64,480834318.12,0,0,0,0,0,0,0,1279612.64,0,0,0,14203839.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,84571275.18,61576719.33,36415561.64,483920028.55,206917273.98,0.00,0.00,120505.29,3000.00,3000.00,0.00,48478191.15,18047220.25,18047220.25,9609200.00,25436466.77,0.00,0.00,0.00,41217.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227298.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,726715.02,726715.02,726715.02,2597914.13,16189022.36,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,36821932.02,19680629.31,13633360.41,52336357.86,31603336.82,22962566.29,7832507.63,56666094.83,37361796.70,28011810.25,12950718.67,23624546.93,17463734.18,9807995.19,547167.86,14290041.72,1044956.69,800373.45,618936.95,1070590.31,890586.22,641760.92,434346.89,3379561.27,587651.00,537683.00,334232.00,4185141.66,1546222.90,1060676.06,280546.00,2637391.80,3957349.00,2332559.00,15940.00,469062.49,375754.51,154115.98,2399619.16,11075951.68,0.0
20,投资所支付的现金,17770000.00,17770000.00,0,8320000.00,0,0,0,46900000.00,39410000.00,0,0,5500000.00,5500000.00,5500000.00,1612200.00,3508049.38,104880000.00,104880000.00,117825000.00,1750000.00,2020000.00,1750000.00,0,20496000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,42928200.00,42928200.00,0,0,0,0,0,194669683.93,193146613.79,193146613.79,0,82215952.21,42728000.00,42728000.00,0,0,0,270000.00,0,0,29219000.00,29219000.00,0,16804611.67,0,0,0,650756.96,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,69465493.30,54465493.30,30000000.00,489000000.00,266000000.00,170000000.00,220000000.00,0,0,0,0,0,0,0,0,7000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,124057425.32,91916122.61,43633360.41,549656357.86,340531536.82,235890766.29,227832507.63,103566094.83,76771796.70,28011810.25,12950718.67,223794230.86,216110347.97,208454608.98,2159367.86,107014043.31,148652956.69,148408373.45,118443936.95,2820590.31,2910586.22,2661760.92,434346.89,23875561.27,29806651.00,29756683.00,334232.00,20989753.33,1546222.90,1060676.06,280546.00,3288148.76,3957349.00,2332559.00,15940.00,469062.49,375754.51,154115.98,2399619.16,20075951.68,0.0
24,投资活动产生的现金流量净额,-39486150.14,-30339403.28,-7217798.77,-65736329.31,-133614262.84,-235890766.29,-227832507.63,-103445589.54,-76768796.70,-28008810.25,-12950718.67,-175316039.71,-198063127.72,-190407388.73,7449832.14,-81577576.54,-148652956.69,-148408373.45,-118443936.95,-2779372.83,-2910586.22,-2661760.92,-434346.89,-23875561.27,-29806651.00,-29756683.00,-334232.00,-20762455.07,-1546222.90,-1060676.06,-280546.00,-3288148.76,-3957349.00,-2332559.00,-15940.00,257652.53,350960.51,572599.04,198294.97,-3886929.32,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,1920000.00,450000.00,0,0,21247765.35,21244938.41,20949675.68,0,260622396.86,260622396.86,260622396.86,243999966.86,126461787.79,126461787.79,126461787.79,107499987.79,0,0,0,0,1251000.00,1251000.00,900000.00,0,2250000.00,2250000.00,2250000.00,0,220503000.00,227500000.00,0,0,0,0,0,0,750000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,1920000.00,450000.00,0,0,298089.67,295262.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251000.00,1251000.00,900000.00,0,2250000.00,2250000.00,2250000.00,0,0,0,0,0,0,0,0,0,750000.00,0.0
28,取得借款收到的现金,20000000.00,10000000.00,10000000.00,15000000.00,15000000.00,5000000.00,0,10000000.00,10000000.00,0,0,8000000.00,11789000.00,0,0,40000000.00,40000000.00,40000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.00,0,0,10000000.00,0,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,15727897.88,0,0,0,3789000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82152.78,0,0,0,0,0,0,0,0.0
31,筹资活动现金流入小计,20000000.00,10000000.00,10000000.00,16920000.00,15450000.00,5000000.00,0.00,46975663.23,31244938.41,20949675.68,0.00,272411396.86,272411396.86,260622396.86,243999966.86,166461787.79,166461787.79,166461787.79,107499987.79,0.00,0.00,0.00,0.00,1251000.00,1251000.00,900000.00,0.00,2250000.00,2250000.00,2250000.00,0.00,220503000.00,227582152.78,0.00,0.00,10000000.00,0.00,0.00,10000000.00,750000.00,0.0
32,偿还债务支付的现金,20000000.00,6800000.00,5000000.00,15000000.00,15000000.00,0,0,23000000.00,23000000.00,15000000.00,0,37000000.00,38600000.00,33600000.00,2070000.00,18300000.00,18323613.31,11773613.31,723613.31,0,0,0,0,0,0,0,0,0,0,0,0,10000000.00,10000000.00,10000000.00,0,10000000.00,0,0,0,0,0.0
33,分配股利、利润或偿付利息所支付的现金,715546.70,550726.32,316395.84,45617486.35,46784218.91,46610081.40,130500.00,51295467.26,51166642.26,51086167.26,276000.01,60672741.67,31561739.47,31321642.45,785406.88,10038615.97,9118224.50,8490427.76,2663378.47,13560000.00,13560000.00,13560000.00,1560000.00,8000000.00,8000000.00,8000000.00,0,18130000.00,10000000.00,9836275.00,0,198779.99,198769.99,198769.99,151201.11,465296.67,404150.00,268450.00,2212126.81,0,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120000.00,0,2496000.00,2496000.00,1560000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,22759444.40,22759444.40,22758766.14,61321790.99,22193.26,22193.26,0,3789000.00,69768.80,69768.80,0,11705067.75,16737428.04,1716502.50,16502.50,67874292.39,1575605.33,1575605.33,780000.00,1163207.55,13860.45,0,0,0,0,0,0,0,46766.40,46766.40,0,0,5411650.00,100000.00,0,500000.00,0,0,0,0,0.0
36,筹资活动现金流出小计,43474991.10,30110170.72,28075161.98,121939277.34,61806412.17,46632274.66,130500.00,78084467.26,74236411.06,66155936.06,276000.01,109377809.42,86899167.51,66638144.95,2871909.38,96212908.36,29017443.14,21839646.40,4166991.78,14723207.55,13573860.45,13560000.00,1560000.00,8000000.00,8000000.00,8000000.00,0.00,18130000.00,10046766.40,9883041.40,0.00,10198779.99,15610419.99,10298769.99,151201.11,10965296.67,404150.00,268450.00,2212126.81,0,0.0
37,筹资活动产生的现金流量净额,-23474991.10,-20110170.72,-18075161.98,-105019277.34,-46356412.17,-41632274.66,-130500.00,-31108804.03,-42991472.65,-45206260.38,-276000.01,163033587.44,185512229.35,193984251.91,241128057.48,70248879.43,137444344.65,144622141.39,103332996.01,-14723207.55,-13573860.45,-13560000.00,-1560000.00,-6749000.00,-6749000.00,-7100000.00,0.00,-15880000.00,-7796766.40,-7633041.40,0.00,210304220.01,211971732.79,-10298769.99,-151201.11,-965296.67,-404150.00,-268450.00,7787873.19,750000.00,0.0
38,四、汇率变动对现金及现金等价物的影响,127810.91,44987.90,15972.26,236405.62,233697.82,24415.82,-19807.76,-246452.09,-231059.84,-144419.35,-48528.34,204906.65,86712.24,56915.21,-4420.65,30686.12,10616.30,-20260.18,-16612.37,3524.77,-12367.36,-9722.39,0,-70255.40,-48539.30,-53819.30,0,94951.63,0,0,0,65.52,-4413.33,-205.94,0,-67.81,-4.83,-4.83,3.70,0,0.0
39,五、现金及现金等价物净增加额,-79443336.72,-41972919.98,-40987870.56,-131241234.88,-207638559.57,-306611243.39,-232696831.87,5714614.78,-71783551.56,-83080915.26,-48617441.55,125162755.47,-14195692.73,-13997694.20,201431173.65,72182587.98,10113399.95,-1437561.91,-23109233.42,12550781.16,-16530174.47,-10993223.65,919850.65,-14180189.42,-28779428.39,-26150494.57,-236628.52,-59829722.26,-59991794.80,-41680729.53,-30221730.08,222534880.95,206049454.11,-19985829.33,-8474222.86,24039394.20,8162947.94,7683253.92,14504153.30,141339.97,0.0
40,加:期初现金及现金等价物余额,277375775.81,277375775.81,277375775.81,408617010.69,408617010.69,409897305.15,408617010.69,402902395.91,402902395.91,402902395.91,402902395.91,277739640.44,277314133.49,277739640.44,301492436.21,205557052.46,234229600.25,234229600.25,234229599.77,193006271.30,193006271.30,193006271.30,193006271.30,207186460.72,207186460.72,207186460.72,207186460.72,267016182.98,262668578.56,262668578.56,267016182.98,44481302.03,44481302.03,44481302.03,44481302.03,20441907.83,20441907.83,20441907.83,5937754.53,5796414.56,0.0
41,六、期末现金及现金等价物余额,197932439.09,235402855.83,236387905.25,277375775.81,200978451.12,103286061.76,175920178.82,408617010.69,331118844.35,319821480.65,354284954.36,402902395.91,263118440.76,263741946.24,502923609.86,277739640.44,244343000.20,232792038.34,211120366.35,205557052.46,176476096.83,182013047.65,193926121.95,193006271.30,178407032.33,181035966.15,206949832.20,207186460.72,202676783.76,220987849.03,236794452.90,267016182.98,250530756.14,24495472.70,36007079.17,44481302.03,28604855.77,28125161.75,20441907.83,5937754.53,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,0,27239217.78,0,-304573690.61,0,19152769.05,0,77659958.28,0,9537897.54,0,136213096.51,0,49120643.10,0,68876059.72,0,9551376.81,0,36421104.00,0,14598755.98,0,32019007.92,0,17344663.48,0,26482938.76,0,14276566.64,0,35082568.37,0,0,0,32672753.11,0,0,22092158.44,9203267.99,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,0,-7170375.34,0,528224704.77,0,-6402975.78,0,77729799.25,0,1620345.78,0,15982074.84,0,7199027.66,0,8829420.97,0,-483649.73,0,5098367.38,0,1429629.61,0,979676.46,0,816825.79,0,2843328.53,0,1091491.99,0,2172990.97,0,0,0,499566.96,0,0,1111913.70,502762.54,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,0,1560757.10,0,3245744.15,0,4333842.67,0,3059669.55,0,1179080.48,0,3119975.42,0,3236891.33,0,4764918.28,0,2277332.34,0,4652619.49,0,2307950.85,0,4334684.10,0,2299960.34,0,3889776.75,0,1903186.32,0,1139798.68,0,0,0,959273.16,0,0,855151.30,180746.56,0.0
48,无形资产摊销,0,12468133.85,0,22018756.64,0,10243403.01,0,19847191.39,0,10346976.42,0,17698659.02,0,7890380.40,0,10438627.55,0,237087.24,0,513603.29,0,269078.70,0,537214.02,0,268135.32,0,420179.00,0,221668.63,0,139463.13,0,0,0,120156.08,0,0,28554.13,4500.00,0.0
49,长期待摊费用摊销,0,332468.97,0,546805.27,0,417485.43,0,940402.78,0,304905.54,0,995418.50,0,1062561.46,0,464691.08,0,189527.42,0,526318.06,0,592323.42,0,547169.28,0,273584.64,0,788062.21,0,509908.13,0,0,0,0,0,0,0,0,0,174534.75,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,0,0,0,79556.45,0,0,0,428485.00,0,13135.87,0,30600.70,0,0,0,115751.26,0,12132.02,0,150311.90,0,0,0,105477.33,0,0,0,55093.37,0,50252.69,0,0,0,0,0,1107.37,0,0,0,0,0.0
53,固定资产报废损失,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,5850.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54,公允价值变动损失,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
