,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1458949185.67,972681765.31,390578581.00,1545670864.09,1188776743.63,731959494.03,299547417.86,956121763.43,689137191.51,369987286.37,113211419.80,305822049.40,193381989.88,110799589.92,58963536.00,246109753.75,144915208.33,90905482.94,48254182.32,279410402.30,171224464.43,102265716.09,52493941.14,226788688.64,167105693.27,102993911.49,50716727.95,253185711.70,171464136.90,105832089.56,44365392.58,270958468.42,175904246.78,119423542.57,217978894.48,176994763.26,0.0
3,收到的税费返还,1702067.63,1599602.63,1140667.94,14738790.99,11298408.33,4859086.54,3661242.21,14045639.07,10191237.38,7094772.14,4120405.44,15084292.67,8879659.81,6606496.36,3114959.68,8063545.65,7587279.69,4522127.66,2387454.51,7638967.53,5922574.85,159506.92,125805.50,5465797.32,2715474.75,2715474.75,0,5328450.75,2744025.17,0,0,8075889.16,1775846.24,1062214.31,8948669.10,5412280.73,0.0
4,收到的其他与经营活动有关的现金,68560275.00,15251638.90,4194133.91,25751761.80,70731200.12,126829611.70,31995175.49,72557057.82,292507772.51,130535625.55,30645539.97,6290730.16,4120322.52,2887804.27,1946375.57,7319651.66,9338197.88,7420523.11,2551154.83,11279854.86,5461077.35,3478742.66,1108981.42,8089181.24,16304850.82,10571825.29,4029614.92,3630723.31,2701923.21,4182374.46,588746.42,5948721.32,4598877.05,2087199.13,3003294.53,1796674.93,0.0
5,经营活动现金流入小计,1529211528.30,989533006.84,395913382.85,1586161416.88,1270806352.08,863648192.27,335203835.56,1042724460.32,991836201.40,507617684.06,147977365.21,327197072.23,206381972.21,120293890.55,64024871.25,261492951.06,161840685.90,102848133.71,53192791.66,298329224.69,182608116.63,105903965.67,53728728.06,240343667.20,186126018.84,116281211.53,54746342.87,262144885.76,176910085.28,110014464.02,44954139.00,284983078.90,182278970.07,122572956.01,229930858.11,184203718.92,0.0
6,购买商品、接受劳务支付的现金,312405025.26,213427342.82,110299424.37,210143163.31,399992342.04,240328134.62,108750817.31,110539114.41,216143279.91,142431004.95,38140515.05,97372550.42,79385015.63,44215910.51,26414007.80,99358868.29,63646694.34,43836376.59,18869702.62,82559690.68,53290093.68,32418821.08,19144753.89,54687243.55,54783402.47,36354914.63,21529697.75,109344167.68,95724152.57,77071715.92,44380540.37,110443256.71,89322871.65,68980305.01,99779253.63,97340371.43,0.0
7,支付给职工以及为职工支付的现金,458994377.02,311504616.27,163711521.29,529756036.10,373756552.11,242556359.45,112518700.54,285451255.52,177969467.28,96596272.80,37168073.65,86884880.80,62883539.91,46256074.53,27741172.70,85380758.50,65125823.47,47094805.51,28178601.77,72481168.36,53242686.86,38592305.34,23160788.21,59794608.88,42457064.89,28608885.98,15737214.34,56376923.16,42088561.48,30640050.48,20192152.17,49439861.91,36911722.17,26285360.84,36885328.43,26276337.47,0.0
8,支付的各项税费,97778203.19,74380168.42,45923212.87,132059391.38,99882916.45,69197035.61,38953130.55,88552377.06,67210487.49,48378186.18,19684254.87,48606272.36,38317693.43,31325253.56,20066113.72,35825336.87,28587665.98,22527271.01,12764368.12,45577096.00,33282336.19,24235797.98,11889195.58,45924196.68,34012696.53,27374430.36,12104960.67,44604301.63,38998086.91,23053181.83,14592988.06,32683316.28,27214638.56,16300526.64,26569836.77,20085249.52,0.0
9,支付的其他与经营活动有关的现金,545664410.42,359842902.03,112511630.61,408158012.25,287261700.99,245041007.76,87783258.88,216436271.04,340835353.33,160821885.56,46913412.82,60917644.54,50640141.76,36137667.46,20012504.74,61989131.53,49960148.42,35020583.68,13672546.37,61576344.10,44818071.24,30279962.36,14163506.88,52856917.05,48911885.46,33480919.40,17724199.42,57935750.45,41566860.59,25356948.95,15217424.39,53610132.02,33325406.60,22354818.16,35956663.34,21831818.19,0.0
10,经营活动现金流出小计,1414842015.89,959155029.54,432445789.14,1280116603.04,1160893511.59,797122537.44,348005907.28,700979018.03,802158588.01,448227349.49,141906256.39,293781348.12,231226390.73,157934906.06,94233798.96,282554095.19,207320332.21,148479036.79,73485218.88,262194299.14,184633187.97,125526886.76,68358244.56,213262966.16,180165049.35,125819150.37,67096072.18,268261142.92,218377661.55,156121897.18,94383104.99,246176566.92,186774638.98,133921010.65,199191082.17,165533776.61,0.0
11,经营活动产生的现金流量净额,114369512.41,30377977.30,-36532406.29,306044813.84,109912840.49,66525654.83,-12802071.72,341745442.29,189677613.39,59390334.57,6071108.82,33415724.11,-24844418.52,-37641015.51,-30208927.71,-21061144.13,-45479646.31,-45630903.08,-20292427.22,36134925.55,-2025071.34,-19622921.09,-14629516.50,27080701.04,5960969.49,-9537938.84,-12349729.31,-6116257.16,-41467576.27,-46107433.16,-49428965.99,38806511.98,-4495668.91,-11348054.64,30739775.94,18669942.31,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,90000000.00,5400042.30,259500000.00,0,0,13000000.00,35500000.00,0,0,1500000.00,14704593.98,14704593.98,14704593.98,0,0,0,0,0,0,0,0,0,7000000.00,0,0,0,5029342.47,5000000.00,0,0,0,0,0,2208509.54,136636.55,0.0
14,取得投资收益所收到的现金,1127848.13,905910.67,163870.78,2342497.69,2017271.71,1965301.84,1520201.95,3194592.58,2455819.21,290140.40,10541.10,268800.00,268800.00,268800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,29342.47,0,0,0,0,0,0,0,0.0
