,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20141231,20140630,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,975037410.09,841096725.67,175250277.93,996316044.92,667608063.55,484240718.38,229721351.02,962847615.79,698324690.57,448575950.02,229172166.91,474430211.20,282785689.75,142721597.02,37872522.66,153708021.38,105612162.45,125181805.54,49698100.00,97564004.42,57707700.00,39743500.00,0.0
3,收到的税费返还,7978.87,7978.87,7947.24,262700.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27700.00,30800.00,0.0
4,收到的其他与经营活动有关的现金,86951925.84,73648090.58,57888071.40,15934304.28,9004482.12,7913010.32,8619905.95,21494233.73,6940198.78,7197686.87,1169443.18,4502962.45,3209089.18,3150961.33,841704.83,7269555.71,4405721.07,3294057.36,2888400.00,3737129.01,3221900.00,1010500.00,0.0
5,经营活动现金流入小计,1061997314.80,914752795.12,233146296.57,1012513049.20,676612545.67,492153728.70,238341256.97,984341849.52,705264889.35,455773636.89,230341610.09,478933173.65,285994778.93,145872558.35,38714227.49,160977577.09,110017883.52,128475862.90,52586600.00,101301133.43,60957200.00,40784800.00,0.0
6,购买商品、接受劳务支付的现金,934130126.37,725764209.05,75743899.76,838200808.94,380039860.98,266308423.99,152229300.45,690498706.24,519466409.83,339735756.35,180839418.67,332167668.62,208966584.93,113928517.90,37257937.52,107583652.62,77791787.81,82970147.93,33952600.00,50701905.89,33116200.00,23079900.00,0.0
7,支付给职工以及为职工支付的现金,61488254.04,41226329.13,18473679.62,85702756.18,58001384.71,36631587.79,18333104.60,48461686.67,34011520.62,19957863.11,9418643.90,24037539.22,16411158.32,9189388.45,4809385.77,14775608.37,10598259.75,13656462.48,6716900.00,10982051.61,7991700.00,5004200.00,0.0
8,支付的各项税费,49247826.45,45248893.01,4950484.10,54102272.59,52723206.02,45637969.70,6327907.32,21618928.63,15351839.69,11343450.35,3234325.41,17538620.58,15428982.06,7075764.92,3814853.46,10117663.40,8826569.96,10653686.31,5652800.00,6814352.63,6299700.00,1696400.00,0.0
9,支付的其他与经营活动有关的现金,89456288.85,55341636.66,18079333.23,73444737.16,45030803.55,21539151.17,16075660.39,36765106.08,25738169.01,12864617.29,13818626.44,22548606.38,12337864.15,8027526.27,5412103.70,14894790.25,10479802.08,13884927.54,6934000.00,12523205.71,12172300.00,9895600.00,0.0
10,经营活动现金流出小计,1134322495.71,867581067.85,117247396.71,1051450574.87,535795255.26,370117132.65,192965972.76,797344427.62,594567939.15,383901687.10,207311014.42,396292434.80,253144589.46,138221197.54,51294280.45,147371714.64,107696419.60,121165224.26,53256400.00,81021515.84,59579800.00,39676200.00,0.0
11,经营活动产生的现金流量净额,-72325180.91,47171727.27,115898899.86,-38937525.67,140817290.41,122036596.05,45375284.21,186997421.90,110696950.20,71871949.79,23030595.67,82640738.85,32850189.47,7651360.81,-12580052.96,13605862.45,2321463.92,7310638.64,-669800.00,20279617.59,1377400.00,1108600.00,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,1520000.00,1350000.00,840000.00,262243023.42,101654952.01,101048376.67,20388091.74,31723313.58,30273000.00,30273000.00,0,0,0,0,0.00,15072894.52,15072894.52,29444941.75,13000000.00,0,232500.00,0,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381100.00,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,9800.00,9800.00,0,16160.00,14508.90,7833.90,2060.00,264705.88,0,0,0,0,0,0,0,0,0,0,0,395000.00,0,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3503100.00,0,0.0
18,投资活动现金流入小计,1529800.00,1359800.00,840000.00,262259183.42,101669460.91,101056210.57,20390151.74,31988019.46,30273000.00,30273000.00,0.00,0.00,0.00,0.00,0.00,15072894.52,15072894.52,29444941.75,13381100.00,395000.00,3735600.00,0.00,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,41135982.75,28525130.10,11444607.40,78641460.99,61038768.75,42976873.34,20944466.78,107372996.64,72149397.32,57651089.85,7024171.92,32357553.22,21491504.37,15252264.32,10694488.59,4136836.36,2888449.08,1668908.83,1154100.00,2295348.24,919300.00,358900.00,0.0
20,投资所支付的现金,221499001.00,216264001.00,53830001.00,224051041.27,59170000.00,56225000.00,3100000.00,91500000.00,136156753.74,70990000.00,0,0,0,0,0,13000000.00,13000000.00,31000000.00,13000000.00,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,37362629.06,0,0,0,0,0,0,0,5641601.19,5641601.19,5677600.83,326400.00,0,1000000.00,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,30000000.00,0,0,0,0,0,0,0,5400000.00,0,0,1234500.00,0.0
23,投资活动现金流出小计,262634983.75,244789131.10,65274608.40,302692502.26,120208768.75,99201873.34,24044466.78,236235625.70,208306151.06,128641089.85,37024171.92,32357553.22,21491504.37,15252264.32,10694488.59,22778437.55,21530050.27,38346509.66,19880400.00,2295348.24,1919300.00,1593400.00,0.0
24,投资活动产生的现金流量净额,-261105183.75,-243429331.10,-64434608.40,-40433318.84,-18539307.84,1854337.23,-3654315.04,-204247606.24,-178033151.06,-98368089.85,-37024171.92,-32357553.22,-21491504.37,-15252264.32,-10694488.59,-7705543.03,-6457155.75,-8901567.91,-6499300.00,-1900348.24,1816300.00,-1593400.00,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,3141576.00,3285711.00,0,27704825.00,10383095.00,10383095.00,0,500000.00,0,0,0,103900000.00,0,0,0,0,0,0,0,0,7000000.00,10000000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,121730.00,0,0,0,500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,543240457.20,35176500.00,0,95000000.00,60000000.00,0,0,147369365.55,140000000.00,0,0,0,10000000.00,10000000.00,0,10000000.00,10000000.00,8000000.00,0,0,0,0,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,51000000.00,51000000.00,50000000.00,262987666.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2928691.24,10388700.00,0,0.0
