,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20141231,20131231,20121231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,51708797.72,592274911.48,298918235.38,173175123.40,52046358.71,395509217.73,179792505.46,101479920.05,37485561.09,269246931.74,127061532.14,74665951.98,32174621.34,224991319.82,119526885.71,73179464.10,24811029.20,233240890.18,157966480.21,182746003.00,113186667.01,0.0
3,收到的税费返还,3679395.52,20123732.57,13949987.64,7562099.57,5719773.07,17329753.42,8441009.54,5560719.29,3200784.64,12637020.64,6518412.89,5999036.30,3703711.00,13031962.37,8522996.86,5313438.87,3434408.29,12123503.71,10796688.02,9411493.94,6976001.04,0.0
4,收到的其他与经营活动有关的现金,5900103.80,22855000.82,13756839.14,8350278.66,4769422.30,21996869.80,10715321.29,8408940.92,992044.14,14481009.96,8744812.00,6498981.36,3433094.14,9887914.37,8912931.24,2823724.64,1902812.19,15550422.58,18439080.72,35757153.87,29428509.01,0.0
5,经营活动现金流入小计,61288297.04,635253644.87,326625062.16,189087501.63,62535554.08,434835840.95,198948836.29,115449580.26,41678389.87,296364962.34,142324757.03,87163969.64,39311426.48,247911196.56,136962813.81,81316627.61,30148249.68,260914816.47,187202248.95,227914650.81,149591177.06,0.0
6,购买商品、接受劳务支付的现金,41452867.16,194704516.26,159181505.36,119487229.74,62230463.84,167127620.35,96292827.82,79148167.93,42417940.25,83914583.49,54489515.28,35789130.12,24564694.13,80109432.73,66513246.89,47854260.19,35471442.37,67491205.83,53861953.08,73189427.55,47457758.64,0.0
7,支付给职工以及为职工支付的现金,64398350.65,147706593.78,107911214.69,71330852.38,38538205.75,116359198.07,81389705.30,52891201.27,31715725.86,83132579.87,64313496.91,45123504.36,28031299.80,65470044.20,49448015.98,36767948.88,22693923.72,49456858.71,41915319.71,38072612.14,28802229.38,0.0
8,支付的各项税费,26526372.09,76790432.54,48990093.39,39738810.87,27303585.09,42990227.38,27543782.25,21382886.89,14993015.95,36521933.72,25032351.37,18537802.35,12877371.39,35344764.59,25664230.67,19231471.23,12874728.07,26965116.23,29991772.69,24114012.87,10924546.05,0.0
9,支付的其他与经营活动有关的现金,25950792.82,131915062.55,88649377.77,60436315.12,28898840.91,98137786.89,65232512.60,45002078.07,20038179.48,64622592.46,41632423.91,25549027.47,11383336.78,47126910.39,37627130.93,20866035.85,13081324.95,44638013.61,37421877.23,42773659.10,33387272.93,0.0
10,经营活动现金流出小计,158328382.72,551116605.13,404732191.21,290993208.11,156971095.59,424614832.69,270458827.97,198424334.16,109164861.54,268191689.54,185467787.47,124999464.30,76856702.10,228051151.91,179252624.47,124719716.15,84121419.11,188551194.38,163190922.71,178149711.66,120571807.00,0.0
11,经营活动产生的现金流量净额,-97040085.68,84137039.74,-78107129.05,-101905706.48,-94435541.51,10221008.26,-71509991.68,-82974753.90,-67486471.67,28173272.80,-43143030.44,-37835494.66,-37545275.62,19860044.65,-42289810.66,-43403088.54,-53973169.43,72363622.09,24011326.24,49764939.15,29019370.06,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,155000000.00,73000000.00,73000000.00,73000000.00,0,100000000.00,260000000.00,180000000.00,0,297.99,0,0,3651.05,0,0,0,0,0,4100000.00,0,0,0.0
14,取得投资收益所收到的现金,342905.15,199500.00,199500.00,199500.00,0,3033293.21,2659960.34,1857676.56,779624.81,1277248.87,0,0,0,0,0,0,0,0,19657.53,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,0,296874.33,245238.93,24000.00,24000.00,0,0,0,0,5000.00,5000.00,5000.00,5000.00,80999.00,90419.00,0,0,21000.00,3927276.00,230682.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,3353.06,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,155342905.15,73496374.33,73444738.93,73223500.00,24000.00,103033293.21,262659960.34,181857676.56,779624.81,1285899.92,5000.00,5000.00,8651.05,80999.00,90419.00,0.00,0.00,21000.00,8046933.53,230682.00,0.00,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,5601178.56,12989591.03,11170316.59,7643019.48,3220956.12,8463230.07,5398345.21,3306975.37,1545468.02,10061269.30,6945749.21,2309308.14,1500914.83,6584546.65,5439132.12,1415129.14,735171.26,4034706.69,11704776.08,10658551.58,23253142.02,0.0
20,投资所支付的现金,155000000.00,73000000.00,73000000.00,73000000.00,43000000.00,3150000.00,168150000.00,160000000.00,0,110000000.00,100000000.00,0,0,0,0,0,0,0,0,4200000.00,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,160601178.56,85989591.03,84170316.59,80643019.48,46220956.12,11613230.07,173548345.21,163306975.37,1545468.02,120061269.30,106945749.21,2309308.14,1500914.83,6584546.65,5439132.12,1415129.14,735171.26,4034706.69,11704776.08,14858551.58,23253142.02,0.0
24,投资活动产生的现金流量净额,-5258273.41,-12493216.70,-10725577.66,-7419519.48,-46196956.12,91420063.14,89111615.13,18550701.19,-765843.21,-118775369.38,-106940749.21,-2304308.14,-1492263.78,-6503547.65,-5348713.12,-1415129.14,-735171.26,-4013706.69,-3657842.55,-14627869.58,-23253142.02,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,5408170.00,5408170.00,0,0,256560000.00,256560000.00,237760000.00,0,0,0,0,0,0,0,10008000.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,0,0,0,0,0,0,0,0,0,3000000.00,3000000.00,3000000.00,0,6000000.00,5000000.00,5000000.00,0,8000000.00,13000000.00,10000000.00,10000000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,筹资活动现金流入小计,0.00,0.00,0.00,0.00,0.00,5408170.00,5408170.00,0.00,0.00,259560000.00,259560000.00,240760000.00,0.00,6000000.00,5000000.00,5000000.00,0.00,8000000.00,13000000.00,20008000.00,10000000.00,0.0
32,偿还债务支付的现金,0,0,0,0,0,0,0,0,0,9000000.00,5000000.00,5000000.00,0,8000000.00,8000000.00,5000000.00,0,8000000.00,10000000.00,15000000.00,0,0.0
33,分配股利、利润或偿付利息所支付的现金,6000.00,13301897.54,13274203.32,12693456.37,18597.54,20675152.46,20622975.36,20020362.45,0,24698655.57,24654937.52,24612880.57,19990819.45,38795374.93,38740418.76,38675299.92,38579139.60,7979647.44,18013445.78,6380422.17,101277.77,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,500000.00,955953.00,755953.00,247800.00,0,493750.00,164000.00,64000.00,265000.00,10239883.00,10239883.00,5849383.00,0,1239000.00,939000.00,300000.00,0,2800000.00,100000.00,300000.00,0,0.0
