,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,3033257292.24,2230945747.57,1495672171.59,745816644.33,3072401663.39,2285434900.36,1503361174.77,721729025.09,2937307158.83,2172413673.85,1425130607.89,687469140.33,2606661817.05,1938334234.44,1287344481.58,693383080.22,2373369859.34,1797012529.06,1194016996.97,604404687.17,2327951237.82,1745413708.41,1130384311.01,579280147.89,2249746404.95,1689280334.26,1086290684.41,567858622.10,2268727125.04,1694429465.52,1147916649.37,606998372.12,2216415959.44,1674399654.30,1150435858.27,585525956.37,2115895497.92,1553821508.82,1037104371.22,483703399.31,1769318007.46,1264669167.27,861221925.16,455530590.83,1697092892.46,1212253448.97,803537820.10,421070997.85,1651216027.50,1226524148.93,813946728.18,416127467.68,1617898018.13,1211402014.99,809355170.39,408817759.66,1538017107.78,1143321890.36,766857179.18,391772121.29,1246633482.00,856920442.27,563006017.36,302465996.90,891587267.05,621866554.78,413534407.60,216303451.85,776377327.53,375055946.46,613983703.24,0.0
3,收到的税费返还,404.90,404.90,404.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59120000.00,59120000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121581.61,12590000.18,12590000.00,45422582.00,0.0
4,收到的其他与经营活动有关的现金,60906781.08,21118161.33,38335971.88,4213832.84,16704374.74,10354116.94,6945737.95,3085770.65,31785285.37,30551861.94,26138393.92,44479734.69,9038595.19,6693198.65,972459.83,2789796.76,15332697.15,12192805.10,8783396.07,2390603.39,41946548.58,23085052.65,1491800.67,13782070.70,61816145.15,97078664.69,1946901.70,1552646.87,21737708.21,1573410.60,2273500.00,887897.13,6332056.02,7694784.78,2625376.28,2352559.60,7926386.59,5399496.30,1041249.00,2508413.36,83330.50,10018412.19,2570612.13,9553264.73,2058533.03,56350783.73,39443542.91,5027089.49,114733460.73,14432787.87,7593608.07,6788649.96,38429775.02,31589975.18,26169269.72,8069873.08,37303791.20,9328458.69,6995863.83,12217231.83,120290606.67,46527321.68,25087361.39,2987675.63,20393304.37,5399425.46,5561675.79,170953016.09,38365095.93,15062150.87,24521094.99,0.0
5,经营活动现金流入小计,3094164478.22,2252064313.80,1534008548.37,750030477.17,3089106038.13,2295789017.30,1510306912.72,724814795.74,2969092444.20,2202965535.79,1451269001.81,731948875.02,2615700412.24,1945027433.09,1288316941.41,696172876.98,2388702556.49,1809205334.16,1202800393.04,606795290.56,2369897786.40,1768498761.06,1131876111.68,593062218.59,2311562550.10,1786358998.95,1088237586.11,569411268.97,2290464833.25,1696002876.12,1150190149.37,607886269.25,2222748015.46,1682094439.08,1153061234.55,587878515.97,2123821884.51,1559221005.12,1038145620.22,486211812.67,1769401337.96,1274687579.46,863792537.29,465083855.56,1758271425.49,1327724232.70,842981363.01,426098087.34,1765949488.23,1240956936.80,821540336.25,422916117.64,1656327793.15,1242991990.17,835524440.11,416887632.74,1575320898.98,1152650349.05,773853043.01,403989353.12,1366924088.67,903447763.95,588093378.75,305453672.53,911980571.42,627265980.24,419096083.39,387378049.55,827332423.64,402708097.33,683927380.23,0.0
6,购买商品、接受劳务支付的现金,320996033.80,167349941.01,121270027.68,79117173.88,241551636.54,128325834.42,104050766.37,38466653.03,229785907.29,131082161.73,133174736.34,75496443.06,180963917.72,97031666.00,63264804.79,69582713.70,147432403.43,97260613.55,97456030.96,35599155.96,168095688.57,116213835.03,96169319.76,31014595.65,171625987.06,123294933.29,64367133.41,64205099.73,166103182.51,109303436.85,62552278.13,38942169.52,168392331.36,97261672.98,57563767.80,34774262.42,128300331.01,116158268.54,77654521.13,34032299.25,117871369.18,73203385.25,68621575.32,37737024.64,178265857.32,81535995.40,63132231.10,21400217.22,96321000.02,89081396.74,56472476.07,49479429.47,85334729.01,95079305.76,69057675.76,56160919.29,158334554.13,151457070.15,133265457.89,39962218.23,223158302.12,154216930.22,100179778.88,45096583.01,157518037.03,69189022.58,72195721.44,34535173.10,125290096.39,68733020.43,95889648.33,0.0
7,支付给职工以及为职工支付的现金,335472931.51,161965322.70,108110944.16,54182613.41,393980688.58,213110626.76,132629328.56,65854861.94,326722215.52,177559657.53,112871933.11,57511937.98,249769341.09,135112853.47,95212266.28,42166672.10,248582206.89,138202730.79,86207374.52,43374974.36,233986590.35,141804955.98,85330085.96,41729786.10,212844397.78,106745604.61,77937186.53,39462672.69,197591009.68,96881822.91,67197483.78,26418719.87,160131326.26,78094897.56,46152994.93,24291752.28,133917435.26,60719733.25,43974054.63,19930834.84,119654441.49,56278696.45,41599834.21,21135476.57,130187990.83,79616884.85,65468612.16,32954949.08,102629790.61,51738581.67,27759257.39,18150280.57,82997159.66,48603010.22,34325727.63,27446731.93,85386688.19,61089145.90,33142356.40,11734621.28,57407766.35,39851409.65,25014694.16,4981070.05,48094757.13,34276281.85,29085744.36,4564906.13,48523848.36,27615300.39,35268093.53,0.0
8,支付的各项税费,571562326.93,451704683.49,342239030.34,117369150.62,583289515.19,496987800.96,385153505.61,109247236.41,527296788.72,434417635.67,274311860.22,117902491.00,425274668.83,372755311.43,258995667.48,124693238.54,465930748.24,387607342.22,277789082.85,72244965.62,364621001.07,315970082.58,210538476.40,81825571.66,404216135.60,314399036.64,222087404.79,107809645.82,429703084.60,372424459.26,304019748.08,121636233.92,334965736.84,320221899.44,196200723.53,111983045.41,312809069.84,236427875.55,119738585.55,34061238.41,383813793.12,330200586.72,248731874.41,125162874.30,408894693.56,390718640.84,277842405.89,77032897.22,394414506.38,352653957.39,210469478.12,69716228.29,363006650.35,273090465.81,204335195.09,125939706.43,213296447.93,179545700.59,163134604.02,85169717.02,128744299.93,100526726.48,71488531.97,38192923.52,112022320.39,94218763.63,57405574.86,31037711.91,110540875.09,53221611.59,85903103.32,0.0
