,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,888858340.03,530854566.33,325672921.33,153674385.75,873126045.25,569533010.18,366013403.98,173527411.10,720616293.47,501018214.19,337261274.32,152782519.72,568903746.66,303196648.52,188053289.39,70813653.60,555722374.99,332861254.59,199471403.46,87272707.52,731822428.99,498472564.61,310960747.03,125477325.64,1370926448.00,946404406.98,602386474.64,261297752.41,1155683949.34,817981593.51,483963742.05,204558022.74,1306819392.94,810683486.65,452205626.19,205753193.97,1135130231.95,785456030.59,458271607.34,213700548.77,1187887318.39,751840228.18,407242690.41,127208990.25,1102890025.54,749465902.83,486301644.53,208990704.85,1072705569.98,735095461.70,419787580.08,153148900.33,640247294.75,439508476.40,253218306.89,84725065.68,493427018.52,330806970.14,208941489.63,70096577.15,343123564.72,228912897.26,149769383.35,59726485.71,290272952.87,157791721.03,86977421.25,39471124.78,298018625.32,106629478.03,379380215.69,96667589.72,250782395.20,71324867.35,185087277.84,143994744.29,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262150.00,262150.00,262150.00,262150.00,238350.00,0,720083.65,720083.65,0,11354236.00,6647065.03,0,522682.73,618682.73,10555636.85,6087000.00,6665000.00,4047000.00,17655000.00,0,0.0
4,收到的其他与经营活动有关的现金,25096092.35,18420039.78,12855325.27,5115692.98,20576934.08,15241318.09,11662151.22,4247336.95,15330351.87,8498236.41,5773831.32,3842281.23,18729165.30,13011999.89,10462991.48,9123944.34,32820973.98,17400795.59,10007677.06,3896038.07,78111107.86,62883546.96,7322173.26,3186918.16,29751652.02,18023487.68,13124180.27,5658635.82,38746782.38,27370010.48,21154279.84,9166596.13,55312269.11,17816196.68,12179913.47,3698279.72,18054108.09,13769632.59,7616261.67,3494263.96,27490282.14,21125585.49,15430536.73,5883808.18,22640481.41,15568120.31,10010905.29,2306468.14,18796039.79,12675888.17,9704554.26,11622268.08,28733509.13,9740395.08,6089594.92,2328731.50,13236448.72,11254591.84,7098183.19,3582687.89,25078098.04,20153477.65,16149929.34,11783858.39,29958555.08,8331738.59,6088990.94,2190341.23,14823112.67,5531573.01,17602355.51,10774069.18,37778599.17,9865488.36,10966663.03,9150738.71,0.0
5,经营活动现金流入小计,913954432.38,549274606.11,338528246.60,158790078.73,893702979.33,584774328.27,377675555.20,177774748.05,735946645.34,509516450.60,343035105.64,156624800.95,587632911.96,316208648.41,198516280.87,79937597.94,588543348.97,350262050.18,209479080.52,91168745.59,809933536.85,561356111.57,318282920.29,128664243.80,1400678100.02,964427894.66,615510654.91,266956388.23,1194430731.72,845351603.99,505118021.89,213724618.87,1362131662.05,828499683.33,464385539.66,209451473.69,1153184340.04,799225663.18,465887869.01,217194812.73,1215377600.53,772965813.67,422673227.14,133092798.43,1125530506.95,765034023.14,496312549.82,211297172.99,1091501609.77,747771349.87,429492134.34,164771168.41,668980803.88,449248871.48,259307901.81,87053797.18,506925617.24,342323711.98,216301822.82,73941415.04,368440012.76,249066374.91,166639396.34,72230427.75,320231507.95,177477695.62,99713477.22,41661466.01,313364420.72,112779733.77,407538208.05,113528658.90,295225994.37,85237355.71,213708940.87,153145483.00,0.0
6,购买商品、接受劳务支付的现金,503618786.02,334746606.38,229073844.55,135442480.72,416039103.84,307317146.01,209531701.50,81203290.71,433713386.43,300214660.45,190865718.74,79309175.06,237129777.93,136944839.27,67849326.80,28536623.20,394187642.46,217598379.78,153168096.06,100019027.85,452114654.50,351380075.16,247266881.83,127190192.23,1269507775.61,872472902.53,551168758.32,320074814.38,1549727994.21,1292189568.47,971855764.94,296893407.44,570150833.30,400626717.02,187391013.03,77712402.92,650882375.27,478673772.69,348973877.42,90252939.73,1188276358.93,622311264.86,358180554.16,105865862.08,693527989.43,377667398.76,243549215.61,95935307.80,541431011.79,398173760.01,260328935.49,62305473.79,284219704.25,221574462.99,142632561.77,49709379.32,342841899.93,239882872.93,80689829.07,26949569.62,287653911.83,203996053.71,155524998.81,83289143.17,204120608.87,133876704.07,69175585.08,37724922.34,152851120.52,71124848.56,219106295.85,65612476.99,147800990.34,38767895.06,62283168.01,36398819.16,0.0
7,支付给职工以及为职工支付的现金,228736344.71,167926172.06,120209865.78,76355144.85,185306837.52,139739248.67,99156405.83,63090294.12,163509108.46,124969218.87,89724629.95,57064749.08,163823397.62,129417389.07,93285221.26,62303653.34,167841312.00,129873155.94,92891200.27,59611970.87,198026821.12,143200778.89,96039034.34,59291502.39,166787502.10,129077190.07,85400809.59,52473517.32,133263787.42,99011436.51,70010609.02,39980676.06,96250437.13,72620070.56,52505584.02,32771438.57,72360487.63,57800319.65,43164199.19,28931092.51,69308068.01,51199265.20,37643478.35,24270694.92,68640219.11,50145515.40,36288919.56,23800001.39,60788535.92,41606955.51,30404856.04,18694528.20,49024391.59,34469690.07,24386639.00,16342389.34,37450087.40,28134086.06,20730897.78,13286381.58,30464610.66,20407852.64,15465633.54,7713242.90,24565113.38,17209482.09,12603099.97,7435438.70,26259258.14,13579467.61,23725026.05,11151501.56,18519964.00,9682207.76,17682766.21,16110652.30,0.0
8,支付的各项税费,70506424.37,54956897.64,45021905.16,15166143.30,69340566.10,46593137.45,30086016.87,13282530.52,27702645.37,17896022.30,11481020.34,5920975.04,25030089.07,19873969.06,15625100.30,4261050.72,46351020.69,34277634.44,24284866.22,8489415.77,42452440.60,35738422.13,24271664.34,9844023.63,78867214.33,69514556.94,40176273.88,24561375.53,58160102.81,51672329.38,29556255.62,17678048.18,52707151.36,40976490.64,27953223.55,18714802.02,71378367.23,58845507.62,49520853.60,36130473.98,31784406.45,18498677.10,14616261.71,6085618.47,47004668.02,35794132.58,26102225.81,14455360.54,49593140.14,36717602.54,22583707.73,10701797.53,35634301.94,25596929.13,16997919.21,8471535.66,26792899.42,19478638.83,12940864.97,6551054.10,23270617.56,20837028.99,16338397.21,9584541.11,28248884.51,23725601.88,19801882.10,16213926.19,22532257.92,12973659.60,42937641.98,20877446.88,25292205.99,16905727.84,33022611.89,17576784.13,0.0
