,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1164402792.23,805027488.65,414534744.41,2747762925.83,2413489611.51,1705942493.21,707167574.64,5154111264.67,4173294508.91,2937585718.81,1479461540.25,8154618790.64,5827898922.64,4154979222.42,2131899657.38,9993717741.26,5973034394.71,3558819280.20,1390376434.96,8513262006.14,4951499897.14,3134631537.02,1352914663.81,6832959917.91,4470948397.25,2693115688.75,1237608887.17,5979020581.39,3074312531.50,1832460784.45,753961425.29,4511039528.88,2844554201.88,1973918804.08,967725995.87,4221482510.45,2572966913.66,1703653598.32,864013939.75,3536992348.13,2668264262.26,1720308795.16,828366354.39,3049487420.26,1776357680.67,1137261623.02,397755931.86,2963972708.77,1917651321.55,1290762891.17,597811508.49,2541329051.84,1598366904.24,1017937614.57,418178316.31,2228544367.51,1651113313.51,1268254339.95,418294234.12,2310000956.59,1937517183.10,1464377363.05,718335582.22,2355106382.63,1527474844.52,886404866.05,356225058.96,1757178307.69,1080532746.98,2643892950.06,1740538639.02,1816005513.27,656175801.73,925831713.14,589537510.96,0.0
3,收到的税费返还,3482817.87,2744751.59,831984.17,33324065.98,24261884.86,9865287.45,800000.00,23703511.68,14891460.32,8672483.78,4186183.73,16909734.47,7344738.96,7070024.34,1923746.73,31364165.55,26774656.52,22706326.31,7126526.43,28202742.58,21780628.77,16735524.00,9183782.52,31582133.60,27026814.25,14414044.31,7195377.18,43265917.74,14475811.10,10063380.41,1996773.88,13920750.62,12581186.24,12392436.14,10340742.10,16719588.82,11524646.40,5211174.35,5001636.41,20552907.80,5034997.90,1078255.19,475896.76,5594644.84,4171837.73,3213768.76,17565.82,4560118.05,1872293.85,1076698.28,261310.82,4647907.90,3356644.29,1855334.39,1051753.60,9134915.13,7726302.90,6910592.52,2928147.40,37255637.66,35462002.43,24230933.83,14651702.83,32822000.29,20846989.77,11506686.46,2766933.68,11454718.23,5497991.51,5739278.36,9002855.80,9255583.12,0,0,12108611.04,0.0
4,收到的其他与经营活动有关的现金,137376069.55,94683082.01,18334852.05,189401976.99,133235612.51,59393459.67,35675736.02,324698399.92,229526440.29,63019034.46,19092993.14,374313773.91,121546115.25,139011107.58,354359733.12,610519300.87,243877131.31,187952815.53,46101901.65,315247299.10,187330570.81,119761061.85,24557651.28,253450742.45,198581090.02,72368764.54,91308741.54,313210218.47,174845965.61,110404315.72,73929163.71,156790025.61,97212497.29,63146288.17,42706478.84,150080632.67,53068483.31,58001484.85,17490031.28,92807228.83,48538425.20,11474319.33,19889191.38,54755409.32,8503135.80,6404721.45,2142002.26,9955277.42,16117888.88,6216772.51,2409443.54,9199497.95,2115286.10,1548074.49,1605450.13,1762895.02,4208072.72,1814736.64,673857.84,33058780.76,172103643.49,157785219.01,1623745.58,15370860.56,6431114.59,4287409.73,3842715.14,28919894.10,177865612.01,318105179.71,34203726.31,81153898.33,75164801.41,92681558.03,22796567.71,0.0
5,经营活动现金流入小计,1305261679.65,902455322.25,433701580.63,2970488968.80,2570987108.88,1775201240.33,743643310.66,5502513176.27,4417712409.52,3009277237.05,1502740717.12,8545842299.02,5956789776.85,4301060354.34,2488183137.23,10635601207.68,6243686182.54,3769478422.04,1443604863.04,8856712047.82,5160611096.72,3271128122.87,1386656097.61,7117992793.96,4696556301.52,2779898497.60,1336113005.89,6335496717.60,3263634308.21,1952928480.58,829887362.88,4681750305.11,2954347885.41,2049457528.39,1020773216.81,4388282731.94,2637560043.37,1766866257.52,886505607.44,3650352484.76,2721837685.36,1732861369.68,848731442.53,3109837474.42,1789032654.20,1146880113.23,399915499.94,2978488104.24,1935641504.28,1298056361.96,600482262.85,2555176457.69,1603838834.63,1021341023.45,420835520.04,2239442177.66,1663047689.13,1276979669.11,421896239.36,2380315375.01,2145082829.02,1646393515.89,734611030.63,2403299243.48,1554752948.88,902198962.24,362834707.78,1797552920.02,1263896350.50,2967737408.13,1783745221.13,1906414994.72,731340603.14,1018513271.17,624442689.71,0.0
6,购买商品、接受劳务支付的现金,752659259.36,512368851.72,315612291.14,1825120817.52,1386967136.94,995918905.53,509879728.85,4134771914.43,3826652381.02,2626056488.14,1367133982.11,6498730044.52,5007392585.41,3768304482.71,1934751913.05,8204691200.37,5063722922.63,2990978760.10,1382789523.05,8012482294.60,4978487247.14,3549175885.63,1512179879.73,5998090012.75,4253253232.74,2677746441.74,1424862231.99,5314544380.44,3154299885.34,2160308951.62,987150345.93,4198372464.80,3019247959.10,2089974044.90,1191686095.77,3557871489.18,2446526164.83,1664501993.30,880417193.94,2709354996.81,2094058723.48,1364570952.55,801517811.21,2140935107.79,1465085027.58,997812272.13,429168768.61,2061827871.35,1401228540.40,929194544.18,409491429.48,1838357441.09,1186276056.92,748406244.46,296983807.92,1421922634.55,1085687502.50,815949049.76,367875264.90,1449676063.60,1306195863.74,858584083.24,335244230.51,1926595145.29,1537649665.69,1055954839.49,465132490.80,1871635453.29,1050777803.76,2404446532.32,1182194871.49,1511641864.39,378665987.42,858585671.52,539662671.62,0.0
7,支付给职工以及为职工支付的现金,258247911.77,163846537.38,108549771.08,591305737.98,472378811.45,350543130.20,185948456.88,705428470.01,522476967.20,354591441.18,178189047.97,647882593.68,459137637.00,307299329.54,150872685.93,628063924.14,522816271.75,314749851.62,161046642.38,638853950.44,466379220.37,285558446.27,109453774.70,586978972.38,423497456.62,285075722.64,150732924.29,508556014.10,293751690.52,191162488.16,103358138.09,377942910.94,295026984.62,198724638.74,105803174.01,340572857.41,257507072.31,168808269.88,86490466.89,293988554.76,233081459.19,158787989.15,79452672.09,276196986.74,202631403.26,141324327.06,76303878.56,261970486.59,194401879.43,113849102.07,58257966.18,216452659.93,160056052.67,109280463.36,59006207.97,226690296.38,166440269.83,111829256.69,63723500.81,222583104.36,169718438.64,116764692.79,63856397.94,226567695.13,170398485.14,112915224.70,59808160.73,242151013.47,108751812.26,244885384.51,114640951.13,177116765.43,66673696.58,136865410.33,65214114.69,0.0
8,支付的各项税费,74508169.72,68206469.64,31315234.88,119846778.59,82970601.12,58233502.10,15483557.44,183981239.24,129988378.98,99117287.87,46985011.09,191719670.81,170462994.42,134653969.81,54507702.04,262123624.14,199005864.68,168582150.66,122047564.69,233224254.75,203281947.14,174479436.72,98172932.59,216821860.49,156780602.90,115302669.13,64566857.08,244858171.30,152202360.99,99089532.68,56341462.35,178190921.22,132215487.93,96752710.12,47988195.88,162094401.68,126449188.73,78105965.45,41460369.78,137812119.47,128792854.54,108628740.92,38918648.35,198498024.24,148285765.78,86618796.10,50029865.81,185151077.09,141866634.76,109154988.22,49978901.75,92456140.25,63132641.99,37409127.09,7247689.50,99070534.36,91142788.32,81399321.90,39489529.86,123536090.93,86679796.12,70157034.88,37477778.81,127513363.49,103882362.20,86169912.20,61682661.23,146453500.26,57021707.41,153381401.12,70893695.40,102103992.42,42256892.98,59442333.54,49898339.90,0.0
