,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2134142011.92,1428957800.88,740897810.02,2754038466.66,2193623010.97,1459566552.41,642971719.11,2117940334.76,1456764720.73,921113185.01,430613286.22,1807800944.75,1312460174.85,946217402.56,412759455.90,1653222029.07,1318765733.63,850247604.16,422890907.54,1403474667.06,1057846703.70,684809544.20,275754917.28,1183843655.69,886493784.59,626183814.80,278178876.17,770601801.85,602316043.53,415772409.80,195641695.20,950392648.40,752883946.71,589714862.25,256696408.13,940714295.12,823291144.92,569280327.44,380771430.77,1309362011.20,1106398392.02,762788593.03,267861074.19,903447248.83,916201049.86,642090693.17,334446892.76,848278329.85,782217848.47,546134279.66,209988879.09,878795275.14,635768040.85,421692888.80,211397281.13,809858214.09,518992180.32,391350929.58,157128098.64,740290640.96,486357470.95,311095388.38,144720590.00,406304830.50,269672200.00,145483000.00,67216100.00,239590871.97,104335691.92,178830196.32,0.0
3,收到的税费返还,1397491.06,59748.02,0,531894.37,596204.61,127214.24,129368.09,526050.31,57280.21,29201.51,25918.36,600967.93,673566.47,28444.45,28444.45,1186334.23,1106536.36,293158.12,40769.23,1357265.89,109230.77,86153.85,0,0,0,0,0,0,238192.98,238192.98,0,791259.69,517359.69,517359.69,386692.08,605081.91,936900.85,470252.41,230177.66,1076030.84,929466.15,869607.87,782071.52,0,77197.74,77197.74,0,263321.28,0,0,0,0,0,0,0,7289.46,18710.54,26000.00,0,10011.11,0,0,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,176374861.19,97863057.07,22849252.20,149624560.27,77621181.57,48671900.19,9798170.86,98426825.40,75990377.95,38094855.85,14588678.07,47204098.21,68541547.75,40743454.80,24259899.99,116335078.69,93659651.30,81992344.08,17809663.49,157298952.84,125744638.86,113783145.50,76340485.73,216862196.48,187030835.23,109707113.85,72053457.51,156698817.32,79291785.12,58900601.94,27724695.55,101993091.36,34570136.01,33615677.34,30228802.20,62120744.97,35483128.57,25925114.25,12837632.01,74258508.36,27631066.97,19523266.50,20932811.92,48398277.28,4240708.80,3663085.95,2116725.72,18432776.95,7510261.05,4685294.47,6708421.39,10702155.94,3355460.52,4172983.19,1058367.01,10467775.19,4591901.17,841692.92,1656322.99,3124704.96,6169277.28,1128682.76,49750.00,2434384.37,389100.00,88000.00,0,400463.49,227387.42,494844.51,0.0
5,经营活动现金流入小计,2311914364.17,1526880605.97,763747062.22,2904194921.30,2271840397.15,1508365666.84,652899258.06,2216893210.47,1532812378.89,959237242.37,445227882.65,1855606010.89,1381675289.07,986989301.81,437047800.34,1770743441.99,1413531921.29,932533106.36,440741340.26,1562130885.79,1183700573.33,798678843.55,352095403.01,1400705852.17,1073524619.82,735890928.65,350232333.68,927300619.17,681846021.63,474911204.72,223366390.75,1053176999.45,787971442.41,623847899.28,287311902.41,1003440122.00,859711174.34,595675694.10,393839240.44,1384696550.40,1134958925.14,783181467.40,289575957.63,951845526.11,920518956.40,645830976.86,336563618.48,866974428.08,789728109.52,550819574.13,216697300.48,889497431.08,639123501.37,425865871.99,212455648.14,820333278.74,523602792.03,392218622.50,158784421.63,743425357.03,492526748.23,312224071.14,144770340.00,408739214.87,270061300.00,145571000.00,67216100.00,239991335.46,104563079.34,179325040.83,0.0
6,购买商品、接受劳务支付的现金,559092695.96,364272493.68,157599012.18,704223873.07,602295791.09,316865549.41,154057585.49,687500132.15,478249363.95,266209321.92,122000915.58,519993426.26,321911997.76,264059629.22,140999902.40,558728673.08,402111199.28,244526168.09,118990037.94,570009190.28,414464061.11,244612470.12,116949797.20,593954672.94,423170115.04,307146665.20,162782657.68,342935355.75,265439186.62,123867901.53,62921998.80,351851410.04,312759502.89,221704382.34,98981386.29,496983000.92,521892020.44,319457548.41,252330422.32,548072466.99,528700564.98,472494377.59,146141960.53,471912827.19,678591222.19,418591563.23,222676846.55,458529916.98,509827728.72,312281686.20,139748068.82,606087281.59,394890759.17,238055506.65,115348257.55,552844084.93,299098806.39,241673474.45,65662512.63,419567100.96,274018687.27,157931689.02,112471450.00,265561221.57,167140200.00,60162000.00,26105800.00,101923253.33,47808357.43,66908284.05,0.0
7,支付给职工以及为职工支付的现金,375880979.88,236187701.37,124765223.73,508237069.45,382682652.52,258382230.01,114795023.87,424587747.02,307240084.62,216373744.86,123193398.81,391425221.91,286162051.68,179340237.52,90095591.60,349727764.57,270162639.53,165887047.04,91509316.67,304166585.95,229818720.49,165304336.00,74203553.07,283620866.50,204978925.21,140411328.91,60594854.33,223851814.78,168380314.75,118010345.25,50527544.04,190848459.75,128951901.12,91900847.35,43192835.07,166556928.91,121217087.73,80707845.37,31265949.50,145541375.64,99873663.55,69433457.65,28231589.92,123237238.60,85559603.49,62527487.67,34157623.38,90997616.68,62778555.70,41492540.91,17097038.59,70291113.49,49952833.97,26916607.47,14741194.87,55119248.81,44144139.63,28277808.04,11525559.94,49064902.17,31703654.09,12508104.97,10140320.00,43403241.11,24503000.00,13863000.00,5032600.00,18757566.05,8732994.98,16159497.99,0.0
8,支付的各项税费,330895944.78,267600688.28,173411004.41,313289281.93,276109055.27,226956971.38,139768818.54,254964870.84,198668907.53,147591654.14,50967743.49,216243775.31,176917470.49,137454510.81,37916979.38,270003066.33,210915548.53,144703067.88,54096022.47,191428078.03,149144344.17,118241318.09,54559136.15,144676985.65,110376772.31,81620412.98,25563002.88,136000434.33,117990100.83,81076129.88,50072027.17,196457216.41,120214788.85,90908326.53,42651366.09,132338506.81,92441623.48,85271616.20,43161970.67,147869382.48,110513513.51,74634372.65,37000495.43,101604138.13,80535033.40,51304955.52,24160405.34,95689958.06,65236505.83,45291032.95,20895175.79,64523189.25,44487520.79,30526406.18,16719925.55,62170757.36,38866551.03,29071172.35,10170772.81,57013378.87,35767295.23,23989312.35,9752800.00,48701687.20,32192100.00,23408000.00,6029500.00,36476314.23,18785240.59,28001278.36,0.0
9,支付的其他与经营活动有关的现金,827247104.99,519793529.02,279350617.46,951843252.08,644853518.84,387141746.01,173099791.10,688114263.09,460550351.22,299477057.26,157919736.66,571989408.00,324122639.61,184107077.80,78297115.89,448817549.48,321824589.20,219087331.15,80452007.87,317900047.12,222807968.01,159644376.44,81403292.09,321651453.37,277448141.60,165271649.60,80563071.75,321243930.48,216773817.12,115202995.24,40479906.77,273293072.10,103756330.19,89279722.00,41169503.03,188996175.91,123122639.31,104504815.97,38742811.91,174649280.41,126775760.82,92778846.78,26995534.03,152192149.63,65644143.01,50083717.95,27372654.47,116071282.77,78396071.97,70202375.53,15103064.14,137004907.30,95700030.09,64877056.46,33565701.81,123802594.52,107257929.32,82278108.38,32580040.06,138054007.66,113896060.20,82479478.30,18381970.00,60693532.77,51682300.00,40051000.00,22820700.00,58545966.90,20507353.14,44668951.24,0.0
10,经营活动现金流出小计,2093116725.61,1387854412.35,735125857.78,2477593476.53,1905941017.72,1189346496.81,581721219.00,2055167013.10,1444708707.32,929651778.18,454081794.54,1699651831.48,1109114159.54,764961455.35,347309589.27,1627277053.46,1205013976.54,774203614.16,345047384.95,1383503901.38,1016235093.78,687802500.65,327115778.51,1343903978.46,1015973954.16,694450056.69,329503586.64,1024031535.34,768583419.32,438157371.90,204001476.78,1012450158.30,665682523.05,493793278.22,225995090.48,984874612.55,858673370.96,589941825.95,365501154.40,1016132505.52,865863502.86,709341054.67,238369579.91,848946353.55,910330002.09,582507724.37,308367529.74,761288774.49,716238862.22,469267635.59,192843347.34,877906491.63,585031144.02,360375576.76,180375079.78,793936685.62,489367426.37,381300563.22,119938885.44,663699389.66,455385696.79,276908584.64,150746540.00,418359682.65,275517500.00,137484000.00,59988600.00,215703100.51,95833946.14,155738011.64,0.0
11,经营活动产生的现金流量净额,218797638.56,139026193.62,28621204.44,426601444.77,365899379.43,319019170.03,71178039.06,161726197.37,88103671.57,29585464.19,-8853911.89,155954179.41,272561129.53,222027846.46,89738211.07,143466388.53,208517944.75,158329492.20,95693955.31,178626984.41,167465479.55,110876342.90,24979624.50,56801873.71,57550665.66,41440871.96,20728747.04,-96730916.17,-86737397.69,36753832.82,19364913.97,40726841.15,122288919.36,130054621.06,61316811.93,18565509.45,1037803.38,5733868.15,28338086.04,368564044.88,269095422.28,73840412.73,51206377.72,102899172.56,10188954.31,63323252.49,28196088.74,105685653.59,73489247.30,81551938.54,23853953.14,11590939.45,54092357.35,65490295.23,32080568.36,26396593.12,34235365.66,10918059.28,38845536.19,79725967.37,37141051.44,35315486.50,-5976200.00,-9620467.78,-5456300.00,8087000.00,7227500.00,24288234.95,8729133.20,23587029.19,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
