,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2360913748.88,1696104568.21,1081898650.56,519947748.85,2055428465.57,1467746352.88,890741960.41,375429020.14,1649642818.83,1135174049.50,743857114.07,313239562.52,1453231925.31,1055259223.18,693314997.67,283675583.79,1437640396.12,1011965250.95,687770983.00,295597835.47,1666381187.29,1229549239.15,832483599.10,361258625.06,1844387699.65,1329156535.25,849510280.12,340938567.47,2005103653.03,1441943875.09,982554049.17,432113682.73,1938616939.01,1447698522.03,945888286.13,386894260.80,1894838998.19,1335529436.56,874535530.61,399033386.53,1790947819.04,1280260148.16,790853957.18,365193813.15,2403671432.81,1631332669.05,1111953765.38,454562814.63,1631649837.00,1140828087.02,714020652.86,326174394.87,1387558587.01,1009948492.83,667511697.97,298756813.38,1239448530.85,949026281.72,632203318.13,275131481.14,1086625964.83,762631456.11,493788294.93,226520706.57,713527921.19,449768284.25,268593777.45,121018739.53,577229883.96,265606161.06,532435371.24,247640641.75,481443220.34,0,0.0
3,收到的税费返还,20155333.46,16039741.21,8859894.39,6779249.17,13956389.67,9582767.53,6080561.08,4136388.84,3484940.84,2044606.19,2044606.19,1459948.71,2106989.73,2106989.73,2106989.73,2106989.73,2375858.69,2375858.49,2155317.70,1403855.42,2701943.21,2701943.21,2701943.21,1755235.40,3117025.40,2233286.01,1789925.20,1456755.80,3814269.60,3814269.60,2033528.29,840775.04,6413318.79,6127073.13,4598043.45,3702065.96,4759090.02,4839090.02,3767834.88,1968701.53,1019506.85,1019506.85,146916.55,146916.55,2634103.03,2634103.03,1686418.85,788927.65,4880483.97,2985027.65,2884429.12,1628884.44,6093358.73,5466433.49,4257561.32,2623070.31,2589868.52,630430.29,630430.29,742032.99,0,0,0,7300.00,177092.16,171075.16,171075.16,0,1341700.00,0,647000.00,647000.00,1071500.00,0,0.0
4,收到的其他与经营活动有关的现金,6820644.99,8375160.98,6647158.39,4994614.56,9567518.08,-20421211.77,4101663.72,1517504.52,8417708.00,5635043.04,4824391.18,1048113.80,11836362.15,8101301.74,6624344.62,1184845.81,15811315.72,13674802.85,9620998.04,9210253.50,10873753.32,11665472.90,5302795.87,2470395.00,3007670.19,6169828.75,3698725.66,1539036.21,4293179.41,6814260.42,1667657.10,463603.18,6678598.52,2003114.64,1331752.48,719245.55,1048514.06,1605881.79,563343.78,2149968.08,3317693.66,1498237.10,2205553.35,2017546.84,5974381.21,26695544.96,23452141.40,1148382.95,3481468.82,2917635.72,933806.45,958940.01,3561809.91,1998764.06,1006637.40,806623.38,3290152.24,2946994.69,481025.42,8881938.01,2729351.45,1233314.57,1066205.08,218036.94,2305598.29,424061.85,69223.39,86460.77,4199.58,2432701.24,819881.39,6800662.40,27167544.10,0,0.0
5,经营活动现金流入小计,2387889727.33,1720519470.40,1097405703.34,531721612.58,2078952373.32,1456907908.64,900924185.21,381082913.50,1661545467.67,1142853698.73,750726111.44,315747625.03,1467175277.19,1065467514.65,702046332.02,286967419.33,1455827570.53,1028015912.29,699547298.74,306211944.39,1679956883.82,1243916655.26,840488338.18,365484255.46,1850512395.24,1337559650.01,854998930.98,343934359.48,2013211102.04,1452572405.11,986255234.56,433418060.95,1951708856.32,1455828709.80,951818082.06,391315572.31,1900646602.27,1341974408.37,878866709.27,403152056.14,1795285019.55,1282777892.11,793206427.08,367358276.54,2412279917.05,1660662317.04,1137092325.63,456500125.23,1640011789.79,1146730750.39,717838888.43,328762219.32,1397213755.65,1017413690.38,672775896.69,302186507.07,1245328551.61,952603706.70,633314773.84,284755452.14,1089355316.28,763864770.68,494854500.01,226746043.51,716010611.64,450363421.26,268834076.00,121105200.30,578575783.54,268038862.30,533902252.63,255088304.15,509682264.44,0,0.0
6,购买商品、接受劳务支付的现金,1746108171.77,1330255077.71,853012111.97,399859679.17,1563229115.33,1152373665.41,683465489.42,316933394.48,1210872639.97,932800809.62,608904758.41,302899993.37,979285232.58,726026532.66,445270475.86,184436915.49,881324818.83,640040340.95,432464576.62,216978861.61,1142546560.62,899105936.34,652486821.51,331956516.71,1440555562.45,1069689182.43,707951867.09,344021090.42,1555841067.72,1157269479.51,782327162.04,342188948.75,1721238633.46,1343851120.50,903577185.60,419027617.19,1610335570.48,1147838666.21,717268638.52,354024656.20,1473181999.94,1063778351.62,585334798.25,336459453.08,2076507623.20,1448873768.60,1083998419.79,472810647.23,1433441026.95,1019478599.93,634778132.53,312392575.54,1141091377.86,890389378.79,582458517.20,314068303.90,1014915570.41,822564406.74,610352346.04,277033670.84,910123324.30,623757583.42,421748488.71,206081128.58,542196204.47,356580512.76,228388927.79,98965283.97,400299381.31,206065955.74,440413838.71,240912094.19,327190029.46,0,0.0
7,支付给职工以及为职工支付的现金,275566491.06,201325205.99,134829311.48,69712433.19,258939553.94,179886848.33,123903421.23,66239511.20,239487409.95,170556805.40,111319129.92,58117369.52,238419928.93,162601163.29,111033574.66,54804482.52,219075424.50,161549351.60,110232473.00,57580304.50,224570047.33,163635615.96,93198587.51,45535098.41,173077869.91,121451138.65,79106683.93,40321271.72,149659236.04,107490731.20,75623335.38,37903148.12,128330538.47,98811642.54,62595621.47,28286986.89,127648809.29,94188358.44,60177174.84,29029157.30,117163348.65,77172113.35,49707307.48,22351654.60,104270576.10,68651769.85,44787121.57,17018031.85,88983955.30,60144904.96,40195812.09,20373822.52,79336350.34,55168935.94,38188517.70,19368530.98,64489908.74,47551944.18,31199258.45,14659274.98,63444591.84,38452374.42,26093754.24,13210406.29,41002267.13,25712587.10,16948109.66,9197483.21,38041295.07,18304781.83,36527600.17,19645116.71,29430082.88,0,0.0
8,支付的各项税费,95042914.38,73055600.76,58000303.28,18564152.83,84595945.67,63933037.12,42585397.70,12017720.33,80951486.25,56897019.85,34803716.95,12609370.63,89493597.43,70976579.44,48647649.94,17229112.15,94428851.90,69604841.42,44716532.70,18298412.56,110028945.10,82705351.40,53993640.69,17600468.60,95315800.18,71596200.38,44430983.42,14134396.23,90410146.48,62435331.69,48850718.87,20157777.86,61255659.30,43847446.44,36808856.00,14846928.55,68937758.98,65674586.25,40586095.32,9825716.11,81951323.80,58674693.26,45785646.63,21460216.51,81269029.67,53853836.63,36216813.09,12086980.90,67751945.17,49421410.23,32501403.29,13029970.40,54855918.46,40754330.77,27592439.62,15336609.74,48355913.10,31361658.43,20303635.73,10462627.30,48229194.71,37979128.56,30568012.19,9616098.92,43700644.80,25933159.34,18324761.30,9030643.16,42882185.70,19215402.35,34398781.99,13556118.64,37519531.25,0,0.0
