,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20080930,20080630,20080331,20071231,20070930,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,33578400825.81,26375326268.09,15679597149.91,44130249190.83,34152292660.52,23691831549.87,16004191258.29,40688723021.79,31749014242.32,21949721724.11,13735328781.04,39983068872.68,25250040277.73,17413169549.53,12954026405.59,37585048885.78,28684510875.90,20074039732.36,16525561213.46,35207372366.66,27968801659.46,17645819598.51,15150280678.77,39667667087.36,25946144453.15,16388271450.91,11040914987.57,37510339477.14,29450797741.26,15613157676.06,10177531206.47,32925181667.96,25948767986.16,19729916978.11,10554488533.89,24839693299.77,19116186512.09,10516571177.55,5996959139.45,17490028517.88,12528744731.54,6431469855.06,15171379849.86,8814275394.16,5552011883.96,2787937670.73,10375510505.70,6018061599.67,6664777722.49,6569238986.63,5849305741.09,0.0
3,收到的税费返还,58239.92,0,0,315486.80,315486.80,315486.80,0,1262575.72,797426.25,0,0,1379361.50,360878.03,360878.03,0,3521498.40,1035549.56,4018382.32,2982832.76,5417806.43,3404394.95,3404394.95,0,2869903.74,2568775.11,2124303.74,5302073.62,13000.00,14768290.66,11249114.71,5775428.42,3309000.00,147020.00,0,347000.00,879531.10,0,0,561851.25,370707.18,26553152.87,0,2148004.16,71117.64,3634.19,0,0,2581809.95,4715964.77,4691531.28,0,0.0
4,收到的其他与经营活动有关的现金,5901884092.57,4901867729.78,1181943876.76,8617536337.85,5092385995.39,3978642773.00,1272579708.16,5396972722.48,3073963499.72,2314007710.33,755114006.09,3031806248.98,1137741032.90,809852325.15,545819685.00,2634956849.32,2244078610.85,1686183428.67,2465380873.82,2070918020.09,1114133084.25,860003533.06,1568851467.75,2278796156.07,1623094075.34,1542440714.56,358149320.80,691326381.42,911320808.50,793028899.45,1446078680.80,777814411.52,845610771.01,301763989.14,1651397794.02,1265595849.43,4032372862.65,545029311.57,2909546993.50,721727487.82,5123451910.29,2504773801.41,467828838.07,3253615152.69,1985645387.53,434215443.91,964386078.37,985692103.80,2038867690.85,1895208049.15,873106643.33,0.0
5,经营活动现金流入小计,39499707627.29,31291671185.71,16869668016.52,52782845399.20,39270224717.34,27691417639.94,17286733947.11,46138267603.28,34823775168.29,24263729434.44,14490442787.13,43016254483.16,26388142188.66,18223382752.71,13499846090.59,40223527233.50,30929625036.31,21764241543.35,18993924920.04,37283708193.18,29086339138.66,18509227526.52,16719132146.52,41949333147.17,27571807303.60,17932836469.21,11404366381.99,38201678858.56,30376886840.42,16417435690.22,11629385315.69,33706305079.48,26794525777.17,20031680967.25,12206233327.91,26106168680.30,23148559374.74,11061600489.12,8907067984.20,18212126712.88,17678749794.70,8936243656.47,15641356692.09,12067961664.49,7537660905.68,3222153114.64,11339896584.07,7006335513.42,8708361378.11,8469138567.06,6722412384.42,0.0
6,购买商品、接受劳务支付的现金,31625506715.91,25287239071.89,15615609982.04,41832291735.98,32617253858.98,22646281447.96,15999667839.70,37036928955.06,29361056209.00,19834803535.38,12751004067.66,37135201480.51,22816421211.51,16174521357.41,12545080213.05,34013492851.91,26218487758.15,18070203815.58,16494015068.28,31447541837.82,25956410034.28,16459677963.74,14876508844.81,37793217442.92,23785923196.94,15267356934.13,10626602951.63,33475534057.14,26469939551.05,15046829714.66,9875848121.35,29414110227.93,23816918550.54,18334908162.19,9254152086.13,22491990977.03,16536537576.45,9182838894.40,5503728873.19,16131602321.05,11634644610.47,6130011796.21,14214097473.88,8585019095.09,5402341447.43,2778639094.63,10058103528.58,5208688948.90,6164778392.54,6079003872.22,5162965832.00,0.0
7,支付给职工以及为职工支付的现金,1349610064.39,878779405.56,524154475.14,1607824436.38,1231332219.73,822733465.39,464567288.94,1537818559.02,1093440145.18,748135358.12,417644538.11,1395313250.72,1036124569.61,697289655.38,392948834.26,1446470072.95,1046597948.85,717060492.86,392732604.28,1413040975.84,1054696586.26,727301462.45,373863521.16,1323924308.56,881068749.71,594179187.99,348649547.89,1146741744.60,802695906.85,601973272.01,302925799.95,979162799.87,531736487.74,456485297.89,262843852.32,731326242.94,738135494.12,361036169.39,247160845.93,556433640.90,510306582.13,299077248.89,594708485.07,434412572.51,230514488.23,127400852.18,417525696.30,377191407.13,374800800.42,333760919.93,317758530.66,0.0
8,支付的各项税费,890359438.61,626680530.26,371429782.89,1261556422.80,960034234.81,702213846.20,375945909.30,1296295345.11,829641066.11,639622063.60,347199358.90,1602649975.45,1307980641.34,1010709138.61,332996524.47,1404477016.15,964209611.36,636453504.38,337251902.35,1301668455.13,887080840.68,731008782.87,315416549.80,1484893660.65,1077910541.64,774798515.37,419806303.22,1477978381.05,1034208076.63,657345416.11,346052642.02,1323280781.18,1260515093.91,693102918.74,243412152.47,823730945.07,551051750.95,380642749.06,171198586.90,530505095.71,395509318.17,225271529.66,366415662.60,291008996.64,183281648.73,81965107.91,386876452.20,215822725.11,232830731.83,215785761.62,166821433.73,0.0
