,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1463471865.07,1080292982.73,649157026.46,275382775.79,1383657238.15,1021285424.21,677247958.57,298780751.66,1280869541.31,848131293.46,582178190.89,265768647.32,1166076301.96,833101519.68,527708867.93,270156125.73,1171690553.89,857230690.40,555008223.91,286013935.65,1456561776.74,1019913118.05,680464073.34,333043983.94,1456606405.91,1036905965.00,679704522.91,359261532.24,1480921502.02,1037749750.29,680687971.82,330858771.18,1248390484.17,881117375.14,516363472.09,239013523.17,863607924.42,548199679.24,354730152.82,164714356.81,866135056.69,597985290.15,390127752.27,145427497.68,948386779.12,617785680.69,361357757.86,133894746.58,802830899.92,583997787.28,342117681.45,151614202.33,719219746.47,244256854.18,176644077.59,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7615473.50,1230000.00,1230000.00,410000.00,35240000.00,1460000.00,0,0,33416667.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,26413665.86,4181014.96,2853301.65,1240022.49,10583835.71,12365187.24,10807376.03,797719.32,4639195.85,2391886.81,1720947.68,1462098.67,2974691.27,2550500.37,680049.48,459087.06,11565386.92,5299712.28,3190371.49,1188995.53,8515555.22,4395533.72,3024700.88,1643489.32,8028214.51,5453671.09,4067439.61,2640514.40,7838072.64,6310550.97,2855610.62,1245392.43,3993780.07,2742358.17,1537559.30,132937.45,1390665.04,1220745.90,1051800.37,823299.39,9597653.44,1689537.01,799562.82,463716.38,3738984.25,3318378.53,2300965.59,2240749.86,4081723.77,2664071.46,1217671.51,128888.54,656383.49,414235.89,248153.03,0.0
5,经营活动现金流入小计,2109522857.92,1443732007.21,736302829.25,270630729.01,925133705.13,1033650611.45,688055334.60,299578470.98,1285508737.16,850523180.27,583899138.57,267230745.99,1169050993.23,835652020.05,528388917.41,270615212.79,1190871414.31,863760402.68,559428595.40,287612931.18,1500317331.96,1025768651.77,683488774.22,334687473.26,1498051287.99,1042359636.09,683771962.52,361902046.64,1488759574.66,1044060301.26,683543582.44,332104163.61,1252384264.24,883859733.31,517901031.39,239146460.62,864998589.46,549420425.14,355781953.19,165537656.20,875732710.13,599674827.16,390927315.09,145891214.06,952125763.37,621104059.22,363658723.45,136135496.44,806912623.69,586661858.74,343335352.96,151743090.87,719876129.96,244671090.07,176892230.62,0.0
6,购买商品、接受劳务支付的现金,395204889.86,332705179.93,200851980.40,102297414.80,384044741.42,316046027.54,219958463.64,92798101.76,456633556.86,265760403.69,155143435.62,81430346.21,335880038.36,261622639.86,177661110.11,99373130.64,359594094.78,268827175.40,186668690.69,106285176.18,506418280.93,375830280.36,253216323.97,129568100.77,512106878.39,379127259.01,263283375.79,127465337.50,441665295.70,324702394.66,211366442.76,96498115.01,347935215.85,243929691.52,153637173.62,75386324.69,278498152.64,196742799.42,122716349.48,65535693.28,234739899.89,170174491.32,74864289.32,24413358.83,280117559.50,212123267.75,134837877.52,65231073.96,218008974.92,160072629.84,106953708.93,50564652.81,205787308.14,53811370.69,31500718.32,0.0
7,支付给职工以及为职工支付的现金,507094163.76,353275150.94,233844845.89,127006340.07,471329380.77,390622089.46,250190094.11,159041419.83,482107650.03,367784877.96,251398355.11,150301281.97,496359633.06,389559077.00,270200496.73,157497182.84,520890339.94,399998220.17,268686543.30,162033979.38,543862160.68,414884547.51,290100162.92,120244004.78,511694103.06,376652028.20,257932872.59,148721800.95,458299878.15,358970584.21,249663975.64,130086978.86,423600452.99,320195457.85,212552962.67,107999232.89,356526469.62,260621196.38,179764126.96,91487965.43,320741576.31,232236213.92,151244236.51,95603561.28,319033840.06,252285797.08,171110152.02,90966028.67,268404935.00,206691542.54,131164033.28,72634913.27,249131427.32,58268904.64,37161689.57,0.0
8,支付的各项税费,297655616.60,196244279.98,125599009.07,66949173.76,255739404.86,162155128.30,111574249.45,56210664.80,252258409.88,184012613.18,124430697.77,67323534.11,242841272.81,179504960.61,118191390.48,45214858.59,235765230.71,172594396.88,115534883.64,59259158.47,287847652.47,181219638.15,105367245.20,54418595.61,323821099.94,226867515.52,166031237.14,80541226.69,349260903.16,220210947.83,152575511.10,70994048.00,324627812.27,252970406.85,175611441.25,110214663.93,74363303.58,44551617.65,31425635.80,16960289.07,162457457.71,148246980.13,109103198.35,34149910.07,243698329.42,169843713.65,117092321.30,36856540.22,222572752.07,150687245.23,99898819.45,56099581.78,114497808.20,32919402.31,34388126.36,0.0
9,支付的其他与经营活动有关的现金,24355867.83,28880824.89,14551850.24,8788678.57,37540769.18,19105334.95,13868133.73,3960036.55,30387964.30,23032407.45,16874148.82,4246869.85,28519469.86,26613780.87,15834580.08,2673932.00,28204159.15,26058932.20,21614275.95,-92453.34,42564250.16,38837675.65,25946475.99,15024272.95,41980384.64,41482088.44,27201080.26,12699263.76,42182626.86,33168501.66,21819246.39,7640105.77,43089546.81,32993301.70,21523078.87,8836116.80,31688120.81,24826764.66,14002984.98,7865575.20,31143096.42,22461974.07,17381594.80,8583291.53,29076146.17,23916417.61,15478445.23,7398173.73,37757141.79,25751824.49,17296911.59,9232743.60,28105453.70,16793537.80,18263070.30,0.0
10,经营活动现金流出小计,1522286199.14,1181063325.32,801441081.83,455765529.30,1519614574.66,887928580.25,595590940.93,312010222.94,1221387581.07,840590302.28,547846637.32,303302032.14,1103600414.09,857300458.34,581887577.40,304759104.07,1144453824.58,867478724.65,592504393.58,327485860.69,1380692344.24,1010772141.67,674630208.08,319254974.11,1389602466.03,1024128891.17,714448565.78,369427628.90,1291408703.87,937052428.36,635425175.89,305219247.64,1139253027.92,850088857.92,563324656.41,302436338.31,741076046.65,526742378.11,347909097.22,181849522.98,749082030.33,573119659.44,352593318.98,162750121.71,871925875.15,658169196.09,438518796.07,200451816.58,746743803.78,543203242.10,355313473.25,188531891.46,597521997.36,161793215.44,121313604.55,0.0
11,经营活动产生的现金流量净额,587236658.78,262668681.89,-65138252.58,-185134800.29,-594480869.53,145722031.20,92464393.67,-12431751.96,64121156.09,9932877.99,36052501.25,-36071286.15,65450579.14,-21648438.29,-53498659.99,-34143891.28,46417589.73,-3718321.97,-33075798.18,-39872929.51,119624987.72,14996510.10,8858566.14,15432499.15,108448821.96,18230744.92,-30676603.26,-7525582.26,197350870.79,107007872.90,48118406.55,26884915.97,113131236.32,33770875.39,-45423625.02,-63289877.69,123922542.81,22678047.03,7872855.97,-16311866.78,126650679.80,26555167.72,38333996.11,-16858907.65,80199888.22,-37065136.87,-74860072.62,-64316320.14,60168819.91,43458616.64,-11978120.29,-36788800.59,122354132.60,82877874.63,55578626.07,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,1125100000.00,870100000.00,775100000.00,110100000.00,1483150000.00,1119150000.00,769150000.00,249000000.00,1315000000.00,1150000000.00,483000000.00,260000000.00,606000000.00,463000000.00,128000000.00,0,0,0,0,0,9366905.25,7200000.00,0,0,6312038.13,0,0,0,0,0,0,0,0,0,0,0,14064180.27,14064180.27,14064180.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
