,报表日期,20191231,20190930,20190630,20181231,20180930,20171231,20161231,20151231,20141231,19700101
0,单位,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,
2,销售商品、提供劳务收到的现金,407329826.64,290748268.85,183896299.65,324596912.63,219404833.49,292236024.17,190817885.81,164004859.75,119415052.69,0.0
3,收到的税费返还,6036658.06,5367294.60,3724007.18,2782711.83,1934767.74,4152693.59,3079492.23,1053761.21,2453012.83,0.0
4,收到的其他与经营活动有关的现金,12914233.15,6102137.77,2010762.58,12254224.91,5071388.44,11587591.53,16590168.38,10790855.80,3093784.82,0.0
5,经营活动现金流入小计,426280717.85,302217701.22,189631069.41,339633849.37,226410989.67,307976309.29,210487546.42,175849476.76,124961850.34,0.0
6,购买商品、接受劳务支付的现金,135630850.47,105352373.57,63842933.11,101634601.18,81663977.23,98344595.23,64453101.95,59197872.77,42354669.82,0.0
7,支付给职工以及为职工支付的现金,183567700.99,131451938.13,86566251.57,131968890.02,91875370.51,102827490.38,91244016.93,65137854.27,46880300.20,0.0
8,支付的各项税费,10107211.96,6864086.90,4838092.08,12204553.72,9907361.54,11261978.69,4362265.49,876777.36,535498.54,0.0
9,支付的其他与经营活动有关的现金,38675809.91,29732263.72,17904639.04,22719836.09,14714083.60,20845080.81,16295498.24,14406149.08,15773517.92,0.0
10,经营活动现金流出小计,367981573.33,273400662.32,173151915.80,268527881.01,198160792.88,233279145.11,176354882.61,139618653.48,105543986.48,0.0
11,经营活动产生的现金流量净额,58299144.52,28817038.90,16479153.61,71105968.36,28250196.79,74697164.18,34132663.81,36230823.28,19417863.86,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,112733.34,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,0,0,0,4310.34,0,0,9000.00,156203.88,2200.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,7905883.00,0,0,0.0
18,投资活动现金流入小计,112733.34,0.00,0.00,4310.34,0.00,0.00,7914883.00,156203.88,2200.00,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,97379638.55,61874820.43,31097296.38,64372834.82,41102874.00,58909303.86,39305269.72,36537335.32,15549715.92,0.0
20,投资所支付的现金,70888708.33,0,0,0,0,0,0,15195915.32,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,168268346.88,61874820.43,31097296.38,64372834.82,41102874.00,58909303.86,39305269.72,51733250.64,15549715.92,0.0
24,投资活动产生的现金流量净额,-168155613.54,-61874820.43,-31097296.38,-64368524.48,-41102874.00,-58909303.86,-31390386.72,-51577046.76,-15547515.92,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,
26,吸收投资收到的现金,595520850.00,0,0,0,0,0,140017500.00,8771335.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,0,0,0,0,0,0,10000000.00,23000000.00,8000000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,16000000.00,11500000.00,1000000.00,0.0
31,筹资活动现金流入小计,595520850.00,0.00,0.00,0.00,0.00,0.00,166017500.00,43271335.00,9000000.00,0.0
32,偿还债务支付的现金,0,0,0,0,0,0,33000000.00,8000000.00,5000000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,0,0,0,0,0,0,830464.54,1077850.02,423923.61,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,16286893.77,0,0,0,0,0,16000000.00,14631500.00,1000000.00,0.0
36,筹资活动现金流出小计,16286893.77,0.00,0.00,0.00,0.00,0.00,49830464.54,23709350.02,6423923.61,0.0
37,筹资活动产生的现金流量净额,579233956.23,0.00,0.00,0.00,0.00,0.00,116187035.46,19561984.98,2576076.39,0.0
38,四、汇率变动对现金及现金等价物的影响,362428.34,1264588.09,-255964.30,2992438.46,3061198.70,-3086684.54,2250577.71,2584490.92,383992.23,0.0
39,五、现金及现金等价物净增加额,469739915.55,-31793193.44,-14874107.07,9729882.34,-9791478.51,12701175.78,121179890.26,6800252.42,6830416.56,0.0
40,加:期初现金及现金等价物余额,166553375.98,166553375.98,166553375.98,156823493.64,156823493.64,144122317.86,22942427.60,16142175.18,9311758.62,0.0
41,六、期末现金及现金等价物余额,636293291.53,134760182.54,151679268.91,166553375.98,147032015.13,156823493.64,144122317.86,22942427.60,16142175.18,0.0
42,附注,,,,,,,,,,
43,净利润,68518370.40,0,29262008.93,60561186.44,0,41232016.72,43945256.94,0,0,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,5639614.46,0,0,1735593.76,0,-1195562.62,3930860.93,0,0,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,17471158.56,0,8041602.30,12866574.56,0,10190671.86,7988987.17,0,0,0.0
48,无形资产摊销,1382541.06,0,696535.94,436370.04,0,407459.02,104434.78,0,0,0.0
49,长期待摊费用摊销,10668909.88,0,4889614.42,7127557.35,0,7660824.76,3998273.59,0,0,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,228407.32,0,74078.92,1278878.77,0,83025.22,10210.00,0,0,0.0
53,固定资产报废损失,0,0,0,0,0,0,0,0,0,0.0
54,公允价值变动损失,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0.0
56,预计负债,0,0,0,0,0,0,0,0,0,0.0
57,财务费用,-362428.34,0,255964.30,-2992438.46,0,3086684.54,-1420113.17,0,0,0.0
58,投资损失,-190941.55,0,0,0,0,0,0,0,0,0.0
59,递延所得税资产减少,-1202078.63,0,381544.47,-712081.46,0,57238.63,-181962.63,0,0,0.0
60,递延所得税负债增加,0,0,0,0,0,0,0,0,0,0.0
61,存货的减少,-3400434.83,0,-1453152.92,-933011.45,0,25497.59,1510809.92,0,0,0.0
62,经营性应收项目的减少,-59911961.94,0,-23440606.88,-18863940.99,0,11702943.89,-45288222.13,0,0,0.0
63,经营性应付项目的增加,19457988.13,0,-3939790.23,10601279.80,0,1446364.57,19534128.41,0,0,0.0
64,已完工尚未结算款的减少(减:增加),0,0,0,0,0,0,0,0,0,0.0
65,已结算尚未完工款的增加(减:减少),0,0,0,0,0,0,0,0,0,0.0
66,其他,0,0,0,0,0,0,0,0,0,0.0
67,经营活动产生现金流量净额,58299144.52,0,16479153.61,71105968.36,0,74697164.18,34132663.81,0,0,0.0
68,债务转为资本,0,0,0,0,0,0,0,0,0,0.0
69,一年内到期的可转换公司债券,0,0,0,0,0,0,0,0,0,0.0
70,融资租入固定资产,0,0,0,0,0,0,0,0,0,0.0
71,现金的期末余额,636293291.53,0,151679268.91,166553375.98,0,156823493.64,144122317.86,0,0,0.0
72,现金的期初余额,166553375.98,0,166553375.98,156823493.64,0,144122317.86,22942427.60,0,0,0.0
73,现金等价物的期末余额,0,0,0,0,0,0,0,0,0,0.0
74,现金等价物的期初余额,0,0,0,0,0,0,0,0,0,0.0
75,现金及现金等价物的净增加额,469739915.55,0,-14874107.07,9729882.34,0,12701175.78,121179890.26,0,0,0.0
