,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,688026,洁特生物,--,--,--,--,88.1619,--
1,688078,龙软科技,--,--,--,--,--,--
2,688396,华润微,--,--,--,--,63.5461,--
3,688090,瑞松科技,--,--,--,--,--,--
4,688158,优刻得,--,--,--,--,83.0709,--
5,300820,英杰电气,2.7505,2.7505,0,--,--,--
6,002969,嘉美包装,--,--,--,--,50.9162,--
7,600381,青海春天,54.7203,39.4313,838.4235,440.1347,98.4768,1.5232
8,688020,方邦股份,61.5351,60.8585,1200.6955,-2557.6878,98.4722,1.5278
9,688188,柏楚电子,79.9056,79.3213,832.9648,-23622.8138,98.2828,1.7172
10,600868,梅雁吉祥,6.6392,6.6392,371.4965,-3493.2296,97.7648,2.2352
11,000416,民生控股,28.0466,28.0466,306.6614,6835.7276,97.4123,2.5877
12,300333,兆日科技,23.4941,20.1397,1628.4275,-396.2338,97.3842,2.6158
13,300485,赛升药业,24.8713,22.1462,898.0027,-1244.3974,97.3562,2.6438
14,002252,上海莱士,16.1445,9.4111,473.064,-3967.225,97.2084,2.7916
15,002575,群兴玩具,6.7735,6.7735,428.5027,3629.6117,96.9881,3.0119
16,002932,明德生物,27.4911,25.571,1512.5895,-1895.265,96.5713,3.4287
17,300223,北京君正,68.1401,61.3699,457.5392,-3702.0036,96.5275,3.4725
18,688388,嘉元科技,31.3747,30.0246,444.1666,1826.5515,96.3639,3.6361
19,300766,每日互动,24.8374,24.7737,308.976,-1197.7724,96.2342,3.7658
20,688028,沃尔德,18.8347,17.4409,1488.1246,-2849.5753,96.087,3.913
21,688058,宝兰德,23.039,21.8038,927.8499,-4730.7005,96.0662,3.9338
22,601028,玉龙股份,25.6448,25.6339,1932.5977,314.0752,96.0043,3.9957
23,000503,国新健康,14.0924,14.0916,1003.1556,1034.3368,95.8457,4.1543
24,600084,*ST中葡,18.7321,2.9867,138.7994,630.5579,95.8016,4.1984
25,603696,安记食品,13.5189,12.2086,306.6597,-873.1537,95.6858,4.3142
26,600539,ST狮头,26.3048,25.3043,2004.8214,26.4835,95.5571,4.4429
27,002502,鼎龙文化,15.4638,15.1539,308.2793,19524.8341,95.4701,4.5299
28,002625,光启技术,30.3233,29.8733,2791.4633,-7.0194,95.3907,4.6093
29,300127,银河磁体,17.8291,15.6338,1133.2377,-620.011,95.3644,4.6356
30,688168,安博通,20.7649,20.4836,1714.0929,7150.2775,95.3345,4.6655
31,000813,德展健康,19.951,18.5052,299.273,127943.591,95.332,4.668
32,300741,华宝股份,16.4694,15.3372,1215.7268,-745.9342,95.2158,4.7842
33,603655,朗博科技,16.73,15.7186,594.636,-1162.0109,95.1971,4.8029
34,300054,鼎龙股份,13.8562,12.5056,607.0458,-938.2284,95.0919,4.9081
35,600527,江南高纤,19.2466,14.4073,1139.4846,-203.1211,95.0891,4.9109
36,688033,天宜上佳,24.3598,23.8037,1571.0127,-2536.0601,95.0551,4.9449
37,600883,博闻科技,30.8486,29.8781,730.7004,-326.9643,94.9566,5.0434
38,300406,九强生物,15.5536,13.7604,551.7677,-4019.5717,94.8319,5.1681
39,300701,森霸传感,17.3691,16.6239,141.2649,-8179.1202,94.7696,5.2304
40,300357,我武生物,16.8537,16.3479,1026.2566,-1475.5588,94.7491,5.2509
41,002820,桂发祥,15.073,14.1564,301.3844,-62134.929,94.7294,5.2706
42,300642,透景生命,15.1531,13.1632,304.352,-4308.7806,94.6618,5.3382
43,002033,丽江股份,8.3661,8.2623,792.6613,-2417.9518,94.6087,5.3913
44,300107,建新股份,16.4135,15.3177,1148.1518,-1208.4325,94.5885,5.4115
45,300235,方直科技,13.4356,12.8932,635.1405,-288.6003,94.5288,5.4712
46,000096,广聚能源,12.1634,11.9697,1040.8242,-944.5167,94.5008,5.4992
47,600506,香梨股份,29.0944,25.4504,1522.8372,225.9421,94.4832,5.5168
48,688008,澜起科技,28.7626,28.4454,2744.4383,-653.4019,94.3829,5.6171
49,300245,天玑科技,12.7323,12.3115,947.5053,-174.487,94.3401,5.6599
50,300530,达志科技,23.3777,22.2902,192.6382,-3940.6484,94.3376,5.6624
51,300042,朗科科技,13.8863,11.8814,160.7217,-4713.4558,94.2505,5.7495
52,300446,乐凯新材,21.553,19.4467,44.3257,-1206.9657,94.1983,5.8017
53,603758,秦安股份,8.9096,7.3697,502.7152,771.2664,94.1108,5.8892
54,300267,尔康制药,12.5116,8.16,362.2391,-742.4915,94.0436,5.9564
55,300468,四方精创,9.9009,9.537,656.4116,-526.3471,93.9656,6.0344
56,600345,长江通信,3.0093,2.7579,176.1239,-3980.1359,93.8981,6.1019
57,600867,通化东宝,6.8392,4.5227,115.9523,6231.385,93.8823,6.1177
58,000722,湖南发展,21.9139,20.9075,1430.6006,-1792.9016,93.8649,6.1351
59,688198,佰仁医疗,13.729,13.0907,32.307,-6399.6668,93.7853,6.2147
60,002320,海峡股份,7.3735,7.3071,701.9757,-2199.4879,93.7782,6.2218
61,600615,丰华股份,23.1201,22.7678,1928.7911,-28571.4096,93.6702,6.3298
62,300561,汇金科技,13.7295,12.5824,287.1538,-4958.4481,93.6171,6.3829
63,603058,永吉股份,9.464,8.6359,356.4026,-1375.6949,93.5305,6.4695
64,300189,神农科技,4.8658,3.6634,148.4899,34638.8628,93.50399999999999,6.496
65,002933,新兴装备,14.4046,12.9093,176.3801,-4652.3443,93.4535,6.5465
66,688018,乐鑫科技,20.7166,19.2973,129.1236,2153.1624,93.4324,6.5676
67,600847,万里股份,9.8712,7.2121,50.9885,224.6316,93.4093,6.5907
68,300481,濮阳惠成,13.7609,12.6168,580.9651,-1135.2014,93.4036,6.5964
69,603688,石英股份,9.863999999999999,7.1192,361.1411,-4122.706,93.3806,6.6194
70,688016,心脉医疗,16.0628,15.22,1447.4256,-3912.5315,93.1753,6.8247
71,300386,飞天诚信,13.6887,10.4502,301.3439,-580.4601,93.1691,6.8309
72,688233,神工股份,11.4347,7.7118,640.6795,-4347.894,93.0629,6.9371
73,002577,雷柏科技,11.212,9.9796,462.0877,132.9028,93.03200000000001,6.968
