,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
0,600870,ST厦华,156.2164,2.3045,220182.6801,0.0016,9.0765,39.6629
1,002649,博彦科技,4.6886,76.782,61592.09099999999,0.0058,1.3914,258.7322
2,300467,迅游科技,47.4756,7.5828,21278.1427,0.0169,0.3485,1032.9986
3,002707,众信旅游,20.798000000000002,17.3094,10166.5339,0.0354,4.4087,81.6567
4,000415,渤海租赁,18.1215,19.8659,10065.5801,0.0358,0.5615,641.1398
5,603357,设计总院,1.2754,282.2644,8824.0755,0.0408,0.8487,424.1782
6,601519,大智慧,11.9493,30.1273,6238.1453,0.0577,0.8335,431.9136
7,002400,省广集团,4.3991,81.8349,5377.8274,0.0669,1.7665,203.7928
8,603569,长久物流,3.4254,105.0972,5232.0157,0.0688,1.7156,209.8391
9,000712,锦龙股份,,,3832.3615,0.0939,0.0016,225000.0
10,600897,厦门空港,7.5263,47.8323,3169.5374,0.1136,1.6823,213.9927
11,300347,泰格医药,2.8353,126.9707,2928.2675,0.1229,1.3171,273.3278
12,603056,德邦股份,13.3833,26.8992,2568.0170000000003,0.1402,5.8884,61.1372
13,300518,盛讯达,3.1895,112.8704,2433.9856,0.1479,0.3212,1120.797
14,000429,粤高速A,63.6068,5.6598,2277.6186,0.1581,1.5162,237.4357
15,603598,引力传媒,7.6224,47.2292,2162.3177,0.1665,2.1021,171.2573
16,300770,新媒股份,5.4983,65.4748,2029.9675,0.1773,0.8449,426.0859
17,002968,新大正,19.1563,18.7928,1929.0351,0.1866,3.1382,114.7154
18,600452,涪陵电力,554.0083,0.6498,1833.1707,0.1964,3.111,115.7184
19,601619,嘉泽新能,2.7294,131.8971,1703.0437,0.2114,0.5953,604.7371
20,600605,汇通能源,6.2549,57.5549,1552.4445,0.2319,4.2019,85.6755
21,603506,南都物业,7.6746,46.908,1260.6959,0.2856,1.3661,263.5239
22,603888,新华网,3.5866,100.3736,1206.9009,0.2983,0.7258,496.0044
23,600221,海航控股,42.5533,8.46,1104.4383,0.326,1.5324,234.9256
24,300170,汉得信息,2.1321,168.8476,1086.2044,0.3314,0.9413,382.4498
25,600131,国网信通,107.7384,3.3414,1071.9643,0.3358,7.425,48.4848
26,600576,祥源文化,3.0254,118.9925,863.1086,0.4171,0.8909,404.0858
27,300815,玉禾田,7.3711,48.8394,788.1677,0.4568,3.6064,99.8225
28,002039,黔源电力,20.8713,17.2486,758.9336,0.4743,2.1146,170.245
29,300383,光环新网,7.1918,50.056999999999995,758.8248,0.4744,1.4892,241.7405
30,000882,华联股份,30.9748,11.6224,632.847,0.5689,0.2822,1275.691
31,600865,百大集团,70.7237,5.0902,615.6743,0.5847,2.0561,175.0888
32,601518,吉林高速,,,563.2432,0.6392,0.9775,368.2864
33,603648,畅联股份,5.7994,62.0754,555.8501,0.6477,1.599,225.1407
34,000791,甘肃电投,8.5278,42.2149,521.3461,0.6905,1.6139,223.0621
35,603967,中创物流,8.8141,40.8436,514.3437,0.6999,5.5416,64.9632
36,688088,虹软科技,13.8966,25.9056,500.3698,0.7195,109.1771,3.2974
37,300550,和仁科技,1.7651,203.9545,499.2759,0.721,0.7154,503.215
38,300785,值得买,3.6135,99.6264,478.4475,0.7524,1.0731,335.4767
39,601698,中国卫通,10.6512,33.799,467.9229,0.7694,0.9935,362.3553
40,300675,建科院,1.986,181.2689,464.2634,0.7754,1.2636,284.9003
41,000503,国新健康,40.5383,8.8805,463.8746,0.7761,0.1888,1906.7797
42,000089,深圳机场,9.7383,36.9674,447.2615,0.8049,1.192,302.0134
43,002949,华阳国际,,,422.6439,0.8518,0.8754,411.2406
44,300766,每日互动,,,419.3681,0.8584,0.2803,1284.3382
45,300012,华测检测,5.5902,64.3984,363.5772,0.9902,1.3159,273.577
46,600168,武汉控股,1.1676,308.3248,358.6042,1.0039,0.7221,498.5459
47,000796,凯撒旅业,13.1482,27.3802,358.096,1.0053,2.1493,167.4964
48,603813,原尚股份,4.0299,89.3322,326.1886,1.1037,2.5396,141.7546
49,601598,中国外运,6.4471,55.8391,289.5616,1.2433,2.4285,148.2397
50,300578,会畅通讯,3.9026,92.2462,267.5835,1.3454,1.7243,208.7804
51,300144,宋城演艺,152.5395,2.36,264.6014,1.3605,1.4781,243.5559
52,600035,楚天高速,19.6989,18.2751,262.3264,1.3723,2.6725,134.7053
53,002210,*ST飞马,20.8598,17.2581,251.873,1.4293,2.8553,126.0813
54,000889,中嘉博创,4.0061,89.863,231.90599999999998,1.5524,1.3834,260.2284
55,300494,盛天网络,7.3141,49.22,224.1431,1.6061,0.4205,856.1237
56,603713,密尔克卫,3.7361,96.3572,223.6351,1.6098,2.0417,176.3237
57,600995,文山电力,58.9416,6.1077,221.8053,1.6230000000000002,6.2138,57.9356
58,600556,ST慧球,2.4984,144.0922,210.581,1.7096,0.2354,1529.3118
59,300215,电科院,28.0868,12.8174,205.7588,1.7496,0.8116,443.5683
60,600012,皖通高速,,,201.1597,1.7896,1.4287,251.9773
61,600093,易见股份,16.4393,21.8987,194.303,1.8528,1.4944,240.8994
62,000056,皇庭国际,7.2466,49.6785,192.9518,1.8658,0.2926,1230.3486
63,603003,龙宇燃油,16.6899,21.5699,191.3612,1.8813,4.8902,73.6166
64,600009,上海机场,7.2445,49.6929,190.0797,1.8939,0.6082,591.9106
65,603533,掌阅科技,12.2043,29.4978,170.2584,2.1144,1.4392,250.139
66,300348,长亮科技,2.1964,163.9046,169.1527,2.1283,1.0447,344.5965
67,002352,顺丰控股,24.1039,14.9353,168.8601,2.1319,5.242999999999999,68.663
68,600722,金牛化工,171.524,2.0988,165.8788,2.1703,0.7415,485.5024
69,300058,蓝色光标,2.872,125.3482,162.7627,2.2118,1.5723,228.9639
70,601595,上海电影,4.0619,88.6285,148.4267,2.4254,0.7763,463.7382
71,603885,吉祥航空,44.3856,8.1107,138.2467,2.6039999999999996,3.0295,118.8315
72,600025,华能水电,10.3248,34.8675,136.8554,2.6305,4.0939,87.9357
73,603000,人民网,2.847,126.4489,135.6107,2.6547,0.5710000000000001,630.4729
74,002325,洪涛股份,0.7034,511.7998,130.0233,2.7687,0.46399999999999997,775.8621
75,600242,中昌数据,5.7957,62.115,120.3176,2.9921,1.5931,225.9745
76,601021,春秋航空,73.6358,4.8889,119.7205,3.0069999999999997,1.5318,235.0176
77,603223,恒通股份,36.389,9.8931,118.82799999999999,3.0296,8.1234,44.3164
78,002889,东方嘉盛,3.2987,109.1339,113.3558,3.1758,0.6962,517.0928
79,603117,万林物流,5.4084,66.5631,109.7007,3.2817,0.1431,2515.7233
80,603689,皖天然气,35.1509,10.2416,108.9053,3.3056,3.4092,105.5966
81,002357,富临运业,17.3354,20.7668,104.1973,3.455,3.2017,112.4403
82,600233,圆通速递,116.0883,3.1011,100.7793,3.5722,4.3526,82.7092
83,600705,中航资本,25.559,14.0851,94.0116,3.8293,0.0451,7982.2616
84,603032,德新交运,25.5745,14.0765,93.8075,3.8376,0.8627,417.2945
85,002081,金螳螂,1.1366,316.7341,93.57,3.8474,0.9159,393.056
86,002095,生意宝,49.3827,7.29,87.2322,4.1269,0.4475,804.4693
87,600830,香溢融通,16.4768,21.8489,86.9227,4.1416,1.2711,283.2193
88,300226,上海钢联,385.8493,0.9329999999999999,86.0576,4.1832,11.9546,30.1139
89,603300,华铁应急,1.4316,251.4669,84.2374,4.2736,0.3207,1122.5444
90,603069,海汽集团,25.6038,14.0604,83.185,4.3277,1.8419999999999999,195.4397
91,600640,号百控股,9.0921,39.5948,82.587,4.359,0.9584,375.626
92,600033,福建高速,6.6403,54.2144,81.3004,4.428,2.2941,156.9243
93,002306,ST云网,7.2213,49.8525,79.9647,4.502,0.8407,428.2146
94,300036,超图软件,3.6154,99.574,78.1945,4.6039,0.9269,388.3914
95,603103,横店影视,72.8293,4.9431,77.5935,4.6396,4.0184,89.5879
96,300598,诚迈科技,3.1561,114.0648,76.8133,4.6867,1.8779,191.7035
97,002120,韵达股份,34.062,10.569,76.3054,4.7179,4.0106,89.7621
98,600617,国新能源,14.8313,24.273000000000003,75.8585,4.7457,1.963,183.3928
