,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,7661655487.00,4888237578.00,2222721514.00,10609963011.00,8151251436.00,5471169598.00,2629471994.00,10879400746.00,7790908397.00,4944337861.00,2284820940.00,8974083407.00,6522141590.00,4228165642.00,1949421848.00,7430889111.00,5377129947.00,3323039502.00,1539206800.00,7044502645.00,5148947434.00,3262681672.00,1482894670.00,7733796114.00,5651645278.00,3536965783.00,1456792882.00,6994358029.00,5293059949.00,3345250485.00,1523060818.00,8270731730.00,6506284578.00,4438534102.00,2095159077.00,7743941694.00,5478698571.00,3405068004.00,1556783199.00,5279100133.00,3547329604.00,2065547379.00,869353956.00,4273375853.00,3274186451.00,2131777092.00,977195129.00,4187962628.00,3052568439.00,1827324414.00,798797894.00,2959341140.00,2066995807.00,1279741620.00,561320681.00,2305489599.00,1638025845.00,1014376127.00,419952249.00,1883525148.00,1355747640.00,869049002.00,405114421.00,1330591676.00,948531335.00,569526060.00,245897294.00,1058256847.00,778192150.00,491306382.00,217704286.00,1044587639.00,482508734.00,1120880440.00,469055677.92,979932624.60,420725421.05,755829795.26,307578427.93,732704501.16,322840746.17,728760538.13,346572695.18,738266245.18,335050800.26,675837699.60,243532989.06,463286688.39,210963028.34,114436364.52,0.0
2,营业收入,7661655487.00,4888237578.00,2222721514.00,10609963011.00,8151251436.00,5471169598.00,2629471994.00,10879400746.00,7790908397.00,4944337861.00,2284820940.00,8974083407.00,6522141590.00,4228165642.00,1949421848.00,7430889111.00,5377129947.00,3323039502.00,1539206800.00,7044502645.00,5148947434.00,3262681672.00,1482894670.00,7733796114.00,5651645278.00,3536965783.00,1456792882.00,6994358029.00,5293059949.00,3345250485.00,1523060818.00,8270731730.00,6506284578.00,4438534102.00,2095159077.00,7743941694.00,5478698571.00,3405068004.00,1556783199.00,5279100133.00,3547329604.00,2065547379.00,869353956.00,4273375853.00,3274186451.00,2131777092.00,977195129.00,4187962628.00,3052568439.00,1827324414.00,798797894.00,2951599066.00,2060975509.00,1275409276.00,560152596.00,2302016737.00,1624071129.00,1007514685.00,418093480.00,1881958592.00,1352051583.00,866536758.00,404103080.00,1329818162.00,947358599.00,569035006.00,245558046.00,1055401736.00,775910991.00,489945250.00,217260446.00,1040998473.00,480906782.00,1116434358.00,465708452.83,977655785.78,420075586.79,754107910.54,306546627.28,729628534.69,321991619.95,725108226.33,344321005.06,716679570.89,335050800.26,671563144.66,243532989.06,462175043.45,210953364.98,111249748.01,0.0
3,二、营业总成本,6991295788.00,4526773571.00,2112290384.00,10171846983.00,7637366372.00,5073729591.00,2449790563.00,9981704628.00,7016245101.00,4502642030.00,2101721182.00,8058461401.00,5748510149.00,3720133533.00,1743978936.00,7102003507.00,5178089033.00,3214501324.00,1483814575.00,6476677653.00,4681563328.00,2960932907.00,1344181492.00,6790564617.00,4813081700.00,3051735433.00,1305835991.00,6719556038.00,4876317005.00,3136889399.00,1472769778.00,6775474286.00,5085105349.00,3378038940.00,1579140820.00,5964932976.00,4173097373.00,2612148017.00,1187023145.00,4225389775.00,2901833100.00,1774384341.00,805798785.00,3851427199.00,2675353385.00,1683595612.00,775108110.00,3572913316.00,2607685983.00,1596297007.00,718325456.00,2518096306.00,1729725189.00,1079064077.00,497155028.00,1894504077.00,1325570945.00,824626758.00,349670621.00,1487761077.00,1033323861.00,654676048.00,307864554.00,1095143089.00,771759734.00,468196399.00,203059906.00,875820475.00,630471422.00,396892442.00,185044949.00,888889961.00,401997177.00,931707916.88,391973767.63,1153645201.02,413479534.62,745771539.11,284536364.08,612228070.69,0,578803798.34,0,589706156.64,0,491363530.41,0,272904332.17,128932443.47,788158342.06,0.0
4,营业成本,5701371220.00,3671376825.00,1710257358.00,8120481894.00,6192441730.00,4099496754.00,1983212565.00,8216358372.00,5829092727.00,3737514462.00,1743968864.00,6562214373.00,4730036597.00,3076818503.00,1436818441.00,5824792630.00,4275331059.00,2646020710.00,1219078366.00,5323219390.00,3855756514.00,2438593004.00,1101922703.00,5501300657.00,3985245701.00,2514678053.00,1050719953.00,5355802923.00,4098220248.00,2638127535.00,1230892680.00,5664562540.00,4322413812.00,2876324402.00,1335994033.00,4943639993.00,3549997367.00,2205963565.00,992931608.00,3435574687.00,2345420473.00,1419088769.00,638540611.00,2994468398.00,2247861748.00,1442974922.00,659316598.00,2909573117.00,2103686603.00,1284184630.00,543752767.00,2006282231.00,1399280022.00,868259988.00,397806824.00,1562329053.00,1065768537.00,655114424.00,266972777.00,1241576398.00,835558778.00,538339151.00,251636008.00,846372166.00,603220539.00,365126852.00,151802027.00,648274804.00,472359133.00,295100364.00,134655565.00,662587535.00,299661888.00,699354024.00,280854481.56,701399841.82,285650610.27,501030992.96,194993660.77,449136414.00,0,444533632.10,0,472654107.82,0,417566638.46,0,231849072.20,106413398.42,56590028.26,0.0
5,营业税金及附加,86349138.00,56687997.00,26974283.00,140424851.00,107743437.00,71930546.00,37091336.00,124523926.00,93649001.00,61745775.00,27235740.00,103159546.00,39641644.00,23384672.00,10040837.00,38562725.00,25176730.00,12148234.00,5465909.00,33163804.00,24956912.00,16421798.00,7492146.00,47859995.00,35397059.00,23235766.00,10900605.00,46876446.00,31093001.00,17025087.00,8018309.00,57201790.00,42881002.00,27343805.00,10022051.00,6625698.00,3796565.00,2454555.00,1171124.00,5131434.00,3997445.00,2788785.00,1346325.00,5153477.00,3122282.00,2018866.00,912370.00,11823893.00,8514509.00,3499177.00,1094712.00,6442552.00,2944892.00,1789832.00,765590.00,4004556.00,1620868.00,-101053.00,814156.00,14167694.00,8198718.00,5565648.00,2037205.00,4529125.00,2534835.00,1218114.00,887406.00,2616974.00,1868228.00,1103758.00,491466.00,2179929.00,1937714.00,1676683.00,470789.70,4215141.02,1821804.73,3785530.43,449736.49,5024959.65,0,7959810.78,0,5849625.61,0,7766771.28,0,17964375.89,6334464.63,2729924.82,0.0
6,销售费用,266060362.00,172503399.00,82460250.00,354983459.00,262743395.00,172217254.00,79742352.00,336131723.00,243589506.00,156344731.00,70248936.00,301815090.00,204545473.00,128564831.00,59556544.00,283369323.00,209776868.00,136462518.00,65898919.00,265720355.00,189942902.00,114315080.00,58234783.00,267394775.00,194130191.00,127942744.00,58377696.00,234821552.00,173833081.00,105534834.00,46569899.00,255325290.00,196815255.00,139454241.00,69453695.00,265636421.00,191299539.00,124564573.00,57022695.00,242211660.00,177588297.00,111160322.00,48408259.00,220181238.00,159794094.00,106304531.00,51123591.00,251276789.00,183155534.00,121492320.00,66891241.00,196442484.00,132254365.00,85032066.00,43637759.00,162520044.00,113040405.00,68854853.00,31359917.00,122291285.00,84159080.00,54012339.00,26923913.00,108028807.00,72712904.00,43624623.00,20475769.00,90141040.00,59609715.00,35840247.00,15931487.00,72769352.00,33173674.00,71688031.00,31524553.61,76088339.50,34241409.60,52770014.72,20739965.81,46781075.86,0,39708035.28,0,33460266.68,0,32100239.43,0,16826490.73,11811694.10,716549687.00,0.0
7,管理费用,442246625.00,292862355.00,123978598.00,731215251.00,523550697.00,540554002.00,252969833.00,919329772.00,612573333.00,402554340.00,188384691.00,766589059.00,564611454.00,358937506.00,169343405.00,672697939.00,449002551.00,282368089.00,133870454.00,597772089.00,433277674.00,280194020.00,122486203.00,671321260.00,415288040.00,264014052.00,125388239.00,526909538.00,377254068.00,239508122.00,121360149.00,612195034.00,411012116.00,264759103.00,124282615.00,556316614.00,347047205.00,220592531.00,105758064.00,419964357.00,298031992.00,187534021.00,83263527.00,332446210.00,238063329.00,144777403.00,67615633.00,292019143.00,188866166.00,126837912.00,65466317.00,220946838.00,141275389.00,87954281.00,38641593.00,120157791.00,115596809.00,70816308.00,41018534.00,82515556.00,86958738.00,48552879.00,26347946.00,115605246.00,75350082.00,44976944.00,23938789.00,117210055.00,82559763.00,57214469.00,28528211.00,122980930.00,52068349.00,116422085.00,54855882.15,135544431.54,53977734.63,112609719.88,38263268.48,86800614.26,0,86608575.90,0,79241442.43,0,59154779.74,0,32193740.81,21458961.22,11629090.42,0.0
8,财务费用,231538512.00,159066859.00,82123543.00,349403487.00,273436136.00,185877426.00,92147066.00,315961080.00,234368889.00,143374027.00,67305652.00,265820569.00,207662634.00,133353393.00,64997957.00,278687176.00,210848671.00,132742464.00,56173221.00,231531434.00,172588729.00,109025628.00,51307640.00,238321702.00,182853289.00,119638263.00,61201978.00,248920054.00,193530038.00,133352212.00,61861252.00,144307617.00,105833510.00,65210104.00,35388232.00,106228512.00,77359370.00,57476189.00,27898915.00,105546371.00,75144972.00,53691077.00,34733610.00,77935725.00,34900515.00,-4807167.00,115611.00,64918116.00,84818744.00,53503272.00,36928389.00,87982201.00,53970521.00,36027910.00,16303262.00,45492633.00,29544326.00,29942226.00,9505237.00,27210144.00,18448547.00,8206031.00,919482.00,20607745.00,17941374.00,13249866.00,5955915.00,17577602.00,14074583.00,7633604.00,5438220.00,28372215.00,15155552.00,40614917.00,24268060.61,65491944.37,37787975.39,43575281.12,20579842.73,24485006.92,0,-6255.72,0,-1499285.90,0,-25224898.50,0,-25929347.46,-17086074.90,659611.56,0.0
