,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,16318724.81,11873743.22,7675739.13,3812066.44,17414274.71,13133411.46,8597390.90,4551770.95,22061342.83,17930703.90,8615395.75,4531253.43,299501456.57,14960850.21,8034395.05,3687753.02,19764545.40,15696548.65,12480459.03,4112958.99,61162317.94,17220378.82,14010289.92,9641580.01,29018205.05,19785409.73,8519473.94,3000297.65,33389274.35,21691399.42,15224542.84,7241088.68,625157091.38,568331245.56,48371521.04,4828943.56,71198100.03,51102725.23,30070744.50,16433241.23,459147401.00,286687941.65,117407903.44,46556010.56,466910266.73,406136751.62,186370161.42,26946176.60,442903175.28,208511095.89,157167195.42,57917430.21,249163770.68,122771334.13,77066975.61,47092916.64,188104768.19,153261916.54,99544095.24,43879629.30,274998998.90,197578223.89,136255226.83,53909839.67,233135831.29,172429205.89,121658704.16,1383.00,7179957.00,5827700.00,4338320.10,2317665.30,15750317.90,11249777.20,62130562.06,55782032.00,2196937.81,161677.00,44458833.43,1023372.46,8832508.05,33052452.89,93665664.25,84508409.13,345366848.57,131216872.07,48361640.52,49407012.12,267362673.77,224269200.00,129597400.00,67464187.00,0.0
2,营业收入,16318724.81,11873743.22,7675739.13,3812066.44,17414274.71,13133411.46,8597390.90,4551770.95,22061342.83,17930703.90,8615395.75,4531253.43,299501456.57,14960850.21,8034395.05,3687753.02,19764545.40,15696548.65,12480459.03,4112958.99,61162317.94,17220378.82,14010289.92,9641580.01,29018205.05,19785409.73,8519473.94,3000297.65,33389274.35,21691399.42,15224542.84,7241088.68,625157091.38,568331245.56,48371521.04,4828943.56,71198100.03,51102725.23,30070744.50,16433241.23,459147401.00,286687941.65,117407903.44,46556010.56,466910266.73,406136751.62,186370161.42,26946716.60,442903175.28,208511095.89,157167195.42,57917430.21,249163770.68,122771334.13,77066975.61,47092916.64,188104268.19,153261416.54,99543595.24,43879129.30,274960166.00,197539390.99,136216393.93,53888746.77,233084448.29,171737431.00,121463188.00,1383.00,7145663.20,5797334.20,4308311.90,2289485.90,15747800.60,11248594.90,62130562.06,55782032.00,2196937.81,161677.00,44587337.46,1023372.46,8832508.05,33052452.89,93665664.25,83359986.73,343333994.42,131110927.00,49456805.20,49374034.00,265142931.05,224269200.00,129597400.00,67464187.00,0.0
3,二、营业总成本,29521216.27,18448092.93,12074811.74,5383885.35,67547924.52,56187524.36,33717825.56,14460552.21,104905774.31,75549434.14,47184330.59,25383974.67,259125439.06,55685850.69,34170032.30,20240437.53,48807089.28,29507494.07,17664768.54,6858650.21,58778773.03,24843827.32,16945453.18,9917334.14,39724583.77,24456840.97,13521330.96,5843056.62,48608957.26,32215214.42,20591829.26,9606061.09,562107792.12,505080803.40,60394291.99,26606962.89,111952522.02,85117417.55,58169642.31,30881949.40,435233380.57,278822824.45,107824559.12,42504978.06,357943205.64,293251722.07,143504574.08,25209614.50,391495461.30,186054581.88,137418893.44,50243042.95,221806037.83,107906058.10,68297597.16,40877512.53,167953120.54,124129401.54,80946492.18,37458798.58,217692550.30,150142795.61,103345323.26,48011359.41,167470209.84,111773860.42,68712247.29,961908.69,23219654.29,15136150.27,10566901.51,3685554.43,53164850.05,16424167.36,70265680.06,40550751.97,-11971463.61,10139785.86,148822711.52,21488214.78,23975756.51,0,92103491.75,0,327354393.81,0,73895800.00,0,226976068.76,0,68548300.00,45472798.82,0.0
4,营业成本,13544779.80,9477138.04,5992412.19,2972679.14,14835939.18,10715294.84,7193531.25,3786244.05,19875988.93,14596081.55,7482707.27,4248050.03,137938171.90,8829308.48,5617252.81,2930036.66,12491288.73,9808506.96,7289918.94,2640286.88,25256085.01,10076860.56,7840507.75,4908665.84,16283821.87,11162826.67,5561038.83,2227072.56,19885812.05,14719766.79,5342276.52,2763096.12,457658773.02,418822903.89,22820789.58,1211877.94,43560318.48,31061436.86,17813709.01,10150686.41,351305949.76,225291751.64,73609603.74,26154359.22,213033043.30,181593177.88,82760732.81,10930472.96,269021170.63,127215187.60,92088350.15,34162181.57,152726798.54,72126776.83,46391641.86,30174616.26,109573121.05,90809291.59,57587686.95,25189810.60,160915966.97,115714108.34,82815127.80,39582609.35,118443969.52,80336791.75,54698716.18,0,3639014.33,3385732.80,3110585.64,361715.22,4376777.54,3780797.78,43053928.41,28820556.64,2701037.16,417231.82,37304564.07,690022.43,1123853.03,0,62985016.32,0,289380760.60,0,42927352.89,0,159474306.63,0,61133600.00,42592078.55,0.0
5,营业税金及附加,410423.88,125494.92,92909.90,48884.41,4491570.88,4040628.01,4034579.61,22613.07,685754.32,378669.84,185361.05,72875.39,44977828.47,-1664350.66,-1719546.65,177221.92,1396754.98,1209325.80,1018968.17,555901.08,11081841.85,2243937.54,2047038.85,1682056.68,4852784.03,1875646.83,567092.61,172619.94,4100506.50,3751928.19,1029741.01,511598.82,51213001.77,45498480.11,8480116.97,271892.02,3952977.22,2822635.53,1660488.32,904444.28,37402219.57,19389518.02,10092548.14,5186301.19,79761274.40,65320145.18,29669282.60,2005354.91,31157112.90,13521181.26,10170299.67,3744895.52,19591391.14,7923968.25,4977734.32,3051492.53,11997076.47,9775556.11,6358846.15,2577030.97,14849843.97,10669122.11,7357680.27,2911029.27,12599177.29,9273821.23,6559012.10,0,378141.40,303983.30,217817.66,124630.18,844002.34,579756.09,3417202.52,3068011.76,120831.58,8892.24,2512925.79,131264.76,512958.59,0,5377389.06,0,19046731.92,0,2797520.26,0,12919134.52,0,7055700.00,2206078.90,0.0
6,销售费用,0,0,0,0,3307029.25,2835390.34,1616332.31,888414.69,3639828.86,2998436.32,1756989.83,452220.84,386136.98,93465.11,52198.60,39332.94,599086.22,566507.10,360161.58,109133.00,584131.90,377683.49,268021.25,158075.24,2213312.45,525176.50,319344.83,6691.24,6507945.57,826790.35,3107969.87,1347261.51,12277634.07,10237847.57,5686560.37,2828795.05,18466170.43,13853526.04,9841518.78,4471682.51,10570969.17,8726153.20,6495137.91,2618573.87,21778204.93,15013442.30,9226674.94,3593993.93,12903775.83,9918123.03,6947372.85,3202012.38,20368285.27,9820607.86,5841028.79,2735446.34,25269328.78,13170924.97,9885002.92,6654722.68,24538644.79,10571791.88,5525955.36,2038185.40,23019681.88,13029777.84,3098027.23,0,2608616.33,2028166.17,1266972.07,527025.53,3425863.52,1638150.93,1416807.23,0,0,0,0,0,7081.47,0,0,0,1300000.00,0,6547574.78,0,3109228.28,0,359000.00,674641.37,0.0
7,管理费用,16934939.22,9958678.79,6749650.63,3239701.67,38404833.34,31268543.98,22182386.62,9847643.50,76496850.74,57557215.72,37289994.80,19372299.50,79482238.86,55259844.34,36813106.67,17203017.22,29849230.09,18287651.27,9235781.65,3663668.84,15276944.55,12265584.04,6882987.05,3243483.80,15764850.80,10469643.74,6810408.54,3330696.49,19317311.01,14192489.48,12097496.85,5729500.76,45814522.47,34914305.03,27302694.97,20444091.60,44823399.17,35932404.97,27504625.71,14809511.14,36211816.72,25722352.12,17587588.34,8546402.31,42182587.08,31459492.76,21978105.70,9269695.68,19033945.06,20643096.71,14935241.01,8970113.23,28190174.90,17319657.15,10508501.19,4872899.74,18743513.65,8405829.33,5185329.11,2969803.54,16097099.18,12203037.12,7002216.55,3195915.78,12204966.28,7882698.01,3543323.65,559929.87,14502666.83,7772813.92,4775177.00,2073937.32,30085201.16,5293039.11,9644266.25,5898575.44,-21452217.94,5420687.22,86183179.79,4689463.91,10048723.30,0,12665282.56,0,17845826.24,0,17967247.54,0,34246184.28,0,0,0,0.0
8,财务费用,-1368926.63,-1113218.82,-760160.98,-390757.29,-2296230.79,-1256160.35,-762486.29,-389628.25,-2198433.40,-1749463.06,-1264231.53,-501479.93,-1199862.29,-900277.18,-526936.22,-157609.92,-277337.34,-230174.03,-166194.14,-99797.24,-64966.71,-32237.56,-3322.96,28460.38,552218.28,420355.87,280941.57,141823.34,-1274984.83,-1266423.46,-1037354.77,-765938.27,-2296092.80,-1838819.60,-1326693.89,-289661.79,29824.56,323047.15,263892.55,59403.85,-241417.79,-147126.95,-34496.19,18916.44,-424165.31,-379070.65,-336596.38,-410013.86,-227026.95,-96794.55,-51271.66,-15972.63,929387.98,715048.01,578691.00,43057.66,2370080.59,1967799.54,1929627.05,67430.79,1290995.39,984736.16,644343.28,283619.61,1202414.87,1250771.59,813168.13,401978.82,2091215.40,1645454.08,1196349.14,598246.18,14433005.49,5132423.45,11369084.72,2763608.13,6658885.59,4292974.58,22822041.87,15977463.68,12283140.12,0,11075803.81,0,-218924.95,0,3656104.53,0,17227215.05,0,0,0,0.0
