,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,13963722824.86,10179482152.74,6965812175.78,4069721111.37,13976286807.36,10224826048.96,6840315215.63,3905481845.56,10537678442.57,7194356278.95,4789565728.80,2779097960.79,9387052998.15,6784315624.95,4541468291.82,2521911985.61,9625906980.43,7181681081.45,4821607708.79,2463349504.61,10891135520.76,8363746056.78,5387774414.87,2642699318.88,8701750687.45,6251016790.81,3767080708.01,1650251825.16,6420096553.91,4772391357.87,3177119244.05,1536063602.95,6032156325.15,4480471751.94,2902231077.27,1296585314.09,5410459093.46,4017598158.04,2648982121.37,1246885080.76,4734452100.47,3606755071.72,2438582961.68,1086129584.15,4311443227.86,3180297590.16,2102364123.59,1021832699.84,4529305109.09,3337513502.63,2249957126.61,1084848613.40,1992046732.94,1556694154.76,1003821288.20,461099758.87,1949086663.33,1509687161.94,985351266.61,447180042.05,1810452634.60,1357454539.15,900441057.74,438973367.59,245613831.02,81892871.62,54337023.54,34754718.83,167774393.65,108740440.13,73623554.17,36368887.14,162013655.28,76939231.61,141780745.49,51541368.43,71415692.39,160543901.37,211088227.71,66395911.69,119463201.00,75079457.00,136632724.00,61235439.00,115546689.00,69538808.00,74291084.00,0.0
2,营业收入,13963722824.86,10179482152.74,6965812175.78,4069721111.37,13976286807.36,10224826048.96,6840315215.63,3905481845.56,10537678442.57,7194356278.95,4789565728.80,2779097960.79,9387052998.15,6784315624.95,4541468291.82,2521911985.61,9625906980.43,7181681081.45,4821607708.79,2463349504.61,10891135520.76,8363746056.78,5387774414.87,2642699318.88,8701750687.45,6251016790.81,3767080708.01,1650251825.16,6420096553.91,4772391357.87,3177119244.05,1536063602.95,6032156325.15,4480471751.94,2902231077.27,1296585314.09,5410459093.46,4017598158.04,2648982121.37,1246885080.76,4734452100.47,3606755071.72,2438582961.68,1086129584.15,4311443227.86,3180297590.16,2102364123.59,1021832699.84,4529305109.09,3337513502.63,2249957126.61,1084848613.40,1989321786.90,1552771889.21,1000678682.69,461061224.20,1946431900.77,1509307666.41,985163007.89,447168027.79,1809928284.73,1356953636.93,899940281.49,438745737.01,245470914.86,81892871.62,54337023.54,34754718.83,167774393.65,108740440.13,73623554.17,36368887.14,162013655.28,76939231.61,132346081.06,46838073.21,66927441.71,158590748.39,205085684.87,66395911.69,119459498.00,75075376.00,136625704.00,61234198.00,115546689.00,69541033.00,74285583.00,0.0
3,二、营业总成本,12978721350.24,9430801763.24,6394203867.33,3641188665.75,13241661709.37,9740614799.49,6482113951.04,3614517233.50,10244882630.24,6786536306.28,4385210332.91,2455987788.16,7557954729.01,4665065953.12,2990909679.25,1656849014.76,7183136118.90,4994503426.79,3422609726.44,1783736879.88,8444645599.91,6431830370.37,4221473269.22,2109019342.63,7686144886.65,5492952773.04,3404260443.76,1591294258.98,6311970076.90,4672530769.59,3123565477.88,1534748107.42,6062726707.16,4515585434.02,2919599906.79,1338853587.86,5340855978.29,3927255229.57,2589336720.06,1204253538.07,4640525779.49,3445131712.31,2296662695.33,1019252889.21,4277421721.34,3153103333.98,2020386614.49,947418732.63,3903050459.27,2782889475.78,1850318819.12,889974373.85,1819985724.59,1420947212.03,930589778.99,425272042.36,1829300784.81,1423073424.22,949803175.60,448990025.92,1624277527.93,1219782757.95,818065689.13,402647462.33,223031282.02,91902722.29,63293334.16,39712178.08,177476994.41,117367093.43,78769113.41,39617154.16,159256335.75,87331240.79,140912102.74,47565891.55,68775997.35,153288831.62,169358929.57,56695572.97,97459513.00,0,120131435.00,0,109402938.00,62000894.00,68432534.00,0.0
4,营业成本,11444516130.65,8351746528.52,5703339864.11,3268443182.83,11721178329.19,8676049907.81,5789314925.95,3283206359.12,8919228776.44,6021711194.09,3947044951.34,2241431136.39,6439957225.39,3970129827.92,2520855878.98,1405739014.25,5678166877.06,4036013696.51,2775970337.19,1453114631.95,6825967109.61,5284282441.98,3527625446.84,1783140991.08,6462056177.87,4700899029.14,2959052904.11,1340285531.43,5368814805.27,4003800704.50,2686864745.00,1316914712.72,5306069777.53,4004864862.69,2603271638.75,1198327488.76,4771443794.89,3532248750.31,2336106333.59,1080356874.00,3992605934.89,2960075738.15,1957272216.69,869114327.90,3658268479.48,2728786838.40,1730971036.49,817127210.83,3236838196.95,2348799128.90,1564248430.77,759698500.51,1568695326.97,1225967637.30,807873127.20,370912389.31,1604616339.29,1259104132.73,837632774.68,393661226.46,1388049406.56,1039966665.68,691651300.50,335252692.48,163871876.47,46186439.34,30596959.70,18820112.57,94871608.15,55972237.99,38274820.20,19780307.90,90011273.13,44595325.11,72655887.52,29049159.06,38432917.70,130446165.67,135100637.13,43130912.80,74322998.00,0,86725895.00,0,77119637.00,37498200.00,47843924.00,0.0
5,营业税金及附加,137372399.87,117050089.91,81480901.61,41676351.10,162567299.17,121660982.20,76682207.51,41699783.20,94441114.44,74266215.86,43012491.94,24094387.91,110708902.13,74904375.87,51103109.05,32314916.34,84344996.58,62528784.78,35594367.66,17986734.60,62588034.85,45146944.07,26322715.79,14444363.52,48246166.97,37158929.41,25304113.04,15041410.36,38626527.61,30377078.71,21549884.90,11228231.96,43254673.42,32094217.33,24074539.28,14007298.30,35446663.93,27232172.52,18590121.36,12945979.62,32868435.04,27334427.05,20725892.70,9423773.25,35701762.45,26596370.51,21206895.81,11567226.32,47464987.31,35227583.85,23904995.53,12179035.73,20349553.58,16252116.27,10289443.49,4828145.43,18867461.91,14549244.34,9955685.49,3909452.57,20734899.46,15436566.75,10464187.36,5693821.83,3867060.27,1681372.62,1112960.29,1342806.94,7015893.57,4408374.06,2973097.37,1413604.17,6210478.64,2878684.36,4988422.89,1451121.07,2574617.25,1633317.17,6315931.00,2320638.89,3720731.00,0,3824476.00,0,2462553.00,2141135.00,2748275.00,0.0
6,销售费用,66641804.73,48566041.94,32554873.59,16331282.09,61538752.22,45764819.79,29736579.83,15549874.07,55648698.10,41326058.53,26932931.67,13879063.94,53830116.77,37379702.04,23499151.01,11829151.91,50516920.66,36550945.80,28384027.02,13965759.98,48010694.11,35488636.71,22407919.41,11489911.28,47126951.96,35572987.69,24183100.27,12694725.07,47127285.15,33958998.46,22065621.83,11238021.89,42251620.23,30003089.03,19399257.93,8846326.27,31842424.33,22243759.83,13855501.36,6785011.23,27473490.25,17933444.11,11706716.00,5927168.99,22074169.75,15928803.48,10289834.58,5277259.33,29041207.09,20673061.39,13836770.35,6692542.01,23637540.39,17296808.43,11000022.50,5469031.77,23545611.72,16816443.12,11632528.77,5875134.39,22255965.10,16269124.40,11138383.17,5753610.36,25775185.37,19651703.64,13757202.47,8789841.59,37407249.60,25786767.16,16449568.82,8116825.91,37207495.52,17943351.59,37032002.38,10913340.44,18145440.22,14249030.46,19664036.95,9039053.02,20141471.00,0,20144220.00,0,18609110.00,16865437.00,14472353.00,0.0
7,管理费用,774908700.84,505892311.69,314787147.16,182075979.17,708532026.48,466170242.97,299724105.30,135823827.92,657889802.31,315376756.87,155743186.57,68996664.32,556889381.76,301006236.67,203443360.39,115350852.63,749108486.66,450729742.79,299460921.02,144731753.98,806870863.20,559424864.53,304332071.24,130683942.81,593179625.26,345436515.60,172183008.42,130812802.76,490970471.23,324721958.49,206191123.59,96649766.24,350296079.93,218870815.31,128703371.39,48902996.08,239060305.37,148207282.34,89854876.95,43863128.01,293250326.55,209285582.84,149350731.08,58390003.91,243718012.36,167167282.59,112531269.17,54712054.28,332665840.91,182157650.72,122294059.09,52264761.45,136618527.15,104125697.72,61011693.61,24468659.99,112401899.99,80599191.10,47481105.09,24100727.10,115284987.50,88752245.53,64579170.26,35347634.35,26215431.57,21651614.79,16427470.46,10324709.51,32847208.19,26145285.31,17655918.24,8613623.76,21437885.25,12818682.14,25728883.06,9069648.76,13970927.30,8157561.33,11037464.00,3613965.55,6170580.00,0,9094376.00,0,8312914.00,4482613.00,2688751.00,0.0
8,财务费用,551776295.96,407276882.09,261771171.77,133279160.08,558882138.97,426354011.73,282690798.70,138237389.19,465347473.65,333938510.89,212559201.35,107934765.10,381794772.80,281616275.46,192008179.82,91615079.63,519814440.57,408457873.22,282977689.86,152197526.01,673314041.82,507483712.35,340781345.21,169260133.94,529160824.46,373885203.00,223277547.81,92459789.36,365179454.74,279720703.53,186894324.81,98717374.61,320512307.75,230177591.86,144576241.64,68769478.45,262494701.36,197288967.47,130895589.70,60302545.21,293774275.60,230490754.46,157595373.16,76397615.16,318840091.80,215115163.30,145730872.71,58734981.87,258201519.99,193706285.32,123708797.78,59139534.15,70684776.50,57304952.31,40415492.19,19593815.86,69869471.90,52004412.93,43101081.57,21443485.40,77952269.31,59358155.59,40232647.84,20599703.31,3301728.34,2731591.90,1398741.24,434707.47,5335034.90,5054428.91,3415708.78,1692792.42,4389203.21,9095197.59,390516.52,-2943277.78,-4462248.36,-1197243.01,-2759139.51,-1408997.29,-6896267.00,0,342468.00,0,2898724.00,1013509.00,679231.00,0.0
