,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,32091373110.69,21257563661.63,10570906432.84,40547120305.78,31712555819.59,20128032637.16,9445648288.38,41266372331.97,35330998842.39,25225112958.72,12043758057.45,52159883504.68,40661568607.64,26930709440.67,11221367447.33,50030639751.47,37606976054.75,26832757231.57,13163506954.60,60793273381.55,48418992537.03,33787881501.66,16373021312.36,63014443991.26,48033153330.79,33154762783.13,15381342544.38,58816324853.52,45064631463.12,30850031664.74,14533806388.15,52527663185.51,39414290195.42,26991208203.13,13404172678.85,37620744901.24,28393216354.13,18321771846.31,8441825694.16,25188193439.70,19936294602.55,12411160320.25,5694418543.93,20550796784.88,15928253930.38,10606877883.80,4863929802.81,14258104044.17,9835151019.11,6219230199.57,3127397876.58,10816568883.76,7657228909.48,5371068007.17,2688141315.83,9708594017.59,7633791821.12,4948440693.71,2519990933.33,8821120876.62,6318351885.59,4228039257.52,1965288321.81,5300815374.16,3930426215.10,2436152705.84,1098865485.38,3599694213.44,2807114062.28,1826580180.66,849590414.95,2699067351.80,1285569333.07,2076091363.94,1101994555.76,1907288029.92,939106997.24,1690238939.34,711126153.32,1330505192.88,528691393.06,920299417.00,949166786.00,934748156.00,0.0
2,营业收入,32091373110.69,21257563661.63,10570906432.84,40547120305.78,31712555819.59,20128032637.16,9445648288.38,41266372331.97,35330998842.39,25225112958.72,12043758057.45,52159883504.68,40661568607.64,26930709440.67,11221367447.33,50030639751.47,37606976054.75,26832757231.57,13163506954.60,60793273381.55,48418992537.03,33787881501.66,16373021312.36,63014443991.26,48033153330.79,33154762783.13,15381342544.38,58816324853.52,45064631463.12,30850031664.74,14533806388.15,52527663185.51,39414290195.42,26991208203.13,13404172678.85,37620744901.24,28393216354.13,18321771846.31,8441825694.16,25188193439.70,19936294602.55,12411160320.25,5694418543.93,20550796784.88,15928253930.38,10606877883.80,4863929802.81,14258104044.17,9835151019.11,6219230199.57,3127397876.58,10801232257.84,7643638153.45,5362669364.59,2683697199.47,9702057664.74,7614529124.66,4935750046.86,2513009478.84,8800566355.72,6301441768.11,4221006358.60,1963051184.06,5296517123.98,3927431347.91,2433776358.02,1097946971.99,3593781704.18,2802411814.31,1822958842.81,847530045.96,2694368367.37,1282904747.93,2072381082.80,1100158194.87,1901899105.28,934222663.47,1681797732.31,708137642.51,1320422898.52,517052279.72,916272224.00,946269477.00,932015577.00,0.0
3,二、营业总成本,30215542969.02,19952280285.45,10048931076.68,37165168704.95,29233378924.09,18497673584.74,8827130069.53,40006221205.19,34435389916.74,24704621667.03,11852156835.71,52085838167.30,40415746503.53,26738044294.50,11289063703.52,50773424724.69,38331986210.32,27288317323.05,13405156433.71,61292218661.00,48576860091.23,33842824375.48,16438373536.65,62888471515.62,47566211286.09,32690991612.23,14962175036.48,57596687348.90,44165064843.47,30048514802.52,14104595046.78,50560671736.15,37696405094.55,25831876986.68,12868833467.63,36065845534.25,27230343729.28,17562564971.71,8121156026.97,23921724735.85,18766540672.80,11696698108.51,5503448577.07,19910685230.39,15205998095.40,10050592798.64,4611313291.50,13343312155.76,9101601179.32,5713746920.14,2896693696.83,10047866927.37,7109300251.51,5010869725.14,2561932899.17,8976024753.33,7038692660.95,4515623603.69,2289675746.45,7853709283.04,5585792137.12,3741780893.48,1707179179.71,4464988154.26,3261984141.75,2035689488.71,927867169.79,2978129824.48,2347043415.63,1519044379.40,690469030.63,2160819814.91,1027925395.85,1677696423.77,895894373.06,1608194576.96,765697778.32,1418198972.68,590448813.31,1107039263.27,0,757793014.00,737436020.00,696291260.00,0.0
4,营业成本,28106861120.18,18523526587.76,9326801194.72,33288268033.01,26222011810.79,16865143136.61,8103541461.70,36809906217.90,32268722028.50,23332801584.01,11248063218.13,49286405795.29,38451059034.30,25475285776.21,10660101810.46,47735565760.42,36285775258.43,25904221409.99,12731348771.33,58166439869.45,46139948193.43,32207001637.17,15693776320.43,59931829238.70,45530504246.03,31446889671.60,14371897452.78,55253216384.82,42460261004.19,28977999446.35,13645864135.60,48345856707.42,36031681204.88,24758607509.02,12422133070.53,34335865955.02,26048730657.09,16793589322.53,7719469617.89,22352428518.38,17686454229.54,10957655448.25,5151229069.21,18668631640.41,14184563269.66,9331446485.21,4282046093.80,12184186126.45,8233400570.92,5150867334.16,2614254677.61,8950216155.31,6343592653.10,4503317969.07,2323419136.40,8023896994.16,6341161868.73,4026241048.36,2057003716.87,7003746108.24,4967581973.95,3331313682.09,1481475626.48,3790044969.35,2752851293.67,1686940869.51,755041172.75,2431334464.17,1969999657.20,1292378818.58,615115737.70,1852469717.94,874804497.76,1447662256.59,788220189.32,1419634189.03,682568515.51,1253106919.63,530262407.77,1001138876.88,0,683623155.00,637946887.00,595149319.00,0.0
5,营业税金及附加,236778213.65,178041317.59,102778212.21,438952933.12,359714968.58,201122416.66,87420316.60,260057288.42,198763607.81,107258104.14,47881800.63,144195995.72,53645237.87,36175405.01,18882274.77,73532843.35,54547431.76,40697540.44,18653590.58,69758964.12,48974957.33,27278952.20,3753152.00,70880362.37,51533818.41,38055550.19,12260169.01,80343397.23,63393846.77,41276219.58,20900265.53,87063760.95,65928194.83,40965671.54,10353396.22,70278517.74,44425984.79,23220063.02,13359479.61,64018921.15,47152505.38,30132659.35,13199279.68,79593991.82,66208403.35,31836365.41,14864026.27,53627688.46,42547940.29,28633856.50,14372552.16,37368478.11,26761545.78,16539657.64,7542669.15,32944768.87,26620290.49,18707957.60,10553062.96,27941422.54,22400075.13,15104825.98,7623091.74,15321232.73,11755121.73,7505462.46,4302241.19,10458269.30,7764971.29,4628937.91,2540285.20,7740040.22,3798656.81,7200339.59,3887787.77,4996373.85,2846506.17,4663917.86,2192085.62,2960611.47,0,2420101.00,2619573.00,965230.00,0.0
6,销售费用,811728132.77,554894418.91,270417982.43,1077357364.27,771417595.82,507920947.95,260437451.10,986358620.62,756167928.76,494360647.89,222816146.84,1019710140.95,780098743.48,506682251.32,258032057.22,1092953504.05,829964212.11,533136241.43,248092967.43,1272427543.16,982550565.97,673656439.35,317609602.60,1311651808.10,853184219.85,522677138.65,259658707.19,1047826009.63,745407327.85,474671979.22,234011934.66,996078775.08,771869237.31,513202221.37,230115181.34,907544931.46,659400765.46,437225362.40,228840655.01,827939970.18,633528345.02,436576375.40,231853257.77,699424044.72,513426645.06,381753707.66,171530542.29,705405204.95,549717535.23,350018294.26,178441218.00,507584683.50,354489446.04,229977447.42,108117071.39,489994895.89,349555022.24,255234200.00,115701073.87,479783632.33,333762379.53,219612554.76,110589956.93,404979761.56,304182684.56,212032319.64,105750519.17,322417633.79,228077595.45,149638304.66,32416726.39,129233524.42,61272302.36,96194455.64,45510862.12,85592059.46,32956754.43,51439137.90,12041059.32,18510027.90,0,3021475.00,1907440.00,3285365.00,0.0
7,管理费用,506023926.59,341790630.16,158967063.46,646386515.12,472877340.78,434386524.36,239290394.96,791797633.27,494495740.12,337765091.08,161114906.26,649415700.37,558729828.09,346784950.61,179364963.88,723681312.63,531943271.84,370823086.02,187815398.74,680663950.16,646955413.37,419846665.81,197574743.22,711598244.69,548488201.43,345524615.51,165717895.71,659405208.83,464727358.74,285487920.25,137244713.07,670410882.76,485650226.94,297478910.89,134715188.86,494561019.51,319744402.51,208628080.82,104353998.81,450757562.11,253087553.53,172683364.69,76762562.31,349295607.39,300127348.29,216512667.72,108329940.82,305163488.59,207789287.63,144814654.63,66904537.04,500266482.33,349666117.02,242110621.43,114631904.55,388513349.36,289619588.48,195507802.07,97822450.51,322669730.32,246003135.63,166724411.70,100833751.39,247104119.05,193255515.85,129476155.21,62564533.76,217296696.64,144484701.72,72587630.14,41644424.66,166060097.56,86311622.05,116417491.00,50281963.68,89273353.76,42079500.21,94677031.28,40611458.55,62292299.88,0,44919440.00,79516455.00,79169016.00,0.0
8,财务费用,342653268.03,240312703.97,119598455.18,541540710.49,397454514.08,268104894.94,117044855.38,540407951.80,485973321.60,315696427.83,151710659.70,847740689.11,581951330.87,367750011.26,160185512.08,969731414.37,604156478.51,422921153.81,214809315.51,925240866.68,711583517.19,493878294.43,207428452.57,772009129.95,558347693.38,326258517.18,138828811.65,527111297.53,363274799.19,207727286.39,61862659.84,408192432.87,304557013.37,189014345.48,64991867.72,204747531.83,142245047.28,97025579.57,40688870.76,94121498.27,70488046.25,49573012.01,29122683.61,116588991.29,123413506.54,72716497.27,39212751.68,76889680.34,63276570.36,36084593.80,15309015.85,52431128.12,34790489.57,18924029.58,8222117.68,40674745.05,31735891.01,19932595.66,8595442.24,19568389.61,16044572.88,9025418.95,6656753.17,7538071.57,-60474.06,-265318.11,208702.92,-3377239.42,-3283510.03,-189311.89,-1248143.32,5316434.77,1738316.87,5730607.68,3335158.77,7436239.84,5246502.00,14311966.01,5341802.05,22137447.14,0,23808843.00,15445665.00,17722330.00,0.0
