,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980331,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,11061930155.18,8416038682.73,4765197694.06,12074373183.62,9203414443.30,7232575161.31,3972700039.98,11733843205.80,8848812630.24,6548127572.98,3843313242.97,11197229070.59,8779576324.84,6267691852.63,3633694156.43,9637423354.44,7531461867.17,5744529495.43,3234360076.67,9480664077.56,7142063619.62,5801557254.22,3206482196.30,9072355382.26,6560563104.36,4788040197.54,2599894163.82,8341954741.39,6392674603.57,4541073914.91,2487491460.94,7580206465.16,5606763762.66,3698620293.75,2002213216.26,6268401059.55,4896833111.31,3416517863.56,1970619216.62,6087110989.58,4528984669.82,2883693082.50,1489580130.54,5175517194.30,4140217944.76,2931351776.45,1597890276.11,4521132046.63,3408503216.95,2220114909.55,1025215669.40,3213850423.62,2329801609.70,1548710615.94,798834404.94,2912272030.39,2150930614.10,1414611122.73,749377331.23,2174773150.02,1589275713.94,973235035.21,472729799.97,1331428092.93,971020349.72,622846974.65,308436627.32,1042699769.07,733690970.00,487415886.67,214296057.13,792609101.11,403967943.51,682208820.01,337311023.52,643437827.42,336303655.42,734097683.88,260099645.00,899375140.93,896416101.00,727970269.00,0.0
2,营业收入,11061930155.18,8416038682.73,4765197694.06,12074373183.62,9203414443.30,7232575161.31,3972700039.98,11733843205.80,8848812630.24,6548127572.98,3843313242.97,11197229070.59,8779576324.84,6267691852.63,3633694156.43,9637423354.44,7531461867.17,5744529495.43,3234360076.67,9480664077.56,7142063619.62,5801557254.22,3206482196.30,9072355382.26,6560563104.36,4788040197.54,2599894163.82,8341954741.39,6392674603.57,4541073914.91,2487491460.94,7580206465.16,5606763762.66,3698620293.75,2002213216.26,6268401059.55,4896833111.31,3416517863.56,1970619216.62,6087110989.58,4528984669.82,2883693082.50,1489580130.54,5175517194.30,4140217944.76,2931351776.45,1597890276.11,4521132046.63,3408503216.95,2220114909.55,1025215669.40,3209655886.46,2327329457.66,1547124389.21,797715191.25,2907713228.36,2147011621.32,1411898666.88,748026424.71,2171279644.41,1588424996.44,972027505.22,472545620.18,1324608482.73,970045899.42,622004435.97,308131534.57,1037688752.33,734976410.00,488768868.22,213469913.84,774081629.25,396557411.17,677131956.40,333647200.83,636305938.40,336034369.40,733525286.06,259724666.00,899369689.78,896405070.00,727692820.00,0.0
3,二、营业总成本,10120718159.53,7499923961.24,4154784957.60,10953550475.43,8439296973.63,6579686286.96,3474139099.21,11189945816.16,8463148020.41,6202826427.61,3597076371.90,10835467244.42,8398088761.04,5927798498.63,3391179902.19,9084312814.05,7098898905.18,5375944373.23,2963854054.84,8945485494.38,6720160148.70,5445674255.86,2958170631.79,8775678665.07,6324180364.50,4586026709.51,2460010925.32,8141969504.94,6213734064.52,4374826033.66,2374614956.41,7357209965.81,5415389167.07,3533680978.44,1882304246.19,5928158060.89,4582253453.89,3201419525.71,1837137800.37,5843334290.87,4340750357.99,2764833502.11,1424016006.07,4899376317.75,3930423552.66,2800966354.03,1517874246.40,4304897485.85,3259261755.77,2127568851.31,975245865.10,3085198803.74,2226289094.83,1491244767.74,763338135.09,2800459170.23,2064913981.25,1357097640.07,713998511.79,2067472758.01,1530406965.97,936312856.46,453641065.82,1253676231.83,917061347.91,585883780.62,293581505.09,985430942.33,696514131.00,462603412.26,201820859.51,742873083.15,379649764.00,622844486.05,296452364.20,574966385.88,313209542.73,619005765.24,219445874.00,809125464.02,775104335.00,697983525.00,0.0
4,营业成本,7200449292.12,5317480402.22,2936098806.26,7249596103.71,5692306734.01,4357470929.39,2258604078.60,7753362715.62,5743101178.54,4180365957.27,2374645832.98,7329563958.03,5680619137.96,3886076882.68,2101670634.36,6044268555.27,4717782373.87,3587474595.31,1848275209.50,6288077773.15,4596953030.27,3843611485.08,1975270299.36,6241545815.28,4317046809.28,3131040496.63,1556368637.84,6104255767.82,4695786084.04,3336383574.61,1836208623.37,5618464398.65,4114133635.55,2693109092.17,1436587093.06,4692967202.17,3629661998.16,2503135779.25,1416942921.27,4832817637.53,3562859547.13,2251265257.85,1131834089.76,4113849483.56,3343628087.77,2377220054.85,1290608867.27,3700828016.30,2797131123.70,1841248556.27,831878298.32,2623479270.52,1885252123.29,1255977917.94,643232834.96,2382902818.88,1755501532.76,1156602155.06,607238994.52,1732802420.71,1273199093.03,774406278.40,374089141.09,1008230619.92,743993835.79,475313896.35,235956871.87,780058867.40,561514231.00,371138183.87,159305054.71,590328231.55,312946429.41,517752881.59,251502715.62,458814346.65,232703648.19,495991594.96,163579075.00,680801034.64,605474213.00,583386445.00,0.0
5,营业税金及附加,1184167340.61,847785040.19,497949119.41,1600335740.31,1119624306.24,850677795.52,550454178.40,1292856431.75,925488625.10,658887621.35,387293136.39,1279187690.15,940969335.78,709973689.73,461756389.31,1079293551.72,832190017.59,602846437.70,352184239.30,1018126544.55,770248115.03,548594987.64,358774530.42,858194150.22,668032391.19,480765496.57,313172339.37,544889829.86,430642120.36,296026325.42,154332368.92,366065634.56,257279325.89,172263592.55,104673457.89,290814765.38,213373459.72,150005991.01,92561294.03,227602838.39,170688428.50,98643465.91,52659938.30,161767591.08,116795835.69,84763186.83,42333128.48,130554171.77,90413410.29,60438322.92,35781690.22,88510577.45,56503482.89,36949023.53,24069875.21,60902732.04,40862704.78,27763583.93,16866160.27,47329945.87,34944254.54,23595056.35,14266382.38,31801259.73,22793859.48,15908282.57,8607763.86,21753972.13,13550474.00,9591343.48,5167083.58,23726574.07,17393974.88,24428983.04,13775415.26,47591282.59,34547293.78,61932514.68,24733706.00,38833908.46,16332647.00,13364862.00,0.0
6,销售费用,1032187760.66,856078960.71,449772745.64,1223799420.10,965140945.44,880786233.21,365481953.30,1149637089.75,1051956944.86,828634786.87,514791397.02,1223223972.90,990565429.95,811194570.18,537208485.64,1139105456.47,938107916.94,785936580.84,523638695.61,911620138.48,807118250.56,685505393.69,434328599.34,959883924.71,809934871.81,627542156.45,413703641.32,753061733.37,540128678.47,375452064.77,205381366.11,811186875.16,647890072.03,415627072.66,213298641.18,533936652.16,458421719.94,366715916.63,236239467.15,484971276.19,393632672.99,272070933.11,161910768.35,382143442.08,301820738.31,223234639.80,127474005.59,263764950.20,204630442.90,119809037.54,51973203.81,194742986.74,148043122.96,105618180.78,43817865.27,207981369.67,157073621.57,92996699.26,48237715.23,185585453.39,139940787.47,81984282.38,37964775.10,115087516.14,80836636.07,49801093.43,26302609.17,106827901.37,72070783.00,50093364.31,19257223.50,80124856.90,27212095.56,46601514.88,20844207.63,54410275.64,36645453.35,40693578.34,15103352.00,53421958.28,109247222.00,48340812.00,0.0
7,管理费用,590196021.27,395158858.65,230862743.64,680796208.18,543433284.35,400432203.91,255866317.82,800430598.79,622431808.62,429851854.17,270785422.63,755950610.59,579367115.61,381972193.53,218258358.70,645289387.88,491191644.62,316542369.30,194282145.93,558907045.41,412360060.09,281417905.77,151084978.04,559036619.17,411498102.23,275070250.57,143487155.67,515489717.48,367688235.49,254821630.03,129357334.99,438241805.08,319109783.85,221085594.13,117289290.53,375035456.43,246064627.57,151625326.99,80784355.73,259730860.15,182975857.07,121217954.50,61997261.87,186491993.34,136784668.02,95615914.46,50739505.69,175340139.78,128412020.54,84236343.15,41248324.84,149601349.09,113067498.04,80084340.42,40582102.81,137163273.30,97398877.03,64878409.55,35532633.68,106372251.70,77782444.79,52922601.29,26255743.00,89277437.07,62324213.90,39724928.99,22297779.80,70748949.32,46945601.00,30704555.14,17231288.74,53987132.15,23620651.40,40221413.81,14609198.14,36563322.45,17323326.35,34734126.87,15569585.00,41308002.87,39864724.00,27836406.00,0.0
8,财务费用,101564704.71,76493653.81,33757660.22,143639750.14,117031606.94,87270597.54,40905891.62,157744409.99,116610314.88,100342100.85,44607833.79,256450089.26,207688245.23,139103416.90,77681461.31,171160545.78,118015102.63,78536714.24,44057565.20,163211032.60,132147353.59,85078582.66,37522728.24,152437332.67,111267453.49,69641954.60,32205488.31,220123082.70,176918772.20,110678272.77,48664326.41,124515863.57,76383700.03,32379158.07,11421557.83,34260325.42,32053936.17,29950175.35,11049480.40,42139317.77,34560687.05,25718769.83,15578915.39,46903595.73,26902652.45,16707412.30,5947090.41,33193253.04,36535087.64,21342207.73,13736989.87,28864619.94,23422867.65,12615305.07,11635456.84,11508976.34,14077245.11,14856792.27,6123008.09,-4617313.66,4540386.14,3404638.04,1065024.25,9279398.97,7112802.67,5135579.28,416480.39,6041252.11,2433042.00,1075965.46,860208.98,-5293711.52,-1523387.25,-6160307.27,-4279172.45,-22412841.45,-8010178.94,-14346049.61,460156.00,-5239440.23,4185529.00,25055000.00,0.0
