,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4102442478.90,2656942083.44,1199454663.24,4971976123.66,3533595951.15,2311527138.58,1144502348.00,5401184628.47,3907605043.52,136364680.33,67002233.85,260903845.02,180874784.44,133037600.15,66307502.86,254851159.09,146261388.53,83861271.23,23630759.26,243601279.75,225920936.49,162081931.29,88498359.92,372664901.34,296587005.48,204114633.45,74632536.16,425989925.34,300568687.38,197463131.16,80609502.80,573964065.80,474323437.35,377484213.90,201174769.43,716336433.76,535745612.11,395819508.83,188509464.38,578687638.73,418066142.15,272557831.25,95162349.40,648023954.84,465562236.24,313558787.90,132884529.47,568005131.89,390821978.20,269413835.78,99837318.81,556886353.92,383556859.07,253689359.84,94921742.97,428551774.83,306129511.17,199410842.17,77745108.42,497426194.11,394983887.83,295872087.90,134726883.46,624618580.36,459982017.34,291802084.93,98721717.59,411031883.44,281647074.62,188279410.87,62423567.04,373402377.00,184498785.45,317767795.60,155248619.95,342526322.78,193230154.76,387520513.27,364501856.81,267835802.00,0.0
2,营业收入,4102442478.90,2656942083.44,1199454663.24,4971976123.66,3533595951.15,2311527138.58,1144502348.00,5401184628.47,3907605043.52,136364680.33,67002233.85,260903845.02,180874784.44,133037600.15,66307502.86,254851159.09,146261388.53,83861271.23,23630759.26,243601279.75,225920936.49,162081931.29,88498359.92,372664901.34,296587005.48,204114633.45,74632536.16,425989925.34,300568687.38,197463131.16,80609502.80,573964065.80,474323437.35,377484213.90,201174769.43,716336433.76,535745612.11,395819508.83,188509464.38,578687638.73,418066142.15,272557831.25,95162349.40,648023954.84,465562236.24,313558787.90,132884529.47,568005131.89,390821978.20,269413835.78,99837318.81,554236257.92,381881478.93,253128814.56,94542424.30,427764205.86,305578158.20,198718220.08,76983686.74,495873289.21,393699763.38,294743421.31,133984095.14,621323127.62,457522456.00,290129370.28,98028909.19,407805989.38,279277996.93,186736988.38,61747919.26,370097964.95,183080767.85,314638314.36,153376816.94,340357684.55,192269670.33,385502953.92,360536666.28,265450242.97,0.0
3,二、营业总成本,3170741250.58,2088618228.13,928784056.83,4617677296.52,3390047419.07,2187840036.58,1063267605.27,4686816812.78,3181231251.11,147380248.87,73114327.42,381694234.29,217251441.21,146475332.15,67588026.83,294741140.16,195798658.73,129868918.72,50627366.93,388535169.45,243593329.28,162196959.94,87363228.49,424261267.96,331411396.52,203618420.80,74365018.77,467863730.66,299700451.13,196253880.83,77841600.57,612648100.22,473275942.74,374802245.35,195072233.01,738772308.90,534885248.99,397249988.67,188265031.12,601407422.92,416561923.89,269816768.80,97277748.32,638296329.15,461511058.02,307741624.33,132176545.50,560582298.94,389059240.29,267860549.80,103305936.18,555346136.60,390447080.37,260420019.43,104397496.63,474282544.38,335243226.55,216207305.87,86476348.46,495590141.72,395275046.05,290993592.84,133509994.81,614839224.83,450413822.35,282622248.60,98283784.85,401744336.81,273271213.16,180914406.78,65399136.57,355523118.77,173220730.55,298586639.67,142035803.72,312816946.01,174200591.83,354630534.41,335334265.04,250171032.39,0.0
4,营业成本,1469251464.96,990658973.34,333873959.68,2169447773.42,1292860351.51,984947374.69,461065032.86,2080332765.96,1426871560.89,110403562.85,51706011.77,233360583.59,154616505.48,103533056.07,47894772.25,199322730.75,132547027.85,86542159.27,26000360.26,243062465.27,192128337.01,132350026.56,66231542.60,337407867.29,268089597.28,161250475.26,57516226.79,372818416.47,243897837.15,156783089.75,60084775.22,511341109.48,408211190.33,330149379.55,177217493.58,622591359.08,457745860.20,345854238.59,164267395.95,494035007.58,342787295.88,221674604.19,76569256.10,534812175.69,390927338.16,264694563.73,110295087.49,471610327.37,322076983.36,222644485.37,84901203.33,467130637.91,323844451.52,217081701.95,83772662.64,392483228.51,279450576.78,180907553.84,68910748.62,414902756.00,331756724.92,247105620.15,111639764.46,533339020.41,395484589.35,248021036.36,82265588.65,340629476.51,230145240.26,154734453.51,52538399.71,307519708.21,150635896.67,254696319.03,121423055.97,271003736.18,152762550.09,309008251.72,286152551.17,206978255.23,0.0
5,营业税金及附加,10354077.75,8609217.82,4331849.70,20128343.26,14388536.88,6701959.67,2970687.11,45457627.90,31562437.86,4063601.95,1130192.06,5466270.43,677796.45,935392.26,259840.46,1346400.54,0,0.00,-186665.91,351536.13,331147.71,17482.16,56627.05,1366642.06,2219127.60,1811790.62,666610.00,2493854.63,4604.72,3826.32,2157.12,3822937.78,317158.94,269992.41,268435.00,5261968.69,3253837.00,2468095.25,105285.05,3111864.21,1097169.03,806013.33,475811.84,1479195.44,234278.13,-66136.59,-103406.13,2053709.66,1261400.23,599144.61,277521.19,3109782.57,1405195.49,456748.12,126350.18,1439870.13,895357.63,566086.02,197515.28,2054767.62,885547.52,372205.38,278021.04,1960519.62,1240642.73,900710.26,219846.98,1906145.96,1154751.09,775262.45,317033.85,1858135.66,980286.48,732237.17,356917.85,1099764.45,851193.92,2182074.33,1755589.95,1274833.92,0.0
6,销售费用,1495550503.46,908136252.43,542129895.88,2169471661.19,1584026931.76,1004886751.85,467604384.74,1933513860.62,1399788091.52,11168354.65,5024758.46,23948462.23,15399569.13,10469902.80,5770647.33,19817223.72,16412732.86,11923216.10,6492073.71,34995666.94,23623299.68,15074831.88,8649207.32,33860660.47,1264574.65,16476148.66,6910377.07,34712658.33,18166126.88,12392637.69,6750565.17,36046776.99,20597580.64,14648199.27,4576127.74,36099372.74,23479686.02,16124392.46,8849727.79,37853292.02,26416108.32,15825385.30,5140370.44,32818987.76,19478214.25,11463951.70,7298709.48,39165423.74,27938125.59,19273962.16,5331127.71,32490901.15,19845916.21,13486626.17,5271099.77,22649673.94,14972924.46,8510883.50,4388380.84,20873512.47,14690029.21,10380426.52,4795119.53,16837197.51,8019765.54,4833823.03,2239195.22,10604886.28,6286173.72,4393973.98,2321488.80,7087666.01,2473167.60,7011049.34,3840803.55,6988840.39,3614057.84,4614452.11,4507050.03,4754401.77,0.0
7,管理费用,268039830.92,181430887.22,40553407.94,387477774.69,533122314.22,199169855.25,76838596.83,474187588.03,269771531.97,17384446.72,10016813.08,39512532.79,29066896.56,19280284.08,8795579.74,43535698.17,33266120.99,21304048.42,10927260.33,43202874.17,24733814.90,11770969.02,10662322.24,44137981.12,1988677.28,20320749.57,8848442.93,45752092.37,30379547.92,21298159.76,9857419.67,53464741.38,32219358.61,21621334.44,11363025.82,59660348.30,38470635.78,24721773.63,11587074.99,46669576.21,33211880.07,22009661.10,11672572.47,51330340.92,38282448.50,24170524.20,11047445.61,30594186.82,25957367.92,18328087.27,9523549.38,37713431.54,34276877.19,22210147.30,11606833.66,44935979.52,31473757.96,20620345.13,10193854.83,46985920.48,38702296.90,26930210.32,13645174.15,50541620.01,36143973.41,22583150.19,10463544.48,36237527.78,26048155.18,14801149.74,7299263.16,27872065.46,13733206.93,27341796.41,12015221.42,24765161.83,11916211.48,23538078.53,25461235.84,23565390.07,0.0
8,财务费用,-81302651.59,-5955135.55,2658097.25,-156197799.27,-42984560.70,-3844937.56,54788903.74,132886976.77,56738388.08,7861041.91,5236552.05,25976094.14,17319195.26,12085218.61,4867187.05,27952393.26,14265643.96,10792361.86,7394338.54,12078591.13,1741682.46,1948602.80,1763529.28,7010991.19,746.09,1913947.61,423361.98,9821975.49,4330614.45,2854447.30,1146683.39,8975783.39,7757095.28,3939780.74,1647150.87,14132260.12,11831146.94,7977405.69,3455547.34,16653582.74,12074112.99,8525747.28,3419737.47,18330814.43,12351797.03,7478721.29,3638709.05,15460622.55,11009368.49,7014870.39,3272534.57,14901383.43,11074639.96,7184795.89,3620550.38,12773792.28,8450609.72,5602437.38,2785848.89,10773185.15,9240447.50,6205130.47,3151915.63,12160867.28,9524851.32,6283528.76,3095609.52,12366300.28,9636892.91,6209567.10,2922951.05,11185543.43,5398172.87,9249623.85,4399804.93,9463986.67,5056578.50,15287677.72,17457838.05,13598151.40,0.0
