,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3350558564.05,2301154552.54,875372792.27,6035039388.24,3497336165.77,2201834083.80,1003631076.18,4587205667.61,3071656875.24,1977113834.67,699526401.04,3385071835.87,1902218522.88,1268645584.87,474942011.29,3164535105.06,2558758197.40,1867952098.07,758994039.06,3906926063.64,2569326199.47,1862148112.03,675899978.94,3406521736.23,2247208716.19,1413543518.74,570649524.13,3098648381.86,2067290016.47,1365138073.66,438441907.79,2423329601.18,1628620874.16,1051401104.87,347087404.37,1560211922.88,1011874905.85,547444785.36,183734279.65,1165535252.37,809406424.89,504998397.87,174010114.23,859891139.84,576557957.00,362289907.01,128100430.81,655286587.19,439785057.30,266484585.15,100325334.10,610124182.45,440032229.82,255555063.04,112069216.74,480333272.04,332374843.32,228061173.03,67434140.01,400467057.04,269467111.24,190037092.09,73482869.29,346165012.56,216633895.08,199112470.54,151609436.51,0.0
2,营业收入,3350558564.05,2301154552.54,875372792.27,6035039388.24,3497336165.77,2201834083.80,1003631076.18,4587205667.61,3071656875.24,1977113834.67,699526401.04,3385071835.87,1902218522.88,1268645584.87,474942011.29,3164535105.06,2558758197.40,1867952098.07,758994039.06,3906926063.64,2569326199.47,1862148112.03,675899978.94,3406521736.23,2247208716.19,1413543518.74,570649524.13,3098648381.86,2067290016.47,1365138073.66,438441907.79,2423329601.18,1628620874.16,1051401104.87,347087404.37,1560211922.88,1011874905.85,547444785.36,183734279.65,1165535252.37,809406424.89,504998397.87,174010114.23,859891139.84,576557957.00,362289907.01,128100430.81,655286587.19,439785057.30,266484585.15,100325334.10,605767957.42,437925513.31,254257620.91,111537851.30,478468964.69,329822127.35,226487710.91,66601214.06,398268948.02,266331080.43,187890024.05,72457662.24,344354748.96,218260708.42,197991161.74,151607890.95,0.0
3,二、营业总成本,3208454198.97,2189396553.01,890499630.31,5763107941.31,3385010829.46,2138724996.23,997351293.48,4464573884.64,2969339544.33,1912648416.71,683740341.79,3265149461.72,1845849676.13,1254788058.57,509962821.22,3055030134.52,2442799210.63,1749123765.87,722517842.53,3579188352.33,2344531718.76,1703708050.09,640423986.48,3078317824.58,2030857077.87,1272637009.50,535945678.03,2784792426.41,1863881073.15,1236951015.80,416341208.01,2091170640.16,1418150640.68,922615195.16,323484709.54,1357591162.96,878111357.52,475944484.66,166332632.89,1012189411.40,709146357.52,453089647.71,163511331.71,776554882.05,543707542.00,346820693.10,129467153.34,585353032.34,395217461.91,239073750.62,93160761.19,531420769.60,385630168.82,222215157.83,103449027.82,414695508.20,284298511.40,200763660.91,62325015.20,352318839.84,234601058.98,165838853.76,67182131.73,303204634.94,194397935.14,170536268.78,124346344.69,0.0
4,营业成本,2518453777.99,1748777296.98,714858486.85,4712157521.57,2870253454.79,1809961460.61,852997772.82,3663347369.20,2461716446.23,1587491661.26,535925662.76,2486898851.53,1351507292.38,940573458.46,352223560.10,2260217845.37,1898253846.36,1395065819.65,563064451.73,2788956224.73,1811439891.87,1349904876.10,488216901.91,2441355215.41,1583129768.11,1002289427.69,419274776.30,2336135217.66,1587274104.69,1063623554.33,327695301.67,1740353981.28,1174238667.96,768176092.60,259413703.70,1080156417.53,697682286.16,364703684.60,121931373.31,771874289.18,549056101.26,345379660.74,121787994.46,593334383.39,419615076.69,267108978.97,97326233.87,456927584.76,303680914.92,183776466.56,69585416.01,408594054.83,299424130.17,167585195.97,76752823.15,310189817.43,216323057.65,157065533.20,47803148.15,280387025.30,180645344.99,129502762.02,49571739.13,227287293.42,145952089.70,125093203.66,92609513.97,0.0
5,营业税金及附加,24816538.83,14213073.81,4369493.47,35759586.96,14029990.62,9708795.54,3293893.61,21606487.29,15127602.97,10175152.10,4509232.01,22749060.16,12397595.06,8023550.53,13629537.05,77135486.81,58568511.09,43920450.34,20355201.35,94916095.21,58147643.95,42402108.14,15200916.84,75915770.41,45625528.23,30071015.25,13498808.70,71032505.53,43946932.02,27960202.38,8194589.16,49089251.58,27376695.23,17532084.76,5616724.88,23262519.86,14229833.60,6582499.17,1980685.02,11478660.46,5970538.07,3616130.12,921052.55,7731217.42,4427869.06,2862768.07,963535.67,6091727.56,3657949.39,2482807.02,919833.10,6458885.13,4107440.66,2609289.86,1183735.55,5082979.87,3157815.08,2335698.59,555796.46,4009498.82,2585664.54,1968803.59,717995.18,3511747.59,2303203.95,2974917.07,2724431.38,0.0
6,销售费用,209735161.54,132347634.67,48601002.36,257905086.46,112188774.77,66581747.02,26308593.35,153263480.89,110003832.88,65517451.92,26555087.51,130293370.88,85392395.58,47062954.23,18657205.60,121838863.39,93200000.44,62844266.29,27315364.35,151593965.29,125951465.84,86569988.31,37132393.22,143112389.93,115165704.14,62134264.41,22996979.43,71226406.20,43261720.78,26240431.72,14448831.46,70237791.82,50986266.34,33658572.58,12511011.75,60241330.68,38167555.74,24740630.06,8902820.93,51822291.55,30821970.76,18696513.94,6740457.40,38632512.96,22625398.94,14664214.22,6646624.15,27806046.51,18447590.43,10964682.67,5141637.45,18732459.03,13293544.02,7932146.65,3499884.53,15759951.24,11788674.92,7267612.72,1978595.20,11940403.50,9338895.75,6051303.12,2988631.16,16183480.05,7644752.09,11108223.49,8662109.78,0.0
7,管理费用,347785797.99,232427587.28,105441334.54,462122801.33,260569577.81,169119478.53,78204360.86,405760140.63,273246586.22,179330773.13,81316952.53,403501565.65,272326259.49,171095065.14,80065069.94,375399628.23,251137984.04,158086991.34,68084605.02,341327924.07,234598095.94,157373395.54,70504588.69,314971840.28,216551255.20,132514836.12,62486237.63,250299766.67,162918798.78,102069209.59,56835070.78,207200954.26,152510029.39,93393747.65,41723815.42,172325651.18,115329337.75,75849641.19,32010199.95,157943385.91,107511800.23,70570443.32,31632802.55,123799750.20,91491627.77,58564102.11,22775196.01,87705515.39,65422372.32,39312807.89,16218712.85,96479433.94,66970745.70,43160651.09,21233060.45,82889796.61,51964662.24,33580390.27,11871912.72,53848040.54,40112070.21,27159910.42,12219583.94,50762120.84,34389790.08,28843500.18,18356772.91,0.0
8,财务费用,91565158.02,49199480.23,14087359.06,188501870.49,108951046.98,72038487.41,36546672.84,148076169.29,110061349.71,70949651.98,35433406.99,164826807.22,124428628.18,88235524.76,45667749.74,189819661.76,142352502.17,89919871.72,43698220.08,156743976.93,113247008.20,66310069.04,29369185.79,91044454.05,68996884.49,44174505.71,17688875.97,41297437.32,26479516.88,17057617.78,9167414.94,18564970.57,13038981.76,9854697.57,4219453.79,12940514.23,7801606.47,4068029.64,1507553.68,9890277.93,8160356.19,6300896.93,2429024.75,7805499.96,5547569.54,3620629.73,1755563.64,4739077.38,4001531.68,2529883.31,1295161.78,1155936.67,1834308.27,927874.26,779524.14,772963.05,1064301.51,514426.13,115562.67,2133871.68,1919083.49,1156074.61,1684182.32,5459993.04,4108099.32,2516424.38,1993516.65,0.0
