,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2889208876.26,13590466951.30,9533633452.09,6062516928.31,2655538886.48,11446869453.23,7800878722.37,4745891786.04,2084392299.73,10267819232.27,7230598670.58,4478596526.26,2032202046.03,8968929124.74,6235167129.03,3792667980.00,774520042.29,5827586249.79,4186991616.17,2523405363.84,975322868.91,4424452414.22,2834914858.81,1591728207.36,563129816.63,3443076200.23,2280379501.80,1342055862.34,457629365.01,2803247159.45,1883180780.47,1315513591.93,372977214.39,2531445756.17,1635425831.22,1110670285.10,470719416.83,2573499961.40,1889319982.00,1040871139.92,478988183.82,1612843429.76,969606444.67,574510204.05,251461828.48,1076898659.84,727444309.63,488779711.88,181809254.11,886857457.63,610229398.88,388845026.85,136509349.35,624817863.30,434959914.65,289729784.36,129484278.03,554972713.53,422712864.61,429108322.15,297714868.16,0.0
2,营业收入,2889208876.26,13590466951.30,9533633452.09,6062516928.31,2655538886.48,11446869453.23,7800878722.37,4745891786.04,2084392299.73,10267819232.27,7230598670.58,4478596526.26,2032202046.03,8968929124.74,6235167129.03,3792667980.00,774520042.29,5827586249.79,4186991616.17,2523405363.84,975322868.91,4424452414.22,2834914858.81,1591728207.36,563129816.63,3443076200.23,2280379501.80,1342055862.34,457629365.01,2803247159.45,1883180780.47,1315513591.93,372977214.39,2531445756.17,1635425831.22,1110670285.10,470719416.83,2573499961.40,1889319982.00,1040871139.92,478988183.82,1612843429.76,969606444.67,569636803.53,251461828.48,1076898659.84,727444309.63,488779711.88,181809254.11,886857457.63,610229398.88,381611793.82,136509349.35,623091737.66,428643369.51,281788334.91,129484278.03,550929694.86,421253524.01,425469295.91,293750336.44,0.0
3,二、营业总成本,2626406931.19,12219597794.99,8436274540.39,5360125603.06,2419179471.37,10354615428.94,7005565152.01,4345731687.32,1931020947.77,9394523594.80,6556270777.91,4064848601.00,1873025945.91,8617337731.64,5937177739.16,3570041210.97,823266593.41,5555276793.36,3911566017.26,2343046184.02,954211527.02,4298159329.73,2780341855.88,1575407146.44,588175175.23,3438907101.38,2217423364.44,1308555950.67,465883609.15,2756738344.98,1831989269.05,1267060166.77,372400927.47,2464870606.80,1563418304.35,1048561774.24,444614668.77,2297506666.25,1637272570.56,887648955.09,397546821.30,1423312719.97,869491074.34,528790672.87,240617120.11,999229540.42,676152253.08,451270187.86,181727494.02,845208089.41,583331324.94,366275333.77,134853316.60,573592706.14,398819559.82,256710215.57,123093832.42,511683680.03,389768292.30,394211040.27,273188849.07,0.0
4,营业成本,2121586165.17,9934829062.11,6909423963.63,4366583418.90,1896992911.82,8364242925.42,5661747365.31,3401392312.68,1476292496.46,7418553391.92,5191935493.44,3182945005.50,1471616808.39,6669460903.26,4645576796.53,2809242242.55,657111445.43,4567822398.57,3289033542.32,1985674897.36,794056158.11,3489862184.51,2222438822.29,1253765767.91,442237367.63,2682549509.94,1815757353.31,1052493057.45,356728899.34,2222682093.08,1489598533.98,1038896437.64,292446234.92,2025793412.02,1280623949.07,864409873.51,364348908.17,1825897459.71,1296973317.51,698451129.82,320519820.96,1110827132.74,669992182.83,396495950.97,176119320.56,767390145.41,521975382.27,356094667.76,140190016.96,664777352.96,461507035.21,290304025.66,100435243.22,464661658.66,320606661.80,200362215.25,95262954.31,405481345.93,309447950.05,309837755.67,215602287.66,0.0
5,营业税金及附加,31837578.69,146658011.29,100476065.85,66259540.36,32684078.74,151131290.17,104217125.18,66937977.71,29530875.98,143076012.08,105464023.91,69050524.57,28820182.10,114430897.79,33229356.36,21759809.63,6864539.83,31043499.09,19329560.91,10659348.13,2452958.75,21512455.94,11949142.18,7165723.25,1510972.28,20480352.89,12160662.10,6513630.38,2708534.71,18449437.68,11293327.38,8911890.33,3671918.60,13844601.72,8504244.28,6373125.37,2953297.59,13591277.04,8838461.26,4332164.01,1934804.29,10125395.90,6740481.66,4398830.71,1908345.65,8239085.42,6001057.24,4389416.40,1556197.24,6767731.79,4649070.55,3602288.30,1227289.82,5820886.71,4469308.40,2953180.50,1390321.24,4906224.86,4008342.30,3417855.54,3760327.54,0.0
6,销售费用,94032272.91,527773946.71,358675334.01,222283498.25,104838507.86,418339969.08,280829560.60,179675544.12,81763742.36,447010226.78,303100004.53,193642691.93,94100029.36,401711179.40,278694929.57,165521694.25,38686773.25,246747414.21,172397781.91,113493683.14,47678656.61,198852696.83,139518240.31,83025713.30,36921517.84,152222472.54,95950815.19,55701798.65,21963726.05,130646963.10,76812043.63,52342343.01,13858097.10,104948446.36,66057068.19,40964617.57,17132018.99,98491795.79,62227190.22,36483025.45,15626591.00,43675529.42,30768525.91,19799418.93,1351774.88,33250291.47,22828018.64,13913542.73,7098954.50,26776142.13,18651003.91,10408083.51,5292769.33,22085611.19,14235441.55,9130390.49,3949967.74,15595637.75,11720673.68,16721440.08,12946169.49,0.0
7,管理费用,164515857.29,734111886.53,554545512.35,338640764.08,187437240.82,695717694.34,479274178.72,496730837.40,238846296.09,957033440.85,645532656.34,433733908.18,201091706.15,904139262.54,619844002.96,400284275.69,112767161.16,581413359.89,337781528.87,190747379.38,91441747.50,439201946.47,293023901.61,188060794.65,85948596.28,424272632.32,239491576.81,160641002.64,71863205.34,287877204.57,182785784.40,114398724.71,52619750.32,241878505.08,160475760.43,106617997.73,48868127.67,251560067.97,178003514.89,105047006.36,45430475.83,211857040.68,132241077.55,83993038.29,9692457.80,150992123.51,99069845.51,59233956.49,25831067.51,125372599.18,86172753.97,53307223.06,23497111.55,75759111.24,56103557.49,41850372.76,21382384.93,82166754.74,61838358.66,61072464.65,39805374.53,0.0
8,财务费用,84913118.74,361460235.14,245014464.71,172675866.37,104693061.90,344508341.57,252999052.25,173732830.15,96518505.73,356295996.39,269726683.37,162106083.86,65656899.02,272680116.66,225450250.90,155621940.95,15513902.12,67289957.53,51591166.10,35826244.03,20156528.72,84494164.97,64647586.55,36988132.35,16858315.55,83067756.51,52487361.33,33761380.59,17723558.34,62160518.10,42297060.41,27162137.57,12461985.93,52235631.01,36365052.12,25872025.10,13545312.57,65307662.57,43936543.17,25431290.46,10746097.71,31920374.80,22463587.70,15494003.25,7720095.21,29891831.52,20239457.47,12625298.88,4407611.50,13659995.78,7698638.87,2726471.96,594735.08,5265438.34,3404590.58,2414056.57,779578.45,3533716.75,2752967.61,3161524.33,1074689.85,0.0
9,研发费用,129521938.39,514764653.21,268139199.84,193682515.10,91788019.58,355973626.56,266290949.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
