,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4454306585.01,2940561453.19,1245086754.50,4518950572.98,3178982630.14,1862321767.47,843300297.75,3061060630.82,2263965597.46,1346138594.91,558342967.52,2370462254.75,1792699587.92,1079838590.76,413351155.03,2141293716.15,1679005831.34,1019964484.78,404096378.85,2603349676.94,2060211086.40,1261096688.81,518969067.08,2078401943.10,1576261788.27,797009716.74,360856992.55,2042040537.48,1523428115.32,822087147.15,322313764.34,1736446536.51,1275517419.79,617652763.89,233862225.78,1106436926.66,821729055.95,381631510.88,146721509.83,969017627.08,757986362.58,383483738.03,148635600.95,1051431506.87,861188236.81,432496800.37,141279732.74,558382618.31,361826844.35,123594757.47,33159791.44,356497547.57,303332770.70,116427681.28,32819970.83,485200232.98,269348618.27,202266187.02,0.0
2,营业收入,4454306585.01,2940561453.19,1245086754.50,4518950572.98,3178982630.14,1862321767.47,843300297.75,3061060630.82,2263965597.46,1346138594.91,558342967.52,2370462254.75,1792699587.92,1079838590.76,413351155.03,2141293716.15,1679005831.34,1019964484.78,404096378.85,2603349676.94,2060211086.40,1261096688.81,518969067.08,2078401943.10,1576261788.27,797009716.74,360856992.55,2042040537.48,1523428115.32,822087147.15,322313764.34,1736446536.51,1275517419.79,617652763.89,233862225.78,1106436926.66,821729055.95,381631510.88,146721509.83,969017627.08,757986362.58,383483738.03,148635600.95,1051431506.87,861188236.81,432496800.37,141279732.74,558382618.31,361826844.35,123594757.47,33159791.44,356497547.57,303332770.70,116427681.28,32819970.83,485146369.10,269348618.27,202266187.02,0.0
3,二、营业总成本,4568942046.58,3251368875.59,1528869098.15,4968429544.97,3187647863.23,1918200155.58,809394857.35,2802506747.49,2044647188.15,1220220651.44,502216420.19,2009271159.55,1462780676.56,892816709.96,369810067.01,2084919185.67,1646739862.78,1054156425.90,450418549.40,2656967073.03,2121777079.77,1350238160.01,582374089.86,2084708989.97,1586192913.24,839994013.96,400042392.15,2084136059.43,1535076004.42,848788939.26,342442926.08,1694444713.54,1249336111.44,627515051.73,248822702.28,1103672600.17,814287610.37,395153017.61,159750352.46,949528682.86,743211673.79,388108697.03,154343443.21,1056520675.83,842159634.47,429431041.65,145936784.96,542398932.50,339579354.07,124497232.69,40546972.13,333573508.11,284314387.91,118088855.91,42075525.97,458530905.05,250455389.02,187988234.67,0.0
4,营业成本,3980384499.44,2839722813.66,1321280389.55,3990566827.94,2700631256.11,1611402107.89,682702416.68,2313338846.59,1714091731.36,1013135637.09,402383102.03,1614184946.46,1191460348.61,713808356.82,295328531.32,1711022625.16,1364473291.40,869302516.11,359826530.14,2272394005.58,1816774140.91,1161409679.39,486228742.19,1786952964.09,1354456048.58,701978269.68,327965213.13,1784906533.83,1302413730.32,702223743.49,273964199.31,1471170237.00,1090275659.47,538691183.41,205683228.68,949445785.86,700700216.08,328935223.57,128190314.39,803884659.51,629977198.88,322121237.26,124504315.45,909939053.98,738430322.44,373128936.31,123036168.04,460330613.17,295941558.70,105267344.43,30657104.50,286747189.88,242031634.40,96900785.28,30695045.33,411466305.40,219639954.73,163446181.57,0.0
5,营业税金及附加,8473498.54,5318075.30,2462026.90,11300011.84,8202478.30,5571781.14,2470053.27,9884667.22,6686916.10,4191799.34,1756856.76,4884917.31,885601.88,599207.39,197423.51,2193324.64,2036328.68,1820716.60,448628.88,6748169.30,5962254.74,4403722.31,2067302.12,7805017.05,5804995.83,3041988.61,2295669.10,12105712.15,8112737.68,4593198.46,1795667.24,842756.16,584360.67,204512.21,90013.22,343695.92,257550.93,113501.21,72459.01,395564.51,301983.87,149445.73,85025.62,265972.37,53659.75,921.85,0,23975.67,1558.76,0,0,0,0,0,0,5694.78,0,0,0.0
6,销售费用,100942621.03,71923565.92,37844926.74,160215803.49,131598167.49,85662552.76,35864562.65,128078706.98,93537775.09,53661247.51,26628797.41,104758622.69,77038370.91,53070058.37,21176890.64,115359626.59,102771688.03,71602423.38,32404221.70,135371675.87,110034640.61,68558393.72,33475140.65,108094393.98,91550404.17,53705308.78,29037535.62,112085424.13,91484224.84,60089917.32,29451300.88,84984553.31,56281680.11,31624508.94,14609578.56,48925396.44,32516112.86,18749213.72,10647167.71,44167394.42,35581903.24,22675451.13,11816811.20,41006813.51,29781281.59,17812618.32,7379215.88,23060424.73,12573636.97,5017150.68,2076559.58,13154653.17,10792580.93,5991897.56,3304314.77,15382033.99,10157319.31,8155488.97,0.0
7,管理费用,308339865.95,220861243.91,110312748.98,313444476.50,224527471.70,190836831.85,80910945.13,340354786.72,222231779.77,142087595.90,63864043.03,250993800.12,166770084.64,107456596.93,45769863.20,200206422.11,132482085.10,80160956.69,40883429.50,181001654.90,143380200.79,87734658.09,44663359.57,146634507.16,104319665.84,63382535.07,30227029.24,137363155.68,100604758.97,59523731.86,29497610.29,104895076.08,76244560.25,43669304.40,22184370.78,84981101.95,63737926.97,39375443.45,18190922.33,86172983.41,62099423.90,36301114.25,16636562.84,82493857.59,57130943.95,30852953.27,13078707.32,48369276.52,26999710.12,13471753.19,5726854.89,23750351.13,24976891.19,10826505.78,5351732.59,22222354.86,14702862.53,12798026.87,0.0
8,财务费用,99566449.68,65910740.13,31476081.20,65066385.75,41112631.70,21502478.70,6529910.28,9200239.37,7077116.87,6771641.86,5711381.29,20952519.02,15331475.84,10699546.43,5112233.11,52098786.49,41560846.07,28404735.33,14157943.14,52368030.38,37758581.90,24940289.93,12253578.51,32311458.25,24125501.03,15986756.36,7782430.40,29334546.10,22409783.49,15138093.41,6918351.82,24875579.66,18233172.44,11666513.67,5216978.62,16793395.83,11938962.73,7743020.37,3024426.17,14914964.76,11625429.37,7781532.25,3603577.92,16535056.13,12039055.84,8068300.39,3563849.80,8864996.14,5651153.25,3696161.08,2086453.16,8969942.36,6513281.39,4369667.29,2724433.28,9454516.02,5955252.45,3588537.26,0.0
