,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4703671877.04,3096130301.24,1952992825.01,891564459.58,4776782277.11,3329034266.35,2193005121.56,1081772941.43,4603936907.88,3045315153.69,1780563140.94,776911783.83,4483129952.46,3005160426.33,1983197097.36,966838222.90,4539127699.48,3140676821.69,2085438352.13,1126519090.35,4616566592.12,3198158671.09,1939836628.00,949938433.67,3859839278.37,2531854861.96,1590762914.67,816904104.22,3292627934.25,2293299798.65,1404310388.69,600626032.50,2889847785.94,2057599279.22,1330471710.86,616615610.43,2329948003.67,1515294827.11,827716305.98,361504335.29,1685158528.71,1091569507.71,686844344.13,302254772.06,1396684928.70,1002924517.93,661304084.86,276757431.66,1050008041.57,699715685.52,433167862.78,152953165.81,802979639.76,518889089.66,306511101.78,707104451.92,653416439.49,0.0
2,营业收入,4703671877.04,3096130301.24,1952992825.01,891564459.58,4776782277.11,3329034266.35,2193005121.56,1081772941.43,4603936907.88,3045315153.69,1780563140.94,776911783.83,4483129952.46,3005160426.33,1983197097.36,966838222.90,4539127699.48,3140676821.69,2085438352.13,1126519090.35,4616566592.12,3198158671.09,1939836628.00,949938433.67,3859839278.37,2531854861.96,1590762914.67,816904104.22,3292627934.25,2293299798.65,1404310388.69,600626032.50,2889847785.94,2057599279.22,1330471710.86,616615610.43,2329948003.67,1504189496.39,827716305.98,361504335.29,1685158528.71,1091569507.71,686844344.13,302254772.06,1396684928.70,1002924517.93,661304084.86,276757431.66,1050008041.57,699715685.52,433167862.78,152828992.22,802979639.76,518889089.66,306511101.78,707104451.92,653416439.49,0.0
3,二、营业总成本,4613077852.66,3053562903.13,1954246868.94,925331436.73,4926856934.25,3464748256.68,2248599907.74,1099072490.12,4677735186.51,3142348655.32,1857530926.52,814419528.01,4546513749.71,3040398460.07,2015606738.14,987146649.17,5122047257.30,3452982896.19,2272044115.01,1220950903.55,4982175872.52,3452112200.86,2103061797.01,996364382.19,4386215979.67,2826434407.67,1764959524.23,889916397.35,3492206537.83,2401037503.60,1478964575.95,637628664.30,2799897683.29,1985392568.80,1272292916.90,588433370.90,2230272153.45,1466526263.84,797960412.20,357301033.70,1635629932.57,1053432654.06,657766971.17,296086727.21,1348860906.78,970495355.87,637541937.62,273731048.81,997550010.10,672050152.16,413466246.17,150748531.38,756634977.64,503167353.32,295904540.24,669155825.70,615957201.60,0.0
4,营业成本,4127215719.35,2730102963.70,1731149421.56,814310470.71,4301991109.16,2969809770.04,1927118130.06,943884541.27,4032531351.59,2676367064.96,1550345266.27,669957804.41,3858809749.32,2579569138.42,1707570309.18,818202230.72,4237332946.56,2892555053.05,1897841148.94,1038694868.74,4199096138.27,2909820669.07,1748731521.55,849741007.54,3574349895.37,2317623589.71,1440419957.99,741207353.44,2949342226.36,2054649568.89,1259187019.98,533335980.40,2379875018.54,1684682556.71,1075046627.15,496793470.95,1951757518.72,1299719211.95,700299307.03,308037539.61,1450036192.95,933152045.44,585191329.54,263606846.52,1181226752.02,866999288.75,567360901.13,240153421.07,876111033.34,582151291.76,354975214.17,126491907.81,659812920.09,436004745.08,250731977.81,582623238.68,526556310.24,0.0
5,营业税金及附加,34349109.96,23981103.50,15946135.34,8929532.87,37748788.15,26878102.65,18907180.42,9033008.98,32711388.22,24000615.62,15791354.11,7804620.83,46876308.11,31344187.93,25627374.35,19553718.90,88306122.34,56895996.13,36562129.45,21185738.19,91669247.39,63628887.94,38679420.31,19692972.81,86441524.68,57934770.67,37777509.05,20257843.27,82718144.24,57541346.22,36908137.47,14692304.46,62677338.86,41387537.00,26326272.74,11948141.61,51561410.41,30820189.54,14270289.08,7057484.94,38302650.37,21259839.13,13369887.76,5805833.26,32111366.40,19066183.34,14088541.19,6327116.06,25080194.70,14018611.00,9783730.91,2590827.13,20332937.86,12601970.45,7769027.17,18274874.73,17753373.54,0.0
6,销售费用,93389775.68,64943895.78,41652271.53,23529003.90,119461716.30,109987112.98,75086664.57,35798406.15,144351165.57,104456856.90,72788327.21,38062871.16,143751567.52,102787439.38,66039884.16,35022333.59,186467237.07,137045561.39,88559131.51,44058564.58,187026540.92,126741732.31,79724202.16,33089590.78,157023205.73,112692033.99,73655231.34,35610086.77,134980293.42,81792033.98,52649507.48,26184472.28,125677885.95,92802293.64,64715353.82,28218718.75,66564881.71,43743453.98,25585820.14,12195521.52,46421741.34,33607276.15,22640521.54,10389131.31,49429315.51,33502385.16,20329266.60,9391434.04,39389601.73,29224694.19,18203751.64,8985572.45,32408513.23,21487879.06,13430399.92,26898705.80,25863083.89,0.0
7,管理费用,167794159.03,120968790.03,82563936.41,46148394.88,244668839.05,186636870.40,142549922.56,70142356.64,286373838.98,210039561.25,134170193.61,62836259.10,287072753.29,199323327.65,132640903.74,71602813.02,242625466.19,173117467.39,104923239.93,54143960.00,238810018.46,167272038.95,109643658.15,51056347.99,248326491.38,163277074.28,105758590.43,50670996.61,183080114.13,128784428.17,86873282.25,45387261.88,148735700.79,112699486.92,75555273.39,41816910.03,122995505.96,76566781.63,50670164.96,27548905.51,89503983.23,59966459.82,34611843.81,19192218.75,62876272.27,37858538.32,25878520.20,16442375.62,41165242.03,38875611.35,24653707.41,11107131.96,39203918.24,28437103.83,20030113.78,33211649.04,38939415.01,0.0
8,财务费用,67690426.38,45607250.17,33361991.57,17677883.29,127862244.40,98325425.07,73596962.93,40245027.17,163842605.69,125332242.85,82853665.12,38981127.17,154173182.45,116907018.55,76469068.92,38050572.68,202295203.83,148104421.71,101462731.24,49816806.47,220066577.01,154923684.45,100523150.25,44003929.24,191828579.06,132929458.59,86214351.67,39866846.68,109771494.88,68730813.63,39126547.63,17654562.83,64177581.92,46124407.10,25681129.32,11181103.96,30555331.23,16291975.29,8634074.63,3440327.51,15203825.67,12490432.69,7657173.09,3596570.37,14223795.13,10630305.58,6965712.88,1416702.02,10332246.63,7779943.86,6059527.86,1492739.09,6291461.18,4635654.90,4346727.67,6991228.18,5215374.59,0.0
9,研发费用,122638662.26,67958899.95,49573112.53,17429611.48,84147051.28,60138158.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
