,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,741402631.26,390644704.31,261726545.26,104485780.72,619556202.78,455477822.79,307180652.21,111482325.48,801262687.52,544816224.88,378352935.18,142814856.38,571448231.37,326645577.11,203731470.82,109095510.09,514471244.30,377043226.29,203515328.95,83343733.60,660404253.78,317279573.87,184351852.83,67033533.56,426617655.04,229369220.20,169878654.20,95142400.97,307739216.03,177600895.25,105611043.05,35648461.76,127160740.58,69815698.10,44806227.33,16338684.32,86299533.43,69761125.30,42639927.89,28204177.05,127938442.74,94883669.03,54998974.97,16703913.27,112725774.60,95707861.65,68267960.04,26714654.08,123026991.23,97844489.75,71131820.73,31979940.63,112203687.13,90721259.87,81028920.26,75876086.43,0.0
2,营业收入,741402631.26,390644704.31,261726545.26,104485780.72,619556202.78,455477822.79,307180652.21,111482325.48,801262687.52,544816224.88,378352935.18,142814856.38,571448231.37,326645577.11,203731470.82,109095510.09,514471244.30,313042042.57,173036463.14,65944677.37,660404253.78,317279573.87,184351852.83,67033533.56,426617655.04,229369220.20,169878654.20,95142400.97,307739216.03,177600895.25,105611043.05,35648461.76,127160740.58,69815698.10,44806227.33,16338684.32,86299533.43,69761125.30,42639927.89,28204177.05,127938442.74,94883669.03,54998974.97,16703913.27,112725774.60,95707861.65,68267960.04,26714654.08,123026991.23,97844489.75,71131820.73,31979940.63,112203687.13,90721259.87,81028920.26,75876086.43,0.0
3,二、营业总成本,641101384.80,334126696.64,225912649.58,91428048.01,546008685.11,382257448.70,239733771.60,89541570.14,696528116.89,450136764.94,303800283.56,128283766.93,500628774.61,287164155.59,177178205.39,91657088.44,441027268.48,317775302.45,196379397.04,79255935.64,628531176.18,302591208.33,176667127.70,66347597.28,417081079.97,238562969.39,167007800.86,93284910.29,381701336.39,215304683.69,125450495.03,48634488.29,184847736.08,104428375.61,69426412.78,23866460.38,112084921.92,81996532.84,52142495.01,27513544.56,122621130.29,85636490.28,50045563.85,18068942.45,108807532.50,84899462.19,58310726.48,24658018.28,108652242.76,77945432.00,54816898.83,27102500.39,89009286.44,71540869.05,70343195.00,61667919.67,0.0
4,营业成本,517708123.71,256163466.13,173118245.43,67168733.99,416073765.66,299763269.66,190248955.12,69645373.90,587575414.10,379274827.69,256633417.88,106791585.50,425491063.78,245119060.17,151255506.15,77349925.73,355831744.12,206337341.03,137610936.58,50468480.83,526510115.58,239770904.76,137268063.66,50995414.93,318295957.51,176280983.74,126635285.96,75091629.37,278129381.32,157963231.70,90225321.44,31254352.17,96295017.54,54518778.75,34965941.93,12594521.56,65856964.14,50017853.28,31895320.27,20351216.41,89826758.73,64220104.81,36405291.92,11178725.69,78988009.88,64403144.76,44558799.81,17909454.35,79409070.34,58500395.17,43185028.29,21405657.02,67093847.40,56017538.40,51915665.46,50483132.89,0.0
5,营业税金及附加,2487884.00,1018179.44,968864.59,38187.16,2888940.20,1591717.06,1644564.08,136712.38,2514090.28,1213258.04,1382193.64,331807.13,-5089270.44,-7041107.40,-7415249.58,441222.56,10541205.13,5370315.86,858240.79,-1274445.80,9359241.69,1628967.40,-35295.32,157799.80,7262499.51,3926670.21,2619010.07,1817798.35,1088082.93,1836237.19,1218297.00,422498.01,450019.56,5198.43,3551.69,2017.04,84385.01,47901.27,4054.38,2173.29,302418.26,298199.37,44432.03,1382.59,967244.63,919859.83,598485.95,316800.27,669430.53,689601.48,518579.49,338435.57,941794.03,749583.61,413145.08,225579.92,0.0
6,销售费用,36621831.76,23497870.03,15453519.99,6864750.16,37174104.19,23653277.36,14880157.87,7032895.29,28114201.12,18152785.30,10807649.11,4444084.16,18551970.01,12482072.12,8435850.14,3287095.20,13358908.36,9165475.46,5886085.83,2568788.10,14535493.75,10167304.63,6502218.42,2105543.99,12277473.09,9240370.04,6252818.19,2700620.03,11042613.49,7660699.45,4950496.29,2576267.79,9927999.31,7089884.18,4847856.34,1418581.63,6043047.17,3900188.97,2594558.92,1169583.22,5048357.75,3299190.44,1981722.76,1292811.23,8147569.60,7140914.80,4889471.48,2355708.42,8735295.68,6590013.21,3539380.04,2114096.82,6338399.94,4713161.60,2913060.89,3414268.36,0.0
7,管理费用,62456423.54,40295037.21,24804354.33,10433061.26,64140215.80,36420458.86,26735972.58,10168012.03,59580369.74,35465829.66,23794917.13,11368529.09,49682635.49,30049420.25,19526625.72,8405145.52,45383499.03,27844531.86,16703475.52,7896141.56,43442362.87,27686089.44,18303714.74,7096448.06,37238652.88,22118522.85,13915598.90,5629164.91,38603946.02,22603920.76,14947187.82,8049829.91,39130540.45,23765752.13,15145694.29,7707503.28,30611206.58,22410221.69,14054341.59,4292513.17,21062499.97,14937434.26,10371601.61,5129749.42,17499654.91,10661230.67,7132318.27,3822320.21,13295973.45,8638380.08,5444782.73,2702290.35,11412541.92,8432272.51,10899520.52,5756086.44,0.0
8,财务费用,7145077.50,5333588.52,6025154.37,4947642.70,11827341.58,9994417.26,6110937.86,2645970.84,18164933.13,16138432.98,10688157.80,5408569.70,9286773.71,5926914.10,4738889.00,2173764.43,2765168.58,2123367.43,1908705.42,2197914.72,29187559.93,23435927.59,14726411.69,5992390.50,40437893.45,27007216.27,17595881.46,8045947.63,43611699.40,24337017.45,13205615.34,6331540.41,35264594.33,17515541.53,12930147.94,2143836.87,8720707.96,5620367.63,3594219.85,1698058.47,4666778.16,2742803.72,1242515.53,466273.52,4735027.71,1774312.13,1131650.97,253735.03,3897377.98,3179748.75,1781834.97,542020.63,2937433.85,1628312.93,3154505.03,1439505.94,0.0
