,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,395399280.72,247049057.20,70281545.49,423523148.45,297389613.63,153805918.76,53043428.08,301518066.32,228992463.17,150711448.17,48702600.98,339408204.42,264965246.65,191635913.84,67433649.80,323070811.69,230220379.02,150569575.38,52753627.09,362227582.80,250458620.57,133268202.97,37787948.41,261451264.56,182770665.43,115386069.23,24297941.43,272194160.65,175314138.53,94780413.72,22642118.67,230794949.23,161596887.90,87819538.41,17915532.59,258435118.85,174151116.74,92150237.08,34875714.52,214222829.21,139099353.65,76140084.88,20136963.39,215059199.42,166226259.64,100191517.71,37430276.35,181596834.77,131853126.12,71607962.78,30577443.77,152348687.31,106908506.68,64353833.14,0.0
2,营业收入,395399280.72,247049057.20,70281545.49,423523148.45,297389613.63,153805918.76,53043428.08,301518066.32,228992463.17,150711448.17,48702600.98,339408204.42,264965246.65,191635913.84,67433649.80,323070811.69,230220379.02,150569575.38,52753627.09,362227582.80,250458620.57,133268202.97,37787948.41,261451264.56,182770665.43,115386069.23,24297941.43,272194160.65,175314138.53,94780413.72,22642118.67,230794949.23,161596887.90,87819538.41,17915532.59,258435118.85,174151116.74,92150237.08,34875714.52,214222829.21,139099353.65,76140084.88,20136963.39,215059199.42,166226259.64,100191517.71,37430276.35,181596834.77,131853126.12,71607962.78,30577443.77,152348687.31,106908506.68,64353833.14,0.0
3,二、营业总成本,305486620.63,192884985.20,69688247.09,398785356.55,284193773.83,143226379.41,58363864.45,308085369.76,228249767.60,150221930.90,55042898.52,367691092.43,262086040.03,190135557.52,77467719.68,327731627.02,227585254.24,148024441.83,59827476.61,338612510.34,234831817.47,128866163.58,43618551.02,247847204.99,176423295.67,114185545.44,34136638.97,256791736.26,164820026.00,93326147.99,34403830.23,207698630.48,146475868.54,84794828.67,24868712.35,214181238.55,140825483.58,79379109.82,32910598.32,172192909.90,111071203.74,65394449.03,19259084.73,182869028.91,137259219.58,89387413.80,36977039.54,157743657.00,111624375.82,63152007.89,27443770.93,129527299.13,92566505.77,46800826.49,0.0
4,营业成本,156919172.32,96877668.86,29787125.33,210993110.38,154697187.84,65711259.20,25737765.98,140260541.30,107433766.47,71976697.14,20351765.42,173279594.30,141008606.43,107803699.16,44591863.04,158181776.51,124274584.32,79532354.06,29523928.30,194658674.74,142973116.30,74601731.79,23226174.85,121024066.45,92860014.37,56902746.34,11387163.09,135683400.96,93099251.28,47299925.98,11309574.29,108138581.46,80715398.98,45643522.24,9047056.16,133122335.06,90086992.41,48472309.04,20484471.10,108257352.18,68036724.65,39285706.43,10397890.92,118150488.32,91390914.19,57957085.70,23729781.22,102209082.92,74280953.47,39994241.36,17798362.01,88491501.62,59458242.83,25727607.86,0.0
5,营业税金及附加,1612976.36,335049.27,138237.39,3612011.88,3155542.71,1735793.39,358883.30,3149812.49,2301149.07,1795332.80,415400.24,2999315.52,1911823.49,1349497.68,307121.95,3716154.61,2513909.69,1929945.78,615635.97,4089888.21,2997759.93,1484395.35,468221.60,3084540.10,2473890.43,1865286.80,578167.99,2507607.30,1554177.98,917503.24,414170.59,2099527.25,1101389.51,551257.61,255626.19,2204255.25,1160776.48,506442.70,243892.61,1630211.59,1146574.30,552000.52,256874.36,1477883.29,1098888.91,574285.36,245634.90,1140655.68,827614.91,454043.84,274271.68,1578942.76,685277.33,616030.26,0.0
6,销售费用,35047543.96,20298974.25,7448717.89,42301028.03,27136997.08,16328230.35,9657017.72,43437739.88,25705124.83,16522620.96,8516822.41,41490503.23,25132080.01,17162603.28,9549760.88,33926607.75,19716086.19,13470103.32,9101428.62,28846030.32,18856803.60,11747049.49,5348794.66,36143138.18,17670502.65,14344200.74,5252039.38,25049361.12,15185403.05,9672341.45,3900887.76,24750230.00,14619834.27,8701962.62,3469390.15,18277384.27,12172484.94,7624851.81,3430378.03,17893567.21,13743232.85,9334881.65,5060898.52,16839899.33,12891119.10,9115227.95,3141654.07,15603926.54,10970013.55,7425254.99,3106811.57,13560863.59,10833887.01,9168347.30,0.0
7,管理费用,49785582.99,32378409.42,13427145.41,50961870.74,41053553.06,48815314.01,22634180.36,94051180.83,69350785.92,48060635.87,22281639.73,125308729.64,84051346.36,51643651.40,22052658.63,104937510.31,70124688.73,46069031.17,19359825.26,82570456.46,58344436.58,35972300.16,15232411.87,67567857.55,51534299.28,34352255.83,18181905.04,67310802.36,43626632.07,28038389.34,14750004.12,58541431.31,39983624.17,25076073.17,11767523.34,47649409.48,33828542.94,21675731.30,10445670.05,38209704.64,26832731.71,18054199.31,8522342.36,35248822.89,24689526.62,16794463.41,7919639.70,32404105.90,22445142.53,14499353.71,6577262.78,17534558.07,14463067.35,7147575.56,0.0
8,财务费用,9607669.59,6757784.00,1588651.11,13970212.75,12099035.55,4733646.44,2525119.75,10425881.43,6374101.82,3613585.21,1652439.80,12126929.21,10738968.15,8249230.69,4850515.60,13262308.88,6373773.59,4115069.44,3006856.45,11608525.45,4052527.82,3692612.60,3532313.44,16050443.78,11710627.34,7692249.79,2434188.96,13968808.61,10324711.46,8088145.79,4992976.66,7118720.58,8710919.76,5786931.95,2632168.05,3994395.47,1910640.59,320752.72,-590196.53,3192613.80,-468035.80,-2288069.23,-3890397.72,3835681.85,4528319.78,3810913.80,1600798.18,6240023.80,4086001.71,1870166.37,1033669.29,5033795.56,5359234.77,3048796.31,0.0
9,研发费用,52513675.41,36237099.40,16922114.62,62920437.64,32563674.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,376255.34,14026685.13,13487782.77,5902136.02,-2549102.66,16760213.83,17084839.49,8253058.92,1824830.92,12486020.53,-756784.41,3926875.31,-3884200.42,13707268.96,4582211.72,2907938.06,-1780197.99,16838935.16,7607173.24,1368074.19,-4189365.40,3977158.93,173961.60,-971194.06,-3696825.49,12271755.91,1029850.16,-690157.81,-963783.19,7050139.88,1344701.85,-964918.92,-2303051.54,8933459.02,1666046.22,779022.25,-1103616.94,3009460.48,1779976.03,455730.35,-1088523.71,7316253.23,2660450.98,1135437.58,339531.47,145862.16,-985350.35,-1091052.38,-1346606.40,3327637.53,1766796.48,1092469.20,0.0
11,公允价值变动收益,0,0,0,-239342.47,0,0,0,239342.47,0,0,0,-11342.47,-11342.47,-11342.47,-11342.47,-1513589.04,-1524931.51,-1524931.51,542465.75,1524931.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
