,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,21097732292.70,15998582862.74,10889633584.07,24159801994.68,20965660630.72,14542579775.61,9537587047.10,19917942238.16,16878326032.28,11530491074.18,7588577705.68,17183109620.08,14667079390.71,10193599291.72,6843010210.81,16052444099.28,13661026388.95,9571451211.53,6259682602.64,14672214730.18,12305346980.52,8653096950.30,5669736627.54,15023624944.56,13053173028.81,9410318067.08,6322817289.74,17270481272.53,13996989330.97,9309772422.09,5961705523.68,12740921687.60,9697320356.40,6171743874.03,3633800730.28,7619092696.22,5554300159.79,3487100334.32,1933433793.76,4002048450.63,2892240127.88,1804563004.45,1102269472.93,2682203715.00,2048392867.90,1762014975.70,1071430299.35,0.0
2,营业收入,21097732292.70,15998582862.74,10889633584.07,24159801994.68,20965660630.72,14542579775.61,9537587047.10,19917942238.16,16878326032.28,11530491074.18,7588577705.68,17183109620.08,14667079390.71,10193599291.72,6843010210.81,16052444099.28,13661026388.95,9571451211.53,6259682602.64,14672214730.18,12305346980.52,8653096950.30,5669736627.54,15023624944.56,13053173028.81,9410318067.08,6322817289.74,17270481272.53,13996989330.97,9309772422.09,5961705523.68,12740921687.60,9697320356.40,6171743874.03,3633800730.28,7619092696.22,5554300159.79,3487100334.32,1933433793.76,4002048450.63,2892240127.88,1804563004.45,1102269472.93,2682203715.00,2048392867.90,1762014975.70,1071430299.35,0.0
3,二、营业总成本,12402627835.37,9078392941.30,5797617269.93,14352364432.50,12299405912.70,8297255361.71,5048144564.79,11741569054.09,9817055229.63,6575865045.69,4041757171.24,10003035000.07,8505632899.14,5795578336.82,3643576437.96,9490295982.52,7843196571.98,5415141859.45,3306351281.23,8715727654.27,6971554758.15,4859002872.67,3000969816.03,8369436135.99,7085982600.91,5041429782.74,3213222026.73,9216399004.83,7699199766.21,5162650172.13,3032872053.30,7228316979.54,5655841725.15,3592392880.62,1911260025.19,4539223583.36,3449836704.04,2052011354.84,971484265.86,2337105956.94,1690601437.71,1029303529.31,621935854.79,1684038241.23,1285231537.52,1176178737.74,792027810.61,0.0
4,营业成本,5976944225.03,4648107110.28,3017455466.07,6353242198.27,5653402852.96,4144543172.78,2404885243.10,6681148562.16,6371076317.86,4623801493.88,2941911478.63,6202978828.59,5735804449.80,4009582190.79,2695932516.53,6115069097.67,5330693261.55,3762356327.94,2502938317.26,5777412894.21,4780680539.96,3407825525.97,2285892093.93,5945715709.35,5060171546.00,3676170197.57,2480071114.24,6294198672.67,5362408567.20,3565644194.13,2268096763.39,5329366249.67,4243870858.54,2646977151.57,1488205484.82,3328594724.65,2486297155.07,1474286329.62,771553443.76,1662247601.28,1321088352.45,791357602.74,510835231.16,1278070327.74,996440380.57,907809836.18,563783109.27,0.0
5,营业税金及附加,2810576008.02,2135020912.06,1551684225.68,3769929974.08,3371234585.87,2118329322.46,1545971948.01,1151869831.30,557558898.83,223477296.55,146365847.37,309567399.64,234477497.29,162047048.76,116281807.27,229394196.11,209895890.25,147865321.60,105768103.95,190351431.49,170909870.32,111746738.23,84225286.92,187286764.95,168927868.75,124954795.28,95368804.19,241145252.06,211949283.69,153197788.87,110973224.54,179166033.71,153600718.29,92742323.69,54177037.42,87331062.62,65500015.95,35841173.98,21653777.68,41855343.65,30938622.04,21251992.15,13309014.16,26599811.09,21732539.12,16223457.61,12867039.89,0.0
6,销售费用,2270244070.73,1370383592.98,697211738.23,2561401628.22,1982390789.18,1173283871.19,602024945.00,2387447107.05,1605461834.93,956290842.81,506874763.47,1869001821.53,1330198551.51,834496994.51,439268461.73,1882406796.81,1266410064.13,829625855.69,383676382.59,1679836848.12,1178737803.99,791721429.95,356644134.68,1387705065.64,1222197916.29,805624430.53,424133141.61,1774903604.85,1424196421.20,993502306.52,457004563.63,1209425993.53,844730263.96,583856963.39,228639250.64,736996355.32,617878841.20,373069561.04,120573527.72,405179923.46,188877321.56,136525207.43,56960326.35,226590907.89,161012719.59,138369838.58,120959295.20,0.0
7,管理费用,1364642531.46,943543874.79,534182547.07,1704265102.61,1303560226.02,879927101.13,471919433.86,1532148106.93,1299488069.32,799994253.11,458519929.57,1582435251.45,1209259128.70,818347509.16,420191874.14,1447878278.72,1084789772.11,699310538.66,345671905.21,1267056865.29,997616631.75,661741154.04,341738108.44,1037405567.90,746339694.56,498391058.22,263428676.83,1020217375.22,770700532.25,494908878.68,230967029.05,660981057.29,481812387.28,291176762.43,148002404.24,441167599.15,306440546.39,190543824.46,62238783.89,245981991.56,159181465.30,86099648.17,43616740.00,169726508.33,113849286.46,112967512.48,88431223.31,0.0
8,财务费用,-49378572.04,-39448244.58,-17161315.41,-65138636.76,-35607490.66,-22259642.06,19849905.67,-33912331.47,-34014641.21,-34091176.13,-19138230.58,-8947212.14,-25445046.18,-28737363.73,-28723228.75,-196359141.05,-52202946.21,-26817544.03,-32200792.40,-236686300.28,-159748683.79,-117911465.68,-68187144.49,-196472477.19,-112318239.90,-68179398.14,-52664744.92,-120712322.16,-75890811.54,-50218001.37,-37306277.08,-156539345.55,-70188073.79,-25022774.26,-10391462.67,-51764454.65,-22995597.14,-18299585.21,-4042375.85,-20653462.70,-11119706.40,-6850258.16,-3121688.78,-16955747.06,-8579308.70,321927.76,5501524.10,0.0
