,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1558880243.71,1065916338.97,491628464.22,2255223360.52,1716476586.54,1185660191.99,549176232.44,2274927575.85,1653660159.93,1125596884.57,551960407.80,2231814605.17,1463300866.89,1018281049.64,487474745.06,1690402790.41,1189696299.47,813019667.16,401130475.97,1322290056.21,964543428.58,638046776.51,293867141.06,1283188645.34,914262232.79,598804246.16,249378535.83,1020684449.94,741436118.24,500556772.27,243461904.24,1001742663.66,740559329.08,490228389.65,221059884.24,867622633.54,611895142.73,419745242.20,189262302.29,608405970.11,534311449.21,0.0
2,营业收入,1558880243.71,1065916338.97,491628464.22,2255223360.52,1716476586.54,1185660191.99,549176232.44,2274927575.85,1653660159.93,1125596884.57,551960407.80,2231814605.17,1463300866.89,1018281049.64,487474745.06,1690402790.41,1189696299.47,813019667.16,401130475.97,1322290056.21,964543428.58,638046776.51,293867141.06,1283188645.34,914262232.79,598804246.16,249378535.83,1020684449.94,741436118.24,500556772.27,243461904.24,1001742663.66,740559329.08,490228389.65,221059884.24,867622633.54,611895142.73,419745242.20,189262302.29,608405970.11,534311449.21,0.0
3,二、营业总成本,1530427738.22,1042562015.86,483371163.09,2254636832.45,1596409013.17,1088352304.85,507986734.47,2080224971.60,1509551722.92,1025489269.70,506501154.16,2055343784.59,1364387986.11,946653289.74,458869888.07,1584158615.25,1121091947.87,752363620.84,382867045.37,1234286222.53,906307007.47,596274454.97,280467772.62,1245666492.74,896236583.82,584929347.55,241191535.65,1003060333.77,728871221.92,489973110.36,236118024.08,952999859.57,684507847.20,438642430.77,195238854.93,771330959.53,539812910.49,371445727.81,165679811.62,540633987.24,483462452.62,0.0
4,营业成本,1225083210.41,835110707.93,385041697.80,1719782665.47,1283103343.09,877196269.22,401881582.96,1660598233.80,1195634238.20,817076591.35,405167868.30,1695848738.71,1109239677.74,775780115.03,381088422.77,1308711622.93,921390355.48,620539025.48,317646731.06,987469986.71,732428107.06,482627972.05,227188776.49,979284763.13,716146809.48,465879097.05,193261754.73,773284084.87,569185199.70,385201075.35,184045469.55,733019647.23,539324679.13,348802292.70,155922556.41,596834277.70,418099644.66,289881145.70,129412808.80,409428416.82,365612807.52,0.0
5,营业税金及附加,9762359.48,7396625.40,3419885.83,15877936.58,13194354.29,8866931.39,4257914.98,16930139.16,13411754.18,8714001.54,4789692.89,15298906.26,5501413.46,4133319.14,1295339.69,6386225.24,3984118.63,1771956.64,473377.55,5009542.48,2946547.70,1373256.90,289087.65,4903822.36,2557303.73,1353210.84,513525.11,4845511.97,3316599.76,2241967.13,1294419.33,3336321.46,2327588.18,1126977.92,227849.62,3826394.54,2482285.31,1675236.34,639186.44,3103601.73,2109128.97,0.0
6,销售费用,111544274.37,76372090.02,30709648.54,154942962.87,113498986.39,72963350.48,35775872.55,148308893.85,128338380.14,84840745.59,42103989.45,146904918.45,105566245.79,71586988.77,32307598.56,99976291.91,70154469.82,46401906.46,23784939.47,88136931.79,59340447.34,38676806.86,16243465.02,101998601.18,73565530.81,50134910.32,14633566.34,76495091.68,56078373.54,34310854.96,15865932.71,78693186.24,43113815.37,26156880.76,10639955.33,68247190.84,45635254.60,29527586.66,13860750.67,52310798.67,44600903.57,0.0
7,管理费用,90501159.53,59971121.31,28571690.31,127246728.29,97954457.07,110150011.31,50535105.04,199974544.98,153036799.68,101898489.53,46921961.90,176021982.25,133297179.76,83991251.15,36998000.33,142397859.01,107967299.34,69734043.88,29623696.61,126849312.85,91424146.87,58948881.63,27734431.56,117253901.63,79274065.59,49326474.23,22723193.44,115600749.41,80723059.67,53331308.52,24135549.36,100816455.84,72555235.61,44256880.97,19643901.61,83225485.59,56118809.62,35013036.17,14496668.01,60717320.67,49668333.36,0.0
8,财务费用,12634213.27,10948357.22,5889753.55,14906447.98,13592874.04,9772897.34,9415608.32,16270453.80,12433679.97,7223459.45,106832.96,4505403.28,3666117.50,4091439.51,939231.13,14567793.45,12032319.83,9257157.10,4491548.07,22054826.85,15805652.45,9928815.58,4687445.12,25127193.43,18515109.92,12575571.58,5621357.02,26725837.08,20444586.49,13964640.74,6640037.77,27484562.67,21141122.46,12994261.18,6159569.76,14480031.02,11003178.21,6138353.55,2946649.19,12325515.41,19247860.91,0.0
9,研发费用,80902521.16,52763113.98,23952270.76,88123962.89,69736830.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
