,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,352373918.99,220688497.16,103823519.94,575028137.35,491906880.02,311360221.33,46477734.12,1332403042.23,1167429399.53,793221081.30,36990698.02,894964591.87,639640882.35,388691336.42,138864815.94,1133777605.94,542897156.73,430150860.96,187863011.94,1116015058.57,628206254.51,347860296.29,8852414.04,975650646.27,688777980.59,421708878.02,69204782.01,1193145887.89,680707416.56,392214417.03,691871.04,752056209.74,370547487.91,286538443.47,88868998.19,576196299.80,316369094.47,164667822.66,0.0
2,营业收入,352373918.99,220688497.16,103823519.94,575028137.35,491906880.02,311360221.33,46477734.12,1332403042.23,1167429399.53,793221081.30,36990698.02,894964591.87,639640882.35,388691336.42,138864815.94,1133777605.94,542897156.73,430150860.96,187863011.94,1116015058.57,628206254.51,347860296.29,8852414.04,975650646.27,688777980.59,421708878.02,69204782.01,1193145887.89,680707416.56,392214417.03,691871.04,752056209.74,370547487.91,286538443.47,88868998.19,576196299.80,316369094.47,164667822.66,0.0
3,二、营业总成本,344606804.59,228568042.54,81705883.07,1359736203.30,530427083.38,305043573.98,65537358.33,1223803773.22,1038254053.18,690985890.29,76929294.29,744448558.99,566706930.60,337955241.75,133555690.48,972727987.38,470392236.14,344317946.34,184696723.47,927431819.16,543264651.80,293347286.60,37132281.70,805407206.24,566462216.48,332911779.53,65529883.22,998258432.23,582234309.50,330854898.73,14205507.37,620016196.84,319205211.35,243324947.35,79783489.22,467935806.65,244800392.19,146665484.14,0.0
4,营业成本,246232486.36,154882452.69,53106774.64,497652955.30,357993137.11,222964839.70,41412312.66,1008621489.62,870236946.05,594105993.73,26073974.74,632651157.79,456751774.71,262276270.62,86650963.68,693176265.36,317197914.42,244807374.10,117712910.32,741814682.88,413827508.94,223020872.65,3912721.27,654511332.73,457009073.91,295935364.14,52393411.99,856519365.71,512753515.38,285877393.78,462492.46,514724723.04,251543502.02,198867134.10,69680317.67,399805568.61,217236455.09,132498757.08,0.0
5,营业税金及附加,3663422.16,3367762.47,429113.56,21165254.08,16037462.18,11623006.61,3555528.58,14357174.92,11159797.33,8814064.29,1596048.92,12644791.49,4757621.03,2966618.30,727057.63,13968348.70,9789671.19,9582360.31,2357584.35,11287159.68,5827697.69,3256727.84,739205.73,7485360.77,4479017.88,3654335.87,125834.12,9862140.77,5083868.21,3190349.17,74035.36,3027267.13,1346081.88,443850.62,17819.76,908172.29,1651436.50,993511.98,0.0
6,销售费用,10186595.57,6453863.66,4509912.84,34528138.99,13937057.94,5071806.23,2197568.01,13892212.60,10831269.85,5538309.72,2799345.79,18827768.85,18092170.74,11108174.56,5375381.27,25632164.63,21819054.00,14491326.16,13349063.70,34737737.79,23091667.62,16895482.71,8563023.43,24823617.25,38511622.52,14294144.66,10525450.22,26692443.38,20805337.59,13961658.42,5552070.79,23645022.84,17060419.29,10218941.77,2877060.35,9954725.60,5835854.11,3318789.22,0.0
7,管理费用,70060746.07,52344320.75,26282723.59,148484926.91,93221544.37,75787113.55,40055213.37,152570317.76,106832626.15,71290805.13,36123436.76,127911457.94,97603817.25,64063255.42,26811502.43,117109102.04,92567667.47,52418626.89,27611619.96,91393199.40,69336812.14,46336707.79,27635011.89,83006377.22,51327821.02,29881938.83,15785477.66,81626460.26,37293515.99,22991775.20,13514181.17,53044272.71,41549372.76,33443383.07,8076593.73,51638402.82,17288796.67,8843378.39,0.0
8,财务费用,-12168284.92,-8210260.37,2073024.35,-34811995.40,-35519296.82,-12257141.29,-9081235.56,2473448.75,14704527.55,3976887.05,2695699.96,16607826.87,13123604.06,9157722.32,5301430.84,49955468.58,33336030.44,25605174.16,13001335.91,-380709.07,-7774758.79,-7978294.36,-212230.26,-10398944.57,-6403781.19,-10830976.24,-9187914.43,-12840672.39,-7434658.36,-2991166.21,-1395484.92,4324206.86,2541298.22,-1419233.26,-16177.10,609103.48,-660296.02,-25414.34,0.0
