,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,61553777.81,47922586.71,19321395.71,200442563.57,156425929.69,128037133.03,83822803.64,136218205.28,87355357.52,61236822.67,13331269.44,172011698.67,147305014.25,106042105.72,53397979.66,203519355.65,143583232.85,97367381.11,38757674.42,264328555.49,187387130.64,140799076.01,54409669.11,331632832.14,234126317.06,157359946.97,78586602.31,360285422.22,227517805.04,144845761.37,58542454.51,290703318.33,182328901.28,122733262.80,43391097.46,239959848.85,152310722.22,114026024.52,48305134.16,212735528.01,130210826.11,92089861.97,39337734.38,175946810.75,159681885.35,0.0
2,营业收入,61553777.81,47922586.71,19321395.71,200442563.57,156425929.69,128037133.03,83822803.64,136218205.28,87355357.52,61236822.67,13331269.44,172011698.67,147305014.25,106042105.72,53397979.66,203519355.65,143583232.85,97367381.11,38757674.42,264328555.49,187387130.64,140799076.01,54409669.11,331632832.14,234126317.06,157359946.97,78586602.31,360285422.22,227517805.04,144845761.37,58542454.51,290703318.33,182328901.28,122733262.80,43391097.46,239959848.85,152310722.22,114026024.52,48305134.16,212735528.01,130210826.11,92089861.97,39337734.38,175946810.75,159681885.35,0.0
3,二、营业总成本,87375146.40,69361816.08,34422054.70,208974778.67,146420852.70,105888102.89,49570564.76,260164385.77,120032361.02,82063878.03,32460780.88,202809899.74,155223220.03,105427746.94,53591654.82,199079223.71,135749705.71,89562179.87,39766811.30,246214119.72,175883926.08,127187610.38,55768842.07,322899480.61,220666138.25,146885633.08,74433318.88,316841258.73,201297075.61,129104513.16,54065616.06,250335287.64,156377487.82,105208363.06,41933311.08,186093729.75,119904495.62,84230841.26,36470407.47,155123239.37,101411218.39,68634940.46,28490869.85,133387141.87,115531215.19,0.0
4,营业成本,41900302.29,32904115.19,12253278.44,107059114.68,82279839.19,60259413.70,24313636.71,93235777.35,56209320.86,38180000.49,10372627.72,122862954.08,101121912.21,70740266.57,33283326.44,126505478.18,88525502.76,57770934.66,22795142.61,158771983.72,111491393.48,82264502.89,30456308.53,201245871.57,142904432.39,95449947.62,51380721.12,229425996.33,143893632.99,91797342.79,36825235.07,177634188.58,102746011.93,69693033.73,24657093.28,117862008.34,71374080.98,54263584.75,21198521.72,99674069.49,64123673.09,45967848.16,19485446.56,77944243.53,75959291.26,0.0
5,营业税金及附加,1218881.37,1205084.05,880397.42,7920373.64,2569961.85,2304987.61,3325821.44,4584894.81,2735499.10,2620356.18,36156.13,3219831.96,983386.80,859554.56,660417.34,1507714.42,1071774.79,996693.13,122676.67,2620142.12,1326705.28,1024383.04,115235.23,3051241.14,1487494.51,1179001.56,425724.08,3552558.70,2318190.33,2113056.17,450377.73,2855749.34,1321383.23,791159.50,143013.33,2382725.47,1443115.06,1180656.12,476315.62,2292852.70,1269762.88,837404.62,269609.47,2580178.12,1708330.24,0.0
6,销售费用,16238982.85,12486190.73,5291144.38,25731137.78,19083978.35,14230375.51,6863326.55,26466688.42,18971258.40,12446969.37,6753363.69,28419830.72,21599116.25,14751480.46,8071852.96,29882459.15,21237479.64,14312555.06,7042043.00,37814500.43,27009254.77,19276201.39,11241182.10,51310469.15,35520075.78,24244708.57,9710982.79,42445835.00,26943781.55,16616797.47,8001697.99,32802624.73,22057677.14,14539177.35,7884134.70,29237684.82,20921518.70,12303462.69,5738011.86,20431887.16,15005909.04,8717960.28,4104856.80,19896151.40,7897884.74,0.0
7,管理费用,25338457.97,20372078.85,10584344.93,41021235.23,28997514.11,25678782.66,13281720.35,55218892.17,38984608.96,26901545.23,15296176.05,55000701.14,40244069.41,26593598.92,15062101.47,54168753.62,38436227.01,25436490.07,15359464.46,58322643.99,43764715.18,30204683.48,16538835.31,76051768.83,49511106.00,32351841.79,16817792.36,52052459.03,36292722.85,24374405.63,13011832.55,48562313.19,37372810.10,25113918.27,11131777.49,45335024.51,25902384.32,16318368.54,8395199.48,31517414.74,23050661.58,15409139.83,8506395.09,24844213.73,22520574.13,0.0
8,财务费用,-2166346.61,-1208344.76,-21986.29,-467389.30,-221537.05,-178067.49,-43081.62,-7522941.91,-7330880.55,-5800915.35,-3049341.62,-15407543.18,-12063422.18,-9259140.98,-4582490.59,-19885770.79,-15107475.80,-10372380.42,-5137438.40,-17285791.07,-12169544.32,-7677496.40,-3770352.75,-16996515.94,-13188380.40,-8963371.25,-4218944.91,-16675339.07,-12604848.72,-8107802.38,-3977683.70,-14877823.42,-10106348.29,-5541486.69,-2923304.14,-6253445.75,-38389.75,75732.08,420632.98,2297644.03,1349577.34,1029245.40,466421.07,3401194.98,2744696.35,0.0
