,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,96094048.81,806336621.48,580711837.59,367310817.15,154731613.30,708668453.57,518407016.26,329311959.61,139313169.37,642654508.83,465306859.30,296257191.62,122301525.84,553410302.84,403450280.39,247177961.55,116226303.36,417402157.37,272367399.48,149675185.91,70398634.60,421761049.86,317257352.55,204496215.42,85674599.12,476573779.14,370600467.35,229212142.07,99952004.65,350047118.11,256862894.70,161597452.64,71402742.00,236238936.54,173231080.00,120671051.92,60132145.80,178449108.80,105400933.78,65236997.78,28056001.20,102927337.42,92077170.53,0.0
2,营业收入,96094048.81,806336621.48,580711837.59,367310817.15,154731613.30,708668453.57,518407016.26,329311959.61,139313169.37,642654508.83,465306859.30,296257191.62,122301525.84,553410302.84,403450280.39,247177961.55,116226303.36,417402157.37,272367399.48,149675185.91,70398634.60,421761049.86,317257352.55,204496215.42,85674599.12,476573779.14,370600467.35,229212142.07,99952004.65,350047118.11,256862894.70,161597452.64,71402742.00,236238936.54,173231080.00,120671051.92,60132145.80,178449108.80,105400933.78,65236997.78,28056001.20,102927337.42,92077170.53,0.0
3,二、营业总成本,151496838.84,637452908.74,450404788.54,293132773.49,137985041.52,589502331.41,418069494.66,274368145.60,132022171.08,506219776.81,352597241.01,231995293.12,114958123.14,478540704.63,349491958.01,233429502.40,114033900.87,398556196.80,271192139.65,175897530.54,83031864.36,343817521.30,242185868.24,156783600.56,72608096.51,282389396.47,198144955.70,119863763.10,54243374.73,188619665.44,139389153.92,85573860.97,39535556.50,136281137.58,95631849.64,63140200.40,33345483.44,98929659.46,53259318.38,31293230.47,14501441.28,59704205.29,55381528.84,0.0
4,营业成本,96127157.47,400411062.95,284314418.96,185590932.38,88533416.80,358212098.01,260210694.75,171375792.10,84450226.44,309161145.80,216991031.24,141551399.56,69435496.39,279346454.05,205916347.78,139849083.86,69388166.77,216229275.43,145011659.47,93993484.33,45444224.45,203690362.47,144710233.40,94424101.88,45331658.80,162895088.91,113018357.85,66798635.18,31087485.95,103069512.88,70211969.28,41518192.42,15819037.63,66728847.04,44316205.99,29165627.73,15649415.79,49285362.62,25063942.12,15549086.80,7406505.78,31623337.75,28412164.40,0.0
5,营业税金及附加,-288613.98,10867146.85,8213770.85,5427128.06,2602663.48,9374480.41,6600078.27,4474800.90,2126953.50,8679941.39,6467683.60,4319140.29,2136550.03,9067862.90,149988.32,137727.72,60262.73,298929.41,182453.39,104260.41,40734.10,280724.55,176642.48,132474.97,65086.92,365017.11,299312.99,193096.82,26297.68,14156591.20,14130753.50,8889850.26,3928181.14,12995311.53,9527646.29,6635004.06,3303465.53,9731325.67,5747372.97,3556222.92,1529267.15,5643230.38,5110382.98,0.0
6,销售费用,1673245.81,6708339.00,4635938.96,2820483.99,1135772.65,5394314.37,3447574.00,2235605.94,1024183.51,6420485.76,4593989.34,3624117.21,2803870.01,4055284.10,2859791.07,1797329.10,1096438.13,4679807.31,2839359.19,1656874.70,683174.66,3809691.60,2420616.18,1486118.04,613576.07,3881533.75,2298935.59,1315004.21,632745.03,2875417.08,1872153.98,1219015.46,553895.55,3602018.44,1988361.70,1238084.91,537827.60,3116946.24,1584218.91,1022445.32,353350.05,2478635.29,2081059.83,0.0
7,管理费用,19516210.27,92988295.89,58279516.02,39458091.42,17460478.40,84750454.95,56126360.65,66087361.25,28985752.82,136465098.71,90391268.72,60448311.49,29953232.74,133836794.41,96792139.13,63666381.48,31385336.05,125074147.32,85951594.43,56255687.88,26217872.49,98922451.04,69218108.37,44361703.73,19727631.04,90723424.42,65588492.82,41426395.82,19551685.63,58165866.85,42752534.43,27858441.74,14806635.19,42699617.56,28539564.13,17389379.37,9122380.35,26763596.33,13916087.86,8116583.23,3841329.26,16593432.50,16567477.08,0.0
8,财务费用,18209257.77,45602281.99,40499185.15,26368105.51,12278639.88,54330935.69,43521824.42,29203348.14,15135989.71,44896242.06,32694536.82,21015036.70,10665323.86,52593480.14,42994709.83,27842054.82,12326045.19,51896982.63,37398509.77,24301352.93,11095389.12,35936036.18,25167730.33,15882596.40,6589606.36,24175299.48,16339246.21,9557188.61,2441955.40,10163969.41,10277182.65,5943801.01,4421114.86,10224568.43,11623632.79,8622157.10,4761105.10,10231722.24,6793033.92,2894229.60,1346389.95,4011169.24,2220534.17,0.0
9,研发费用,16259581.50,80875782.06,54461958.60,33468032.13,15975764.73,70790918.84,46940270.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,-1694.42,6649129.14,1222692.27,991237.27,299065.10,596863.09,1458731.29,1037287.87,-36349.89,-359170.97,778981.88,136925.42,-222348.00,377054.70,-191436.60,-414129.71,-449530.46,1178255.46,492537.48,496605.54,280537.32,349032.80,600610.24,573442.46,503205.04,188308.02,144560.08,144560.08,6674.13,30774.58,-363561.26,89947.23,-28710.93,-199293.64,154662.60,154662.60,24599.09,-645599.87,989910.38,0.0
