,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,7183998115.96,4462460464.26,2219069603.88,10368931999.29,5644558152.91,3895362235.25,1705529458.00,8886060068.67,6641641231.73,3541322338.80,1247105274.55,6003662456.20,3230670350.46,2381798614.63,1365774962.03,4569247182.81,2525380300.46,1783690855.63,730881871.68,3062247398.82,1400952842.00,931275874.01,443274507.28,2120396019.63,1257347233.86,723083783.44,154858391.31,1083332609.01,591341131.13,362291182.36,156754379.93,873644321.24,560483593.30,292158431.37,125997043.75,598831418.37,350472493.73,180276186.89,100456789.04,0.0
2,营业收入,7183998115.96,4462460464.26,2219069603.88,10368931999.29,5644558152.91,3895362235.25,1705529458.00,8886060068.67,6641641231.73,3541322338.80,1247105274.55,6003662456.20,3230670350.46,2381798614.63,1365774962.03,4569247182.81,2525380300.46,1783690855.63,730881871.68,3062247398.82,1400952842.00,931275874.01,443274507.28,2120396019.63,1257347233.86,723083783.44,154858391.31,1083332609.01,591341131.13,362291182.36,156754379.93,873644321.24,560483593.30,292158431.37,125997043.75,598831418.37,350472493.73,180276186.89,100456789.04,0.0
3,二、营业总成本,6497330889.24,3948356502.99,2045105205.15,9617454234.05,5077103801.63,3522508441.76,1501974720.18,7890263569.30,5885339439.15,3155569565.60,1122277845.31,5401235917.19,2915401738.99,2133972733.66,1233980780.83,4124268566.38,2250188526.50,1602237244.05,656274837.87,2767534548.94,1281916791.87,830231766.32,402699575.01,1946438195.24,1150442088.49,683414116.81,162709740.16,1028405123.28,537538436.82,324187875.91,134322130.07,692857850.17,440687393.64,225734431.46,99262513.41,444189653.94,254251743.53,156330280.20,96322872.17,0.0
4,营业成本,5328667880.69,3214598300.19,1628084859.37,7791149934.77,3951349267.70,2752398036.44,1180331797.39,6464107356.02,4838197050.85,2570477876.63,885798650.86,4527436193.39,2394153840.46,1796847924.65,1066758993.90,3486392815.42,1899897195.98,1363777271.28,543433418.80,2290021412.22,1009418487.13,662933340.13,315971562.83,1609588367.86,939458569.45,563239540.73,106226006.30,723737820.25,377161153.22,219890265.10,89829751.27,485010191.69,308503136.07,155848506.49,60712069.85,300488341.58,176022029.86,91013763.40,52514728.79,0.0
5,营业税金及附加,21271267.84,14430353.55,6299871.82,34517501.40,12111844.73,10002953.07,3741173.39,27876468.63,11439079.44,11298857.17,857961.79,31170794.31,13954578.40,10141210.71,6613851.92,18531282.50,8377181.30,6580428.78,4386978.34,13492615.07,6639742.69,5310655.06,3867923.20,11571273.27,1887177.71,1627136.75,1033589.55,2731377.68,1046943.18,805072.92,486243.61,6432019.02,2999369.25,1547488.06,1374084.62,398658.63,145132.27,142589.83,72310.56,0.0
6,销售费用,549124923.36,326116653.55,140134649.09,697840554.90,433239756.67,288881133.45,105604647.30,518144793.76,328408705.85,194641933.32,87389875.63,286050888.60,175124255.95,118633268.61,49822232.85,188361808.57,111520497.76,68504971.27,34320254.99,136708779.36,87957861.84,52471008.65,27448100.43,128514136.08,77677421.45,52067022.49,22795135.54,124061352.69,80558913.01,54100485.77,25441723.00,82603475.13,51254490.09,27516176.29,18027150.29,54087746.35,29147409.89,20659033.92,11983404.54,0.0
7,管理费用,238882309.45,150209488.63,69109735.66,295463701.01,286411322.22,342384929.82,150854155.53,610895417.74,433084387.99,252360868.39,114271482.63,430001997.25,281075571.13,177612456.29,81950895.16,308197081.22,185721066.10,121034890.64,62038674.48,223701025.67,161890099.47,105987638.16,59735505.45,161365447.07,107061512.73,66763346.75,36674460.36,145933670.62,100825956.86,67397029.12,32985660.39,100464620.18,71246842.46,44080655.59,23016926.75,79281819.82,47136719.63,40552666.35,27629226.91,0.0
8,财务费用,-37483535.16,-2666007.76,41288232.78,15916397.84,-19311624.31,3268090.11,14449054.78,55153129.87,27617685.00,11168890.65,-9065048.55,-3667793.98,2047386.17,7548613.78,3246657.29,-1209683.80,-1471132.98,6862204.35,9014189.80,-2633603.59,-6671154.24,-11456064.49,-7144894.39,-26423801.52,-21777232.78,-11183124.07,-4499451.71,-41434241.07,-32171518.28,-23365103.21,-14621700.66,-660123.80,-1697947.96,-3810010.09,-3867718.10,2582926.14,54676.24,283179.16,1194643.45,0.0
9,研发费用,396868043.06,245667714.83,93450055.91,482297536.91,285611004.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,66737800.52,300268607.22,127692230.60,125573298.87,46993891.79,214086403.28,246592530.02,115621139.44,43024922.95,130243837.62,49046106.88,23189259.62,25588149.71,123995262.47,46143718.34,35477477.73,3081321.46,106244320.21,22681754.98,14985188.81,2821377.49,61822772.48,46134639.93,10900194.16,480000.12,73375143.11,10116988.83,5360126.21,200452.46,19007667.95,8381503.73,551615.12,0,7350161.42,1745775.64,3679047.54,2928557.92,0.0
11,公允价值变动收益,0,0,0,174985.75,0,142293.60,142293.60,126581.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,23280132.16,20584876.12,3376991.98,66325880.89,47773192.05,29202784.31,12376860.91,42362931.53,29145078.28,20585549.33,2319793.37,10860008.84,3081289.25,2474651.26,458041.11,-1414851.65,2916616.95,3038571.62,17971.62,-15924362.35,0,0,0,1860800.61,0,0,0,-581303.70,0,-1154660.77,0,-3958980.91,-2101193.98,-2101193.98,0,0,6630.23,0,0,0.0
