,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,788095511.91,492611963.95,319202788.46,129419838.05,628896454.79,405499520.84,260400257.52,110275861.59,490916514.99,344247983.00,218662107.90,74281381.24,394233983.61,255982602.84,167004163.17,56735598.71,312932345.37,199536442.92,134676509.49,39716459.22,253979385.03,171443616.55,116152409.86,29762045.92,224357453.51,189706622.30,160625265.72,0.0
2,营业收入,788095511.91,492611963.95,319202788.46,129419838.05,628896454.79,405499520.84,260400257.52,110275861.59,490916514.99,344247983.00,218662107.90,74281381.24,394233983.61,255982602.84,167004163.17,56735598.71,312932345.37,199536442.92,134676509.49,39716459.22,253979385.03,171443616.55,116152409.86,29762045.92,224357453.51,189706622.30,160625265.72,0.0
3,二、营业总成本,667503948.20,422992351.89,272481397.04,129464760.76,545427542.06,350835994.97,225612817.73,107465661.54,418337925.19,295883155.53,187226903.71,75970669.29,326885064.69,216543652.68,140365740.00,56859850.39,253462915.40,166390418.26,112913263.22,39257702.44,205307718.11,143428588.73,96431222.24,31659448.41,182778748.86,153238979.83,128492073.21,0.0
4,营业成本,419413259.13,265256233.26,176639341.80,79217121.90,339250528.95,217752637.54,141873735.86,66965450.99,257137236.30,189514769.01,119381954.63,44338874.93,212453231.06,136419879.08,90083966.40,32411190.93,165696354.67,105554917.23,73179535.12,23111879.10,132134479.55,91586108.60,61330491.92,16884390.19,118366563.96,99565666.41,89458894.48,0.0
5,营业税金及附加,4838837.55,3243130.69,2555634.67,585992.73,4337815.73,2121268.47,1042409.17,498790.81,4081773.92,1928803.62,1562701.56,396527.71,2313672.41,993327.04,712537.31,644326.09,1515362.62,561272.99,450176.88,335214.98,1769057.12,980612.56,621906.28,239837.44,1633155.80,2684679.28,2489135.80,0.0
6,销售费用,64346846.46,40163224.81,22121212.61,12392430.78,48268025.13,32120912.01,19822843.03,9393027.82,40239420.27,29081998.11,18252394.77,8501828.67,32718853.58,22877703.72,15080661.12,6849116.54,27948622.51,20157390.97,11856492.93,5213162.16,21897469.22,16033140.95,10805969.99,4142618.08,19715514.41,14481563.13,10980952.36,0.0
7,管理费用,109390157.43,70916567.48,45120852.95,23795803.81,86564819.04,57070779.33,52631999.54,25208155.35,101974819.11,66194841.90,40164158.54,20212675.43,73714837.33,51348999.34,30995282.48,15976061.18,54442933.71,38309438.24,24183493.68,9818893.95,44110381.89,31375734.36,20509545.56,9801839.79,38182037.02,31745939.16,22310928.82,0.0
8,财务费用,15460412.25,10113001.66,5640656.59,2326842.06,8540811.88,7019002.67,4301415.59,2048476.13,4820552.53,2812607.06,1361081.57,562460.29,1202755.73,491664.19,54473.96,-22754.42,513973.78,681884.55,799066.78,412914.27,2115977.54,1569368.25,1003036.54,494541.24,2417773.13,2715606.18,1902805.47,0.0
9,研发费用,54054435.38,33300193.99,20403698.42,9352638.70,48060243.79,28862503.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,1793930.78,10405297.54,5888891.08,5940414.54,3351760.44,10084123.06,6350135.83,6504612.64,1958302.26,4481714.58,4412079.31,3438818.73,1001910.07,3345668.11,1125514.28,2444497.83,365637.98,3280352.79,1883624.01,2160271.95,96221.67,2463704.54,2045525.67,1349356.28,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,49315.07,49315.07,49315.07,49315.07,40527.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19809.74,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,-12889.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,118249668.21,71486879.70,45500353.79,2060918.45,99631172.97,62420938.05,40994672.26,4243119.52,80984301.42,52204019.73,32951495.45,-1689288.05,67348918.92,39438950.16,26638423.17,-124251.68,59469429.97,33146024.66,21763246.27,458756.78,48671666.92,28015027.82,19721187.62,-1897402.49,41578704.65,36467642.47,32153002.25,0.0
16,加:营业外收入,134241.41,147507.25,65851.83,75344.91,113548.94,98955.60,44986.00,6992.43,906432.29,35981.18,30024.39,1017613.09,6363630.84,1904699.55,1116009.32,332343.89,6393182.38,4218740.70,3034702.60,2209217.53,4214378.88,1222814.01,592688.01,409651.00,6330581.63,7922921.57,6420028.52,0.0
17,减：营业外支出,572235.77,486215.94,422638.56,2200.33,167729.90,117950.15,79914.39,10560.47,862973.64,395871.49,416371.25,10000.00,124954.53,124346.78,32022.40,11948.28,237499.32,7370.86,7369.76,396.50,18780.70,18780.70,18780.70,13070.01,154050.64,13493.49,89475.36,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,167603.35,188116.17,0,4454.72,4454.72,4454.72,4454.72,22830.38,5029.14,5029.14,0,15729.21,15729.21,15729.21,8800.61,5307.08,0,8393.38,0.0
19,四、利润总额,117811673.85,71148171.01,45143567.06,2134063.03,99576992.01,62401943.50,40959743.87,4239551.48,81027760.07,51844129.42,32565148.59,-681674.96,73587595.23,41219302.93,27722410.09,196143.93,65625113.03,37357394.50,24790579.11,2667577.81,52867265.10,29219061.13,20295094.93,-1500821.50,47755235.64,44377070.55,38483555.41,0.0
