,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,91739024.78,55053341.22,22716341.63,147054140.15,113537966.43,84932032.63,27807413.78,143853440.54,119772842.44,85662113.89,36629100.13,137685926.82,96363227.09,74002207.59,32509217.36,129178866.34,104604684.12,78156613.24,27789689.25,157253982.25,105118754.86,81855071.87,30058442.88,156812569.18,160257864.07,127560293.78,0.0
2,营业收入,91739024.78,55053341.22,22716341.63,147054140.15,113537966.43,84932032.63,27807413.78,143853440.54,119772842.44,85662113.89,36629100.13,137685926.82,96363227.09,74002207.59,32509217.36,129178866.34,104604684.12,78156613.24,27789689.25,157253982.25,105118754.86,81855071.87,30058442.88,156812569.18,160257864.07,127560293.78,0.0
3,二、营业总成本,120092931.02,74295038.04,33967203.23,157756129.78,114834686.82,80137035.04,24843720.01,134919092.57,108913067.43,74836511.28,34387391.59,119851885.78,85612727.39,62150983.18,28490734.42,103137654.54,82171268.76,58899380.10,21342149.05,115891778.15,72711961.17,54036706.39,21955231.08,117357634.58,123629259.68,95291540.19,0.0
4,营业成本,94701101.46,56434619.07,23071343.36,119401712.20,89663848.78,62457633.31,16744725.68,97129926.67,86492398.81,58786893.16,21436180.07,89562511.66,63442795.14,45469556.28,21439424.54,74933551.84,61011366.63,45890494.31,14929145.18,90314040.57,57797919.46,43646071.18,16616664.47,92969497.00,94532407.94,75695378.58,0.0
5,营业税金及附加,1647199.55,1116365.76,528256.88,2515815.59,2088107.78,1438053.76,607673.94,2228010.98,1677026.53,1156485.86,527290.18,1356948.65,177382.03,136007.30,67446.31,262561.88,190935.19,139834.09,82246.70,554845.60,554845.60,472768.89,407932.72,1021825.80,1164164.18,840746.30,0.0
6,销售费用,3175112.17,1911797.56,937050.76,3702343.55,2701490.80,1718472.94,698852.92,2849246.23,2016433.40,1271903.75,476958.73,2773450.20,2100697.49,1471811.16,771826.89,3043686.06,2448458.19,1550965.41,540861.10,3632575.51,2380831.42,1739245.73,528634.62,3145012.42,3873431.37,2815125.57,0.0
7,管理费用,13013257.64,9091979.43,4334515.70,15360365.70,11365366.59,9526715.43,4114947.35,23364427.55,13850447.78,10230090.22,4358973.95,21942447.42,17839706.34,12870743.77,4943560.62,21780036.09,14234341.28,7607170.33,3834224.96,18533069.66,9418045.53,6166282.70,2841911.53,18441276.60,20983022.68,13928197.23,0.0
8,财务费用,3793896.82,2737874.12,1412755.62,6646216.01,4964591.74,3071868.19,1437119.61,4247067.22,2754743.12,1483042.51,543018.16,2182781.16,1331296.88,416142.06,34991.26,2289248.53,2141329.00,1616285.52,685482.67,2059568.64,953117.11,405135.84,255724.77,1359518.69,3557039.07,2723418.26,0.0
9,研发费用,3762363.38,3002402.10,3028619.09,5734156.83,3354801.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,654661.82,4395519.90,696479.62,1924291.41,1240400.51,5100413.92,2122017.79,1908095.78,1044970.50,2033746.69,720849.51,1786722.61,1233484.80,828570.14,2144838.47,2094630.44,1270188.44,797678.17,1607202.05,1607202.05,1304362.97,420504.07,-480805.56,-711325.75,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,-25629406.67,-17484731.58,-10642594.11,-7172.47,242964.96,5726415.44,3619095.59,13326342.31,10859775.01,10825602.61,2241708.54,17834041.04,10750499.70,11851224.41,4018482.94,26041211.80,22433415.36,19257233.14,6447540.20,41362204.10,32406793.69,27818365.48,8103211.80,39454934.60,36628604.39,32268753.59,0.0
16,加:营业外收入,250089.32,244338.23,200000.00,1083591.91,887900.00,837900.00,4560.00,2000001.08,5154949.60,3361554.97,608267.50,19295622.43,11924061.17,1275310.35,725315.35,9124462.38,684725.00,98350.00,64875.00,1610000.00,1541965.00,1323750.00,201875.00,811517.95,1145920.00,406652.26,0.0
17,减：营业外支出,16441.11,0,0,0,0,0,0,223537.79,10502.70,10502.70,7757.70,35806.62,10000.00,0,0,0,0,0,0,15803.01,15803.01,15803.01,0,5000.00,1496.61,42100.72,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15720.48,0,15720.48,0,0,0,41800.72,0.0
19,四、利润总额,-25395758.46,-17240393.35,-10442594.11,1076419.44,1130864.96,6564315.44,3623655.59,15102805.60,16004221.91,14176654.88,2842218.34,37093856.85,22664560.87,13126534.76,4743798.29,35165674.18,23118140.36,19355583.14,6512415.20,42956401.09,33932955.68,29126312.47,8305086.80,40261452.55,37773027.78,32633305.13,0.0
20,减：所得税费用,0,108564.80,58538.42,-305647.84,218911.62,1059769.31,495602.48,2577056.56,3421476.26,2941750.26,375280.73,5756212.43,3705126.22,2259056.60,826424.92,6102706.61,4035749.92,3398446.77,1312407.51,6944817.84,5639243.82,4765716.65,1461829.58,6437962.86,5752940.63,4783586.87,0.0
21,五、净利润,-25395758.46,-17348958.15,-10501132.53,1382067.28,911953.34,5504546.13,3128053.11,12525749.04,12582745.65,11234904.62,2466937.61,31337644.42,18959434.65,10867478.16,3917373.37,29062967.57,19082390.44,15957136.37,5200007.69,36011583.25,28293711.86,24360595.82,6843257.22,33823489.69,32020087.15,27849718.26,0.0
22,归属于母公司所有者的净利润,-25395758.46,-17348958.15,-10501132.53,1382067.28,911953.34,5504546.13,3128053.11,12525749.04,12582745.65,11234904.62,2466937.61,31337644.42,18959434.65,10867478.16,3917373.37,29062967.57,19082390.44,15957136.37,5200007.69,36011583.25,28293711.86,24360595.82,6843257.22,33823489.69,32020087.15,27849718.26,0.0
23,少数股东损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),-0.279800,-0.191200,-0.115700,0.015200,0.010100,0.060700,0.034500,0.138000,0.138700,0.123800,0.027200,0.345300,0.208900,0.119800,0.086300,0.732100,0.504700,0.469000,0.152800,1.058400,0.831600,0.716000,0.201100,0.994100,0.941100,0.975000,0.0
26,稀释每股收益(元/股),-0.279800,-0.191200,-0.115700,0.015200,0.010100,0.060700,0.034500,0.138000,0.138700,0.123800,0.027200,0.345300,0.208900,0.119800,0.086300,0.732100,0.504700,0.469000,0.152800,1.058400,0.831600,0.716000,0.201100,0.994100,0.941100,0.975000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,-25395758.46,-17348958.15,-10501132.53,1382067.28,911953.34,5504546.13,3128053.11,12525749.04,12582745.65,11234904.62,2466937.61,31337644.42,18959434.65,10867478.16,3917373.37,29062967.57,19082390.44,15957136.37,5200007.69,36011583.25,28293711.86,24360595.82,6843257.22,33823489.69,32020087.15,27849718.26,0.0
29,归属于母公司所有者的综合收益总额,-25395758.46,-17348958.15,-10501132.53,1382067.28,911953.34,5504546.13,3128053.11,12525749.04,12582745.65,11234904.62,2466937.61,31337644.42,18959434.65,10867478.16,3917373.37,29062967.57,19082390.44,15957136.37,0,36011583.25,28293711.86,24360595.82,0,33823489.69,32020087.15,27849718.26,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
