,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,537231885.50,406002796.03,240239822.29,135287712.72,607381787.44,406407854.11,293622378.00,162294097.51,1619824840.10,1219684572.93,810921871.56,436190711.24,3190023343.41,2435328430.38,1812223468.11,877552961.27,1911770480.81,1156174719.73,759260262.11,332612473.04,1602779940.77,1112908219.16,783574531.27,381940717.94,1336754481.56,988823980.35,625607165.43,272381314.45,1074486095.39,777775366.42,426710181.40,193418277.86,593858567.86,380801116.73,215298679.57,117417103.54,1034359431.17,827745836.83,515034143.23,285472918.96,1153681683.51,880861518.21,457779104.10,214874843.51,2024777597.20,1769152667.93,1291508170.22,709409623.60,4568693145.33,3438723974.20,2128271804.54,1013645590.00,6683734043.03,5090096258.99,3432702027.42,2049576950.24,9033054943.53,6629718923.44,4365293316.07,2006780802.11,10210899718.20,7017052364.49,4676088196.88,2518174071.03,10899335843.98,8068433812.71,5791852596.62,3148720913.67,6395033115.94,3836611605.18,2199835703.19,966106999.62,2621749286.75,1230415834.85,935087283.50,432869997.04,433704627.81,215862278.40,130324884.28,0.0
2,营业收入,537231885.50,406002796.03,240239822.29,135287712.72,607381787.44,406407854.11,293622378.00,162294097.51,1619824840.10,1219684572.93,810921871.56,436190711.24,3190023343.41,2435328430.38,1812223468.11,877552961.27,1911770480.81,1156174719.73,759260262.11,332612473.04,1602779940.77,1112908219.16,783574531.27,381940717.94,1336754481.56,988823980.35,625607165.43,272381314.45,1074486095.39,777775366.42,426710181.40,193418277.86,593858567.86,380801116.73,215298679.57,117417103.54,1034359431.17,827745836.83,515034143.23,285472918.96,1153681683.51,880861518.21,457779104.10,214874843.51,2024777597.20,1769152667.93,1291508170.22,709409623.60,4568693145.33,3438723974.20,2128271804.54,1013645590.00,6739564399.83,5127362457.39,3445682783.77,2051923154.89,9050287393.86,6660984645.87,4400929779.84,2015201239.45,10245988575.60,7032367290.64,4648234809.80,2510285032.64,10841476586.31,8019509785.09,5752539179.92,3136701603.74,6367615959.00,3839146674.53,2202949886.92,967353717.59,2622293289.85,1229490851.45,934781128.52,431357571.50,429339436.36,207922426.06,120077275.65,0.0
3,二、营业总成本,534125079.25,402249369.90,241097181.37,140118362.86,618813582.27,401765648.88,286578895.27,161113923.42,1800130012.44,1304992730.16,845856425.86,448000987.14,3184714899.42,2437595536.39,1812344709.52,873984236.33,1892615577.17,1153570173.97,756216566.08,332655308.73,1569149403.40,1099378260.70,775043708.22,377095097.90,1324925791.55,988040277.26,625642737.86,271943016.19,1039790590.80,744239717.61,404238006.85,187161072.67,576802641.44,364395315.17,208313142.75,113221462.66,1029523361.32,808953677.23,510139972.29,282606149.41,1206812851.89,928982679.83,500399128.15,232324279.54,2280063696.06,1870833463.64,1362826914.45,745196331.62,5196240052.86,3967425700.68,2382487399.05,1038550554.74,6700135540.15,5097213007.85,3433539988.51,2027554281.92,9519497076.05,6927598274.68,4482558415.77,1987882230.04,9969627477.78,6783455150.72,4505750075.48,2466520934.78,10568495615.36,7829780366.45,5619079807.18,3096165391.24,6112826332.63,3678564022.46,2134703165.13,932612174.22,2476809694.49,1189207435.70,918494073.84,397312619.48,375534787.65,169611828.32,87890165.82,0.0
4,营业成本,495565586.28,370369256.35,220984347.38,123446423.14,562451184.83,357734633.37,254798759.31,144278047.30,1608428341.19,1174277560.14,759482935.13,405166325.94,3016052171.20,2286692384.62,1702341938.79,821012480.19,1760399611.56,1057151283.82,691899949.86,297801031.76,1428870525.05,994347001.30,703541798.36,338454337.04,1216587597.33,907855839.66,570320804.33,243320367.29,930055059.85,646323513.05,344519670.37,154814911.87,499056069.39,295445581.85,164396830.16,89938218.25,944173595.17,734334461.12,448195224.72,251321709.36,1083912304.18,812931914.60,420798816.69,197047032.38,1920548237.17,1584920629.54,1147420045.94,663650096.56,4508259178.50,3523312360.44,2044365597.64,938769788.66,6025513615.09,4514618735.53,3022786125.65,1818660791.61,8363794264.17,6023554682.19,3882701535.83,1706280870.12,8668190548.76,5854179874.26,3844305194.14,2081153311.20,8979462216.87,6679672001.75,4811965433.71,2611723210.97,4849371175.79,3212745861.93,1833960332.69,779925841.59,1883931569.58,962774430.18,635850376.91,341668239.73,305371841.15,126109788.56,74343721.43,0.0
5,营业税金及附加,5192321.56,3842590.90,3031599.95,1188594.79,5739297.59,4355701.22,2880689.87,1587105.22,7333765.46,5249719.88,3466607.13,1724640.96,7723513.90,2622204.26,2273877.95,1546831.93,5006613.85,2977964.52,2138782.43,839310.08,6030817.51,4322203.56,3028462.14,1053639.10,6176950.41,4909723.41,3073840.14,1153428.74,6048116.33,4342165.75,2687891.95,1193867.71,5404217.88,3932871.63,2818652.11,1101767.34,3419732.51,1304650.98,569629.78,248155.41,2277030.65,1299275.09,892320.76,503893.02,6588429.13,5023425.55,2592049.33,43443.90,4755188.19,2898307.74,1350429.87,648360.82,10273778.35,6885759.83,4824473.25,3362440.16,10346860.39,7197955.11,4753777.48,2321879.10,14587300.62,12188150.37,7967663.03,3956840.06,32921893.92,19966583.76,14467201.51,4565253.44,21497504.00,13311695.17,10648954.18,5178534.32,12525245.69,2119476.20,2347625.37,1234601.57,1935453.97,1310732.15,210348.68,0.0
6,销售费用,2658446.76,1932319.40,1300368.17,632722.67,5032661.40,3101017.81,2299427.55,1441234.15,19660433.48,13075197.95,7704499.04,3625905.72,19277451.43,17041018.09,8715033.20,3353524.67,13344787.10,8545840.36,5513850.34,2901932.30,14286079.97,9728900.44,6862571.66,4035250.03,10086359.16,7993347.27,5619565.38,2916902.64,9606436.29,6901742.72,3369367.77,2002148.23,6295025.27,5619807.42,2865595.86,1536202.80,11090457.07,9607999.86,6552182.07,3447756.55,33609665.52,29346792.48,19117560.11,6114974.53,173965295.17,132396485.44,92302432.88,47353402.09,343218447.13,350413322.09,245278878.62,110605735.68,650461123.45,472574959.08,321451550.18,172185075.59,1050214817.43,792686528.04,517385291.34,247783325.70,1087087395.28,758688596.57,485816283.41,290303113.18,1218768942.61,918155397.89,630969965.78,367275904.74,903763098.70,353125297.68,225915720.93,114896518.98,396947165.86,179750671.22,183245761.58,24436409.88,27379882.71,17442032.71,6345770.87,0.0
7,管理费用,24332564.52,17460661.93,11678569.96,5806388.90,22345408.62,16479399.18,23393974.22,9324035.45,147901319.02,96684458.57,60105069.55,27533919.17,117543823.99,103455016.65,72381316.12,28762151.87,102943043.68,70154009.56,49046085.96,21302891.58,107661339.79,73724113.28,47975730.87,20162413.98,77972950.79,53010382.82,35140834.13,17388478.39,82763265.93,72439383.72,44432995.16,21968692.87,57788905.45,50341889.05,28942538.03,12594477.08,59124532.48,48273065.97,31933113.17,16918031.30,68294574.81,68609143.14,40088584.68,15619084.13,129197683.64,103567942.80,66999202.39,26278225.34,143158951.47,148138477.69,104214709.61,23586046.93,18095898.41,106254652.38,85463691.94,33357039.55,92204954.04,104551906.05,77109573.22,32028281.36,201134676.26,160696640.06,168970891.86,90333883.13,330058112.61,204029936.21,155822920.95,112110395.89,328720722.31,94971614.66,59633809.80,29586420.66,166910828.99,37736752.44,69102503.76,20757907.50,30865625.48,19962417.56,5854043.33,0.0
8,财务费用,-2457465.89,-2802070.71,-1524289.39,727809.73,-3764982.57,-3396360.87,-1440379.06,1899548.52,5363889.87,5706004.94,2895781.44,547925.85,-3392738.99,386245.08,1030006.02,-1157151.71,-1475953.59,-4515024.35,-3281432.06,-2552019.87,-4376761.28,-1681937.94,-603603.44,469840.38,-3298690.69,-2788155.45,-1458697.45,-382583.27,-4145260.48,-2326026.48,-2126010.85,-301865.04,-5392059.33,-7312048.07,-624512.05,-596515.50,-3488976.11,-11288175.40,-2275114.67,-227806.66,-2255670.08,-987822.99,-1146137.49,-1202552.04,8577639.93,9892658.48,11237991.50,9023757.16,25850487.22,7219462.94,-2722044.73,-3729110.13,-4208875.15,-3121098.97,-985852.51,-11064.99,2936180.02,-392796.71,608237.90,-532126.24,-1372443.14,-2298110.54,-1309956.96,773787.21,7284449.35,7956446.84,5854285.23,490626.20,9473831.83,4409553.02,4544347.53,3024858.67,16494884.37,6826105.66,14517416.43,8587051.82,8910739.19,3399744.85,1136281.51,0.0
